id,abbr,abbr_phd,title,author,subcorpus,doc1,doc2,doc_full,base_ms,place_ms,date_ms,place_cmp,genre,DEAF,form,extract,edition,source
edmund,SEdmPass,VieEdmund,La Passiun de seint Edmund,--,dialectAN,1195,1242,beg. C13 / c1200 (ed.),"Gonville and Caius Coll., Cambr., Ms. 435/435",Eng,1st half C13,Eng,VieS,SEdmPassG,8s,quatrains 1–125 (ll. 1–500),Grant (1978),n
eracle,GautArrEr,Eracle,Eracle,Gautier d'Arras,dialectN,1170,1180,c1175,BN fr. 1444,CN (Sth. Pic.),end C13,N (Pic.),Rom,GautArrErH,8s,ll. 5519–6020,Raynaud de Lage (1976),n
feuillee,AdHaleFeuill,Feuillee,Le Jeu de la feuillee,Adam de la Halle,theatre,1276,1276,1276,BN fr. 25566 (P),"N (Arras) / N (Somme, Pas-de-Calais, 89, Dees)",prob. 1295,N (Pic.),SecPlay,AdHaleFeuillD,8s,ll. 13–535,Langlois (1951),NCA
florimont,AimonFl,Florimont,Florimont,Aimon de Varennes,dialectE,1188,1188,1188,BN fr. 15101 (F),unk.,beg. C13,SE (Fr-Pr. traits),Rom,AimonFlH,8s,ll. 965–1456,Hilka (1932),n
fortune,ChrPisMut,MutFortune,Le Livre de la mutacion de Fortune,Christine de Pizan,base,1403,1403,1403,Brussels Bibl. Roy. 9508 (B),--,1403,--,Rom,ChrPisMutS,8s,chs. II–VIII (ll. 51–566),Solente (1959),n
froissart,FroissPoés,Froissart,Lyric Poems,Jean Froissart,lyric,1362,1392,1362–1392,BN fr. 831 (A),--,1394,N (Pic.),Lyr,FroissPoésM,L,"Balades V–VIII, XV, XXI, XXV, XXVI, XXVIII, XXIX, XXXIV, XXXIX; Virelais II, IV, VI, IX, XII, XIII",McGregor (1975),n
gace,GaceBrulé,GaceBrule,Chansons,Gace Brulé,lyric,1180,1210,1180–1210,comparative; orth. from BN fr. 844 (M) except BN fr. 846 (O) (LVI–LVIII),Ms. M N (Pic.); Ms. O loc. not given,Ms. M 2nd half C13; Ms. O 2nd half C13,C (Sth. Ch.),Lyr,GaceBruléD,L,"Chansons VII, X, XVI, XIX, XLIII, XXXII, XXXIV, XLV, LVI–LVIII",Dyggve (1951),n
gormont,Gorm,GormIsem,Gormont et Isembart,--,base,1100,1149,1st half C12,Brussels Bibl. Roy. Portefeuille II 181,"Eng (80, Dees)",1st quart. C13,C (IdeF),ChG,GormB,8s,ll. 8–508,Bayot (1931),NCA
griseldis,GriseldisEst,Griseldis,L'Estoire de Griseldis,--,theatre,1395,1395,1395,BN fr. 2203 (Cangé),N (Pic.),date not given,--,RelPlay,GriseldisEstR,8s,ll. 1–501,Roques (1957),n
gui,GuiWar,GuiWarewic,Gui de Warewic,--,dialectAN,1200,1233,1st third C13 (DEAF) / 1232–1242 (ed.),Brit. Mus. Add. 38662,Eng,2nd quart. C13,Eng,Rom,GuiWarE,8s,ll. 1–500,Ewert (1932),n
holofernes,MolinetJudHoloph,JudithHolo,Le Mystère de Judith et Holofernes,Jean Molinet (attribution doubtful),theatre,1480,1490,1480–1490,BN rés Yf 11 (Paris: Pierre Le Dru),--,c1500,--,RelPlay,--,8s,ll. 25–519,Runnalls (1995),n
hugues,HugCap,HugCapet,Hugues Capet,--,12-syll,1355,1365,c1360,Arsenal 3145,NE (Walloon),2nd half C15,prob. N,ChG,HugCapLb,12s,laisses I–VIII (ll. 1–370),Laborderie (1997),n
huon,Huon,HuonBord,Huon de Bordeaux,--,10-syll,1216,1250,after 1216 (mid C13),Tours 936 (M),N,mid C13,N,ChG,HuonR,10s,laisses I–IV (part) (ll. 1–402),Ruelle (1960),n
imagemonde,ImMondeOct3,ImageMonde,L'Image du Monde,--,dialectE,1245,1250,c1248,BL Harley 4333,E (Lorr.),2nd half C13,E (Lorr.),Didactic,ImMondeOct3M,8s,ll. 1–502,Meyer (1892),n
isopet,YsLyon,IsopetLyon,L'Isopet de Lyon,--,dialectE,1250,1299,2nd half C13,Lyon Bibl. mun. Palais des Arts 57 (L'),"E (Fr.-Com.) (95, Dees)",end C13,E (Fr.-Com.),Fables,YsLyonB,8s,"Isopet de Lyon, Prologue and fables (vol. 2: 83–198): I–VIII",Bastin and Ruelle (1929),NCA
leger,SLéger,VieLeger,La Vie de saint Léger,--,base,990,1010,c1000,Clermont-Ferrand 240,prob. Clermont,c1000,IdeFr (?) / Pic. (?) / Walloon (?) reworked in Clermont,VieS,SLégerA,8s,full text (240 lines),Linskill (1937),n
liberfort,LFortunae,LibFortune,Liber Fortunæ,--,base,1346,1346,1346,Clermont-Ferrand 356 (C),--,mid C15,"unk., E traits",poème moral,LFortunaeG,8s,ll. 1–505,Grigsby (1967),n
