lemma_syntag	F
Arnould_N	3
Arphazat_N	1
arraisonner_N	1
Arras_N	4
arrement_N	1
arrêt_N	3
arrêtaison_N	1
arrêtison_N	3
arrêtuel_N	1
arrière-garde_N	2
arroi_N	4
arsure_N	1
art_N	32
Arthur_N	6
artifice_N	1
artil_N	1
artillerie_N	2
artillier_N	1
Artois_N	3
as_N	1
assai_N	2
assaut_N	5
assemblée_N	1
assemblement_N	1
assens_N	1
assiduel_Adj	1
assise_N	1
assistance_N	1
assûr_Adj	4
assurance_N	1
assyrien_N	1
astronomie_N	1
astronomien_N	1
ataïne_N	2
atour_N	8
atteinte_N	1
attelle_N	1
attemprance_N	12
attendue_N	1
attente_N	16
attire_N	1
attraction_N	1
attrait_N	3
aube_N	2
aubenaille_N	1
auberge_N	1
Auberi_N	1
Aubéron_N	10
aubette_N	1
aubour_N	3
audience_N	5
auditeur_N	2
auditoire_N	1
audivi_N	1
auferrant_N	7
aufin_N	2
Auguste_N	3
Augustin_N	1
aumône_N	17
aumônier_N	4
aumônière_N	2
aumusse_N	1
aune_Adj	2
aune_N	8
aünée_N	1
Aunis_N	1
autel_Adj	1
autel_N	12
autel2_Adj	1
auteur_N	3
Autevile_N	1
autorité_N	4
autour_N	3
autre_Adj	418
autretel_Adj	5
Autriche_N	1
autrier_N	8
autruche_N	2
autrui_Adj	46
Auvergne_N	3
Auxerre_N	1
Auxois_N	1
avancement_N	1
avantage_N	11
avantageux_Adj	1
avant-garde_N	2
avare_Adj	4
avarice_N	6
avé_N	1
aveau_N	2
avenant_Adj	12
avenant_N	1
avènement_N	1
avenir_Adj	1
aventure_N	55
avêprement_N	1
avers_Adj	2
aveugle_Adj	5
aviron_N	2
avis_N	39
aviser_N	1
avision_N	5
avocassage_N	1
avocasserie_N	1
avocat_N	4
avocation_N	1
avoine_N	1
avoir_N	14
avoir2_N	62
avril_N	1
azur_N	1
Baasa_N	1
babil_N	1
babouin_N	1
Babylone_N	3
Babylonie_N	1
bac_N	1
bachelier_N	15
bachelière_N	1
bachellerie_N	1
bacon_N	53
badin_Adj	1
bai_Adj	2
baiasse_N	3
baien_Adj	1
baïf_Adj	1
baile_N	1
Bailleul_N	2
bailli_N	4
baillie_N	8
bain_N	6
baiser_N	3
baisol_N	1
baisselette_N	1
baivier_Adj	1
bal_N	1
