lemma	F	
trembler	15	
tremper	1	
trépasser	21	
treschanger	1	
trescourre	1	
tresmettre	1	
trèsnuiter	1	
tressaillir	2	
tressuer	1	
trestourner	4	
tretter	1	
tricher	1	
trier	1	
triompher	2	
tromper	1	
troubler	6	
trouer	2	
trousser	3	
trouver	218	
truander	1	
tuer	19	
unir	1	
UNKNOWN	11	
user	32	
usité	1	
vaincre	34	
valoir	189	
vanter	17	
varier	2	
vaucrer	1	
vautrer	3	
véer	4	
veiller	25	
veillier	1	
vendre	38	
venger	27	
venir	742	
venteler	1	
venter	5	
verdir	2	
vergogner	1	
vergonder	2	
verser	6	
versiller	1	
vertir	1	
vessir	1	
vêtir	47	
vider	20	
vilener	2	
virer	3	
viser	5	
visiter	8	
vivre	105	
voir	702	
voler	16	
vouer	4	
vouloir	834	
