lemma	F	
contraindre	7	
contrarier	2	
contredire	13	
contrefaire	2	
contrester	2	
contretenir	3	
contrister	2	
contrôler	1	
controuver	3	
convenancer	1	
convenir	102	
converser	7	
convertir	4	
convoiter	8	
convoyer	5	
corner	1	
corriger	2	
corrompre	1	
coucher	47	
coudre	6	
couler	4	
couper	11	
coupoyer	3	
courir	62	
couronne	1	
couronner	18	
courroucer	35	
courtoyer	1	
coûter	17	
coutiver	1	
couver	1	
couvrir	26	
cracher	3	
craindre	40	
cravanter	6	
créanter	8	
créer	9	
crémir	9	
crêté	1	
crever	7	
criembre	1	
crier	53	
croire	161	
croître	38	
crouler	3	
croupir	1	
crucifier	1	
crucifix	1	
cueillir	9	
cuider	137	
cuire	14	
cultiver	1	
daigner	22	
damner	11	
danceler	1	
danser	6	
débarater	1	
debattre	4	
débattre	1	
débiliter	1	
débourser	1	
débouter	8	
débriser	1	
débusquer	3	
déceler	1	
décevoir	38	
décharger	2	
déchasser	2	
déchausser	3	
déchoir	4	
déclarer	3	
déclore	3	
décoller	2	
décolorer	6	
décombre	1	
décombrer	1	
déconfire	13	
déconforter	5	
déconseiller	2	
décorer	1	
découper	3	
découvrir	24	
décrever	1	
décrire	4	
décroire	1	
dédaigner	1	
dédire	6	
dédouloir	1	
déduire	7	
défaillir	4	
défaire	17	
défendre	51	
defenir	2	
déferrer	1	
défi	1	
défier	7	
défigurer	2	
définer	3	
déflorer	1	
défrire	1	
dégarnir	1	
dégoiser	1	
degoler	1	
déguerpir	4	
déguiser	4	
déjeter	2	
déjeuner	1	
délaisser	3	
délayer	6	
délié	1	
délier	6	
déliter	9	
délivrer	24	
déloger	1	
démailler	4	
demander	101	
démêler	2	
démembrer	2	
démener	24	
démenter	7	
démentir	5	
démesurer	2	
démettre	4	
demeurer	91	
démonter	2	
démontrer	10	
dénommer	2	
dénoter	1	
dénouer	1	
départir	56	
dépecer	3	
dépêcher	2	
dépendre	25	
dépire	3	
dépiter	1	
déplacer	3	
déplaire	28	
déployer	3	
dépondre	2	
déporter	15	
déposer	3	
dépouiller	6	
dépourvoir	2	
déprendre	2	
déprier	5	
dépriser	8	
déprisonner	1	
députer	1	
déraisner	2	
dériver	1	
dérober	2	
dérocher	1	
dérompre	9	
désarmer	3	
descendre	50	
descourtiner	1	
désennuyer	1	
déserter	2	
desespérer	1	
désespérer	5	
désevrer	3	
desfermer	1	
desgarder	1	
desgarrocher	1	
deshaitier	3	
déshériter	5	
déshonorer	1	
désirer	45	
desjoindre	1	
desmaner	1	
désobéir	3	
désordonner	4	
désouvenir	1	
despaner	2	
desparager	1	
despérer	2	
déspérer	1	
despire	4	
despiser	1	
desramer	1	
desroyer	2	
