wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,verstype,subtype,syllabified,ref
56,10,6,pensee,pensee,110,N,N,,7s,---,C/V\.'C/V\./(e)\,"ConBeth, chanson 1, v. 10"
57,11,1,li,li,111,Prn,Prn$$,li,7s,---,C/V\,"ConBeth, chanson 1, v. 11"
58,11,2,descovroie,descovroie,111,Vfin,Vfin,découvrir,7s,---,C/V\.C/V\.'C/V\./(e)\,"ConBeth, chanson 1, v. 11"
59,11,3,premiers,premiers,111,Adj,Adj,premier,7s,---,C/V\.C/<V>\.'/V\,"ConBeth, chanson 1, v. 11"
60,11,4,;,;,111,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 11"
61,12,1,mais,mais,112,Crd,Crd,mais,7s,---,C/V\,"ConBeth, chanson 1, v. 12"
62,12,2,besoins,besoins,112,N,N,,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 12"
63,12,3,et,et,112,Crd,Crd,et,7s,---,/V\,"ConBeth, chanson 1, v. 12"
64,12,4,desiriers,desiriers,112,N,N,,7s,---,C/V\.C/V\.'C/V\,"ConBeth, chanson 1, v. 12"
65,13,1,et,et,113,Crd,Crd,et,7s,---,/V\,"ConBeth, chanson 1, v. 13"
66,13,2,çou,çou,113,Prn,Prn,ce,7s,---,C/V\,"ConBeth, chanson 1, v. 13"
67,13,3,c',c',113,Qux,Qux,que,7s,---,C/\,"ConBeth, chanson 1, v. 13"
68,13,4,on,on,113,Prn,Prn$,on,7s,---,/V\,"ConBeth, chanson 1, v. 13"
69,13,5,ne,ne,113,Neg,Neg,ne,7s,---,C/(e)\,"ConBeth, chanson 1, v. 13"
70,13,6,puet,puet,113,Vfin,Vfin,pouvoir2,7s,---,C/V\,"ConBeth, chanson 1, v. 13"
71,13,7,atendre,atendre,113,Vinf,Vinf,attendre,7s,---,/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 13"
72,14,1,fait,fait,114,Vfin,Vfin,faire,7s,---,C/V\,"ConBeth, chanson 1, v. 14"
73,14,2,maint,maint,114,QIs,QIs,maint,7s,---,C/V\,"ConBeth, chanson 1, v. 14"
74,14,3,hardement,hardement,114,N,N,,7s,---,C/V\.C/e\.'C/V\,"ConBeth, chanson 1, v. 14"
75,14,4,emprendre,emprendre,114,Vinf,Vinf,emprendre,7s,---,/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 14"
76,14,5,.,.,114,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 14"
77,15,1,tant,tant,115,QIs,QIs,tant,7s,---,C/V\,"ConBeth, chanson 1, v. 15"
78,15,2,ai,ai,115,Vfin,Vfin,avoir,7s,---,/V\,"ConBeth, chanson 1, v. 15"
79,15,3,celé,celé,115,Vpp,Vpp,celer,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 15"
80,15,4,mon,mon,115,Det,Det,mon,7s,---,C/V\,"ConBeth, chanson 1, v. 15"
81,15,5,martire,martire,115,N,N,,7s,---,C/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 15"
82,16,1,tos,tos,116,QIs,QIs,tout,7s,---,C/V\,"ConBeth, chanson 1, v. 16"
83,16,2,jors,jors,116,N,N,,7s,---,C/V\,"ConBeth, chanson 1, v. 16"
84,16,3,a,a,116,Pre,Pre,à,7s,---,/V\,"ConBeth, chanson 1, v. 16"
