wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
54,10,2,don,don,2610,N,N,don,7s,---,C/V\,"AdHaleChans, chanson 26, v. 10"
55,10,3,doit,doit,2610,Vfin,Vfin,devoir,7s,---,C/V\,"AdHaleChans, chanson 26, v. 10"
56,10,4,une,une,2610,QIs,QIs,un,7s,---,'/V\.C/(e)\,"AdHaleChans, chanson 26, v. 10"
57,10,5,roine,roine,2610,N,N,reine,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 10"
58,11,1,pardoner,pardoner,2611,Vinf,Vinf,pardonner,7s,---,C/V\.C/V\.'C/V\,"AdHaleChans, chanson 26, v. 11"
59,11,2,a,a,2611,Pre,Pre,à,7s,---,/V\,"AdHaleChans, chanson 26, v. 11"
60,11,3,un,un,2611,QIs,QIs,un,7s,---,/V\,"AdHaleChans, chanson 26, v. 11"
61,11,4,garçon,garçon,2611,N,N,garçon,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 11"
62,11,5,",",",",2611,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 11"
63,12,1,k',k',2612,Sub,Sub,que,7s,---,C/\,"AdHaleChans, chanson 26, v. 12"
64,12,2,en,en,2612,Pre,Pre,en,7s,---,/V\,"AdHaleChans, chanson 26, v. 12"
65,12,3,cuer,cuer,2612,N,N,coeur,7s,---,C/V\,"AdHaleChans, chanson 26, v. 12"
66,12,4,n',n',2612,Neg,Neg$$,ne,7s,---,C/\,"AdHaleChans, chanson 26, v. 12"
67,12,5,a,a,2612,Vfin,Vfin,avoir,7s,---,/V\,"AdHaleChans, chanson 26, v. 12"
68,12,6,point,point,2612,Neg,Neg,point,7s,---,C/V\,"AdHaleChans, chanson 26, v. 12"
69,12,7,de,de,2612,Pre,Pre,de,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 12"
70,12,8,raison,raison,2612,N,N,raison,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 12"
71,13,1,u,u,2613,Crd,Crd,ou,7s,---,/V\,"AdHaleChans, chanson 26, v. 13"
72,13,2,amours,amours,2613,N,N,amour,7s,---,/V\.'C/V\,"AdHaleChans, chanson 26, v. 13"
73,13,3,met,met,2613,Vfin,Vfin,mettre,7s,---,C/V\,"AdHaleChans, chanson 26, v. 13"
74,13,4,se,se,2613,Det,Det,son,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 13"
75,13,5,saisine,saisine,2613,N,N,saisine,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 13"
76,13,6,.,.,2613,Pnc,Pnc,.,7s,---,,"AdHaleChans, chanson 26, v. 13"
77,14,1,ja,ja,2614,Adv,Adv,jà,7s,---,C/V\,"AdHaleChans, chanson 26, v. 14"
