wd_id,line_id,linewd,word,lemma,lex_id,textlineid,syntag,syntag2,syllabified,ref
73,13,1,De,de,de,13,Pre,Pre,C/(e)\,"Brendan, v. 13"
74,13,2,saint,saint,saint,13,Adj,Adj,C/V\,"Brendan, v. 13"
75,13,3,Brendan,Brendan,brendan,13,N,N,C/V\.'C/V\,"Brendan, v. 13"
76,13,4,le,le,le,13,Det,Det,C/(e)\,"Brendan, v. 13"
77,13,5,bon,bon,bon,13,Adj,Adj,C/V\,"Brendan, v. 13"
78,13,6,abéth,abbé,abéth,13,N,N,/V\.'C/V\,"Brendan, v. 13"
79,13,7,.,.,.,13,Pnc,Pnc,,"Brendan, v. 13"
80,14,1,Mais,mais,mais,14,Crd,Crd,C/V\,"Brendan, v. 14"
81,14,2,tul,tu.le,tul,14,Prn+Prn,Prn$+Prn$$,C/V\,"Brendan, v. 14"
82,14,3,defent,défendre,defent,14,Vfin,Vfin,C/V\.'C/V\,"Brendan, v. 14"
83,14,4,ne,ne,ne,14,Neg,Neg$$,C/(e)\,"Brendan, v. 14"
84,14,5,seit,être,seit,14,Vfin,Vfin,C/V\,"Brendan, v. 14"
85,14,6,gabéth,gaber,gabéth,14,Vpp,Vpp,C/V\.'C/V\,"Brendan, v. 14"
86,15,1,Quant,quand,quant,15,Sub,Sub,C/V\,"Brendan, v. 15"
87,15,2,dit,dire,dit,15,Vfin,Vfin,C/V\,"Brendan, v. 15"
88,15,3,que,que,que,15,Qux,Qux,C/(e)\,"Brendan, v. 15"
89,15,4,set,savoir,set,15,Vfin,Vfin,C/V\,"Brendan, v. 15"
90,15,5,e,et,e,15,Crd,Crd,/V\,"Brendan, v. 15"
91,15,6,fait,faire,fait,15,Vfin,Vfin,C/V\,"Brendan, v. 15"
92,15,7,que,que,que,15,Qux,Qux,C/(e)\,"Brendan, v. 15"
93,15,8,peot,pouvoir,peot,15,Vfin,Vfin,C/V\,"Brendan, v. 15"
94,15,9,:,:,:,15,Pnc,Pnc,,"Brendan, v. 15"
95,16,1,Itel,tel,itel,16,Adj,Adj,/V\.'C/V\,"Brendan, v. 16"
96,16,2,servant,servant,servant,16,N,N,C/V\.'C/V\,"Brendan, v. 16"
97,16,3,blasmer,blâmer,blasmer,16,Vinf,Vinf,C/V\.'C/V\,"Brendan, v. 16"
98,16,4,n',ne,n',16,Neg,Neg$$,C/\,"Brendan, v. 16"
99,16,5,esteot,estovoir,esteot,16,Vfin,Vfin,/V\.'C/V\,"Brendan, v. 16"
100,16,6,.,.,.,16,Pnc,Pnc,,"Brendan, v. 16"
101,17,1,Mais,mais,mais,17,Crd,Crd,C/V\,"Brendan, v. 17"
102,17,2,cil,cil,cil,17,Dem,Dem,C/V\,"Brendan, v. 17"
103,17,3,qui,qui,qui,17,Qux,Qux,C/V\,"Brendan, v. 17"
104,17,4,peot,pouvoir,peot,17,Vfin,Vfin,C/V\,"Brendan, v. 17"
105,17,5,e,et,e,17,Crd,Crd,/V\,"Brendan, v. 17"
106,17,6,ne,ne,ne,17,Neg,Neg$$,C/(e)\,"Brendan, v. 17"
107,17,7,voile,vouloir,voile,17,Vfin,Vfin,'C/V\.C/(e)\,"Brendan, v. 17"
108,17,8,",",",",",",17,Pnc,Pnc,,"Brendan, v. 17"
109,18,1,Dreiz,droit,dreiz,18,Adj,Adj,C/V\,"Brendan, v. 18"
110,18,2,est,être,est,18,Vfin,Vfin,/V\,"Brendan, v. 18"
111,18,3,que,que,que,18,Sub,Sub,C/(e)\,"Brendan, v. 18"
112,18,4,cil,cil,cil,18,Dem,Dem,C/V\,"Brendan, v. 18"
113,18,5,mult,moult,mult,18,QIs,QIs,C/V\,"Brendan, v. 18"
114,18,6,se,se,se,18,Prn,Prn$$,C/(e)\,"Brendan, v. 18"
115,18,7,doile,douloir,doile,18,Vfin,Vfin,'C/V\.C/(e)\,"Brendan, v. 18"
116,18,8,.,.,.,18,Pnc,Pnc,,"Brendan, v. 18"
117,19,1,Icist,cist,icist,19,Dem,Dem,/V\.'C/V\,"Brendan, v. 19"
118,19,2,seinz,saint,seinz,19,Adj,Adj,C/V\,"Brendan, v. 19"
119,19,3,Deu,dieu,deu,19,N,N,C/V\,"Brendan, v. 19"
120,19,4,fud,être,fud,19,Vfin,Vfin,C/V\,"Brendan, v. 19"
121,19,5,néd,naître,néd,19,Vpp,Vpp,C/V\,"Brendan, v. 19"
122,19,6,de,de,de,19,Pre,Pre,C/(e)\,"Brendan, v. 19"
123,19,7,reis,roi,reis,19,N,N,C/V\,"Brendan, v. 19"
124,19,8,;,;,;,19,Pnc,Pnc,,"Brendan, v. 19"
125,20,1,De,de,de,20,Pre,Pre,C/(e)\,"Brendan, v. 20"
