wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma
98,16,1,qu',qu',16,Sub,Sub,C/\,que
99,16,2,a,a,16,Pre,Pre,/V\,à
100,16,3,oisemont,oisemont,16,N,N,/V\.C/e\.'C/V\,Oisemont
101,16,4,au,au,16,Pre+Det,Pre+Det,/V\,à.le
102,16,5,marchié,marchié,16,N,N,C/V\.'C/V\,marché
103,16,6,vint,vint,16,Vfin,Vfin,C/V\,venir
104,17,1,le,le,17,Det,Det,C/(e)\,le
105,17,2,bouchier,bouchier,17,N,N,C/V\.'C/V\,boucher
106,17,3,bestes,bestes,17,N,N,'C/V\.C/e\,bête
107,17,4,acheter,acheter,17,Vinf,Vinf,/V\.C/e\.'C/V\,acheter
108,17,5,.,.,17,Pnc,Pnc,,.
109,18,1,més,més,18,Crd,Crd,C/V\,mais
110,18,2,n',n',18,Neg,Neg$$,C/\,ne
111,18,3,i,i,18,Prn,Prn$$,/V\,y
112,18,4,fist,fist,18,Vfin,Vfin,C/V\,faire
113,18,5,fors,fors,18,PrA,PrA,C/V\,hors
114,18,6,voie,voie,18,N,N,'C/V\./(e)\,voie
115,18,7,gaster,gaster,18,Vinf,Vinf,C/V\.'C/V\,gâter
116,18,8,:,:,18,Pnc,Pnc,,:
117,19,1,molt,molt,19,QIs,QIs,C/V\,moult
118,19,2,i,i,19,Prn,Prn$$,/V\,y
119,19,3,trova,trova,19,Vfin,Vfin,C/V\.'C/V\,trouver
120,19,4,chieres,chieres,19,Adj,Adj,'C/V\.C/e\,cher
121,19,5,les,les,19,Det,Det,C/V\,le
122,19,6,bestes,bestes,19,N,N,'C/V\.C/e\,bête
123,19,7,",",",",19,Pnc,Pnc,,","
124,20,1,ces,ces,20,Dem,Dem,C/V\,cist
125,20,2,cochons,cochons,20,N,N,C/V\.'C/V\,cochon
126,20,3,felons,felons,20,Adj,Adj,C/V\.'C/V\,félon
127,20,4,et,et,20,Crd,Crd,/V\,et
128,20,5,rubestes,rubestes,20,Adj,Adj,C/V\.'C/V\.C/e\,rubeste
129,20,6,",",",",20,Pnc,Pnc,,","
130,21,1,felons,felons,21,Adj,Adj,C/V\.'C/V\,félon
131,21,2,et,et,21,Crd,Crd,/V\,et
132,21,3,de,de,21,Pre,Pre,C/(e)\,de
133,21,4,mavés,mavés,21,Adj,Adj,C/V\.'C/V\,mauvais
134,21,5,afere,afere,21,N,N,/V\.'C/V\.C/(e)\,affaire
135,21,6,;,;,21,Pnc,Pnc,,;
136,22,1,ne,ne,22,Neg,Neg$$,C/(e)\,ne
137,22,2,volt,volt,22,Vfin,Vfin,C/V\,vouloir
138,22,3,a,a,22,Pre,Pre,/V\,à
139,22,4,eus,eus,22,Prn,Prn,/V\,eux
140,22,5,nul,nul,22,QIs,QIs,C/V\,nul
141,22,6,marchié,marchié,22,N,N,C/V\.'C/V\,marché
142,22,7,fere,fere,22,Vinf,Vinf,'C/V\.C/(e)\,faire
143,22,8,.,.,22,Pnc,Pnc,,.
144,23,1,povrement,povrement,23,Adv,Adv,C/V\.C/e\.'C/V\,pauvrement
145,23,2,sa,sa,23,Det,Det,C/V\,son
146,23,3,voie,voie,23,N,N,'C/V\./(e)\,voie
147,23,4,enploia,enploia,23,Vfin,Vfin,/V\.C/V\.'C/V\,employer
148,23,5,",",",",23,Pnc,Pnc,,","
149,24,1,c',c',24,Sub,Sub,C/\,que
