wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma,ref
1,1,1,bon,bon,1,Adj,Adj,C/V\,bon,"PAbernRich, v. 1"
2,1,2,est,est,1,Vfin,Vfin,/V\,être,"PAbernRich, v. 1"
3,1,3,de,de,1,Pre,Pre,C/(e)\,de,"PAbernRich, v. 1"
4,1,4,mettre,mettre,1,Vinf,Vinf,'C/V\.C/(e)\,mettre,"PAbernRich, v. 1"
5,1,5,en,en,1,Pre,Pre,/V\,en,"PAbernRich, v. 1"
6,1,6,escrit,escrit,1,N,N,/V\.'C/V\,écrit,"PAbernRich, v. 1"
7,2,1,verai,verai,2,Adj,Adj,C/V\.'C/V\,vrai,"PAbernRich, v. 2"
8,2,2,cunte,cunte,2,N,N,'C/V\.C/(e)\,conte,"PAbernRich, v. 2"
9,2,3,de,de,2,Pre,Pre,C/(e)\,de,"PAbernRich, v. 2"
10,2,4,fet,fet,2,N,N,C/V\,fait,"PAbernRich, v. 2"
11,2,5,e,e,2,Crd,Crd,/V\,et,"PAbernRich, v. 2"
12,2,6,dit,dit,2,N,N,C/V\,dit,"PAbernRich, v. 2"
13,2,7,",",",",2,Pnc,Pnc,,",","PAbernRich, v. 2"
14,3,1,ke,ke,3,Qux,Qux,C/(e)\,que,"PAbernRich, v. 3"
15,3,2,de,de,3,Pre,Pre,C/(e)\,de,"PAbernRich, v. 3"
16,3,3,oïr,oïr,3,Vinf,Vinf,/V\.'C/V\,ouïr,"PAbernRich, v. 3"
17,3,4,dune,dune,3,Vfin,Vfin,'C/V\.C/(e)\,donner,"PAbernRich, v. 3"
18,3,5,en,en,3,Pre,Pre,/V\,en,"PAbernRich, v. 3"
19,3,6,quer,quer,3,N,N,C/V\,coeur,"PAbernRich, v. 3"
20,3,7,delit,delit,3,N,N,C/V\.'C/V\,délit,"PAbernRich, v. 3"
21,3,8,",",",",3,Pnc,Pnc,,",","PAbernRich, v. 3"
22,4,1,si,si,4,Adv,Adv,C/V\,si,"PAbernRich, v. 4"
23,4,2,aprés,aprés,4,PrA,PrA,/V\.'C/V\,après,"PAbernRich, v. 4"
24,4,3,en,en,4,Prn,Prn$$,/V\,en,"PAbernRich, v. 4"
25,4,4,vient,vient,4,Vfin,Vfin,C/V\,venir,"PAbernRich, v. 4"
26,4,5,le,le,4,Det,Det,C/(e)\,le,"PAbernRich, v. 4"
27,4,6,profit,profit,4,N,N,C/V\.'C/V\,profit,"PAbernRich, v. 4"
