wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
55,6,10,la,la,DET:def:obj:femi:sg,6,Det,Det,le,C/V\,"AlexisAlO, v. 6"
56,6,11,feste,feste,NOM:obj:femi:sg,6,N,N,fête,'C/V\.C/(e)\,"AlexisAlO, v. 6"
57,7,1,cui,cui,PROCON,7,Qux,Qux,qui,C/V\,"AlexisAlO, v. 7"
58,7,2,deus,deus,NOM:suj:masc:sg,7,N,N,dieu,C/V\,"AlexisAlO, v. 7"
59,7,3,at,at,VER:pres:3:sg,7,Vfin,Vfin,avoir,/V\,"AlexisAlO, v. 7"
60,7,4,doneit,doneit,VER:pper:masc:sg,7,Vpp,Vpp,donner,C/V\.'C/V\,"AlexisAlO, v. 7"
61,7,5,sens,sens,NOM:obj:masc:sg,7,N,N,sens,C/V\,"AlexisAlO, v. 7"
62,7,6,qu,qu,PROCON,7,Sub,Sub,que,C/\,"AlexisAlO, v. 7"
63,7,7,il,il,PRO:pers:suj:3:masc:sg:unb,7,Prn,Prn$,il,/V\,"AlexisAlO, v. 7"
64,7,8,turt,turt,VER:subp:3:sg,7,Vfin,Vfin,tourner,C/V\,"AlexisAlO, v. 7"
65,7,9,vers,vers,PRE,7,Pre,Pre,vers,C/V\,"AlexisAlO, v. 7"
66,7,10,moi,moi,PRO:pers:obj:1:sg:bet,7,Prn,Prn,moi,C/V\,"AlexisAlO, v. 7"
67,7,11,s,s,DET:poss:obj:femi:sg,7,Det,Det,son,C/\,"AlexisAlO, v. 7"
68,7,12,oïe,oïe,NOM:obj:femi:sg,7,N,N,ouïe,/V\.'C/V\./(e)\,"AlexisAlO, v. 7"
69,8,1,et,et,CON:coord,8,Crd,Crd,et,/V\,"AlexisAlO, v. 8"
70,8,2,enpoinge,enpoinge,VER:subp:3:sg,8,Vfin,Vfin,empoindre,/V\.'C/V\.C/(e)\,"AlexisAlO, v. 8"
71,8,3,son,son,DET:poss:obj:masc:sg,8,Det,Det,son,C/V\,"AlexisAlO, v. 8"
72,8,4,cuer,cuer,NOM:obj:masc:sg,8,N,N,coeur,C/V\,"AlexisAlO, v. 8"
73,8,5,a,a,PRE,8,Pre,Pre,à,/V\,"AlexisAlO, v. 8"
74,8,6,entendre,entendre,VER:infi,8,Vinf,Vinf,entendre,/V\.'C/V\.C/(e)\,"AlexisAlO, v. 8"
75,8,7,la,la,DET:def:obj:femi:sg,8,Det,Det,le,C/V\,"AlexisAlO, v. 8"
76,8,8,vie,vie,NOM:obj:femi:sg,8,N,N,vie,'C/V\./(e)\,"AlexisAlO, v. 8"
77,9,1,de,de,PRE,9,Pre,Pre,de,C/(e)\,"AlexisAlO, v. 9"
78,9,2,celui,celui,PRO:demo:obj:masc:sg,9,Dem,Dem,cil,C/V\.'C/V\,"AlexisAlO, v. 9"
79,9,3,qui,qui,PROCON,9,Qux,Qux,qui,C/V\,"AlexisAlO, v. 9"
80,9,4,por,por,PRE,9,Pre,Pre,pour,C/V\,"AlexisAlO, v. 9"
81,9,5,deu,deu,NOM:obj:masc:sg,9,N,N,dieu,C/V\,"AlexisAlO, v. 9"
82,9,6,soffrit,soffrit,VER:simp:3:sg,9,Vfin,Vfin,souffrir,C/V\.'C/V\,"AlexisAlO, v. 9"
83,9,7,tante,tante,DET:ind:obj:femi:sg,9,QIs,QIs,tant,'C/V\.C/(e)\,"AlexisAlO, v. 9"
84,9,8,hahsiere,hahsiere,NOM:obj:femi:sg,9,N,N,haschiere,C/V\.'C/V\.C/(e)\,"AlexisAlO, v. 9"
85,10,1,et,et,CON:coord,10,Crd,Crd,et,/V\,"AlexisAlO, v. 10"
86,10,2,deguerpit,deguerpit,VER:simp:3:sg,10,Vfin,Vfin,déguerpir,C/V\.C/V\.'C/V\,"AlexisAlO, v. 10"
87,10,3,en,en,PRO:clit,10,Pre,Pre,en,/V\,"AlexisAlO, v. 10"
88,10,4,romme,romme,NPR:obj:masc:sg,10,N,N,Rome,'C/V\.C/(e)\,"AlexisAlO, v. 10"
89,10,5,itant,itant,ADV,10,QIs,QIs,tant,/V\.'C/V\,"AlexisAlO, v. 10"
90,10,6,grant,grant,ADJ:obj:femi:sg,10,Adj,Adj,grand,C/V\,"AlexisAlO, v. 10"
91,10,7,seniorie,seniorie,NOM:obj:femi:sg,10,N,N,seigneurie,C/V\.C/V\.'C/V\./(e)\,"AlexisAlO, v. 10"
92,11,1,ke,ke,PROCON,11,Sub,Sub,que,C/(e)\,"AlexisAlO, v. 11"
93,11,2,vos,vos,PRO:pers:2:pl,11,Prn,Prn,vous,C/V\,"AlexisAlO, v. 11"
94,11,3,asseiz,asseiz,ADV,11,Adv,Adv,assez,/V\.'C/V\,"AlexisAlO, v. 11"
95,11,4,oreiz,oreiz,VER:futu:2:pl,11,Vfin,Vfin,ouïr,/V\.'C/V\,"AlexisAlO, v. 11"
96,11,5,mais,mais,CON:coord,11,Adv,Adv,mais,C/V\,"AlexisAlO, v. 11"
97,11,6,qu,qu,PROCON,11,Sub,Sub,que,C/\,"AlexisAlO, v. 11"
98,11,7,il,il,PRO:pers:suj:3:masc:sg:unb,11,Prn,Prn$,il,/V\,"AlexisAlO, v. 11"
99,11,8,soit,soit,VER:subp:3:sg,11,Vfin,Vfin,être,C/V\,"AlexisAlO, v. 11"
100,11,9,qui,qui,PROCON,11,Qux,Qux,qui,C/V\,"AlexisAlO, v. 11"
101,11,10,vos,vos,PRO:pers:2:pl,11,Prn,Prn$$,vous,C/V\,"AlexisAlO, v. 11"
102,11,11,die,die,VER:subp:3:sg,11,Vfin,Vfin,dire,'C/V\./(e)\,"AlexisAlO, v. 11"
103,12,1,ce,ce,PRO:invar,12,Prn,Prn$,ce,C/(e)\,"AlexisAlO, v. 12"
104,12,2,fut,fut,VER:simp:3:sg,12,Vfin,Vfin,être,C/V\,"AlexisAlO, v. 12"
105,12,3,tote,tote,DET:ind:suj:femi:sg,12,QIs,QIs,tout,'C/V\.C/(e)\,"AlexisAlO, v. 12"
106,12,4,s,s,DET:poss:suj:femi:sg,12,Det,Det,son,C/\,"AlexisAlO, v. 12"
107,12,5,entente,entente,NOM:obj:fem:sg,12,N,N,entente,/V\.'C/V\.C/(e)\,"AlexisAlO, v. 12"
108,12,6,ne,ne,PRO:clit,12,Crd,Crd,ne,C/(e)\,"AlexisAlO, v. 12"
109,12,7,il,il,PRO:pers:suj:3:masc:sg:unb,12,Prn,Prn$,il,/V\,"AlexisAlO, v. 12"
110,12,8,n,n,PRO:clit,12,Neg,Neg$$,ne,C/\,"AlexisAlO, v. 12"
111,12,9,i,i,PRO:clit,12,Prn,Prn$$,y,/V\,"AlexisAlO, v. 12"
112,12,10,falhit,falhit,VER:simp:3:sg,12,Vfin,Vfin,faillir,C/V\.'C/V\,"AlexisAlO, v. 12"
113,12,11,mie,mie,ADV,12,Neg,Neg,mie,'C/V\./(e)\,"AlexisAlO, v. 12"
114,13,1,k,k,PROCON,13,Sub,Sub,que,C/\,"AlexisAlO, v. 13"
115,13,2,il,il,PRO:pers:suj:3:masc:sg:unb,13,Prn,Prn,il,/V\,"AlexisAlO, v. 13"
116,13,3,del,del,PREDET:de:obj:masc:sg,13,Pre+Det,Pre+Det,de.le,C/V\,"AlexisAlO, v. 13"
117,13,4,regne,regne,NOM:obj:masc:sg,13,N,N,règne,'C/V\.C/(e)\,"AlexisAlO, v. 13"
118,13,5,del,del,PREDET:de:obj:masc:sg,13,Pre+Det,Pre+Det,de.le,C/V\,"AlexisAlO, v. 13"
119,13,6,ciel,ciel,NOM:obj:masc:sg,13,N,N,ciel,C/V\,"AlexisAlO, v. 13"
120,13,7,volt,volt,VER:simp:3:sg,13,Vfin,Vfin,vouloir,C/V\,"AlexisAlO, v. 13"
121,13,8,avoir,avoir,VER:infi,13,Vinf,Vinf,avoir,/V\.'C/V\,"AlexisAlO, v. 13"
122,13,9,sa,sa,DET:poss:obj:femi:sg,13,Det,Det,son,C/V\,"AlexisAlO, v. 13"
123,13,10,partie,partie,NOM:obj:femi:sg,13,N,N,partie,C/V\.'C/V\./(e)\,"AlexisAlO, v. 13"
124,14,1,primes,primes,ADV,14,Adv,Adv,prim,'C/V\.C/e\,"AlexisAlO, v. 14"
125,14,2,i,i,PRO:clit,14,Prn,Prn$$,y,/V\,"AlexisAlO, v. 14"
126,14,3,at,at,VER:pres:3:sg,14,Vfin,Vfin,avoir,/V\,"AlexisAlO, v. 14"
127,14,4,sa,sa,DET:poss:obj:femi:sg,14,Det,Det,son,C/V\,"AlexisAlO, v. 14"
128,14,5,porte,porte,NOM:obj:femi:sg,14,N,N,porte,'C/V\.C/(e)\,"AlexisAlO, v. 14"
129,14,6,et,et,CON:coord,14,Crd,Crd,et,/V\,"AlexisAlO, v. 14"
130,14,7,sa,sa,DET:poss:obj:femi:sg,14,Det,Det,son,C/V\,"AlexisAlO, v. 14"
131,14,8,vie,vie,NOM:obj:femi:sg,14,N,N,vie,'C/V\./(e)\,"AlexisAlO, v. 14"
132,14,9,establie,establie,VER:pper:femi:sg,14,Vpp,Vpp,établir,/V\.C/V\.'C/V\./(e)\,"AlexisAlO, v. 14"
133,15,1,et,et,CON:coord,15,Crd,Crd,et,/V\,"AlexisAlO, v. 15"
134,15,2,sa,sa,DET:poss:obj:femi:sg,15,Det,Det,son,C/V\,"AlexisAlO, v. 15"
135,15,3,lanterne,lanterne,NOM:obj:femi:sg,15,N,N,lanterne,C/V\.'C/V\.C/(e)\,"AlexisAlO, v. 15"
136,15,4,ardant,ardant,VER:ppre,15,Vprs,Vprs,ardre,/V\.'C/V\,"AlexisAlO, v. 15"
137,15,5,el,el,PREDET:en:obj:masc:sg,15,Pre+Det,Pre+Det,en.le,/V\,"AlexisAlO, v. 15"
138,15,6,chemin,chemin,NOM:obj:masc:sg,15,N,N,chemin,C/V\.'C/V\,"AlexisAlO, v. 15"
139,15,7,esnolie,esnolie,VER:pper:femi:sg,15,Vpp,Vpp,enhuiler,/V\.C/V\.'C/V\./(e)\,"AlexisAlO, v. 15"
140,16,1,q,q,PROCON,17,Sub,Sub,que,C/\,"AlexisAlO, v. 17"
141,16,2,a,a,PRE,17,Pre,Pre,à,/V\,"AlexisAlO, v. 17"
142,16,3,l,l,DET:def:obj:masc:sg,17,Det,Det,le,C/\,"AlexisAlO, v. 17"
143,16,4,encontre,encontre,NOM:obj:masc:sg,17,PrA,PrA,encontre,/V\.'C/V\.C/(e)\,"AlexisAlO, v. 17"
144,16,5,l,l,DET:def:obj:masc:sg,17,Det,Det,le,C/\,"AlexisAlO, v. 17"
145,16,6,espos,espos,NOM:obj:masc:sg,17,N,N,époux,/V\.'C/V\,"AlexisAlO, v. 17"
146,16,7,li,li,PRO:pers:suj:3:masc:sg:bet,17,Prn,Prn$$,le,C/V\,"AlexisAlO, v. 17"
147,16,8,soit,soit,VER:subp:3:sg,17,Vfin,Vfin,être,C/V\,"AlexisAlO, v. 17"
148,16,9,aparilhie,aparilhie,VER:pper:femi:sg,17,Vpp,Vpp,appareiller,/V\.C/V\.C/V\.'C/V\./(e)\,"AlexisAlO, v. 17"
149,17,1,quar,quar,CON:coord,20,Crd,Crd,car,C/V\,"AlexisAlO, v. 20"
150,17,2,foiz,foiz,NOM:obj:femi:sg,20,N,N,fois,C/V\,"AlexisAlO, v. 20"
151,17,3,et,et,CON:coord,20,Crd,Crd,et,/V\,"AlexisAlO, v. 20"
152,17,4,cariteiz,cariteiz,NOM:obj:femi:sg,20,N,N,charité,C/V\.C/V\.'C/V\,"AlexisAlO, v. 20"
153,17,5,qui,qui,PROCON,20,Qux,Qux,qui,C/V\,"AlexisAlO, v. 20"
154,17,6,les,les,DET:def:obj:masc:pl,20,Det,Det,le,C/V\,"AlexisAlO, v. 20"
155,17,7,altres,altres,ADJ:obj:masc:pl,20,Adj,Adj,autre,'/V\.C/e\,"AlexisAlO, v. 20"
156,17,8,i,i,PRO:clit,20,Prn,Prn$$,y,/V\,"AlexisAlO, v. 20"
157,17,9,guie,guie,VER:pres:3:sg,20,Vfin,Vfin,guyer,'C/V\./(e)\,"AlexisAlO, v. 20"
158,18,1,tint,tint,VER:simp:3:sg,21,Vfin,Vfin,tenir,C/V\,"AlexisAlO, v. 21"
159,18,2,to,to,DET:ind:obj:masc:sg,21,Det,Det,ton,C/V\,"AlexisAlO, v. 21"
160,18,3,tens,tens,NOM:obj:masc:sg,21,N,N,temps,C/V\,"AlexisAlO, v. 21"
161,18,4,avoc,avoc,PRE,21,PrA,PrA,avec,/V\.'C/V\,"AlexisAlO, v. 21"
162,18,5,soi,soi,PRO:pers:obj:3:masc:sg:bet,21,Prn,Prn,soi,C/V\,"AlexisAlO, v. 21"
163,18,6,et,et,CON:coord,21,Crd,Crd,et,/V\,"AlexisAlO, v. 21"
164,18,7,porta,porta,VER:simp:3:sg,21,Vfin,Vfin,porter,C/V\.'C/V\,"AlexisAlO, v. 21"
165,18,8,companie,companie,NOM:obj:femi:sg,21,N,N,compagnie,C/V\.C/V\.'C/V\./(e)\,"AlexisAlO, v. 21"
166,19,1,des,des,PRE,24,Pre,Pre,dès,C/V\,"AlexisAlO, v. 24"
167,19,2,or,or,ADV,24,Adv,Adv,or,/V\,"AlexisAlO, v. 24"
168,19,3,mais,mais,CON:coord,24,Adv,Adv,mais,C/V\,"AlexisAlO, v. 24"
169,19,4,vos,vos,PRO:pers:2:pl,24,Prn,Prn$$,vous,C/V\,"AlexisAlO, v. 24"
170,19,5,diront,diront,VER:futu:3:pl,24,Vfin,Vfin,dire,C/V\.'C/V\,"AlexisAlO, v. 24"
171,19,6,ques,ques,ADJ:suj:femi:sg,24,Qux,Qux,quel,C/e\,"AlexisAlO, v. 24"
172,19,7,en,en,PRO:clit,24,Prn,Prn$$,en,/V\,"AlexisAlO, v. 24"
173,19,8,fut,fut,VER:simp:3:sg,24,Vfin,Vfin,être,C/V\,"AlexisAlO, v. 24"
174,19,9,la,la,DET:def:suj:femi:sg,24,Det,Det,le,C/V\,"AlexisAlO, v. 24"
175,19,10,finie,finie,NOM:suj:femi:sg,24,N,N,finie,C/V\.'C/V\./(e)\,"AlexisAlO, v. 24"
176,20,1,bon,bon,ADJ:obj:masc:sg,25,Adj,Adj,bon,C/V\,"AlexisAlO, v. 25"
177,20,2,exemple,exemple,NOM:obj:masc:sg,25,N,N,exemple,/V\.'C/V\.C/(e)\,"AlexisAlO, v. 25"
178,20,3,i,i,PRO:clit,25,Prn,Prn$$,y,/V\,"AlexisAlO, v. 25"
179,20,4,puet,puet,VER:pres:3:sg,25,Vfin,Vfin,pouvoir,C/V\,"AlexisAlO, v. 25"
180,20,5,prendre,prendre,VER:infi,25,Vinf,Vinf,prendre,'C/V\.C/(e)\,"AlexisAlO, v. 25"
181,20,6,cil,cil,PRO:demo:suj:masc:sg,25,Dem,Dem,cil,C/V\,"AlexisAlO, v. 25"
182,20,7,qui,qui,PROCON,25,Qux,Qux,qui,C/V\,"AlexisAlO, v. 25"
183,20,8,en,en,PRE,25,Pre,Pre,en,/V\,"AlexisAlO, v. 25"
184,20,9,deu,deu,NOM:obj:masc:sg,25,N,N,dieu,C/V\,"AlexisAlO, v. 25"
185,20,10,s,s,PROCON,25,Prn,Prn$$,se,C/\,"AlexisAlO, v. 25"
186,20,11,afie,afie,VER:pres:3:sg,25,Vfin,Vfin,affier,/V\.'C/V\./(e)\,"AlexisAlO, v. 25"
187,21,1,de,de,PRE,26,Pre,Pre,de,C/(e)\,"AlexisAlO, v. 26"
188,21,2,rome,rome,NPR:obj:masc:sg,26,N,N,Rome,'C/V\.C/(e)\,"AlexisAlO, v. 26"
189,21,3,fut,fut,VER:simp:3:sg,26,Vfin,Vfin,être,C/V\,"AlexisAlO, v. 26"
190,21,4,li,li,DET:def:suj:masc:sg,26,Det,Det,le,C/V\,"AlexisAlO, v. 26"
191,21,5,sires,sires,NOM:suj:masc:sg,26,N,N,seigneur,'C/V\.C/e\,"AlexisAlO, v. 26"
