wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma,ref
65,9,7,amours,amours,9,N,N,/V\.'C/V\,amour,"ChrPisTroisJug, v. 9"
66,9,8,qui,qui,9,Qux,Qux,C/V\,qui,"ChrPisTroisJug, v. 9"
67,9,9,blesse,blesse,9,Vfin,Vfin,'C/V\.C/(e)\,blesser,"ChrPisTroisJug, v. 9"
68,9,10,",",",",9,Pnc,Pnc,,",","ChrPisTroisJug, v. 9"
69,10,1,quieulx,quieulx,10,Qux,Qux,C/V\,quel,"ChrPisTroisJug, v. 10"
70,10,2,sont,sont,10,Vfin,Vfin,C/V\,être,"ChrPisTroisJug, v. 10"
71,10,3,les,les,10,Det,Det,C/V\,le,"ChrPisTroisJug, v. 10"
72,10,4,tours,tours,10,N,N,C/V\,tour,"ChrPisTroisJug, v. 10"
73,10,5,",",",",10,Pnc,Pnc,,",","ChrPisTroisJug, v. 10"
74,10,6,soit,soit,10,Vfin,Vfin,C/V\,être,"ChrPisTroisJug, v. 10"
75,10,7,en,en,10,Pre,Pre,/V\,en,"ChrPisTroisJug, v. 10"
76,10,8,force,force,10,N,N,'C/V\.C/(e)\,force,"ChrPisTroisJug, v. 10"
77,10,9,ou,ou,10,Crd,Crd,/V\,ou,"ChrPisTroisJug, v. 10"
78,10,10,foiblece,foiblece,10,N,N,C/V\.'C/V\.C/(e)\,faiblesse,"ChrPisTroisJug, v. 10"
79,10,11,",",",",10,Pnc,Pnc,,",","ChrPisTroisJug, v. 10"
80,11,1,pour,pour,11,Pre,Pre,C/V\,pour,"ChrPisTroisJug, v. 11"
81,11,2,ce,ce,11,Prn,Prn,C/(e)\,ce,"ChrPisTroisJug, v. 11"
82,11,3,vous,vous,11,Prn,Prn$$,C/V\,vous,"ChrPisTroisJug, v. 11"
83,11,4,ay,ay,11,Vfin,Vfin,/V\,avoir,"ChrPisTroisJug, v. 11"
84,11,5,",",",",11,Pnc,Pnc,,",","ChrPisTroisJug, v. 11"
85,11,6,chier,chier,11,Adj,Adj,C/V\,cher,"ChrPisTroisJug, v. 11"
86,11,7,sire,sire,11,N,N,'C/V\.C/(e)\,sire,"ChrPisTroisJug, v. 11"
87,11,8,",",",",11,Pnc,Pnc,,",","ChrPisTroisJug, v. 11"
88,11,9,plain,plain,11,Adj,Adj,C/V\,plein,"ChrPisTroisJug, v. 11"
89,11,10,d',d',11,Pre,Pre,C/\,de,"ChrPisTroisJug, v. 11"
90,11,11,umblece,umblece,11,N,N,/V\.'C/V\.C/(e)\,humblesse,"ChrPisTroisJug, v. 11"
91,11,12,",",",",11,Pnc,Pnc,,",","ChrPisTroisJug, v. 11"
92,12,1,esleu,esleu,12,Vpp,Vpp,/V\.C/(V)\.'/V\,élire,"ChrPisTroisJug, v. 12"
93,12,2,a,a,12,Pre,Pre,/V\,à,"ChrPisTroisJug, v. 12"
94,12,3,juge,juge,12,N,N,'C/V\.C/(e)\,juge,"ChrPisTroisJug, v. 12"
95,12,4,.,.,12,Pnc,Pnc,,.,"ChrPisTroisJug, v. 12"
96,13,1,car,car,13,Crd,Crd,C/V\,car,"ChrPisTroisJug, v. 13"
97,13,2,vo,vo,13,Det,Det,C/V\,votre,"ChrPisTroisJug, v. 13"
98,13,3,bon,bon,13,Adj,Adj,C/V\,bon,"ChrPisTroisJug, v. 13"
99,13,4,cuer,cuer,13,N,N,C/V\,coeur,"ChrPisTroisJug, v. 13"
100,13,5,bien,bien,13,Adv,Adv,C/V\,bien,"ChrPisTroisJug, v. 13"
101,13,6,sçay,sçay,13,Vfin,Vfin,C/V\,savoir,"ChrPisTroisJug, v. 13"
102,13,7,que,que,13,Sub,Sub,C/(e)\,que,"ChrPisTroisJug, v. 13"
103,13,8,le,le,13,Det,Det,C/(e)\,le,"ChrPisTroisJug, v. 13"
104,13,9,droit,droit,13,N,N,C/V\,droit,"ChrPisTroisJug, v. 13"
105,13,10,juge,juge,13,Vfin,Vfin,'C/V\.C/(e)\,juger,"ChrPisTroisJug, v. 13"
106,14,1,ou,ou,14,Qux,Qux,/V\,où,"ChrPisTroisJug, v. 14"
107,14,2,il,il,14,Prn,Prn$,/V\,il,"ChrPisTroisJug, v. 14"
108,14,3,affiert,affiert,14,Vfin,Vfin,/V\.'C/V\,afférir,"ChrPisTroisJug, v. 14"
109,14,4,;,;,14,Pnc,Pnc,,;,"ChrPisTroisJug, v. 14"
110,14,5,pour,pour,14,Pre,Pre,C/V\,pour,"ChrPisTroisJug, v. 14"
111,14,6,ce,ce,14,Prn,Prn,C/(e)\,ce,"ChrPisTroisJug, v. 14"
112,14,7,vien,vien,14,Vfin,Vfin,C/V\,venir,"ChrPisTroisJug, v. 14"
113,14,8,a,a,14,Pre,Pre,/V\,à,"ChrPisTroisJug, v. 14"
114,14,9,reffuge,reffuge,14,N,N,C/V\.'C/V\.C/(e)\,refuge,"ChrPisTroisJug, v. 14"
115,15,1,a,a,15,Pre,Pre,/V\,à,"ChrPisTroisJug, v. 15"
116,15,2,vous,vous,15,Prn,Prn,C/V\,vous,"ChrPisTroisJug, v. 15"
117,15,3,",",",",15,Pnc,Pnc,,",","ChrPisTroisJug, v. 15"
118,15,4,ainsi,ainsi,15,Adv,Adv,/V\.'C/V\,ainsi,"ChrPisTroisJug, v. 15"
119,15,5,comme,comme,15,Sub,Sub,'C/V\.C/(e)\,comme,"ChrPisTroisJug, v. 15"
120,15,6,ou,ou,15,Pre+Det,Pre+Det,/V\,en.le,"ChrPisTroisJug, v. 15"
121,15,7,temps,temps,15,N,N,C/V\,temps,"ChrPisTroisJug, v. 15"
122,15,8,du,du,15,Pre+Det,Pre+Det,C/V\,de.le,"ChrPisTroisJug, v. 15"
123,15,9,deluge,deluge,15,N,N,C/V\.'C/V\.C/(e)\,déluge,"ChrPisTroisJug, v. 15"
124,16,1,qui,qui,16,Qux,Qux,C/V\,qui,"ChrPisTroisJug, v. 16"
125,16,2,tout,tout,16,QIs,QIs,C/V\,tout,"ChrPisTroisJug, v. 16"
126,16,3,noya,noya,16,Vfin,Vfin,C/V\.'C/V\,noyer,"ChrPisTroisJug, v. 16"
127,16,4,",",",",16,Pnc,Pnc,,",","ChrPisTroisJug, v. 16"
128,17,1,le,le,17,Det,Det,C/(e)\,le,"ChrPisTroisJug, v. 17"
129,17,2,coulomb,coulomb,17,N,N,C/V\.'C/V\,colombe,"ChrPisTroisJug, v. 17"
130,17,3,blanc,blanc,17,Adj,Adj,C/V\,blanc,"ChrPisTroisJug, v. 17"
131,17,4,a,a,17,Pre,Pre,/V\,à,"ChrPisTroisJug, v. 17"
132,17,5,l',l',17,Det,Det,C/\,le,"ChrPisTroisJug, v. 17"
133,17,6,arche,arche,17,N,N,'/V\.C/(e)\,arche,"ChrPisTroisJug, v. 17"
134,17,7,s',s',17,Prn,Prn$$,C/\,se,"ChrPisTroisJug, v. 17"
135,17,8,avoya,avoya,17,Vfin,Vfin,/V\.C/V\.'C/V\,avoyer,"ChrPisTroisJug, v. 17"
136,17,9,",",",",17,Pnc,Pnc,,",","ChrPisTroisJug, v. 17"
137,18,1,la,la,18,Adv,Adv,C/V\,là,"ChrPisTroisJug, v. 18"
138,18,2,attendi,attendi,18,Vfin,Vfin,/V\.C/V\.'C/V\,attendre,"ChrPisTroisJug, v. 18"
139,18,3,tant,tant,18,QIs,QIs,C/V\,tant,"ChrPisTroisJug, v. 18"
140,18,4,que,que,18,Sub,Sub,C/(e)\,que,"ChrPisTroisJug, v. 18"
141,18,5,souleil,souleil,18,N,N,C/V\.'C/V\,soleil,"ChrPisTroisJug, v. 18"
142,18,6,roya,roya,18,Vfin,Vfin,C/V\.'C/V\,rayer2,"ChrPisTroisJug, v. 18"
143,18,7,;,;,18,Pnc,Pnc,,;,"ChrPisTroisJug, v. 18"
144,19,1,auques,auques,19,Adv,Adv,'/V\.C/e\,auques,"ChrPisTroisJug, v. 19"
145,19,2,ainsi,ainsi,19,Adv,Adv,/V\.'C/V\,ainsi,"ChrPisTroisJug, v. 19"
146,19,3,mon,mon,19,Det,Det,C/V\,mon,"ChrPisTroisJug, v. 19"
147,19,4,cuer,cuer,19,N,N,C/V\,coeur,"ChrPisTroisJug, v. 19"
148,19,5,celle,celle,19,Dem,Dem,'C/V\.C/(e)\,cil,"ChrPisTroisJug, v. 19"
149,19,6,voye,voye,19,N,N,'C/V\./(e)\,voie,"ChrPisTroisJug, v. 19"
150,19,7,a,a,19,Vfin,Vfin,/V\,avoir,"ChrPisTroisJug, v. 19"
151,20,1,prise,prise,20,Vpp,Vpp,'C/V\.C/(e)\,prendre,"ChrPisTroisJug, v. 20"
152,20,2,sans,sans,20,Pre,Pre,C/V\,sans,"ChrPisTroisJug, v. 20"
153,20,3,faille,faille,20,N,N,'C/V\.C/(e)\,faille,"ChrPisTroisJug, v. 20"
154,20,4,",",",",20,Pnc,Pnc,,",","ChrPisTroisJug, v. 20"
155,21,1,pour,pour,21,Pre,Pre,C/V\,pour,"ChrPisTroisJug, v. 21"
156,21,2,le,le,21,Det,Det,C/(e)\,le,"ChrPisTroisJug, v. 21"
157,21,3,debat,debat,21,N,N,C/V\.'C/V\,débat,"ChrPisTroisJug, v. 21"
158,21,4,de,de,21,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 21"
159,21,5,certaine,certaine,21,Adj,Adj,C/V\.'C/V\.C/(e)\,certain,"ChrPisTroisJug, v. 21"
160,21,6,fermaille,fermaille,21,N,N,C/V\.'C/V\.C/(e)\,fermaille,"ChrPisTroisJug, v. 21"
161,22,1,qu',qu',22,Qux,Qux,C/\,que,"ChrPisTroisJug, v. 22"
162,22,2,aucuns,aucuns,22,QIs,QIs,/V\.'C/V\,aucun,"ChrPisTroisJug, v. 22"
163,22,3,amans,amans,22,Vprs,Vprs,/V\.'C/V\,aimer,"ChrPisTroisJug, v. 22"
164,22,4,beauls,beauls,22,Adj,Adj,C/V\,beau,"ChrPisTroisJug, v. 22"
165,22,5,de,de,22,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 22"
166,22,6,corps,corps,22,N,N,C/V\,corps,"ChrPisTroisJug, v. 22"
167,22,7,et,et,22,Crd,Crd,/V\,et,"ChrPisTroisJug, v. 22"
168,22,8,de,de,22,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 22"
169,22,9,taille,taille,22,N,N,'C/V\.C/(e)\,taille,"ChrPisTroisJug, v. 22"
170,23,1,ont,ont,23,Vfin,Vfin,/V\,avoir,"ChrPisTroisJug, v. 23"
171,23,2,ensemble,ensemble,23,Adv,Adv,/V\.'C/V\.C/(e)\,ensemble,"ChrPisTroisJug, v. 23"
172,23,3,.,.,23,Pnc,Pnc,,.,"ChrPisTroisJug, v. 23"
173,23,4,si,si,23,Adv,Adv,C/V\,si,"ChrPisTroisJug, v. 23"
174,23,5,veulent,veulent,23,Vfin,Vfin,'C/V\.C/e\,vouloir,"ChrPisTroisJug, v. 23"
175,23,6,que,que,23,Sub,Sub,C/(e)\,que,"ChrPisTroisJug, v. 23"
176,23,7,j',j',23,Prn,Prn$,C/\,je,"ChrPisTroisJug, v. 23"
177,23,8,en,en,23,Prn,Prn$$,/V\,en,"ChrPisTroisJug, v. 23"
178,23,9,taille,taille,23,Vfin,Vfin,'C/V\.C/(e)\,tailler,"ChrPisTroisJug, v. 23"
179,24,1,le,le,24,Det,Det,C/(e)\,le,"ChrPisTroisJug, v. 24"
180,24,2,court,court,24,Adj,Adj,C/V\,court,"ChrPisTroisJug, v. 24"
181,24,3,ou,ou,24,Pre+Det,Pre+Det,/V\,en.le,"ChrPisTroisJug, v. 24"
182,24,4,lonc,lonc,24,Adj,Adj,C/V\,long,"ChrPisTroisJug, v. 24"
183,24,5,",",",",24,Pnc,Pnc,,",","ChrPisTroisJug, v. 24"
184,25,1,mais,mais,25,Crd,Crd,C/V\,mais,"ChrPisTroisJug, v. 25"
185,25,2,je,je,25,Prn,Prn$,C/(e)\,je,"ChrPisTroisJug, v. 25"
186,25,3,ne,ne,25,Neg,Neg$$,C/(e)\,ne,"ChrPisTroisJug, v. 25"
187,25,4,vy,vy,25,Vfin,Vfin,C/V\,voir,"ChrPisTroisJug, v. 25"
188,25,5,tel,tel,25,Adj,Adj,C/V\,tel,"ChrPisTroisJug, v. 25"
189,25,6,cas,cas,25,N,N,C/V\,cas,"ChrPisTroisJug, v. 25"
190,25,7,advenir,advenir,25,Vinf,Vinf,/V\.C/e\.'C/V\,advenir,"ChrPisTroisJug, v. 25"
191,25,8,onq,onq,25,Adv,Adv,/V\,onques,"ChrPisTroisJug, v. 25"
192,26,1,et,et,26,Crd,Crd,/V\,et,"ChrPisTroisJug, v. 26"
193,26,2,trop,trop,26,Adv,Adv,C/V\,trop,"ChrPisTroisJug, v. 26"
194,26,3,pou,pou,26,Adv,Adv,C/V\,peu,"ChrPisTroisJug, v. 26"
195,26,4,say,say,26,Vfin,Vfin,C/V\,savoir,"ChrPisTroisJug, v. 26"
196,26,5,pour,pour,26,Pre,Pre,C/V\,pour,"ChrPisTroisJug, v. 26"
197,26,6,en,en,26,Prn,Prn,/V\,en,"ChrPisTroisJug, v. 26"
198,26,7,bien,bien,26,Adv,Adv,C/V\,bien,"ChrPisTroisJug, v. 26"
199,26,8,juger,juger,26,Vinf,Vinf,C/V\.'C/V\,juger,"ChrPisTroisJug, v. 26"
200,26,9,",",",",26,Pnc,Pnc,,",","ChrPisTroisJug, v. 26"
201,26,10,donc,donc,26,Adv,Adv,C/V\,donc,"ChrPisTroisJug, v. 26"
