wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
48,10,1,del,del,PREDET:de:obj:masc:sg,10,Pre+Det,Pre+Det,de.le,C/V\,"ComtePoit, v. 10"
49,10,2,tot,tot,PRO:ind:obj:masc:sg,10,QIs,QIs,tout,C/V\,"ComtePoit, v. 10"
50,10,3,passa,passa,VER:simp:3:sg,10,Vfin,Vfin,passer,C/V\.'C/V\,"ComtePoit, v. 10"
51,10,4,pepins,pepins,NPR:suj:masc:sg,10,N,N,Pépin,C/V\.'C/V\,"ComtePoit, v. 10"
52,10,5,li,li,DET:def:suj:masc:sg,10,Det,Det,le,C/V\,"ComtePoit, v. 10"
53,10,6,nains,nains,NOM:suj:masc:sg,10,N,N,nain,C/V\,"ComtePoit, v. 10"
54,11,1,qui,qui,PROCON,11,Qux,Qux,qui,C/V\,"ComtePoit, v. 11"
55,11,2,n,n,PRO:clit,11,Neg,Neg$$,ne,C/\,"ComtePoit, v. 11"
56,11,3,ot,ot,VER:simp:3:sg,11,Vfin,Vfin,avoir,/V\,"ComtePoit, v. 11"
57,11,4,que,que,PROCON,11,Sub,Sub,que,C/(e)\,"ComtePoit, v. 11"
58,11,5,trois,trois,ADJ:card,11,QIs,QIs,trois,C/V\,"ComtePoit, v. 11"
59,11,6,piés,piés,NOM:obj:masc:pl,11,N,N,pied,C/V\,"ComtePoit, v. 11"
60,11,7,et,et,CON:coord,11,Crd,Crd,et,/V\,"ComtePoit, v. 11"
61,11,8,demi,demi,ADJ:obj:masc:sg,11,Adj,Adj,demi,C/V\.'C/V\,"ComtePoit, v. 11"
62,12,1,a,a,PRE,12,Pre,Pre,à,/V\,"ComtePoit, v. 12"
63,12,2,paris,paris,NPR:obj:masc:sg,12,N,N,Paris,C/V\.'C/V\,"ComtePoit, v. 12"
64,12,3,le,le,DET:def:obj:masc:sg,12,Det,Det,le,C/(e)\,"ComtePoit, v. 12"
65,12,4,lion,lion,NOM:obj:masc:sg,12,N,N,lion,C/V\.'C/V\,"ComtePoit, v. 12"
66,12,5,vainqui,vainqui,VER:simp:3:sg,12,Vfin,Vfin,vaincre,C/V\.'C/V\,"ComtePoit, v. 12"
67,13,1,onques,onques,ADV,13,Adv,Adv,onques,'/V\.C/e\,"ComtePoit, v. 13"
68,13,2,por,por,PRE,13,Pre,Pre,pour,C/V\,"ComtePoit, v. 13"
69,13,3,cop,cop,NOM:obj:masc:sg,13,N,N,coup,C/V\,"ComtePoit, v. 13"
70,13,4,de,de,PRE,13,Pre,Pre,de,C/(e)\,"ComtePoit, v. 13"
71,13,5,chevalier,chevalier,NOM:obj:masc:sg,13,N,N,chevalier,C/V\.C/V\.'C/V\,"ComtePoit, v. 13"
72,14,1,ne,ne,PRO:clit,14,Neg,Neg$$,ne,C/(e)\,"ComtePoit, v. 14"
73,14,2,guerpi,guerpi,VER:simp:3:sg,14,Vfin,Vfin,guerpir,C/V\.'C/V\,"ComtePoit, v. 14"
74,14,3,sele,sele,NOM:obj:femi:sg,14,N,N,selle,'C/V\.C/(e)\,"ComtePoit, v. 14"
75,14,4,ne,ne,PROCON,14,Crd,Crd,ne2,C/(e)\,"ComtePoit, v. 14"
76,14,5,estrier,estrier,NOM:obj:masc:sg,14,N,N,étrier,/V\.'C/V\,"ComtePoit, v. 14"
77,15,1,entre,entre,PRE,15,PrA,PrA,entre,'/V\.C/(e)\,"ComtePoit, v. 15"
78,15,2,les,les,DET:def:obj:masc:pl,15,Det,Det,le,C/V\,"ComtePoit, v. 15"
79,15,3,pors,pors,NOM:obj:masc:pl,15,N,N,port,C/V\,"ComtePoit, v. 15"
80,15,4,de,de,PRE,15,Pre,Pre,de,C/(e)\,"ComtePoit, v. 15"
81,15,5,panpelune,panpelune,NPR:obj:masc:sg,15,N,N,Pampelune,C/V\.C/e\.'C/V\.C/(e)\,"ComtePoit, v. 15"
82,16,1,par,par,PRE,16,Pre,Pre,par,C/V\,"ComtePoit, v. 16"
83,16,2,nuit,nuit,NOM:obj:femi:sg,16,N,N,nuit,C/V\,"ComtePoit, v. 16"
84,16,3,si,si,PROCON,16,Adv,Adv,si4,C/V\,"ComtePoit, v. 16"
85,16,4,con,con,CON:subord,16,Sub,Sub,comme,C/V\,"ComtePoit, v. 16"
86,16,5,luisoit,luisoit,VER:impf:3:sg,16,Vfin,Vfin,luire,C/V\.'C/V\,"ComtePoit, v. 16"
87,16,6,la,la,DET:def:suj:femi:sg,16,Det,Det,le,C/V\,"ComtePoit, v. 16"
88,16,7,lune,lune,NOM:suj:femi:sg,16,N,N,lune,'C/V\.C/(e)\,"ComtePoit, v. 16"
89,17,1,ocist,ocist,VER:simp:3:sg,17,Vfin,Vfin,occire,/V\.'C/V\,"ComtePoit, v. 17"
90,17,2,quatre,quatre,ADJ:card,17,QIs,QIs,quatre,'C/V\.C/(e)\,"ComtePoit, v. 17"
91,17,3,freres,freres,NOM:obj:masc:pl,17,N,N,frère,'C/V\.C/e\,"ComtePoit, v. 17"
92,17,4,gaians,gaians,NOM:obj:masc:pl,17,N,N,géant,C/V\.'C/V\,"ComtePoit, v. 17"
93,18,1,encor,encor,ADV,18,Adv,Adv,encore,/V\.'C/V\,"ComtePoit, v. 18"
94,18,2,pert,pert,VER:pres:3:sg,18,Vfin,Vfin,paroir,C/V\,"ComtePoit, v. 18"
95,18,3,lés,lés,PRE,18,Pre,Pre,lez,C/V\,"ComtePoit, v. 18"
96,18,4,les,les,DET:def:obj:masc:pl,18,Det,Det,le,C/V\,"ComtePoit, v. 18"
97,18,5,desrubans,desrubans,NOM:obj:masc:pl,18,N,N,desrubant,C/V\.C/V\.'C/V\,"ComtePoit, v. 18"
98,19,1,par,par,PRE,19,Pre,Pre,par,C/V\,"ComtePoit, v. 19"
99,19,2,ou,ou,PROCON,19,Qux,Qux,où,/V\,"ComtePoit, v. 19"
100,19,3,taillefers,taillefers,NPR:suj:masc:sg,19,N,N,Taillefer,C/V\.C/e\.'C/V\,"ComtePoit, v. 19"
101,19,4,s,s,PROCON,19,Prn,Prn$$,se,C/\,"ComtePoit, v. 19"
102,19,5,en,en,PRO:clit,19,Prn,Prn$$,en2,/V\,"ComtePoit, v. 19"
103,19,6,ala,ala,VER:simp:3:sg,19,Vfin,Vfin,aller,/V\.'C/V\,"ComtePoit, v. 19"
104,20,1,li,li,DET:def:suj:masc:sg,20,Det,Det,le,C/V\,"ComtePoit, v. 20"
105,20,2,bons,bons,ADJ:suj:masc:sg,20,Adj,Adj,bon,C/V\,"ComtePoit, v. 20"
106,20,3,cevaus,cevaus,NOM:suj:masc:sg,20,N,N,cheval,C/V\.'C/V\,"ComtePoit, v. 20"
107,20,4,qui,qui,PROCON,20,Qux,Qux,qui,C/V\,"ComtePoit, v. 20"
108,20,5,li,li,PRO:pers:suj:3:masc:sg:bet,20,Prn,Prn$$,li,C/V\,"ComtePoit, v. 20"
109,20,6,dona,dona,VER:simp:3:sg,20,Vfin,Vfin,donner,C/V\.'C/V\,"ComtePoit, v. 20"
110,21,1,grains,grains,NPR:suj:masc:sg,21,N,N,grain,C/V\,"ComtePoit, v. 21"
111,21,2,d',d',PRE,21,Pre,Pre,de,C/\,"ComtePoit, v. 21"
112,21,3,or,or,NOM:obj:masc:sg,21,N,N,or,/V\,"ComtePoit, v. 21"
113,21,4,li,li,DET:def:suj:masc:sg,21,Det,Det,le,C/V\,"ComtePoit, v. 21"
114,21,5,fix,fix,NOM:suj:masc:sg,21,N,N,fils,C/V\,"ComtePoit, v. 21"
115,21,6,de,de,PRE,21,Pre,Pre,de,C/(e)\,"ComtePoit, v. 21"
116,21,7,sa,sa,DET:poss:obj:femi:sg,21,Det,Det,son4,C/V\,"ComtePoit, v. 21"
117,21,8,seror,seror,NOM:obj:femi:sg,21,N,N,soeur,C/V\.'C/V\,"ComtePoit, v. 21"
118,22,1,cent,cent,ADJ:card,22,QIs,QIs,cent,C/V\,"ComtePoit, v. 22"
119,22,2,liues,liues,NOM:obj:femi:pl,22,N,N,lieue,'C/V\./e\,"ComtePoit, v. 22"
120,22,3,coroit,coroit,VER:impf:3:sg,22,Vfin,Vfin,courir,C/V\.'C/V\,"ComtePoit, v. 22"
121,22,4,en,en,PRO:clit,22,Pre,Pre,en,/V\,"ComtePoit, v. 22"
122,22,5,un,un,DET:ndf:obj:masc:sg,22,QIs,QIs,un,/V\,"ComtePoit, v. 22"
123,22,6,jor,jor,NOM:obj:masc:sg,22,N,N,jour,C/V\,"ComtePoit, v. 22"
124,23,1,a,a,PRE,23,Pre,Pre,à,/V\,"ComtePoit, v. 23"
125,23,2,cel,cel,DET:demo:obj:masc:sg,23,Dem,Dem,cil,C/V\,"ComtePoit, v. 23"
126,23,3,tans,tans,NOM:obj:masc:sg,23,N,N,temps,C/V\,"ComtePoit, v. 23"
127,23,4,que,que,PROCON,23,Qux,Qux,que,C/(e)\,"ComtePoit, v. 23"
128,23,5,pepins,pepins,NPR:suj:masc:sg,23,N,N,Pépin,C/V\.'C/V\,"ComtePoit, v. 23"
129,23,6,regna,regna,VER:simp:3:sg,23,Vfin,Vfin,régner,C/V\.'C/V\,"ComtePoit, v. 23"
130,24,1,quatre,quatre,ADJ:card,24,QIs,QIs,quatre,'C/V\.C/(e)\,"ComtePoit, v. 24"
131,24,2,roiaumes,roiaumes,NOM:obj:masc:pl,24,N,N,royaume,C/V\.'C/V\.C/e\,"ComtePoit, v. 24"
132,24,3,conquesta,conquesta,VER:simp:3:sg,24,Vfin,Vfin,conquêter,C/V\.C/V\.'C/V\,"ComtePoit, v. 24"
133,25,1,trois,trois,ADJ:card,25,QIs,QIs,trois,C/V\,"ComtePoit, v. 25"
134,25,2,duceés,duceés,NOM:obj:femi:pl,25,N,N,ducheé,C/V\.C/(V)\.'/V\,"ComtePoit, v. 25"
135,25,3,et,et,CON:coord,25,Crd,Crd,et,/V\,"ComtePoit, v. 25"
136,25,4,contés,contés,NOM:obj:femi:pl,25,N,N,comté,C/V\.'C/V\,"ComtePoit, v. 25"
137,25,5,sis,sis,ADJ:card,25,QIs,QIs,six,C/V\,"ComtePoit, v. 25"
138,26,1,un,un,DET:ndf:obj:masc:sg,26,QIs,QIs,un,/V\,"ComtePoit, v. 26"
139,26,2,jor,jor,NOM:obj:masc:sg,26,N,N,jour,C/V\,"ComtePoit, v. 26"
140,26,3,tint,tint,VER:simp:3:sg,26,Vfin,Vfin,tenir,C/V\,"ComtePoit, v. 26"
141,26,4,sa,sa,DET:poss:obj:femi:sg,26,Det,Det,son4,C/V\,"ComtePoit, v. 26"
142,26,5,cort,cort,NOM:obj:femi:sg,26,N,N,cour,C/V\,"ComtePoit, v. 26"
143,26,6,a,a,PRE,26,Pre,Pre,à,/V\,"ComtePoit, v. 26"
144,26,7,paris,paris,NPR:obj:masc:sg,26,N,N,Paris,C/V\.'C/V\,"ComtePoit, v. 26"
145,27,1,tot,tot,PRO:ind:obj:masc:sg,27,QIs,QIs,tout,C/V\,"ComtePoit, v. 27"
146,27,2,si,si,PROCON,27,Adv,Adv,si4,C/V\,"ComtePoit, v. 27"
