wd_id,line_id,linewd,word,lemma,lex_id,textlineid,syntag,syntag2,syllabified,ref
1,1,1,renommee,renommée,renommee,25,N,N,C/V\.C/V\.'C/V\./(e)\,"MolinetJudHoloph, v. 25"
2,1,2,par,par,par,25,Pre,Pre,C/V\,"MolinetJudHoloph, v. 25"
3,1,3,fais,fait,fais,25,N,N,C/V\,"MolinetJudHoloph, v. 25"
4,1,4,eureux,heureux,eureux,25,Adj,Adj,/(V)\./V\.'C/V\,"MolinetJudHoloph, v. 25"
5,1,5,",",",",",",25,Pnc,Pnc,,"MolinetJudHoloph, v. 25"
6,2,1,quant,quand,quant,26,Sub,Sub,C/V\,"MolinetJudHoloph, v. 26"
7,2,2,nous,nous,nous,26,Prn,Prn$,C/V\,"MolinetJudHoloph, v. 26"
8,2,3,avons,avoir,avons,26,Vfin,Vfin,/V\.'C/V\,"MolinetJudHoloph, v. 26"
9,2,4,ce,ce,ce,26,Dem,Dem,C/(e)\,"MolinetJudHoloph, v. 26"
10,2,5,maleureux,malheureux,maleureux,26,Adj,Adj,C/V\.C/(V)\./V\.'C/V\,"MolinetJudHoloph, v. 26"
11,3,1,arphaxat,Arphazat,arphaxat,27,N,N,/V\.C/V\.'C/V\,"MolinetJudHoloph, v. 27"
12,3,2,du,de.le,du,27,Pre+Det,Pre+Det,C/V\,"MolinetJudHoloph, v. 27"
13,3,3,tout,tout,tout,27,QIs,QIs,C/V\,"MolinetJudHoloph, v. 27"
14,3,4,desconfit,déconfire,desconfit,27,Vpp,Vpp,C/V\.C/V\.'C/V\,"MolinetJudHoloph, v. 27"
15,3,5,",",",",",",27,Pnc,Pnc,,"MolinetJudHoloph, v. 27"
16,4,1,et,et,et,28,Crd,Crd,/V\,"MolinetJudHoloph, v. 28"
17,4,2,par,par,par,28,Pre,Pre,C/V\,"MolinetJudHoloph, v. 28"
18,4,3,conduit,conduit,conduit,28,N,N,C/V\.'C/V\,"MolinetJudHoloph, v. 28"
19,4,4,chevalereux,chevalereux,chevalereux,28,Adj,Adj,C/V\.C/V\.C/e\.'C/V\,"MolinetJudHoloph, v. 28"
20,5,1,son,son,son,29,Det,Det,C/V\,"MolinetJudHoloph, v. 29"
21,5,2,royaulme,royaume,royaulme,29,N,N,C/V\.'C/V\.C/(e)\,"MolinetJudHoloph, v. 29"
22,5,3,craintif,craintif,craintif,29,Adj,Adj,C/V\.'C/V\,"MolinetJudHoloph, v. 29"
23,5,4,",",",",",",29,Pnc,Pnc,,"MolinetJudHoloph, v. 29"
24,5,5,paoureux,peureux,paoureux,29,Adj,Adj,C/(V)\./V\.'C/V\,"MolinetJudHoloph, v. 29"
25,5,6,",",",",",",29,Pnc,Pnc,,"MolinetJudHoloph, v. 29"
26,6,1,s',se,s',30,Prn,Prn$$,C/\,"MolinetJudHoloph, v. 30"
27,6,2,est,être,est,30,Vfin,Vfin,/V\,"MolinetJudHoloph, v. 30"
28,6,3,rendu,rendre,rendu,30,Vpp,Vpp,C/V\.'C/V\,"MolinetJudHoloph, v. 30"
29,6,4,sans,sans,sans,30,Pre,Pre,C/V\,"MolinetJudHoloph, v. 30"
30,6,5,nul,nul,nul,30,QIs,QIs,C/V\,"MolinetJudHoloph, v. 30"
31,6,6,contredit,contredit,contredit,30,N,N,C/V\.C/e\.'C/V\,"MolinetJudHoloph, v. 30"
32,6,7,.,.,.,30,Pnc,Pnc,,"MolinetJudHoloph, v. 30"
33,7,1,tout,tout,tout,31,QIs,QIs,C/V\,"MolinetJudHoloph, v. 31"
34,7,2,obeist,obéir,obeist,31,Vfin,Vfin,/V\.C/(V)\.'/V\,"MolinetJudHoloph, v. 31"
35,7,3,a,à,a,31,Pre,Pre,/V\,"MolinetJudHoloph, v. 31"
36,7,4,nostre,notre,nostre,31,Det,Det,'C/V\.C/(e)\,"MolinetJudHoloph, v. 31"
37,7,5,esdit,édit,esdit,31,N,N,/V\.'C/V\,"MolinetJudHoloph, v. 31"
38,7,6,.,.,.,31,Pnc,Pnc,,"MolinetJudHoloph, v. 31"
39,8,1,sur,sur,sur,32,PrA,PrA,C/V\,"MolinetJudHoloph, v. 32"
40,8,2,tous,tous,tous,32,QIs,QIs,C/V\,"MolinetJudHoloph, v. 32"
41,8,3,vivans,vivre,vivans,32,Vprs,Vprs,C/V\.'C/V\,"MolinetJudHoloph, v. 32"
42,8,4,avons,avoir,avons,32,Vfin,Vfin,/V\.'C/V\,"MolinetJudHoloph, v. 32"
43,8,5,credit,crédit,credit,32,N,N,C/V\.'C/V\,"MolinetJudHoloph, v. 32"
44,8,6,;,;,;,32,Pnc,Pnc,,"MolinetJudHoloph, v. 32"
45,9,1,ninive,Ninive,ninive,33,N,N,C/V\.'C/V\.C/(e)\,"MolinetJudHoloph, v. 33"
46,9,2,bruit,bruir,bruit,33,Vfin,Vfin,C/V\,"MolinetJudHoloph, v. 33"
47,9,3,par,par,par,33,Pre,Pre,C/V\,"MolinetJudHoloph, v. 33"
48,9,4,exellence,excellence,exellence,33,N,N,/V\.C/V\.'C/V\.C/(e)\,"MolinetJudHoloph, v. 33"
49,9,5,.,.,.,33,Pnc,Pnc,,"MolinetJudHoloph, v. 33"
50,10,1,nul,nul,nul,34,QIs,QIs,C/V\,"MolinetJudHoloph, v. 34"
51,10,2,n',ne,n',34,Neg,Neg$$,C/\,"MolinetJudHoloph, v. 34"
52,10,3,est,être,est,34,Vfin,Vfin,/V\,"MolinetJudHoloph, v. 34"
53,10,4,contre,contre,contre,34,PrA,PrA,'C/V\.C/(e)\,"MolinetJudHoloph, v. 34"
54,10,5,nostre,notre,nostre,34,Det,Det,'C/V\.C/(e)\,"MolinetJudHoloph, v. 34"
55,10,6,intendit,intendit,intendit,34,N,N,/V\.C/V\.'C/V\,"MolinetJudHoloph, v. 34"
56,10,7,.,.,.,34,Pnc,Pnc,,"MolinetJudHoloph, v. 34"
57,11,1,avant,avant,avant,35,PrA,PrA,/V\.'C/V\,"MolinetJudHoloph, v. 35"
58,11,2,",",",",",",35,Pnc,Pnc,,"MolinetJudHoloph, v. 35"
59,11,3,seigneurs,seigneur,seigneurs,35,N,N,C/V\.'C/V\,"MolinetJudHoloph, v. 35"
60,11,4,!,!,!,35,Pnc,Pnc,,"MolinetJudHoloph, v. 35"
61,11,5,qu',que,qu',35,Qux,Qux,C/\,"MolinetJudHoloph, v. 35"
62,11,6,esse,être.ce,esse,35,Vfin+Prn,Vfin+Prn,'/V\.C/(e)\,"MolinetJudHoloph, v. 35"
63,11,7,qu',que,qu',35,Qux,Qux,C/\,"MolinetJudHoloph, v. 35"
64,11,8,on,on,on,35,Prn,Prn$,/V\,"MolinetJudHoloph, v. 35"
65,11,9,dit,dire,dit,35,Vfin,Vfin,C/V\,"MolinetJudHoloph, v. 35"
66,11,10,?,?,?,35,Pnc,Pnc,,"MolinetJudHoloph, v. 35"
67,12,1,ne,ne,ne,36,Neg,Neg$$,C/(e)\,"MolinetJudHoloph, v. 36"
68,12,2,fait,faire,fait,36,Vfin,Vfin,C/V\,"MolinetJudHoloph, v. 36"
69,12,3,pas,pas,pas,36,Neg,Neg,C/V\,"MolinetJudHoloph, v. 36"
70,12,4,tout,tout,tout,36,QIs,QIs,C/V\,"MolinetJudHoloph, v. 36"
71,12,5,obeissance,obéissance,obeissance,36,N,N,/V\.C/(V)\./V\.'C/V\.C/(e)\,"MolinetJudHoloph, v. 36"
72,12,6,?,?,?,36,Pnc,Pnc,,"MolinetJudHoloph, v. 36"
73,13,1,ung,un,ung,37,QIs,QIs,/V\,"MolinetJudHoloph, v. 37"
74,13,2,chacun,chacun,chacun,37,QIs,QIs,C/V\.'C/V\,"MolinetJudHoloph, v. 37"
75,13,3,craint,craindre,craint,37,Vfin,Vfin,C/V\,"MolinetJudHoloph, v. 37"
76,13,4,vostre,votre,vostre,37,Det,Det,'C/V\.C/(e)\,"MolinetJudHoloph, v. 37"
77,13,5,puissance,puissance,puissance,37,N,N,C/V\.'C/V\.C/(e)\,"MolinetJudHoloph, v. 37"
78,13,6,",",",",",",37,Pnc,Pnc,,"MolinetJudHoloph, v. 37"
79,14,1,noble,noble,noble,38,Adj,Adj,'C/V\.C/(e)\,"MolinetJudHoloph, v. 38"
80,14,2,roy,roi,roy,38,N,N,C/V\,"MolinetJudHoloph, v. 38"
81,14,3,de,de,de,38,Pre,Pre,C/(e)\,"MolinetJudHoloph, v. 38"
82,14,4,nom,nom,nom,38,N,N,C/V\,"MolinetJudHoloph, v. 38"
83,14,5,immortel,immortel,immortel,38,Adj,Adj,/V\.C/V\.'C/V\,"MolinetJudHoloph, v. 38"
84,14,6,.,.,.,38,Pnc,Pnc,,"MolinetJudHoloph, v. 38"
85,15,1,tout,tout,tout,39,QIs,QIs,C/V\,"MolinetJudHoloph, v. 39"
86,15,2,pouoir,pouvoir,pouoir,39,N,N,C/V\.'C/V\,"MolinetJudHoloph, v. 39"
87,15,3,gist,gésir,gist,39,Vfin,Vfin,C/V\,"MolinetJudHoloph, v. 39"
88,15,4,en,en,en,39,Pre,Pre,/V\,"MolinetJudHoloph, v. 39"
89,15,5,impuissance,impuissance,impuissance,39,N,N,/V\.C/V\.'C/V\.C/(e)\,"MolinetJudHoloph, v. 39"
90,16,1,envers,envers,envers,40,PrA,PrA,/V\.'C/V\,"MolinetJudHoloph, v. 40"
91,16,2,vous,vous,vous,40,Prn,Prn,C/V\,"MolinetJudHoloph, v. 40"
92,16,3,par,par,par,40,Pre,Pre,C/V\,"MolinetJudHoloph, v. 40"
93,16,4,vostre,votre,vostre,40,Det,Det,'C/V\.C/(e)\,"MolinetJudHoloph, v. 40"
94,16,5,mors,mors,mors,40,N,N,C/V\,"MolinetJudHoloph, v. 40"
95,16,6,tel,tel,tel,40,Adj,Adj,C/V\,"MolinetJudHoloph, v. 40"
96,16,7,.,.,.,40,Pnc,Pnc,,"MolinetJudHoloph, v. 40"
97,17,1,point,point,point,41,Neg,Neg,C/V\,"MolinetJudHoloph, v. 41"
98,17,2,ne,ne,ne,41,Neg,Neg$$,C/(e)\,"MolinetJudHoloph, v. 41"
99,17,3,croy,croire,croy,41,Vfin,Vfin,C/V\,"MolinetJudHoloph, v. 41"
100,17,4,que,que,que,41,Sub,Sub,C/(e)\,"MolinetJudHoloph, v. 41"
101,17,5,soyez,être,soyez,41,Vfin,Vfin,C/V\.'C/V\,"MolinetJudHoloph, v. 41"
102,17,6,mortel,mortel,mortel,41,Adj,Adj,C/V\.'C/V\,"MolinetJudHoloph, v. 41"
103,17,7,",",",",",",41,Pnc,Pnc,,"MolinetJudHoloph, v. 41"
104,18,1,mais,mais,mais,42,Crd,Crd,C/V\,"MolinetJudHoloph, v. 42"
105,18,2,ung,un,ung,42,QIs,QIs,/V\,"MolinetJudHoloph, v. 42"
106,18,3,dieu,dieu,dieu,42,N,N,C/V\,"MolinetJudHoloph, v. 42"
107,18,4,en,en,en,42,Pre,Pre,/V\,"MolinetJudHoloph, v. 42"
108,18,5,terre,terre,terre,42,N,N,'C/V\.C/(e)\,"MolinetJudHoloph, v. 42"
109,18,6,trasmis,tramettre,trasmis,42,Vpp,Vpp,C/V\.'C/V\,"MolinetJudHoloph, v. 42"
110,18,7,.,.,.,42,Pnc,Pnc,,"MolinetJudHoloph, v. 42"
111,19,1,holofernés,Holopherne,holofernés,43,N,N,C/V\.C/V\.C/V\.'C/V\,"MolinetJudHoloph, v. 43"
112,19,2,",",",",",",43,Pnc,Pnc,,"MolinetJudHoloph, v. 43"
113,19,3,en,en,en,43,Pre,Pre,/V\,"MolinetJudHoloph, v. 43"
114,19,4,nostre,notre,nostre,43,Det,Det,'C/V\.C/(e)\,"MolinetJudHoloph, v. 43"
115,19,5,hostel,hôtel,hostel,43,N,N,/V\.'C/V\,"MolinetJudHoloph, v. 43"
116,20,1,sur,sur,sur,44,PrA,PrA,C/V\,"MolinetJudHoloph, v. 44"
117,20,2,tous,tous,tous,44,QIs,QIs,C/V\,"MolinetJudHoloph, v. 44"
118,20,3,estez,être,estez,44,Vfin,Vfin,/V\.'C/V\,"MolinetJudHoloph, v. 44"
119,20,4,de,de,de,44,Pre,Pre,C/(e)\,"MolinetJudHoloph, v. 44"
120,20,5,noz,nous,noz,44,Prn,Prn,C/V\,"MolinetJudHoloph, v. 44"
121,20,6,amis,ami,amis,44,N,N,/V\.'C/V\,"MolinetJudHoloph, v. 44"
122,20,7,.,.,.,44,Pnc,Pnc,,"MolinetJudHoloph, v. 44"
123,21,1,du,de.le,du,45,Pre+Det,Pre+Det,C/V\,"MolinetJudHoloph, v. 45"
124,21,2,tout,tout,tout,45,QIs,QIs,C/V\,"MolinetJudHoloph, v. 45"
125,21,3,le,le,le,45,Det,Det,C/(e)\,"MolinetJudHoloph, v. 45"
126,21,4,royaulme,royaume,royaulme,45,N,N,C/V\.'C/V\.C/(e)\,"MolinetJudHoloph, v. 45"
127,21,5,avez,avoir,avez,45,Vfin,Vfin,/V\.'C/V\,"MolinetJudHoloph, v. 45"
128,21,6,mis,mettre,mis,45,Vpp,Vpp,C/V\,"MolinetJudHoloph, v. 45"
129,22,1,de,de,de,46,Pre,Pre,C/(e)\,"MolinetJudHoloph, v. 46"
130,22,2,medee,Medée,medee,46,N,N,C/V\.'C/V\./(e)\,"MolinetJudHoloph, v. 46"
131,22,3,soubz,sous,soubz,46,PrA,PrA,C/V\,"MolinetJudHoloph, v. 46"
