wd_id,line_id,linewd,word,lex_id,lemma,textlineid,syntag,syntag2,syllabified,ref
66,11,2,cele,cele,cil,5529,Dem,Dem,'C/V\.C/(e)\,"GautArrEr, v. 5529"
67,11,3,gent,gent,gent,5529,N,N,C/V\,"GautArrEr, v. 5529"
68,11,4,menue,menue,menu,5529,Adj,Adj,C/V\.'C/V\./(e)\,"GautArrEr, v. 5529"
69,11,5,;,;,;,5529,Pnc,Pnc,,"GautArrEr, v. 5529"
70,12,1,onques,onques,onques,5530,Adv,Adv,'/V\.C/e\,"GautArrEr, v. 5530"
71,12,2,n',n',ne,5530,Neg,Neg$$,C/\,"GautArrEr, v. 5530"
72,12,3,i,i,y,5530,Prn,Prn$$,/V\,"GautArrEr, v. 5530"
73,12,4,ot,ot,avoir,5530,Vfin,Vfin,/V\,"GautArrEr, v. 5530"
74,12,5,resne,resne,rêne,5530,N,N,'C/V\.C/(e)\,"GautArrEr, v. 5530"
75,12,6,tenue,tenue,tenir,5530,Vpp,Vpp,C/V\.'C/V\./(e)\,"GautArrEr, v. 5530"
76,13,1,entreus,entreus,entruès,5531,Adv,Adv,/V\.'C/V\,"GautArrEr, v. 5531"
77,13,2,qu',qu',que,5531,Sub,Sub,C/\,"GautArrEr, v. 5531"
78,13,3,il,il,il,5531,Prn,Prn$,/V\,"GautArrEr, v. 5531"
79,13,4,vienent,vienent,venir,5531,Vfin,Vfin,'C/V\.C/e\,"GautArrEr, v. 5531"
80,13,5,a,a,à,5531,Pre,Pre,/V\,"GautArrEr, v. 5531"
81,13,6,celui,celui,cil,5531,Dem,Dem,C/V\.'C/V\,"GautArrEr, v. 5531"
82,14,1,qu',qu',que,5532,Qux,Qux,C/\,"GautArrEr, v. 5532"
83,14,2,il,il,il,5532,Prn,Prn$,/V\,"GautArrEr, v. 5532"
84,14,3,vont,vont,aller,5532,Vfin,Vfin,C/V\,"GautArrEr, v. 5532"
85,14,4,querant,querant,quérir,5532,Vprs,Vprs,C/V\.'C/V\,"GautArrEr, v. 5532"
86,14,5,",",",",",",5532,Pnc,Pnc,,"GautArrEr, v. 5532"
87,14,6,et,et,et,5532,Crd,Crd,/V\,"GautArrEr, v. 5532"
88,14,7,pres,pres,près,5532,PrA,PrA,C/V\,"GautArrEr, v. 5532"
89,14,8,de,de,de,5532,Pre,Pre,C/(e)\,"GautArrEr, v. 5532"
90,14,9,lui,lui,lui,5532,Prn,Prn,C/V\,"GautArrEr, v. 5532"
91,15,1,sont,sont,être,5533,Vfin,Vfin,C/V\,"GautArrEr, v. 5533"
92,15,2,trestout,trestout,trèstout,5533,QIs,QIs,C/V\.'C/V\,"GautArrEr, v. 5533"
93,15,3,quatre,quatre,quatre,5533,QIs,QIs,'C/V\.C/(e)\,"GautArrEr, v. 5533"
94,15,4,descendu,descendu,descendre,5533,Vpp,Vpp,C/V\.C/V\.'C/V\,"GautArrEr, v. 5533"
95,15,5,.,.,.,5533,Pnc,Pnc,,"GautArrEr, v. 5533"
96,16,1,cil,cil,cil,5534,Dem,Dem,C/V\,"GautArrEr, v. 5534"
97,16,2,qui,qui,qui,5534,Qux,Qux,C/V\,"GautArrEr, v. 5534"
98,16,3,le,le,le,5534,Det,Det,C/(e)\,"GautArrEr, v. 5534"
99,16,4,mius,mius,mieux,5534,Adv,Adv,C/V\,"GautArrEr, v. 5534"
100,16,5,a,a,avoir,5534,Vfin,Vfin,/V\,"GautArrEr, v. 5534"
101,16,6,entendu,entendu,entendre,5534,Vpp,Vpp,/V\.C/V\.'C/V\,"GautArrEr, v. 5534"
102,17,1,l',l',le,5535,Det,Det,C/\,"GautArrEr, v. 5535"
