wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
56,10,1,et,et,610,Crd,Crd,et,7s,---,/V\,"BlondNesle, chanson 6, v. 10"
57,10,2,en,en,610,Pre,Pre,en,7s,---,/V\,"BlondNesle, chanson 6, v. 10"
58,10,3,ma,ma,610,Det,Det,mon,7s,---,C/V\,"BlondNesle, chanson 6, v. 10"
59,10,4,joie,joie,610,N,N,,7s,---,'C/V\./(e)\,"BlondNesle, chanson 6, v. 10"
60,10,5,doutant,doutant,610,Vprs,Vprs,douter,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 10"
61,10,6,.,.,610,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 10"
62,11,1,maiz,maiz,611,Crd,Crd,mais,7s,---,C/V\,"BlondNesle, chanson 6, v. 11"
63,11,2,je,je,611,Prn,Prn$,je,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 11"
64,11,3,criem,criem,611,Vfin,Vfin,craindre,7s,---,C/V\,"BlondNesle, chanson 6, v. 11"
65,11,4,qu',qu',611,Sub,Sub,que,7s,---,C/\,"BlondNesle, chanson 6, v. 11"
66,11,5,autres,autres,611,Adj,Adj,autre,7s,---,'/V\.C/e\,"BlondNesle, chanson 6, v. 11"
67,11,6,ne,ne,611,Neg,Neg,ne,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 11"
68,11,7,cueille,cueille,611,Vfin,Vfin,cueillir,7s,---,'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 11"
69,12,1,ce,ce,612,Prn,Prn$,ce,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 12"
70,12,2,donc,donc,612,Qux,Qux,dont,7s,---,C/V\,"BlondNesle, chanson 6, v. 12"
71,12,3,je,je,612,Prn,Prn$,je,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 12"
72,12,4,me,me,612,Prn,Prn$$,me,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 12"
73,12,5,vois,vois,612,Vfin,Vfin,aller,7s,---,C/V\,"BlondNesle, chanson 6, v. 12"
74,12,6,hastant,hastant,612,Vprs,Vprs,hâter,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 12"
75,12,7,;,;,612,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 12"
76,13,1,mais,mais,613,Crd,Crd,mais,7s,---,C/V\,"BlondNesle, chanson 6, v. 13"
77,13,2,n',n',613,Neg,Neg,ne,7s,---,C/\,"BlondNesle, chanson 6, v. 13"
78,13,3,est,est,613,Vfin,Vfin,être,7s,---,/V\,"BlondNesle, chanson 6, v. 13"
79,13,4,droiz,droiz,613,N,Adj,droit2,7s,---,C/V\,"BlondNesle, chanson 6, v. 13"
80,13,5,qu',qu',613,Sub,Sub,que,7s,---,C/\,"BlondNesle, chanson 6, v. 13"
81,13,6,autrui,autrui,613,Adj,Adj,autrui,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 13"
82,13,7,acueille,acueille,613,Vfin,Vfin,accueillir,7s,---,/V\.'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 13"
83,13,8,",",",",613,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 13"
84,14,1,quar,quar,614,Crd,Crd,car,7s,---,C/V\,"BlondNesle, chanson 6, v. 14"
85,14,2,nus,nus,614,QIs,QIs,nul,7s,---,C/V\,"BlondNesle, chanson 6, v. 14"
86,14,3,hom,hom,614,N,N,,7s,---,/V\,"BlondNesle, chanson 6, v. 14"
87,14,4,ne,ne,614,Neg,Neg,ne,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 14"
88,14,5,l',l',614,Prn,Prn$$,le,7s,---,C/\,"BlondNesle, chanson 6, v. 14"
89,14,6,aime,aime,614,Vfin,Vfin,aimer,7s,---,'/V\.C/(e)\,"BlondNesle, chanson 6, v. 14"
90,14,7,tant,tant,614,QIs,QIs,tant,7s,---,C/V\,"BlondNesle, chanson 6, v. 14"
91,14,8,.,.,614,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 14"
92,15,1,las,las,615,Adj,Adj,las,7s,---,C/V\,"BlondNesle, chanson 6, v. 15"
93,15,2,!,!,615,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 15"
94,15,3,amors,amors,615,N,N,,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 15"
95,15,4,puis,puis,615,PrA,PrA,puis,7s,---,C/V\,"BlondNesle, chanson 6, v. 15"
