wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
55,8,3,doint,doint,VER:subp:3:sg,303,Vfin,Vfin,donner,C/V\,"RCambr, v. 303"
56,8,4,foi,foi,NOM:obj:femi:sg,303,N,N,foi,C/V\,"RCambr, v. 303"
57,8,5,qi,qi,PROCON,303,Qux,Qux,qui,C/V\,"RCambr, v. 303"
58,8,6,de,de,PRE,303,Pre,Pre,de,C/(e)\,"RCambr, v. 303"
59,8,7,l,l',DET:def:obj:femi:sg,303,Det,Det,le,C/\,"RCambr, v. 303"
60,8,8,aigue,aigue,NOM:obj:femi:sg,303,N,N,aigue,'/V\.C/(e)\,"RCambr, v. 303"
61,8,9,fist,fist,VER:simp:3:sg,303,Vfin,Vfin,faire,C/V\,"RCambr, v. 303"
62,8,10,vin,vin,NOM:obj:masc:sg,303,N,N,vin,C/V\,"RCambr, v. 303"
63,9,1,et,et,CON:coord,304,Crd,Crd,et,/V\,"RCambr, v. 304"
64,9,2,sist,sist,VER:simp:3:sg,304,Vfin,Vfin,seoir,C/V\,"RCambr, v. 304"
65,9,3,as,as,PREDET:a:obj:femi:pl,304,Pre+Det,Pre+Det,à.le,/V\,"RCambr, v. 304"
66,9,4,noces,noces,NOM:obj:femi:pl,304,N,N,noce,'C/V\.C/e\,"RCambr, v. 304"
67,9,5,del,del,PREDET:de:obj:masc:sg,304,Pre+Det,Pre+Det,de.le,C/V\,"RCambr, v. 304"
68,9,6,saint,saint,ADJ:obj:masc:sg,304,Adj,Adj,saint,C/V\,"RCambr, v. 304"
69,9,7,arcedeclin,arcedeclin,NPR:obj:masc:sg,304,N,N,Arcedeclin,/V\.C/e\.C/V\.'C/V\,"RCambr, v. 304"
70,9,8,’,’,PON:cit,304,Pnc,Pnc,’,,"RCambr, v. 304"
71,10,1,et,et,CON:coord,305,Crd,Crd,et,/V\,"RCambr, v. 305"
72,10,2,dist,dist,VER:simp:3:sg,305,Vfin,Vfin,dire,C/V\,"RCambr, v. 305"
