wd_id,line_id,linewd,word,lex_id,pos_nca,syntag,syntag2,syllabified,lemma,ref,tei_right,tei_left
49,8,2,m',m',PRO:pers:obj:1:sg:unb,Prn,Prn$$,C/\,me,"Coincy, II Mir 22, v. 8",,
50,8,3,est,est,VER:pres:3:sg,Vfin,Vfin,/V\,être,"Coincy, II Mir 22, v. 8",,
51,8,4,avis,avis,NOM:suj:masc:sg,N,N,/V\.'C/V\,avis,"Coincy, II Mir 22, v. 8",,
52,8,5,que,que,PROCON,Sub,Sub,C/(e)\,que,"Coincy, II Mir 22, v. 8",,
53,8,6,j,j,PRO:pers:suj:1:sg:unb,Prn,Prn$,C/\,je,"Coincy, II Mir 22, v. 8",,
54,8,7,ai,ai,VER:pres:1:sg,Vfin,Vfin,/V\,avoir,"Coincy, II Mir 22, v. 8",,
55,8,8,laissiez,laissiez,VER:pper:masc:pl,Vpp,Vpp,C/V\.'C/V\,laisser,"Coincy, II Mir 22, v. 8",</l>,
56,9,1,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 9",,<l n=&quot;9&quot;>
57,9,2,les,les,DET:def:obj:masc:pl,Det,Det,C/V\,le,"Coincy, II Mir 22, v. 9",,
58,9,3,milleurs,milleurs,ADJ:obj:masc:pl,Adj,Adj,C/V\.'C/V\,meilleur,"Coincy, II Mir 22, v. 9",,
59,9,4,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 9",,
60,9,5,les,les,DET:def:obj:masc:pl,Det,Det,C/V\,le,"Coincy, II Mir 22, v. 9",,
61,9,6,plus,plus,ADV,Adv,Adv,C/V\,plus,"Coincy, II Mir 22, v. 9",,
62,9,7,bialz,bialz,ADJ:obj:masc:pl,Adj,Adj,C/V\,beau,"Coincy, II Mir 22, v. 9",</l>,
63,10,1,or,or,ADV,Adv,Adv,/V\,or,"Coincy, II Mir 22, v. 10",,<l n=&quot;10&quot;>
64,10,2,vos,vos,PRO:pers:2:pl,Prn,Prn$$,C/V\,vous,"Coincy, II Mir 22, v. 10",,
65,10,3,reveil,reveil,VER:pres:1:sg,Vfin,Vfin,C/V\.'C/V\,revouloir,"Coincy, II Mir 22, v. 10",,
66,10,4,conter,conter,VER:infi,Vinf,Vinf,C/V\.'C/V\,conter,"Coincy, II Mir 22, v. 10",,
67,10,5,de,de,PRE,Pre,Pre,C/(e)\,de,"Coincy, II Mir 22, v. 10",,
68,10,6,cialz,cialz,PRO:demo:obj:masc:pl,Dem,Dem,C/V\,cil,"Coincy, II Mir 22, v. 10",</l>,
69,11,1,qu,qu,PROCON,Qux,Qux,C/\,que,"Coincy, II Mir 22, v. 11",,<l n=&quot;11&quot;>
70,11,2,entrelaissiez,entrelaissiez,VER:pper:masc:pl,Vpp,Vpp,/V\.C/e\.C/V\.'C/V\,entrelaisser,"Coincy, II Mir 22, v. 11",,
71,11,3,arriere,arriere,ADV,PrA,PrA,/V\.'C/V\.C/(e)\,arrière,"Coincy, II Mir 22, v. 11",,
72,11,4,avoie,avoie,VER:impf:1:sg,Vfin,Vfin,/V\.'C/V\./(e)\,avoir,"Coincy, II Mir 22, v. 11",</l>,
73,12,1,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 12",,<l n=&quot;12&quot;>
74,12,2,nepourquant,nepourquant,ADV,Adv,Adv,C/V\.C/V\.'C/V\,nonpourquant,"Coincy, II Mir 22, v. 12",,
75,12,3,j,j,PRO:pers:suj:1:sg:unb,Prn,Prn$,C/\,je,"Coincy, II Mir 22, v. 12",,
76,12,4,en,en,PRO:clit,Prn,Prn$$,/V\,en,"Coincy, II Mir 22, v. 12",,
77,12,5,troveroie,troveroie,VER:cond:1:sg,Vfin,Vfin,C/V\.C/e\.'C/V\./(e)\,trouver,"Coincy, II Mir 22, v. 12",</l>,
78,13,1,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 13",,<l n=&quot;13&quot;>
79,13,2,d',d',PRE,Pre,Pre,C/\,de,"Coincy, II Mir 22, v. 13",,
80,13,3,ausi,ausi,ADV,Adv,Adv,/V\.'C/V\,aussi,"Coincy, II Mir 22, v. 13",,
81,13,4,bialz,bialz,ADJ:obj:masc:pl,Adj,Adj,C/V\,beau,"Coincy, II Mir 22, v. 13",,
82,13,5,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 13",,
83,13,6,d',d',PRE,Pre,Pre,C/\,de,"Coincy, II Mir 22, v. 13",,
84,13,7,ausi,ausi,ADV,Adv,Adv,/V\.'C/V\,aussi,"Coincy, II Mir 22, v. 13",,
85,13,8,grans,grans,ADJ:obj:masc:pl,Adj,Adj,C/V\,grand,"Coincy, II Mir 22, v. 13",</l>,
86,14,1,mais,mais,CON:coord,Crd,Crd,C/V\,mais,"Coincy, II Mir 22, v. 14",,<l n=&quot;14&quot;>
87,14,2,pour,pour,PRE,Pre,Pre,C/V\,pour,"Coincy, II Mir 22, v. 14",,
88,14,3,ce,ce,PRO:invar,Prn,Prn,C/(e)\,ce,"Coincy, II Mir 22, v. 14",,
89,14,4,un,un,DET:ndf:obj:masc:sg,QIs,QIs,/V\,un,"Coincy, II Mir 22, v. 14",,
90,14,5,peu,peu,ADV,N,N,C/V\,peu,"Coincy, II Mir 22, v. 14",,
91,14,6,en,en,PRO:clit,Prn,Prn$$,/V\,en,"Coincy, II Mir 22, v. 14",,
