wd_id,word,lex_id,tag,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1963,cevaliers,cevaliers,NOM,614,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,9
1964,abatus,abatus,VER,614,Vpp,Vpp,abbattre,/V\.C/V\.'C/V\,VERB,abbattre,10
1965,en,en,PRE,614,Pre,Pre,en,/V\,ADP,en,10
1966,tel,tel,ADJ,614,Adj,Adj,tel,C/V\,ADJ,tel,10
1967,maniere,maniere,NOM,614,N,N,,C/V\.'C/V\.C/(e)\,NOUN,manière,8
1968,com,com,CON:subord,614,Sub,Sub,comme,C/V\,SCONJ,comme,10
1969,je,je,PRO:pers,614,Prn,Prn$,je,C/(e)\,PRON,je,10
1970,vous,vous,PRO:pers,614,Prn,Prn$$,vous,C/V\,PRON,vous,10
1971,cont,cont,VER,615,Vfin,Vfin,conter,C/V\,VERB,conter,10
1972,",",",",PON,615,Pnc,Pnc,,,PUNCT,",",9
1973,il,il,PRO:pers,615,Prn,Prn$,il,/V\,PRON,il,10
1974,s',s',PRO:pers,615,Prn,Prn$$,se,C/\,PRON,se,10
1975,en,en,PRO:clit,615,Prn,Prn$$,en2,/V\,PRON,en,10
1976,retourne,retourne,VER,615,Vfin,Vfin,retourner,C/V\.'C/V\.C/(e)\,VERB,retourner,10
1977,esranment,esranment,ADV,615,Adv,Adv,,/V\.C/V\.'C/V\,ADV,esramment,-10
1978,ariere,ariere,ADV,615,PrA,PrA,arrière,/V\.'C/V\.C/(e)\,ADV,arrière,10
1979,et,et,CON:coord,615,Crd,Crd,et,/V\,CCONJ,et,10
1980,s',s',PRO:pers,615,Prn,Prn$$,se,C/\,PRON,se,10
1981,arreste,arreste,VER,615,Vfin,Vfin,arrêter,/V\.'C/V\.C/(e)\,VERB,arrêter,10
1982,de,de,PRE,615,Pre,Pre,de,C/(e)\,ADP,de,10
1983,cele,cele,DET:demo,615,Dem,Dem,cil,'C/V\.C/(e)\,DET,cil,10
1984,part,part,NOM,616,N,N,,C/V\,NOUN,part,3
1985,u,u,PROCON,616,Qux,Qux,où,/V\,PRON,où,10
1986,il,il,PRO:pers,616,Prn,Prn$,il,/V\,PRON,il,10
1987,soloit,soloit,VER,616,Vfin,Vfin,souloir,C/V\.'C/V\,VERB,souloir,10
1988,estre,estre,VER,616,Vinf,Vinf,être,'/V\.C/(e)\,VERB,être,10
1989,assidueument,assidueument,ADV,616,Adv,Adv,,/V\.C/V\.C/V\.C/e\.'C/V\,ADV,assiduement,-10
1990,quant,quant,ADV,616,Sub,Sub,quand,C/V\,SCONJ,quand,10
1991,il,il,PRO:pers,616,Prn,Prn,il,/V\,PRON,il,10
1992,le,le,DET:def,616,Det,Det,le,C/(e)\,DET,le,10
1993,pont,pont,NOM,616,N,N,,C/V\,NOUN,pont,8
1994,gardoit,gardoit,VER,616,Vfin,Vfin,garder,C/V\.'C/V\,VERB,garder,10
1995,",",",",PON,616,Pnc,Pnc,,,PUNCT,",",9
1996,et,et,CON:coord,617,Crd,Crd,et,/V\,CCONJ,et,10
1997,dist,dist,VER,617,Vfin,Vfin,dire,C/V\,VERB,dire,10
1998,adont,adont,ADV,617,Adv,Adv,adonc,/V\.'C/V\,ADV,adonc,10
1999,as,as,PREDET:a,617,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
