wd_id,line_id,linewd,lex_id,word,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,au,Au,1,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
2,1,2,temps,temps,1,N,N,,C/V\,NOUN,temps,8
3,1,3,pascour,pascour,1,Adj,Adj,,C/V\.'C/V\,ADJ,pascour,6
4,1,4,que,que,1,Sub,Sub,que,C/(e)\,SCONJ,que,10
5,1,5,toute,toute,1,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10
6,1,6,riens,riens,1,N,N,rien,C/V\,NOUN,rien,10
7,1,7,s',s',1,Prn,Prn$$,se,C/\,PRON,se,10
8,1,8,esgaie,esgaie,1,Vfin,Vfin,,/V\.'C/V\./(e)\,VERB,égayer,6
9,1,9,",",",",1,Pnc,Pnc,,,PUNCT,",",9
10,2,1,que,Que,2,Sub,Sub,que,C/(e)\,SCONJ,que,10
11,2,2,la,la,2,Det,Det,le,C/V\,DET,le,10
12,2,3,terre,terre,2,N,N,,'C/V\.C/(e)\,NOUN,terre,8
13,2,4,de,de,2,Pre,Pre,de,C/(e)\,ADP,de,10
14,2,5,mainte,mainte,2,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10
15,2,6,colour,colour,2,N,N,,C/V\.'C/V\,NOUN,couleur,9
16,2,7,gaie,gaie,2,Adj,Adj,,'C/V\./(e)\,ADJ,gai,8
17,3,1,se,Se,3,Prn,Prn$$,se,C/(e)\,PRON,se,10
18,3,2,cointoie,cointoie,3,Vfin,Vfin,,C/V\.'C/V\./(e)\,VERB,cointoyer,6
19,3,3,",",",",3,Pnc,Pnc,,,PUNCT,",",9
20,3,4,dont,dont,3,Qux,Qux,dont,C/V\,PRON,dont,10
21,3,5,pointure,pointure,3,N,N,,C/V\.'C/V\.C/(e)\,NOUN,pointure,3
22,3,6,sans,sans,3,Pre,Pre,sans,C/V\,ADP,sans,10
23,3,7,plaie,plaie,3,N,N,,'C/V\./(e)\,NOUN,plaie,3
24,4,1,sous,Sous,4,PrA,PrA,sous,C/V\,ADP,sous,10
25,4,2,la,la,4,Det,Det,le,C/V\,DET,le,10
26,4,3,mamelle,mamelle,4,N,N,,C/V\.'C/V\.C/(e)\,NOUN,mamelle,9
27,5,1,fait,Fait,5,Vfin,Vfin,faire,C/V\,VERB,faire,10
28,5,2,bonne,Bonne,5,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10
29,5,3,amour,Amour,5,N,N,,/V\.'C/V\,NOUN,amour,8
30,5,4,a,a,5,Pre,Pre,à,/V\,ADP,à,10
31,5,5,mainte,mainte,5,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10
32,5,6,dame,dame,5,N,N,,'C/V\.C/(e)\,NOUN,dame,8
33,5,7,bele,bele,5,Adj,Adj,beau,'C/V\.C/(e)\,ADJ,beau,10
34,5,8,",",",",5,Pnc,Pnc,,,PUNCT,",",9
35,6,1,a,A,6,Pre,Pre,à,/V\,ADP,à,10
36,6,2,maint,maint,6,QIs,QIs,maint,C/V\,DET,maint,10
37,6,3,amant,amant,6,Vprs,Vprs,aimer,/V\.'C/V\,VERB,aimer,10
38,6,4,et,et,6,Crd,Crd,et,/V\,CCONJ,et,10
39,6,5,a,a,6,Pre,Pre,à,/V\,ADP,à,10
40,6,6,mainte,mainte,6,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10
