wd_id,line_id,linewd,lex_id,word,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
41,6,7,pucele,pucele,6,N,N,,C/V\.'C/V\.C/(e)\,NOUN,pucelle,8
42,6,8,",",",",6,Pnc,Pnc,,,PUNCT,",",9
43,7,1,dont,Dont,7,Qux,Qux,dont,C/V\,PRON,dont,10
44,7,2,il,il,7,Prn,Prn$,il,/V\,PRON,il,10
45,7,3,ont,ont,7,Vfin,Vfin,avoir,/V\,VERB,avoir,10
46,7,4,puis,puis,7,PrA,PrA,puis,C/V\,ADV,puis,10
47,7,5,mainte,mainte,7,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10
48,7,6,lie,lie,7,Adj,Adj,lié,'C/V\./(e)\,ADJ,lié,10
49,7,7,nouvelle,nouvelle,7,N,N,,C/V\.'C/V\.C/(e)\,NOUN,nouvelle,3
50,8,1,et,Et,8,Crd,Crd,et,/V\,CCONJ,et,10
51,8,2,maint,maint,8,QIs,QIs,maint,C/V\,DET,maint,10
52,8,3,esmay,esmay,8,N,N,,/V\.'C/V\,NOUN,émoi,3
53,8,4,",",",",8,Pnc,Pnc,,,PUNCT,",",9
54,9,1,a,A,9,Pre,Pre,à,/V\,ADP,à,10
55,9,2,ce,ce,9,Dem,Dem,cist,C/(e)\,DET,cist,10
56,9,3,dous,dous,9,Adj,Adj,doux,C/V\,ADJ,doux,10
57,9,4,temps,temps,9,N,N,,C/V\,NOUN,temps,8
58,9,5,",",",",9,Pnc,Pnc,,,PUNCT,",",9
59,9,6,contre,contre,9,PrA,PrA,contre3,'C/V\.C/(e)\,ADP,contre,10
60,9,7,le,le,9,Det,Det,le,C/(e)\,DET,le,10
61,9,8,mois,mois,9,N,N,,C/V\,NOUN,mois,8
62,9,9,de,de,9,Pre,Pre,de,C/(e)\,ADP,de,10
63,9,10,may,may,9,N,N,,C/V\,NOUN,mai,3
64,9,11,",",",",9,Pnc,Pnc,,,PUNCT,",",9
65,10,1,par,Par,10,Pre,Pre,par,C/V\,ADP,par,10
66,10,2,un,un,10,QIs,QIs,un,/V\,DET,un,10
67,10,3,matin,matin,10,N,N,,C/V\.'C/V\,NOUN,matin,3
68,10,4,cointement,cointement,10,N,N,,C/V\.C/e\.'C/V\,PROPN|NOUN,cointement,-1
69,10,5,m',m',10,Prn,Prn$$,me,C/\,PRON,me,10
70,10,6,acesmay,acesmay,10,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,acesmer,9
71,10,7,",",",",10,Pnc,Pnc,,,PUNCT,",",9
72,11,1,com,Com,11,Sub,Sub,comme,C/V\,SCONJ,comme,10
73,11,2,cils,cils,11,Dem,Dem,cil,C/V\,PRON,cil,10
74,11,3,qui,qui,11,Qux,Qux,qui,C/V\,PRON,qui,10
75,11,4,tres,trés,11,Adv,Adv,très,C/V\,ADV,très,10
76,11,5,parfaitement,parfaitement,11,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,parfaitement,9
77,11,6,amay,amay,11,Vfin,Vfin,aimer,/V\.'C/V\,VERB,aimer,10
78,12,1,d',D',12,Pre,Pre,de,C/\,ADP,de,10
79,12,2,amour,amour,12,N,N,,/V\.'C/V\,NOUN,amour,8
80,12,3,seüre,seüre,12,Adj,Adj,sûr,C/(V)\.'/V\.C/(e)\,ADJ,sûr,10
81,12,4,.,.,12,Pnc,Pnc,,,PUNCT,.,9
82,13,1,et,Et,13,Crd,Crd,et,/V\,CCONJ,et,10
83,13,2,li,li,13,Det,Det,le,C/V\,DET,le,10
84,13,3,jours,jours,13,N,N,,C/V\,NOUN,jour,8
85,13,4,fu,fu,13,Vfin,Vfin,être,C/V\,VERB,être,10
86,13,5,attemprez,attemprez,13,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,attemprer,9
87,13,6,par,par,13,Pre,Pre,par,C/V\,ADP,par,10
88,13,7,mesure,mesure,13,N,N,,C/V\.'C/V\.C/(e)\,NOUN,mesure,8
89,13,8,",",",",13,Pnc,Pnc,,,PUNCT,",",9
90,14,1,biaus,Biaus,14,Adj,Adj,beau,C/V\,ADJ,beau,10
91,14,2,",",",",14,Pnc,Pnc,,,PUNCT,",",9
92,14,3,clers,clers,14,Adj,Adj,clair,C/V\,ADJ,clair,10
93,14,4,",",",",14,Pnc,Pnc,,,PUNCT,",",9
94,14,5,luisans,luisans,14,Vprs,Vprs,,C/V\.'C/V\,VERB,luire,8
95,14,6,",",",",14,Pnc,Pnc,,,PUNCT,",",9
96,14,7,nés,nes,14,Adj,Adj,,C/V\,ADJ,net,8
97,14,8,et,et,14,Crd,Crd,et,/V\,CCONJ,et,10
98,14,9,purs,purs,14,Adj,Adj,,C/V\,ADJ,pur,9
99,14,10,",",",",14,Pnc,Pnc,,,PUNCT,",",9
100,14,11,sans,sans,14,Pre,Pre,sans,C/V\,ADP,sans,10
101,14,12,froidure,froidure,14,N,N,,C/V\.'C/V\.C/(e)\,NOUN,froidure,9
102,14,13,.,.,14,Pnc,Pnc,,,PUNCT,.,9
103,15,1,la,La,15,Det,Det,le,C/V\,DET,le,10
104,15,2,rousee,rousée,15,N,N,,C/V\.'C/V\./(e)\,NOUN,rosée,9
105,15,3,par,par,15,Pre,Pre,par,C/V\,ADP,par,10
106,15,4,dessus,dessus,15,PrA,PrA,dessus,C/V\.'C/V\,ADP,dessus,10
107,15,5,la,la,15,Det,Det,le,C/V\,DET,le,10
108,15,6,verdure,verdure,15,N,N,,C/e\.'C/V\.C/(e)\,NOUN,verdure,8
109,16,1,resplendissoit,Resplendissoit,16,Vfin,Vfin,,C/V\.C/V\.C/V\.'C/V\,VERB,resplendir,9
110,17,1,si,Si,17,Adv,Adv,si4,C/V\,ADV,si,10
111,17,2,clerement,clerement,17,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,clairement,9
112,17,3,que,que,17,Sub,Sub,que,C/(e)\,SCONJ,que,10
113,17,4,tout,tout,17,QIs,QIs,tout,C/V\,PRON,tout,10
114,17,5,m',m',17,Prn,Prn$$,me,C/\,PRON,me,10
115,17,6,esbloissoit,esbloïssoit,17,Vfin,Vfin,,/V\.C/V\.C/V\.'C/V\,VERB,éblouir,9
116,17,7,",",",",17,Pnc,Pnc,,,PUNCT,",",9
117,18,1,quant,Quant,18,Sub,Sub,quand,C/V\,SCONJ,quand,10
118,18,2,mes,mes,18,Det,Det,mon,C/V\,DET,mon,10
119,18,3,regars,regars,18,N,N,,C/V\.'C/V\,NOUN,regard,8
120,18,4,celle,celle,18,Dem,Dem,cil,'C/V\.C/(e)\,DET,cil,10
121,18,5,part,part,18,N,N,,C/V\,NOUN,part,3
122,18,6,guenchissoit,guenchissoit,18,Vfin,Vfin,,C/V\.C/V\.'C/V\,VERB,guenchir,9
123,18,7,",",",",18,Pnc,Pnc,,,PUNCT,",",9
124,19,1,pour,Pour,19,Pre,Pre,pour,C/V\,ADP,pour,10
125,19,2,le,le,19,Det,Det,le,C/(e)\,DET,le,10
126,19,3,soleil,soleil,19,N,N,,C/V\.'C/V\,NOUN,soleil,8
127,19,4,qui,qui,19,Qux,Qux,qui,C/V\,PRON,qui,10
128,19,5,dessus,dessus,19,PrA,PrA,dessus,C/V\.'C/V\,ADV,dessus,10
129,19,6,reluisoit,reluisoit,19,Vfin,Vfin,,C/V\.C/V\.'C/V\,VERB,reluire,9
130,19,7,.,.,19,Pnc,Pnc,,,PUNCT,.,9
131,20,1,et,Et,20,Crd,Crd,et,/V\,CCONJ,et,10
132,20,2,cil,cil,20,Dem,Dem,cil,C/V\,DET,cil,10
133,20,3,oisel,oisel,20,N,N,,/V\.'C/V\,NOUN,oiseau,9
134,20,4,",",",",20,Pnc,Pnc,,,PUNCT,",",9
135,21,1,pour,Pour,21,Pre,Pre,pour,C/V\,ADP,pour,10
136,21,2,la,la,21,Det,Det,le,C/V\,DET,le,10
137,21,3,douceur,douceur,21,N,N,,C/V\.'C/V\,NOUN,douceur,9
138,21,4,dou,dou,21,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
139,21,5,joli,joli,21,Adj,Adj,,C/V\.'C/V\,ADJ,joli,6
140,21,6,temps,temps,21,N,N,,C/V\,NOUN,temps,8
141,21,7,nouvel,nouvel,21,Adj,Adj,nouveau,C/V\.'C/V\,ADJ,nouveau,10
142,21,8,",",",",21,Pnc,Pnc,,,PUNCT,",",9
143,22,1,si,Si,22,Adv,Adv,si4,C/V\,ADV,si,10
144,22,2,liement,liement,22,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,liément,8
145,22,3,et,et,22,Crd,Crd,et,/V\,CCONJ,et,10
146,22,4,de,de,22,Pre,Pre,de,C/(e)\,ADP,de,10
147,22,5,si,si,22,Adv,Adv,si4,C/V\,ADV,si,10
148,22,6,grant,grant,22,Adj,Adj,grand,C/V\,ADJ,grand,10
149,22,7,revel,revel,22,N,N,,C/V\.'C/V\,NOUN,revel,8
150,23,1,chantoient,Chantoient,23,Vfin,Vfin,chanter,C/V\.'C/V\./e\,VERB,chanter,10
151,23,2,tuit,tuit,23,QIs,QIs,tout,C/V\,PRON,tout,10
152,23,3,que,que,23,Sub,Sub,que,C/(e)\,SCONJ,que,10
153,23,4,j',j',23,Prn,Prn$,je,C/\,PRON,je,10
154,23,5,alay,alay,23,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
155,23,6,a,a,23,Pre,Pre,à,/V\,ADP,à,10
156,23,7,l',l',23,Det,Det,le,C/\,DET,le,10
157,23,8,appel,appel,23,N,N,,/V\.'C/V\,NOUN,appel,8
158,24,1,de,De,24,Pre,Pre,de,C/(e)\,ADP,de,10
159,24,2,leur,leur,24,Det,Det,leur2,C/V\,DET,leur,10
160,24,3,dous,dous,24,Adj,Adj,doux,C/V\,ADJ,doux,10
161,24,4,chant,chant,24,N,N,,C/V\,NOUN,chant,8
162,24,5,.,.,24,Pnc,Pnc,,,PUNCT,.,9
163,25,1,si,Si,25,Adv,Adv,si4,C/V\,ADV,si,10
164,25,2,en,en,25,Prn,Prn$$,en2,/V\,PRON,en,10
165,25,3,choisi,choisi,25,Vfin,Vfin,,C/V\.'C/V\,VERB,choisir,9
166,25,4,en,en,25,Pre,Pre,en,/V\,ADP,en,10
167,25,5,l',l',25,Det,Det,le,C/\,DET,le,10
168,25,6,air,air,25,N,N,,/V\,NOUN,air,3
169,25,7,un,un,25,QIs,QIs,un,/V\,DET,un,10
170,25,8,voletant,voletant,25,Vprs,Vprs,,C/V\.C/e\.'C/V\,VERB,voleter,9
171,26,1,qui,Qui,26,Qux,Qux,qui,C/V\,PRON,qui,10
172,26,2,dessus,dessus,26,PrA,PrA,dessus,C/V\.'C/V\,ADP,dessus,10
173,26,3,tous,tous,26,QIs,QIs,tout,C/V\,PRON,tout,10
174,26,4,s',s',26,Prn,Prn$$,se,C/\,PRON,se,10
175,26,5,en,en,26,Prn,Prn$$,en2,/V\,PRON,en,10
176,26,6,aloit,aloit,26,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
177,26,7,glatissant,glatissant,26,Vprs,Vprs,,C/V\.C/V\.'C/V\,VERB,glatir,9
178,26,8,:,:,26,Pnc,Pnc,,,PUNCT,:,9
179,27,1,"""","""",27,Pnc,Pnc,,,PUNCT,"""",9
180,27,2,oci,Oci,27,Exc,Exc,,/V\.'C/V\,INTJ,oci,8
181,27,3,!,!,27,Pnc,Pnc,,,PUNCT,!,9
182,27,4,oci,Oci,27,Exc,Exc,,/V\.'C/V\,INTJ,oci,5
183,27,5,!,!,27,Pnc,Pnc,,,PUNCT,!,9
184,27,6,"""","""",27,Pnc,Pnc,,,PUNCT,"""",9
185,27,7,et,Et,27,Crd,Crd,et,/V\,CCONJ,et,10
186,27,8,je,je,27,Prn,Prn$,je,C/(e)\,PRON,je,10
187,27,9,le,le,27,Prn,Prn$$,le,C/(e)\,PRON,le,10
188,27,10,sievi,sievi,27,Vfin,Vfin,suivre,C/V\.'C/V\,VERB,suivre,10
189,27,11,tant,tant,27,QIs,QIs,tant,C/V\,ADV,tant,10
190,28,1,qu',Qu',28,Sub,Sub,que,C/\,SCONJ,que,10
191,28,2,en,en,28,Pre,Pre,en,/V\,ADP,en,10
192,28,3,un,un,28,QIs,QIs,un,/V\,DET,un,10
193,28,4,destour,destour,28,N,N,,C/V\.'C/V\,NOUN,détour,8
194,28,5,",",",",28,Pnc,Pnc,,,PUNCT,",",9
195,29,1,sus,Sus,29,PrA,PrA,sus,C/V\,ADP,sus,10
196,29,2,un,un,29,QIs,QIs,un,/V\,DET,un,10
197,29,3,ruissel,ruissel,29,N,N,,C/V\.'C/V\,NOUN,ruisseau,9
198,29,4,",",",",29,Pnc,Pnc,,,PUNCT,",",9
199,29,5,pres,près,29,PrA,PrA,près,C/V\,ADV,près,10
200,29,6,d',d',29,Pre,Pre,de,C/\,ADP,de,10
201,29,7,une,une,29,QIs,QIs,un,'/V\.C/(e)\,DET,un,10
202,29,8,bele,bele,29,Adj,Adj,beau,'C/V\.C/(e)\,ADJ,beau,10
203,29,9,tour,tour,29,N,N,,C/V\,NOUN,tour,8
204,30,1,ou,Ou,30,Qux,Qux,où,/V\,PRON,où,10
205,30,2,il,il,30,Prn,Prn$,il,/V\,PRON,il,10
206,30,3,avoit,avoit,30,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
207,30,4,maint,maint,30,QIs,QIs,maint,C/V\,DET,maint,10
208,30,5,arbre,arbre,30,N,N,,'/V\.C/(e)\,NOUN,arbre,8
209,30,6,et,et,30,Crd,Crd,et,/V\,CCONJ,et,10
210,30,7,mainte,mainte,30,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10
211,30,8,flour,flour,30,N,N,,C/V\,NOUN,fleur,8
212,31,1,souef,Souëf,31,Adv,Adv,souef,C/V\.'C/V\,ADV,souef,10
213,31,2,flairant,flairant,31,Vprs,Vprs,,C/V\.'C/V\,VERB,flairer,9
214,31,3,",",",",31,Pnc,Pnc,,,PUNCT,",",9
215,31,4,de,de,31,Pre,Pre,de,C/(e)\,ADP,de,10
216,31,5,diverse,diverse,31,QIs,QIs,divers,C/V\.'C/V\.C/(e)\,DET,divers,10
217,31,6,colour,colour,31,N,N,,C/V\.'C/V\,NOUN,couleur,9
218,31,7,",",",",31,Pnc,Pnc,,,PUNCT,",",9
219,32,1,s',S',32,Prn,Prn$$,se,C/\,PRON,se,10
220,32,2,ala,ala,32,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
221,32,3,seoir,sëoir,32,Vinf,Vinf,seoir,C/(V)\.'/V\,VERB,seoir,10
222,32,4,.,.,32,Pnc,Pnc,,,PUNCT,.,9
223,33,1,lors,Lors,33,Adv,Adv,lors,C/V\,ADV,lors,10
224,33,2,me,me,33,Prn,Prn$$,me,C/(e)\,PRON,me,10
225,33,3,laissay,laissay,33,Vfin,Vfin,laisser,C/V\.'C/V\,VERB,laisser,10
226,33,4,tout,tout,33,QIs,QIs,tout,C/V\,ADV,tout,10
227,33,5,belement,belement,33,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,bellement,8
228,33,6,cheoir,chëoir,33,Vinf,Vinf,choir,C/(V)\.'/V\,VERB,choir,10
229,34,1,et,Et,34,Crd,Crd,et,/V\,CCONJ,et,10
230,34,2,me,me,34,Prn,Prn$$,me,C/(e)\,PRON,me,10
231,34,3,coiti,coiti,34,Vfin,Vfin,,C/V\.'C/V\,VERB,coitir,6
232,34,4,si,si,34,Adv,Adv,si4,C/V\,ADV,si,10
233,34,5,bien,bien,34,Adv,Adv,bien,C/V\,ADV,bien,10
234,34,6,",",",",34,Pnc,Pnc,,,PUNCT,",",9
235,34,7,a,a,34,Pre,Pre,à,/V\,ADP,à,10
236,34,8,mon,mon,34,Det,Det,mon,C/V\,DET,mon,10
237,34,9,povoir,povoir,34,N,N,pouvoir,C/V\.'C/V\,PROPN|NOUN,pouvoir,10
238,34,10,",",",",34,Pnc,Pnc,,,PUNCT,",",9
239,35,1,sous,Sous,35,PrA,PrA,sous,C/V\,ADP,sous,10
240,35,2,les,les,35,Det,Det,le,C/V\,DET,le,10
241,35,3,arbres,arbres,35,N,N,,'/V\.C/e\,NOUN,arbre,8
242,35,4,",",",",35,Pnc,Pnc,,,PUNCT,",",9
243,35,5,qu',qu',35,Sub,Sub,que,C/\,SCONJ,que,10
244,35,6,il,il,35,Prn,Prn$,il,/V\,PRON,il,10
245,35,7,ne,ne,35,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
246,35,8,me,me,35,Prn,Prn$$,me,C/(e)\,PRON,me,10
247,35,9,pot,pot,35,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
248,35,10,veoir,vëoir,35,Vinf,Vinf,voir,C/(V)\.'/V\,VERB,voir,10
249,35,11,",",",",35,Pnc,Pnc,,,PUNCT,",",9
250,36,1,pour,Pour,36,Pre,Pre,pour,C/V\,ADP,pour,10
251,36,2,escouter,escouter,36,Vinf,Vinf,écouter,/V\.C/V\.'C/V\,VERB,écouter,10
252,37,1,le,Le,37,Det,Det,le,C/(e)\,DET,le,10
253,37,2,tres,trés,37,Adv,Adv,très,C/V\,ADV,très,10
254,37,3,dous,dous,37,Adj,Adj,doux,C/V\,ADJ,doux,10
255,37,4,son,son,37,N,N,,C/V\,NOUN,son,8
256,37,5,de,de,37,Pre,Pre,de,C/(e)\,ADP,de,10
257,37,6,son,son,37,Det,Det,son4,C/V\,DET,son,10
258,37,7,joli,joli,37,Adj,Adj,,C/V\.'C/V\,ADJ,joli,8
259,37,8,chanter,chanter,37,Vinf,Vinf,chanter,C/V\.'C/V\,VERB,chanter,10
260,37,9,.,.,37,Pnc,Pnc,,,PUNCT,.,9
261,38,1,si,Si,38,Adv,Adv,si4,C/V\,ADV,si,10
262,38,2,me,me,38,Prn,Prn$$,me,C/(e)\,PRON,me,10
263,38,3,plut,plut,38,Vfin,Vfin,plaire,C/V\,VERB,plaire,10
264,38,4,tant,tant,38,QIs,QIs,tant,C/V\,ADV,tant,10
265,38,5,en,en,38,Pre,Pre,en,/V\,ADP,en,10
266,38,6,oïr,oir,38,Vinf,Vinf,ouïr,/V\.'C/V\,VERB,ouïr,10
267,38,7,deliter,deliter,38,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,déliter,9
268,39,1,son,Son,39,Det,Det,son4,C/V\,DET,son,10
269,39,2,dous,dous,39,Adj,Adj,doux,C/V\,ADJ,doux,10
270,39,3,chanter,chanter,39,Vinf,Vinf,chanter,C/V\.'C/V\,VERB,chanter,10
271,39,4,",",",",39,Pnc,Pnc,,,PUNCT,",",9
272,39,5,que,que,39,Sub,Sub,que,C/(e)\,SCONJ,que,10
273,39,6,jamais,jamais,39,Adv,Adv,jamais,C/V\.'C/V\,ADV,jamais,10
274,39,7,raconter,raconter,39,Vinf,Vinf,raconter,C/V\.C/V\.'C/V\,VERB,raconter,10
275,40,1,ne,Ne,40,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
276,40,2,le,le,40,Prn,Prn$$,le,C/(e)\,PRON,le,10
277,40,3,porroie,porroie,40,Vfin,Vfin,pouvoir2,C/V\.'C/V\./(e)\,VERB,pouvoir,10
278,40,4,.,.,40,Pnc,Pnc,,,PUNCT,.,9
279,41,1,mais,Mais,41,Crd,Crd,mais,C/V\,CCONJ,mais,10
280,41,2,tout,tout,41,QIs,QIs,tout,C/V\,ADV,tout,10
281,41,3,einsi,einsi,41,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10
282,41,4,",",",",41,Pnc,Pnc,,,PUNCT,",",9
283,41,5,com,com,41,Sub,Sub,comme,C/V\,SCONJ,comme,10
284,41,6,je,je,41,Prn,Prn$,je,C/(e)\,PRON,je,10
285,41,7,me,me,41,Prn,Prn$$,me,C/(e)\,PRON,me,10
286,41,8,delitoie,delitoie,41,Vfin,Vfin,,C/V\.C/V\.'C/V\./(e)\,VERB,déliter,9
287,42,1,en,En,42,Pre,Pre,en,/V\,ADP,en,10
288,42,2,son,son,42,Det,Det,son4,C/V\,DET,son,10
289,42,3,tres,trés,42,Adv,Adv,très,C/V\,ADV,très,10
290,42,4,dous,dous,42,Adj,Adj,doux,C/V\,ADJ,doux,10
291,42,5,chanter,chanter,42,Vinf,Vinf,chanter,C/V\.'C/V\,VERB,chanter,10
292,42,6,que,que,42,Qux,Qux,que,C/(e)\,PRON,que,10
293,42,7,j',j',42,Prn,Prn$,je,C/\,PRON,je,10
294,42,8,escoutoie,escoutoie,42,Vfin,Vfin,écouter,/V\.C/V\.'C/V\./(e)\,VERB,écouter,10
295,42,9,",",",",42,Pnc,Pnc,,,PUNCT,",",9
296,43,1,je,Je,43,Prn,Prn$,je,C/(e)\,PRON,je,10
297,43,2,vi,vi,43,Vfin,Vfin,voir,C/V\,VERB,voir,10
298,43,3,venir,venir,43,Vinf,Vinf,venir,C/V\.'C/V\,VERB,venir,10
299,43,4,par,par,43,Pre,Pre,par,C/V\,ADP,par,10
300,43,5,une,une,43,QIs,QIs,un,'/V\.C/(e)\,DET,un,10
301,43,6,estroite,estroite,43,Adj,Adj,,/V\.'C/V\.C/(e)\,ADJ,étroit,9
302,43,7,voie,voie,43,N,N,,'C/V\./(e)\,NOUN,voie,8
303,43,8,",",",",43,Pnc,Pnc,,,PUNCT,",",9
304,44,1,pleinne,Pleinne,44,Adj,Adj,plein,'C/V\.C/(e)\,ADJ,plein,10
305,44,2,d',d',44,Pre,Pre,de,C/\,ADP,de,10
306,44,3,erbette,erbette,44,N,N,,/V\.'C/V\.C/(e)\,NOUN,herbette,9
307,44,4,",",",",44,Pnc,Pnc,,,PUNCT,",",9
308,45,1,une,Une,45,QIs,QIs,un,'/V\.C/(e)\,DET,un,10
309,45,2,dame,dame,45,N,N,,'C/V\.C/(e)\,NOUN,dame,8
310,45,3,pensant,pensant,45,Vprs,Vprs,penser,C/V\.'C/V\,VERB,penser,10
311,45,4,",",",",45,Pnc,Pnc,,,PUNCT,",",9
312,45,5,toute,toute,45,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10
313,45,6,seulette,seulette,45,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,seulet,8
314,46,1,fors,Fors,46,PrA,PrA,hors,C/V\,ADV,hors,10
315,46,2,d',d',46,Pre,Pre,de,C/\,ADP,de,10
316,46,3,un,un,46,QIs,QIs,un,/V\,DET,un,10
317,46,4,chiennet,chiennet,46,N,N,,C/V\.'C/V\,NOUN,chiennet,3
318,46,5,et,et,46,Crd,Crd,et,/V\,CCONJ,et,10
319,46,6,d',d',46,Pre,Pre,de,C/\,ADP,de,10
320,46,7,une,une,46,QIs,QIs,un,'/V\.C/(e)\,DET,un,10
321,46,8,pucelette,pucelette,46,N,N,,C/V\.C/e\.'C/V\.C/(e)\,NOUN,pucelette,9
322,46,9,.,.,46,Pnc,Pnc,,,PUNCT,.,9
323,47,1,mais,Mais,47,Crd,Crd,mais,C/V\,CCONJ,mais,10
324,47,2,bien,bien,47,Adv,Adv,bien,C/V\,ADV,bien,10
325,47,3,sambloit,sambloit,47,Vfin,Vfin,sembler,C/V\.'C/V\,VERB,sembler,10
326,47,4,sa,sa,47,Det,Det,son4,C/V\,DET,son,10
327,47,5,maniere,maniere,47,N,N,,C/V\.'C/V\.C/(e)\,NOUN,manière,8
328,47,6,simplette,simplette,47,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,simplet,8
329,48,1,pleinne,Pleinne,48,Adj,Adj,plein,'C/V\.C/(e)\,ADJ,plein,10
330,48,2,d',d',48,Pre,Pre,de,C/\,ADP,de,10
331,48,3,anoy,anoy,48,N,N,,/V\.'C/V\,NOUN,ennui,6
332,48,4,.,.,48,Pnc,Pnc,,,PUNCT,.,9
333,49,1,et,Et,49,Crd,Crd,et,/V\,CCONJ,et,10
334,49,2,d',d',49,Pre,Pre,de,C/\,ADP,de,10
335,49,3,autre,autre,49,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10
336,49,4,part,part,49,N,N,,C/V\,NOUN,part,3
337,49,5,",",",",49,Pnc,Pnc,,,PUNCT,",",9
338,49,6,un,un,49,QIs,QIs,un,/V\,DET,un,10
339,49,7,petit,petit,49,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
340,49,8,long,long,49,Adj,Adj,long,C/V\,ADJ,long,10
