wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
68,12,6,point,point,2612,Neg,Neg,point2,7s,---,C/V\,ADV,point,10
69,12,7,de,de,2612,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
70,12,8,raison,raison,2612,N,N,,7s,---,C/V\.'C/V\,NOUN,raison,8
71,13,1,u,u,2613,Crd,Crd,ou,7s,---,/V\,CCONJ,ou,10
72,13,2,amours,amours,2613,N,N,,7s,---,/V\.'C/V\,NOUN,amour,8
73,13,3,met,met,2613,Vfin,Vfin,mettre,7s,---,C/V\,VERB,mettre,10
74,13,4,se,se,2613,Det,Det,son4,7s,---,C/(e)\,DET,son,10
75,13,5,saisine,saisine,2613,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,saisine,9
76,13,6,.,.,2613,Pnc,Pnc,,7s,---,,PUNCT,.,9
77,14,1,ja,ja,2614,Adv,Adv,jà,7s,---,C/V\,ADV,jà,10
78,14,2,si,si,2614,Adv,Adv,si4,7s,---,C/V\,ADV,si,10
79,14,3,tost,tost,2614,Adv,Adv,tôt,7s,---,C/V\,ADV,tôt,10
80,14,4,n',n',2614,Neg,Neg,ne,7s,---,C/\,ADV,ne,10
81,14,5,ameroit,ameroit,2614,Vfin,Vfin,aimer,7s,---,/V\.C/e\.'C/V\,VERB,aimer,10
82,14,6,on,on,2614,Prn,Prn%,on,7s,---,/V\,PRON,on,10
83,15,1,une,une,2615,QIs,QIs,un,7s,---,'/V\.C/(e)\,DET,un,10
84,15,2,caitive,caitive,2615,Adj,Adj,,7s,---,C/V\.'C/V\.C/(e)\,ADJ,chétif,8
85,15,3,meskine,meskine,2615,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,méchine,-10
86,16,1,maigre,maigre,2616,Adj,Adj,maigre,7s,---,'C/V\.C/(e)\,ADJ,maigre,10
87,16,2,et,et,2616,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
88,16,3,de,de,2616,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
89,16,4,male,male,2616,Adj,Adj,mal2,7s,---,'C/V\.C/(e)\,ADJ,mal,10
90,16,5,boiçon,boiçon,2616,N,N,,7s,---,C/V\.'C/V\,NOUN,boisson,6
91,16,6,",",",",2616,Pnc,Pnc,,7s,---,,PUNCT,",",9
92,17,1,c',c',2617,Sub,Sub,que,7s,---,C/\,SCONJ,que,10
93,17,2,une,une,2617,QIs,QIs,un,7s,---,'/V\.C/(e)\,PRON,un,10
94,17,3,de,de,2617,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
95,17,4,clere,clere,2617,Adj,Adj,clair,7s,---,'C/V\.C/(e)\,ADJ,clair,10
96,17,5,façon,façon,2617,N,N,,7s,---,C/V\.'C/V\,NOUN,façon,8
97,17,6,",",",",2617,Pnc,Pnc,,7s,---,,PUNCT,",",9
98,18,1,blance,blance,2618,Adj,Adj,blanc,7s,---,'C/V\.C/(e)\,ADJ,blanc,10
99,18,2,",",",",2618,Pnc,Pnc,,7s,---,,PUNCT,",",9
100,18,3,riant,riant,2618,Vprs,Vprs,rire,7s,---,C/V\.'C/V\,VERB,rire,10
101,18,4,et,et,2618,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
102,18,5,rosine,rosine,2618,Adj,Adj,,7s,---,C/V\.'C/V\.C/(e)\,ADJ,rosin,8
103,18,6,.,.,2618,Pnc,Pnc,,7s,---,,PUNCT,.,9
104,19,1,en,en,2619,Pre,Pre,en,7s,---,/V\,ADP,en,10
105,19,2,vous,vous,2619,Prn,Prn,vous,7s,---,C/V\,PRON,vous,10
106,19,3,ai,ai,2619,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
107,19,4,mis,mis,2619,Vpp,Vpp,mettre,7s,---,C/V\,VERB,mettre,10
108,19,5,de,de,2619,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
109,19,6,ravine,ravine,2619,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,ravine,9
110,20,1,cuer,cuer,2620,N,N,,7s,---,C/V\,NOUN,coeur,3
111,20,2,et,et,2620,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
112,20,3,cors,cors,2620,N,N,,7s,---,C/V\,NOUN,corps,3
113,20,4,",",",",2620,Pnc,Pnc,,7s,---,,PUNCT,",",9
114,20,5,vie,vie,2620,N,N,,7s,---,'C/V\./(e)\,NOUN,vie,3
115,20,6,et,et,2620,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
116,20,7,renon,renon,2620,N,N,,7s,---,C/V\.'C/V\,NOUN,renom,9
117,20,8,:,:,2620,Pnc,Pnc,,7s,---,,PUNCT,:,9
118,21,1,coi,coi,2621,Qux,Qux,que,7s,---,C/V\,PRON,que,10
119,21,2,que,que,2621,Qux,Qux,que,7s,---,C/(e)\,PRON,que,10
120,21,3,soit,soit,2621,Vfin,Vfin,être,7s,---,C/V\,VERB,être,10
121,21,4,de,de,2621,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
122,21,5,gerredon,gerredon,2621,N,N,,7s,---,C/V\.C/e\.'C/V\,NOUN,guerdon,9
123,21,6,",",",",2621,Pnc,Pnc,,7s,---,,PUNCT,",",9
124,22,1,jou,jou,2622,Prn,Prn$,je,7s,---,C/V\,PRON,je,10
125,22,2,n',n',2622,Neg,Neg,ne,7s,---,C/\,ADV,ne,10
