wd_id,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
449,se,se,312,Prn,Prn$$,se,C/(e)\,PRON,se,10
450,devoit,devoit,312,Vfin,Vfin,devoir2,C/V\.'C/V\,VERB,devoir,10
451,faire,faire,312,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
452,",",",",312,Pnc,Pnc,,,PUNCT,",",9
453,il,il,312,Prn,Prn$,il,/V\,PRON,il,10
454,manda,manda,312,Vfin,Vfin,mander,C/V\.'C/V\,VERB,mander,10
455,au,au,312,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
456,comte,comte,312,N,N,,'C/V\.C/(e)\,NOUN,comte,3
457,de,de,313,Pre,Pre,de,C/(e)\,ADP,de,10
458,Flandres,flandres,313,N,N,,'C/V\.C/e\,PROPN,Flandres,9
459,qu',qu',313,Sub,Sub,que,C/\,SCONJ,que,10
460,il,il,313,Prn,Prn$,il,/V\,PRON,il,10
461,li,li,313,Prn,Prn$$,li,C/V\,PRON,li,10
462,envoyast,envoyast,313,Vfin,Vfin,envoyer,/V\.C/V\.'C/V\,VERB,envoyer,10
463,veoir,veoir,313,Vinf,Vinf,voir,C/(V)\.'/V\,VERB,voir,10
464,sa,sa,313,Det,Det,son4,C/V\,DET,son,10
465,fille,fille,313,N,N,,'C/V\.C/(e)\,NOUN,fille,3
466,",",",",313,Pnc,Pnc,,,PUNCT,",",9
467,qui,qui,313,Qux,Qux,qui,C/V\,PRON,qui,10
468,estoit,estoit,313,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
469,sa,sa,313,Det,Det,son4,C/V\,DET,son,10
470,filloeille,filloeille,313,N,N,,C/V\.'C/V\.C/(e)\,NOUN,filleule,6
471,.,.,313,Pnc,Pnc,,,PUNCT,.,9
472,Li,li,313,Det,Det,le,C/V\,DET,le,10
473,comtes,comtes,314,N,N,,'C/V\.C/e\,NOUN,comte,3
474,",",",",314,Pnc,Pnc,,,PUNCT,",",9
475,qui,qui,314,Qux,Qux,qui,C/V\,PRON,qui,10
476,nul,nul,314,QIs,QIs,nul,C/V\,DET,nul,10
477,mal,mal,314,N,N,mal,C/V\,NOUN,mal,10
478,n',n',314,Neg,Neg$$,ne,C/\,ADV,ne,10
479,y,y,314,Prn,Prn$$,y2,/V\,PRON,y,10
480,penssoit,penssoit,314,Vfin,Vfin,penser,C/V\.'C/V\,VERB,penser,10
481,",",",",314,Pnc,Pnc,,,PUNCT,",",9
482,li,li,314,Prn,Prn$$,li,C/V\,PRON,li,10
483,envoya,envoya,314,Vfin,Vfin,envoyer,/V\.C/V\.'C/V\,VERB,envoyer,10
484,tantos,tantos,314,Adv,Adv,tantôt,C/V\.'C/V\,ADV,tantôt,10
485,et,et,314,Crd,Crd,et,/V\,CCONJ,et,10
486,sans,sans,314,Pre,Pre,sans,C/V\,ADP,sans,10
487,delay,delay,314,N,N,,C/V\.'C/V\,NOUN,délai,8
488,.,.,314,Pnc,Pnc,,,PUNCT,.,9
489,Quant,quant,314,Sub,Sub,quand,C/V\,SCONJ,quand,10
490,li,li,315,Det,Det,le,C/V\,DET,le,10
491,roys,roys,315,N,N,,C/V\,NOUN,roi,8
492,Phelippes,phelippes,315,N,N,,C/V\.'C/V\.C/e\,PROPN,Philippe,9
493,le,le,315,Prn,Prn$$,le,C/(e)\,PRON,le,10
494,vit,vit,315,Vfin,Vfin,voir,C/V\,VERB,voir,10
495,",",",",315,Pnc,Pnc,,,PUNCT,",",9
496,il,il,315,Prn,Prn$,il,/V\,PRON,il,10
497,le,le,315,Prn,Prn$$,le,C/(e)\,PRON,le,10
498,prist,prist,315,Vfin,Vfin,prendre,C/V\,VERB,prendre,10
499,et,et,315,Crd,Crd,et,/V\,CCONJ,et,10
500,le,le,315,Prn,Prn$$,le,C/(e)\,PRON,le,10
501,fist,fist,315,Vfin,Vfin,faire,C/V\,VERB,faire,10
502,emprisounner,emprisounner,315,Vinf,Vinf,,/V\.C/V\.C/V\.'C/V\,VERB,emprisonner,9
503,par,par,315,Pre,Pre,par,C/V\,ADP,par,10
504,tel,tel,315,Adj,Adj,tel,C/V\,ADJ,tel,10
505,manniere,manniere,316,N,N,,C/V\.'C/V\.C/(e)\,NOUN,manière,9
506,c',c',316,Sub,Sub,que,C/\,SCONJ,que,10
507,oncques,oncques,316,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10
508,depuis,depuis,316,PrA,PrA,depuis,C/V\.'C/V\,ADV,depuis,10
509,ne,ne,316,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
510,rentra,rentra,316,Vfin,Vfin,rentrer,C/V\.'C/V\,VERB,rentrer,10
511,en,en,316,Pre,Pre,en,/V\,ADP,en,10
512,Flandres,flandres,316,N,N,,'C/V\.C/e\,PROPN,Flandres,9
513,.,.,316,Pnc,Pnc,,,PUNCT,.,9
514,Pour,pour,316,Pre,Pre,pour,C/V\,ADP,pour,10
515,laquelle,laquelle,316,Qux,Qux,lequel,C/V\.'C/V\.C/(e)\,PRON,lequel,10
516,avenue,avenue,317,N,N,,/V\.C/e\.'C/V\./(e)\,PROPN|NOUN,avenue,8
517,",",",",317,Pnc,Pnc,,,PUNCT,",",9
518,moult,moult,317,QIs,QIs,moult,C/V\,ADV,moult,10
519,de,de,317,Pre,Pre,de,C/(e)\,ADP,de,10
520,batailles,batailles,317,N,N,,C/V\.'C/V\.C/e\,NOUN,bataille,8
521,furent,furent,317,Vfin,Vfin,être,'C/V\.C/e\,VERB,être,10
522,en,en,317,Pre,Pre,en,/V\,ADP,en,10
523,Flandres,flandres,317,N,N,,'C/V\.C/e\,PROPN,Flandres,9
524,et,et,317,Crd,Crd,et,/V\,CCONJ,et,10
525,en,en,317,Pre,Pre,en,/V\,ADP,en,10
526,France,france,317,N,N,,'C/V\.C/(e)\,PROPN,France,8
527,et,et,317,Crd,Crd,et,/V\,CCONJ,et,10
528,la,la,317,Det,Det,le,C/V\,DET,le,10
529,grosse,grosse,317,Adj,Adj,,'C/V\.C/(e)\,ADJ,gros,3
530,bataille,bataille,318,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bataille,8
531,de,de,318,Pre,Pre,de,C/(e)\,ADP,de,10
532,Courtray,courtray,318,N,N,,C/V\.'C/V\,PROPN,Courtray,9
533,où,où,318,Qux,Qux,où,/V\,PRON,où,10
534,il,il,318,Prn,Prn$,il,/V\,PRON,il,10
535,eut,eut,318,Vfin,Vfin,avoir,/V\,VERB,avoir,10
536,tant,tant,318,QIs,QIs,tant,C/V\,ADV,tant,10
537,de,de,318,Pre,Pre,de,C/(e)\,ADP,de,10
538,vaillans,vaillans,318,Vprs,Vprs,valoir,C/V\.'C/V\,VERB,valoir,10
539,seigneurs,seigneurs,318,N,N,,C/V\.'C/V\,NOUN,seigneur,8
540,mors,mors,318,Vpp,Vpp,mourir,C/V\,VERB,mourir,10
541,et,et,318,Crd,Crd,et,/V\,CCONJ,et,10
542,desconfis,desconfis,319,Vpp,Vpp,déconfire,C/V\.C/V\.'C/V\,VERB,déconfire,10
543,et,et,319,Crd,Crd,et,/V\,CCONJ,et,10
544,ailleurs,ailleurs,319,Adv,Adv,ailleurs,/V\.'C/V\,ADV,ailleurs,10
545,ossi,ossi,319,Adv,Adv,aussi,/V\.'C/V\,ADV,aussi,10
546,.,.,319,Pnc,Pnc,,,PUNCT,.,9
547,Or,or,319,Adv,Adv,or2,/V\,ADV,or,10
548,maria,maria,319,Vfin,Vfin,marier,C/V\.C/V\.'C/V\,VERB,marier,10
549,chils,chils,319,Dem,Dem,cil,C/V\,DET,cil,10
550,biaux,biaux,319,Adj,Adj,beau,C/V\,ADJ,beau,10
551,roys,roys,319,N,N,,C/V\,NOUN,roi,8
552,Phelippes,phelippes,319,N,N,,C/V\.'C/V\.C/e\,PROPN,Philippe,9
553,sa,sa,319,Det,Det,son4,C/V\,DET,son,10
554,fille,fille,319,N,N,,'C/V\.C/(e)\,NOUN,fille,3
555,_Ysabel_,ysabel,320,N,N,,/V\.C/V\.'C/V\,PROPN,Isabelle,6
556,au,au,320,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
557,roy,roy,320,N,N,,C/V\,NOUN,roi,8
558,d',d',320,Pre,Pre,de,C/\,ADP,de,10
559,Engleterre,engleterre,320,N,N,,/V\.C/e\.'C/V\.C/(e)\,PROPN,Angleterre,9
560,et,et,320,Crd,Crd,et,/V\,CCONJ,et,10
561,li,li,320,Prn,Prn$$,li,C/V\,PRON,li,10
562,dounna,dounna,320,Vfin,Vfin,donner,C/V\.'C/V\,VERB,donner,10
563,en,en,320,Pre,Pre,en,/V\,ADP,en,10
564,mariaige,mariaige,320,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,mariage,3
565,toutte,toutte,320,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10
566,la,la,320,Det,Det,le,C/V\,DET,le,10
567,comté,comté,320,N,N,,C/V\.'C/V\,NOUN,comté,8
568,de,de,321,Pre,Pre,de,C/(e)\,ADP,de,10
569,Pontieu,pontieu,321,N,N,,C/V\.'C/V\,PROPN,Pontieu,6
570,et,et,321,Crd,Crd,et,/V\,CCONJ,et,10
571,encorres,encorres,321,Adv,Adv,encore,/V\.'C/V\.C/e\,ADV,encore,10
572,_…_,…,321,Pnc,Pnc,,,PUNCT,UNKNOWN,-10
573,revenus,revenus,321,N,N,,C/V\.C/e\.'C/V\,PROPN|NOUN,revenu,8
574,ailleurs,ailleurs,321,Adv,Adv,ailleurs,/V\.'C/V\,ADV,ailleurs,10
575,.,.,321,Pnc,Pnc,,,PUNCT,.,9
576,De,de,321,Pre,Pre,de,C/(e)\,ADP,de,10
577,ce,ce,321,Dem,Dem,cist,C/(e)\,DET,cist,10
578,roy,roy,321,N,N,,C/V\,NOUN,roi,8
579,d',d',321,Pre,Pre,de,C/\,ADP,de,10
580,Engleterre,engleterre,321,N,N,,/V\.C/e\.'C/V\.C/(e)\,PROPN,Angleterre,9
581,et,et,322,Crd,Crd,et,/V\,CCONJ,et,10
582,de,de,322,Pre,Pre,de,C/(e)\,ADP,de,10
583,celle,celle,322,Dem,Dem,cil,'C/V\.C/(e)\,DET,cil,10
584,dame,dame,322,N,N,,'C/V\.C/(e)\,NOUN,dame,8
585,yssirent,yssirent,322,Vfin,Vfin,issir,/V\.'C/V\.C/e\,VERB,issir,10
586,.IIII.,.iiii.,322,QIs,QIs,quatre,'/V\./(e)\,NUM,quatre,10
587,enfans,enfans,322,N,N,,/V\.'C/V\,NOUN,enfant,8
588,.II.,.ii.,322,QIs,QIs,deux,C/V\,NUM,deux,10
589,fils,fils,322,N,N,,C/V\,NOUN,fils,3
590,et,et,322,Crd,Crd,et,/V\,CCONJ,et,10
591,.II.,.ii.,322,QIs,QIs,deux,C/V\,NUM,deux,10
592,filles,filles,322,N,N,,'C/V\.C/e\,NOUN,fille,3
593,.,.,322,Pnc,Pnc,,,PUNCT,.,9
594,Li,li,322,Det,Det,le,C/V\,DET,le,10
595,filz,filz,322,N,N,,C/V\,NOUN,fils,3
596,li,li,322,Det,Det,le,C/V\,DET,le,10
597,aisnés,aisnés,323,N,N,,/V\.'C/V\,NOUN,aîné,9
598,eut,eut,323,Vfin,Vfin,avoir,/V\,VERB,avoir,10
599,nom,nom,323,N,N,,C/V\,NOUN,nom,8
600,Edouwars,edouwars,323,N,N,,/V\.C/V\.'C/V\,PROPN,Édouard,9
601,qui,qui,323,Qux,Qux,qui,C/V\,PRON,qui,10
602,tant,tant,323,QIs,QIs,tant,C/V\,ADV,tant,10
603,fu,fu,323,Vfin,Vfin,être,C/V\,VERB,être,10
604,vaillans,vaillans,323,Vprs,Vprs,valoir,C/V\.'C/V\,VERB,valoir,10
605,homs,homs,323,N,N,,/V\,NOUN,homme,8
606,et,et,323,Crd,Crd,et,/V\,CCONJ,et,10
607,sour,sour,323,PrA,PrA,sur,C/V\,ADP,sur,10
608,qui,qui,323,Qux,Qux,qui,C/V\,PRON,qui,10
609,ceste,ceste,323,Dem,Dem,cist,'C/V\.C/(e)\,DET,cist,10
610,histoire,histoire,324,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9
611,est,est,324,Vfin,Vfin,être,/V\,VERB,être,10
612,coummenchie,coummenchie,324,Vpp,Vpp,commencer,C/V\.C/V\.'C/V\./(e)\,VERB,commencer,10
613,;,;,324,Pnc,Pnc,,,PUNCT,;,9
614,li,li,324,Det,Det,le,C/V\,DET,le,10
615,seconds,seconds,324,Adj,Adj,,C/V\.'C/V\,ADJ,second,8
616,eut,eut,324,Vfin,Vfin,avoir,/V\,VERB,avoir,10
617,nom,nom,324,N,N,,C/V\,NOUN,nom,8
618,Jehan,jehan,324,N,N,,C/(V)\.'/V\,PROPN,Jean,8
619,de,de,324,Pre,Pre,de,C/(e)\,ADP,de,10
620,Eltem,eltem,324,N,N,,/V\.'C/V\,PROPN,Eltem,-10
621,et,et,324,Crd,Crd,et,/V\,CCONJ,et,10
622,morut,morut,325,Vfin,Vfin,mourir,C/V\.'C/V\,VERB,mourir,10
623,jones,jones,325,Adj,Adj,,'C/V\.C/e\,ADJ,jeune,8
624,.,.,325,Pnc,Pnc,,,PUNCT,.,9
625,Les,les,325,Det,Det,le,C/V\,DET,le,10
626,demoiselles,demoiselles,325,N,N,,C/V\.C/V\.'C/V\.C/e\,NOUN,damoiselle,6
627,",",",",325,Pnc,Pnc,,,PUNCT,",",9
628,li,li,325,Det,Det,le,C/V\,DET,le,10
629,une,une,325,QIs,QIs,un,'/V\.C/(e)\,PRON,un,10
630,eut,eut,325,Vfin,Vfin,avoir,/V\,VERB,avoir,10
631,non,non,325,N,N,,C/V\,NOUN,nom,8
632,Ysabiel,ysabiel,325,N,N,,/V\.C/V\.'C/V\,PROPN,Isabel,-10
633,et,et,325,Crd,Crd,et,/V\,CCONJ,et,10
634,fu,fu,325,Vfin,Vfin,être,C/V\,VERB,être,10
635,roynne,roynne,325,N,N,,'C/V\.C/(e)\,NOUN,reine,9
636,d',d',326,Pre,Pre,de,C/\,ADP,de,10
637,Escoce,escoce,326,N,N,,/V\.'C/V\.C/(e)\,PROPN,Écosse,8
638,et,et,326,Crd,Crd,et,/V\,CCONJ,et,10
639,eut,eut,326,Vfin,Vfin,avoir,/V\,VERB,avoir,10
640,à,à,326,Pre,Pre,à,/V\,ADP,à,10
641,mari,mari,326,N,N,,C/V\.'C/V\,NOUN,mari,8
642,le,le,326,Det,Det,le,C/(e)\,DET,le,10
643,roy,roy,326,N,N,,C/V\,NOUN,roi,8
644,David,david,326,N,N,,C/V\.'C/V\,PROPN,David,8
645,d',d',326,Pre,Pre,de,C/\,ADP,de,10
646,Escoce,escoce,326,N,N,,/V\.'C/V\.C/(e)\,PROPN,Écosse,8
647,_le,le,326,Det,Det,le,C/(e)\,DET,le,10
648,fils,fils,326,N,N,,C/V\,NOUN,fils,3
649,le_,le,326,Det,Det,le,C/(e)\,DET,le,10
650,roy,roy,326,N,N,,C/V\,NOUN,roi,8
651,Robert,robert,326,N,N,,C/V\.'C/V\,PROPN,Robert,9
652,de,de,327,Pre,Pre,de,C/(e)\,ADP,de,10
653,Brus,brus,327,N,N,,C/V\,PROPN,Brus,-10
654,et,et,327,Crd,Crd,et,/V\,CCONJ,et,10
655,li,li,327,Prn,Prn$$,li,C/V\,PRON,li,10
656,fu,fu,327,Vfin,Vfin,être,C/V\,VERB,être,10
657,dounnee,dounnee,327,Vpp,Vpp,donner,C/V\.'C/V\./(e)\,VERB,donner,10
658,par,par,327,Pre,Pre,par,C/V\,ADP,par,10
659,pais,pais,327,N,N,,C/V\,NOUN,paix,3
660,faisant,faisant,327,Vprs,Vprs,faire,C/V\.'C/V\,VERB,faire,10
661,par,par,327,Pre,Pre,par,C/V\,ADP,par,10
662,l',l',327,Det,Det,le,C/\,DET,le,10
663,asentement,asentement,327,N,N,,/V\.C/V\.C/e\.'C/V\,NOUN,assentiment,6
664,et,et,327,Crd,Crd,et,/V\,CCONJ,et,10
665,acord,acord,327,N,N,,/V\.'C/V\,NOUN,accord,8
666,des,des,327,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
667,.II.,.ii.,328,QIs,QIs,deux,C/V\,NUM,deux,10
668,royaummes,royaummes,328,N,N,,C/V\.'C/V\.C/e\,NOUN,royaume,9
669,d',d',328,Pre,Pre,de,C/\,ADP,de,10
670,Engleterre,engleterre,328,N,N,,/V\.C/e\.'C/V\.C/(e)\,PROPN,Angleterre,9
671,et,et,328,Crd,Crd,et,/V\,CCONJ,et,10
672,d',d',328,Pre,Pre,de,C/\,ADP,de,10
