wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
623,113,7,oindroit,oindroit,VER:cond:3:sg,113,Vfin,Vfin,oindre,/V\.'C/V\,VERB,oindre,10
624,114,1,bien,bien,ADV,114,Adv,Adv,bien,C/V\,ADV,bien,10
625,114,2,tost,tost,ADV,114,Adv,Adv,tôt,C/V\,ADV,tôt,10
626,114,3,pour,pour,PRE,114,Pre,Pre,pour,C/V\,ADP,pour,10
627,114,4,ce,ce,PRO:invar,114,Prn,Prn,ce,C/(e)\,PRON,ce,10
628,114,5,merci,merci,NOM:obj:femi:sg,114,N,N,,C/V\.'C/V\,NOUN,merci,8
629,114,6,auroit,auroit,VER:cond:3:sg,114,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
630,115,1,tot,tot,PRO:ind:obj:masc:sg,115,QIs,QIs,tout,C/V\,ADV,tout,10
631,115,2,souavet,souavet,ADJ:obj:masc:sg,115,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,söavet,-10
632,115,3,s,s,PROCON,115,Prn,Prn$$,se,C/\,PRON,se,10
633,115,4,en,en,PRO:clit,115,Prn,Prn$$,en2,/V\,PRON,en,10
634,115,5,est,est,VER:pres:3:sg,115,Vfin,Vfin,être,/V\,VERB,être,10
635,115,6,venue,venue,VER:pper:femi:sg,115,Vpp,Vpp,venir,C/V\.'C/V\./(e)\,VERB,venir,10
636,116,1,qu,qu,PROCON,116,Sub,Sub,que,C/\,SCONJ,que,10
637,116,2,ele,ele,PRO:pers:suj:3:femi:sg,116,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
638,116,3,ne,ne,PRO:clit,116,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
639,116,4,fust,fust,VER:subi:3:sg,116,Vfin,Vfin,être,C/V\,VERB,être,10
640,116,5,aperceue,aperceue,VER:pper:femi:sg,116,Vpp,Vpp,apercevoir,/V\.C/V\.C/(V)\.'/V\./(e)\,VERB,apercevoir,10
