wd_id,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,CY,cy,100001,Adv,Adv,ci,C/V\,ADV,ci,10
2,COMMENCE,commence,100001,Vfin,Vfin,commencer,C/V\.'C/V\.C/(e)\,VERB,commencer,10
3,LE,le,100002,Det,Det,le,C/(e)\,DET,le,10
4,LIVRE,livre,100002,N,N,,'C/V\.C/(e)\,NOUN,livre,3
5,DE,de,100002,Pre,Pre,de,C/(e)\,ADP,de,10
6,L',l',100002,Det,Det,le,C/\,DET,le,10
7,ADVISION,advision,100002,N,N,,/V\.C/V\.C/{V}\.'/V\,NOUN,avision,6
8,CRISTINE,cristine,100002,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Christine,5
9,",",",",100002,Pnc,Pnc,,,PUNCT,",",9
10,LEQUEL,lequel,100003,Qux,Qux,lequel,C/V\.'C/V\,DET,lequel,10
11,DIT,dit,100003,Vpp,Vpp,dire,C/V\,VERB,dire,10
12,LIVRE,livre,100003,N,N,,'C/V\.C/(e)\,NOUN,livre,3
13,EST,est,100003,Vfin,Vfin,être,/V\,VERB,être,10
14,PARTI,parti,100003,Vpp,Vpp,partir,C/V\.'C/V\,VERB,partir,10
15,EN,en,100003,Pre,Pre,en,/V\,ADP,en,10
16,TROIS,trois,100003,QIs,QIs,trois,C/V\,NUM,trois,10
17,PARTIES,parties,100003,N,N,,C/V\.'C/V\./e\,NOUN,partie,8
18,La,la,100004,Det,Det,le,C/V\,DET,le,10
19,premiere,premiere,100004,Adj,Adj,premier,C/V\.C/<V>\.'/V\.C/(e)\,ADJ,premier,10
20,partie,partie,100004,N,N,,C/V\.'C/V\./(e)\,NOUN,partie,8
21,parle,parle,100004,Vfin,Vfin,parler,'C/V\.C/(e)\,VERB,parler,10
22,de,de,100004,Pre,Pre,de,C/(e)\,ADP,de,10
23,l',l',100004,Det,Det,le,C/\,DET,le,10
24,ymage,ymage,100004,N,N,,/V\.'C/V\.C/(e)\,NOUN,image,9
25,du,du,100004,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
26,monde,monde,100004,N,N,,'C/V\.C/(e)\,NOUN,monde,8
27,et,et,100004,Crd,Crd,et,/V\,CCONJ,et,10
28,les,les,100004,Det,Det,le,C/V\,DET,le,10
29,merveilles,merveilles,100004,N,N,,C/V\.'C/V\.C/e\,NOUN,merveille,9
30,que,que,100005,Qux,Qux,que,C/(e)\,PRON,que,10
31,elle,elle,100005,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
32,y,y,100005,Prn,Prn$$,y2,/V\,PRON,y,10
33,vid,vid,100005,Vfin,Vfin,voir,C/V\,VERB,voir,10
34,.,.,100005,Pnc,Pnc,,,PUNCT,.,9
35,La,la,100006,Det,Det,le,C/V\,DET,le,10
36,seconde,seconde,100006,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,second,8
37,partie,partie,100006,N,N,,C/V\.'C/V\./(e)\,NOUN,partie,8
38,parle,parle,100006,Vfin,Vfin,parler,'C/V\.C/(e)\,VERB,parler,10
39,de,de,100006,Pre,Pre,de,C/(e)\,ADP,de,10
40,Dame,dame,100006,N,N,,'C/V\.C/(e)\,NOUN,dame,8
41,Oppinion,oppinion,100006,N,N,,/V\.C/V\.C/{V}\.'/V\,NOUN,opinion,9
42,et,et,100006,Crd,Crd,et,/V\,CCONJ,et,10
43,de,de,100006,Pre,Pre,de,C/(e)\,ADP,de,10
44,son,son,100006,Det,Det,son4,C/V\,DET,son,10
45,ombre,ombre,100006,N,N,,'/V\.C/(e)\,NOUN,ombre,3
46,.,.,100006,Pnc,Pnc,,,PUNCT,.,9
47,La,la,100007,Det,Det,le,C/V\,DET,le,10
48,tierce,tierce,100007,Adj,Adj,tiers,'C/V\.C/(e)\,ADJ,tiers,10
49,partie,partie,100007,N,N,,C/V\.'C/V\./(e)\,NOUN,partie,8
50,parle,parle,100007,Vfin,Vfin,parler,'C/V\.C/(e)\,VERB,parler,10
51,de,de,100007,Pre,Pre,de,C/(e)\,ADP,de,10
52,confort,confort,100007,N,N,,C/V\.'C/V\,NOUN,confort,9
53,de,de,100007,Pre,Pre,de,C/(e)\,ADP,de,10
54,Philozophie,philozophie,100007,N,N,,C/V\.C/V\.C/V\.'C/V\./(e)\,PROPN,philosophie,5
55,.,.,100007,Pnc,Pnc,,,PUNCT,.,9
56,PREMIEREMENT,premierement,101001,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,premièrement,6
57,DIT,dit,101001,Vfin,Vfin,dire,C/V\,VERB,dire,10
58,CRISTINE,cristine,101001,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Christine,5
59,COMMENT,comment,101001,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10
60,SON,son,101001,Det,Det,son4,C/V\,DET,son,10
61,ESPERIT,esperit,101001,N,N,,/V\.C/e\.'C/V\,NOUN,esprit,5
62,FU,fu,101001,Vfin,Vfin,être,C/V\,VERB,être,10
63,TRANSPORTÉ,transporté,101001,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,transporter,6
64,Ja,ja,101002,Adv,Adv,jà,C/V\,ADV,jà,10
65,passé,passé,101002,Vpp,Vpp,passer,C/V\.'C/V\,VERB,passer,10
66,avoye,avoye,101002,Vfin,Vfin,avoir,/V\.'C/V\./(e)\,VERB,avoir,10
67,la,la,101002,Det,Det,le,C/V\,DET,le,10
68,moitié,moitié,101002,N,N,,C/V\.'C/V\,NOUN,moitié,9
69,du,du,101002,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
70,chemin,chemin,101002,N,N,,C/V\.'C/V\,NOUN,chemin,8
71,de,de,101002,Pre,Pre,de,C/(e)\,ADP,de,10
72,mon,mon,101002,Det,Det,mon,C/V\,DET,mon,10
73,pelerinage,pelerinage,101002,N,N,,C/V\.C/e\.C/V\.'C/V\.C/(e)\,NOUN,pèlerinage,9
74,",",",",101002,Pnc,Pnc,,,PUNCT,",",9
75,comme,comme,101002,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
76,ung,ung,101003,QIs,QIs,un,/V\,DET,un,10
77,jour,jour,101003,N,N,,C/V\,NOUN,jour,9
78,sur,sur,101003,PrA,PrA,sur,C/V\,ADP,sur,10
79,l',l',101003,Det,Det,le,C/\,DET,le,10
80,avesprir,avesprir,101003,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,avesprir,6
81,me,me,101003,Prn,Prn$$,me,C/(e)\,PRON,me,10
82,trouvasse,trouvasse,101003,Vfin,Vfin,trouver,C/V\.'C/V\.C/(e)\,VERB,trouver,10
83,pour,pour,101003,Pre,Pre,pour,C/V\,ADP,pour,10
84,la,la,101003,Det,Det,le,C/V\,DET,le,10
85,longue,longue,101003,Adj,Adj,long,'C/V\.C/(e)\,ADJ,long,10
86,voie,voie,101003,N,N,,'C/V\./(e)\,NOUN,voie,8
87,lassee,lassee,101003,Vpp,Vpp,lasser,C/V\.'C/V\./(e)\,VERB,lasser,10
88,et,et,101003,Crd,Crd,et,/V\,CCONJ,et,10
89,desireuse,desireuse,101004,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,désireux,9
90,de,de,101004,Pre,Pre,de,C/(e)\,ADP,de,10
91,heberge,heberge,101004,N,N,,C/V\.'C/V\.C/(e)\,NOUN,héberge,8
92,.,.,101004,Pnc,Pnc,,,PUNCT,.,9
93,Et,et,101004,Crd,Crd,et,/V\,CCONJ,et,10
94,comme,comme,101004,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
95,je,je,101004,Prn,Prn$,je,C/(e)\,PRON,je,10
96,y,y,101004,Prn,Prn$$,y2,/V\,PRON,y,10
97,fusse,fusse,101004,Vfin,Vfin,être,'C/V\.C/(e)\,VERB,être,10
98,parvenue,parvenue,101004,Vpp,Vpp,parvenir,C/V\.C/e\.'C/V\./(e)\,VERB,parvenir,10
99,par,par,101004,Pre,Pre,par,C/V\,ADP,par,10
100,appetit,appetit,101004,N,N,,/V\.C/e\.'C/V\,NOUN,appétit,9
101,de,de,101004,Pre,Pre,de,C/(e)\,ADP,de,10
102,repos,repos,101005,N,N,,C/V\.'C/V\,NOUN,repos,8
103,",",",",101005,Pnc,Pnc,,,PUNCT,",",9
104,aprés,aprés,101005,PrA,PrA,après,/V\.'C/V\,ADP,après,10
105,la,la,101005,Det,Det,le,C/V\,DET,le,10
106,refection,refection,101005,N,N,,C/V\.C/V\.C/{V}\.'/V\,NOUN,réfection,9
107,neccessaire,neccessaire,101005,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,nécessaire,8
108,a,a,101005,Pre,Pre,à,/V\,ADP,à,10
109,vie,vie,101005,N,N,,'C/V\./(e)\,NOUN,vie,3
110,humaine,humaine,101005,Adj,Adj,,/V\.'C/V\.C/(e)\,ADJ,humain,9
111,prise,prise,101005,Vpp,Vpp,prendre,'C/V\.C/(e)\,VERB,prendre,10
112,et,et,101005,Crd,Crd,et,/V\,CCONJ,et,10
113,receue,receue,101005,Vpp,Vpp,recevoir,C/V\.C/(V)\.'/V\./(e)\,VERB,recevoir,10
114,",",",",101005,Pnc,Pnc,,,PUNCT,",",9
115,dites,dites,101006,Vpp,Vpp,dire,'C/V\.C/e\,VERB,dire,10
116,graces,graces,101006,N,N,,'C/V\.C/e\,NOUN,grâce,9
117,",",",",101006,Pnc,Pnc,,,PUNCT,",",9
118,et,et,101006,Crd,Crd,et,/V\,CCONJ,et,10
119,me,me,101006,Prn,Prn$$,me,C/(e)\,PRON,me,10
120,recommandant,recommandant,101006,Vprs,Vprs,recommander,C/V\.C/V\.C/V\.'C/V\,VERB,recommander,10
121,a,a,101006,Pre,Pre,à,/V\,ADP,à,10
122,l',l',101006,Det,Det,le,C/\,DET,le,10
123,acteur,acteur,101006,N,N,,/V\.'C/V\,NOUN,auteur,3
124,de,de,101006,Pre,Pre,de,C/(e)\,ADP,de,10
125,toutes,toutes,101006,QIs,QIs,tout,'C/V\.C/e\,DET,tout,10
126,choses,choses,101006,N,N,,'C/V\.C/e\,NOUN,chose,8
127,entray,entray,101006,Vfin,Vfin,entrer,/V\.'C/V\,VERB,entrer,10
128,en,en,101007,Pre,Pre,en,/V\,ADP,en,10
129,lit,lit,101007,N,N,,C/V\,NOUN,lit,8
130,de,de,101007,Pre,Pre,de,C/(e)\,ADP,de,10
131,repos,repos,101007,N,N,,C/V\.'C/V\,NOUN,repos,8
132,",",",",101007,Pnc,Pnc,,,PUNCT,",",9
133,traveillable,traveillable,101007,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,travaillable,9
134,.,.,101007,Pnc,Pnc,,,PUNCT,.,9
135,Et,et,101007,Crd,Crd,et,/V\,CCONJ,et,10
136,comme,comme,101007,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
137,tost,tost,101007,Adv,Adv,tôt,C/V\,ADV,tôt,10
138,aprés,aprés,101007,PrA,PrA,après,/V\.'C/V\,ADV,après,10
139,",",",",101007,Pnc,Pnc,,,PUNCT,",",9
140,mes,mes,101007,Det,Det,mon,C/V\,DET,mon,10
141,sens,sens,101007,N,N,,C/V\,NOUN,sens,8
142,liez,liez,101007,Vpp,Vpp,lier,C/V\,VERB,lier,10
143,par,par,101007,Pre,Pre,par,C/V\,ADP,par,10
144,la,la,101007,Det,Det,le,C/V\,DET,le,10
145,pesanteur,pesanteur,101008,N,N,,C/V\.C/V\.'C/V\,NOUN,pesanteur,9
146,de,de,101008,Pre,Pre,de,C/(e)\,ADP,de,10
147,somme,somme,101008,N,N,,'C/V\.C/(e)\,NOUN,somme,8
148,",",",",101008,Pnc,Pnc,,,PUNCT,",",9
149,me,me,101008,Prn,Prn$$,me,C/(e)\,PRON,me,10
150,survenist,survenist,101008,Vfin,Vfin,survenir,C/V\.C/e\.'C/V\,VERB,survenir,10
151,merveilleuse,merveilleuse,101008,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,merveilleux,9
152,advision,advision,101008,N,N,,/V\.C/V\.C/{V}\.'/V\,NOUN,avision,9
153,en,en,101008,Pre,Pre,en,/V\,ADP,en,10
154,signe,signe,101008,N,N,,'C/V\.C/(e)\,NOUN,signe,3
155,d',d',101009,Pre,Pre,de,C/\,ADP,de,10
156,estrange,estrange,101009,Adj,Adj,,/V\.'C/V\.C/(e)\,ADJ,étrange,8
157,presage,presage,101009,N,N,,C/V\.'C/V\.C/(e)\,NOUN,presage,-10
158,",",",",101009,Pnc,Pnc,,,PUNCT,",",9
159,tout,tout,101009,QIs,QIs,tout,C/V\,ADV,tout,10
160,ne,ne,101009,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
161,soie,soie,101009,Vfin,Vfin,être,'C/V\./(e)\,VERB,être,10
162,mie,mie,101009,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10
163,Nabugodonozor,nabugodonozor,101009,N,N,,C/V\.C/V\.C/V\.C/V\.C/V\.'C/V\,PROPN,Nabucodonosor,9
164,",",",",101009,Pnc,Pnc,,,PUNCT,",",9
165,Scipion,scipion,101009,N,N,,C/V\.C/V\.'C/V\,PROPN,Scipion,9
166,ne,ne,101009,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
167,Joseph,joseph,101010,N,N,,C/V\.'C/V\,PROPN,Joseph,9
168,",",",",101010,Pnc,Pnc,,,PUNCT,",",9
169,ne,ne,101010,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
170,sont,sont,101010,Vfin,Vfin,être,C/V\,VERB,être,10
171,point,point,101010,Neg,Neg,point2,C/V\,ADV,point,10
172,veez,veez,101010,Vpp,Vpp,véer,C/(V)\.'/V\,VERB,véer,10
173,les,les,101010,Det,Det,le,C/V\,DET,le,10
174,secrez,secrez,101010,N,N,,C/V\.'C/V\,NOUN,secret,4
175,du,du,101010,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
176,Tres,tres,101010,Adv,Adv,très,C/V\,ADV,très,10
177,Hault,hault,101010,Adj,Adj,haut,C/V\,ADJ,haut,10
178,aux,aux,101010,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
179,bien,bien,101010,Adv,Adv,bien,C/V\,ADV,bien,10
180,simples,simples,101010,Adj,Adj,,'C/V\.C/e\,ADJ,simple,9
181,.,.,101010,Pnc,Pnc,,,PUNCT,.,9
182,Avis,avis,101011,N,N,,/V\.'C/V\,NOUN,avis,8
183,m',m',101011,Prn,Prn$$,me,C/\,PRON,me,10
184,estoit,estoit,101011,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
185,que,que,101011,Sub,Sub,que,C/(e)\,SCONJ,que,10
186,mon,mon,101011,Det,Det,mon,C/V\,DET,mon,10
187,esperit,esperit,101011,N,N,,/V\.C/e\.'C/V\,NOUN,esprit,8
188,laissoit,laissoit,101011,Vfin,Vfin,laisser,C/V\.'C/V\,VERB,laisser,10
189,son,son,101011,Det,Det,son4,C/V\,DET,son,10
190,corps,corps,101011,N,N,,C/V\,NOUN,corps,3
191,",",",",101011,Pnc,Pnc,,,PUNCT,",",9
192,et,et,101011,Crd,Crd,et,/V\,CCONJ,et,10
193,par,par,101011,Pre,Pre,par,C/V\,ADP,par,10
194,exemple,exemple,101011,N,N,,/V\.'C/V\.C/(e)\,NOUN,exemple,8
195,",",",",101011,Pnc,Pnc,,,PUNCT,",",9
196,tout,tout,101012,QIs,QIs,tout,C/V\,ADV,tout,10
197,ainsi,ainsi,101012,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10
198,que,que,101012,Sub,Sub,que,C/(e)\,SCONJ,que,10
199,maintes,maintes,101012,QIs,QIs,maint,'C/V\.C/e\,DET,maint,10
200,fois,fois,101012,N,N,,C/V\,NOUN,fois,3
201,en,en,101012,Pre,Pre,en,/V\,ADP,en,10
202,songe,songe,101012,N,N,,'C/V\.C/(e)\,NOUN,songe,5
203,",",",",101012,Pnc,Pnc,,,PUNCT,",",9
204,m',m',101012,Prn,Prn$$,me,C/\,PRON,me,10
205,a,a,101012,Vfin,Vfin,avoir,/V\,VERB,avoir,10
206,samblé,samblé,101012,Vpp,Vpp,sembler,C/V\.'C/V\,VERB,sembler,10
207,que,que,101012,Sub,Sub,que,C/(e)\,SCONJ,que,10
208,mon,mon,101012,Det,Det,mon,C/V\,DET,mon,10
209,corps,corps,101012,N,N,,C/V\,NOUN,corps,3
210,en,en,101012,Pre,Pre,en,/V\,ADP,en,10
211,l',l',101013,Det,Det,le,C/\,DET,le,10
212,air,air,101013,N,N,,/V\,NOUN,air,3
213,volast,volast,101013,Vfin,Vfin,voler,C/V\.'C/V\,VERB,voler,10
214,;,;,101013,Pnc,Pnc,,,PUNCT,;,9
215,m',m',101013,Prn,Prn$$,me,C/\,PRON,me,10
216,estoit,estoit,101013,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
217,adont,adont,101013,Adv,Adv,adonc,/V\.'C/V\,ADV,adonc,10
218,avis,avis,101013,N,N,,/V\.'C/V\,NOUN,avis,8
219,que,que,101013,Sub,Sub,que,C/(e)\,SCONJ,que,10
220,par,par,101013,Pre,Pre,par,C/V\,ADP,par,10
221,le,le,101013,Det,Det,le,C/(e)\,DET,le,10
222,soufflement,soufflement,101013,N,N,,C/V\.C/e\.'C/V\,NOUN,soufflement,8
223,de,de,101013,Pre,Pre,de,C/(e)\,ADP,de,10
224,divers,divers,101013,QIs,QIs,divers,C/V\.'C/V\,ADJ,divers,10
225,vens,vens,101014,N,N,,C/V\,NOUN,vent,3
226,mon,mon,101014,Det,Det,mon,C/V\,DET,mon,10
