wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
571,85,1,de,de,183,Pre,Pre,de,C/(e)\,ADP,de,10
572,85,2,male,male,183,Adj,Adj,mal2,'C/V\.C/(e)\,ADJ,mal,10
573,85,3,cogitation,cogitation,183,N,N,,C/V\.C/V\.C/V\.C/V\.'C/V\,NOUN,cogitation,9
574,85,4,.,.,183,Pnc,Pnc,,,PUNCT,.,9
575,86,1,jhesu,jhesu,184,N,N,,C/V\.'C/V\,PROPN,Jésus,9
576,86,2,",",",",184,Pnc,Pnc,,,PUNCT,",",9
577,86,3,jhesu,jhesu,184,N,N,,C/V\.'C/V\,PROPN,Jésus,9
578,86,4,",",",",184,Pnc,Pnc,,,PUNCT,",",9
579,86,5,le,le,184,Det,Det,le,C/(e)\,DET,le,10
580,86,6,fil,fil,184,N,N,,C/V\,NOUN,fils,3
581,86,7,marie,marie,184,N,N,,C/V\.'C/V\./(e)\,PROPN|NOUN,marier,0
582,86,8,",",",",184,Pnc,Pnc,,,PUNCT,",",9
583,87,1,de,de,185,Pre,Pre,de,C/(e)\,ADP,de,10
584,87,2,la,la,185,Det,Det,le,C/V\,DET,le,10
585,87,3,mort,mort,185,N,N,,C/V\,NOUN,mort,3
586,87,4,ne,ne,185,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
587,87,5,t',t',185,Prn,Prn$$,te,C/\,PRON,te,10
588,87,6,esmaier,esmaier,185,Vinf,Vinf,esmayer,/V\.C/V\.'C/V\,VERB,esmayer,10
589,87,7,mie,mie,185,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10
590,87,8,.,.,185,Pnc,Pnc,,,PUNCT,.,9
591,88,1,a,a,186,Pre,Pre,à,/V\,ADP,à,10
592,88,2,la,la,186,Det,Det,le,C/V\,DET,le,10
593,88,3,mort,mort,186,N,N,,C/V\,NOUN,mort,3
594,88,4,t',t',186,Prn,Prn$$,te,C/\,PRON,te,10
595,88,5,estuet,estuet,186,Vfin,Vfin,estovoir,/V\.'C/V\,VERB,estovoir,10
596,88,6,parvenir,parvenir,186,Vinf,Vinf,parvenir,C/V\.C/e\.'C/V\,VERB,parvenir,10
597,88,7,",",",",186,Pnc,Pnc,,,PUNCT,",",9
598,89,1,ce,ce,187,Dem,Dem,cist,C/(e)\,DET,cist,10
599,89,2,marrtyre,marrtyre,187,N,N,,C/V\.'C/V\.C/(e)\,NOUN,martyre,0
600,89,3,t',t',187,Prn,Prn$$,te,C/\,PRON,te,10
601,89,4,estuet,estuet,187,Vfin,Vfin,estovoir,/V\.'C/V\,VERB,estovoir,10
602,89,5,souffrir,souffrir,187,Vinf,Vinf,souffrir,C/V\.'C/V\,VERB,souffrir,10
603,89,6,.,.,187,Pnc,Pnc,,,PUNCT,.,9
604,90,1,diex,diex,188,N,N,,C/V\,NOUN,dieu,8
605,90,2,",",",",188,Pnc,Pnc,,,PUNCT,",",9
606,90,3,ton,ton,188,Det,Det,ton2,C/V\,DET,ton,10
607,90,4,pere,pere,188,N,N,,'C/V\.C/(e)\,NOUN,père,3
608,90,5,",",",",188,Pnc,Pnc,,,PUNCT,",",9
609,90,6,par,par,188,Pre,Pre,par,C/V\,ADP,par,10
610,90,7,moi,moi,188,Prn,Prn,moi,C/V\,PRON,moi,10
611,90,8,te,te,188,Prn,Prn$$,te,C/(e)\,PRON,te,10
612,90,9,mande,mande,188,Vfin,Vfin,mander,'C/V\.C/(e)\,VERB,mander,10
613,90,10,",",",",188,Pnc,Pnc,,,PUNCT,",",9
614,91,1,la,la,189,Det,Det,le,C/V\,DET,le,10
615,91,2,mort,mort,189,N,N,,C/V\,NOUN,mort,3
