wd_id,word,lex_id,pos_nca,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1014,ce,ce,PRO:invar,27,Prn,Prn,ce,C/(e)\,PRON,ce,10
1015,?,?,PON,27,Pnc,Pnc,,,PUNCT,?,9
1016,"""","""",PON:cit,27,Pnc,Pnc,,,PUNCT,"""",9
1017,et,et,CON:coord,27,Crd,Crd,et,/V\,CCONJ,et,10
1018,je,je,PRO:pers:suj:1:sg:unb,27,Prn,Prn$,je,C/(e)\,PRON,je,10
1019,li,li,PRO:pers:suj:3:masc:sg:bet,27,Prn,Prn$$,li,C/V\,PRON,li,10
1020,diz,diz,VER:simp:1:sg,27,Vfin,Vfin,dire,C/V\,VERB,dire,10
1021,que,que,PROCON,27,Sub,Sub,que,C/(e)\,SCONJ,que,10
1022,encore,encore,ADV,27,Adv,Adv,encore,/V\.'C/V\.C/(e)\,ADV,encore,10
1023,li,li,PRO:pers:suj:3:masc:sg:bet,27,Prn,Prn$$,li,C/V\,PRON,li,10
1024,disoie,disoie,VER:impf:1:sg,27,Vfin,Vfin,dire,C/V\.'C/V\./(e)\,VERB,dire,10
1025,-,-,PON,27,Pnc,Pnc,,,PUNCT,-,9
1026,je,je,PRO:pers:suj:1:sg:unb,27,Prn,Prn,je,C/(e)\,PRON,je,10
1027,.,.,PON,27,Pnc,Pnc,,,PUNCT,.,9
1028,et,et,CON:coord,27,Crd,Crd,et,/V\,CCONJ,et,10
1029,il,il,PRO:pers:suj:3:masc:sg:unb,27,Prn,Prn$,il,/V\,PRON,il,10
1030,me,me,PRO:pers:obj:1:sg:unb,27,Prn,Prn$$,me,C/(e)\,PRON,me,10
1031,dit,dit,VER:simp:3:sg,27,Vfin,Vfin,dire,C/V\,VERB,dire,10
1032,:,:,PON,27,Pnc,Pnc,,,PUNCT,:,9
1033,',',PON:cit,27,Pnc,Pnc,,,PUNCT,',8
1034,vous,vous,PRO:pers:2:pl,27,Prn,Prn$,vous,C/V\,PRON,vous,10
1035,deistes,deistes,VER:simp:2:pl,27,Vfin,Vfin,dire,C/(V)\.'/V\.C/e\,VERB,dire,10
1036,comme,comme,CON:subord,27,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
1037,hastis,hastis,ADJ:suj:masc:sg,27,Adj,Adj,,C/V\.'C/V\,ADJ,hâtif,9
1038,musarz,musarz,NOM:suj:masc:sg,27,N,N,,C/V\.'C/V\,NOUN,musard,9
1039,",",",",PON,27,Pnc,Pnc,,,PUNCT,",",9
1040,car,car,CON:coord,27,Crd,Crd,car,C/V\,CCONJ,car,10
1041,nulle,nulle,DET:ind:suj:femi:sg,27,QIs,QIs,nul,'C/V\.C/(e)\,DET,nul,10
1042,si,si,PROCON,27,Adv,Adv,si4,C/V\,ADV,si,10
1043,laide,laide,ADJ:suj:femi:sg,27,Adj,Adj,laid,'C/V\.C/(e)\,ADJ,laid,10
1044,mezelerie,mezelerie,NOM:suj:femi:sg,27,N,N,,C/V\.C/V\.C/e\.'C/V\./(e)\,NOUN,mésellerie,0
1045,n,n,PRO:clit,27,Neg,Neg$$,ne,C/\,ADV,ne,10
1046,est,est,VER:pres:3:sg,27,Vfin,Vfin,être,/V\,VERB,être,10
1047,comme,comme,CON:subord,27,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
1048,d,d',PRE,27,Pre,Pre,de,C/\,ADP,de,10
1049,estre,estre,VER:infi,27,Vinf,Vinf,être,'/V\.C/(e)\,VERB,être,10
