wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
63,12,1,et,et,12,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
64,12,2,especiaulmant,especiaulmant,12,ADV,Adv,Adv,,/V\.C/V\.C/{V}\./V\.'C/V\,ADV,espécialement,0
65,12,3,iciaux,iciaux,12,PRO:demo:obj:masc:pl,Dem,Dem,cil,/V\.'C/V\,PRON,cil,10
66,13,1,das,das,13,PREDET:de:obj:masc:pl,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
67,13,2,quex,quex,13,ADJ:obj:masc:pl,Qux,Qux,quel,C/V\,DET,quel,10
68,13,3,leus,leus,13,NOM:obj:masc:pl,N,N,,C/V\,NOUN,lieu,3
69,13,4,et,et,13,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
70,13,5,das,das,13,PREDET:de:obj:femi:pl,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
71,13,6,quex,quex,13,ADJ:obj:femi:pl,Qux,Qux,quel,C/V\,DET,quel,10
72,13,7,contrees,contrees,13,NOM:obj:femi:pl,N,N,,C/V\.'C/V\./e\,NOUN,contrée,8
73,13,8,",",",",13,PON,Pnc,Pnc,,,PUNCT,",",9
74,14,1,as,as,14,PREDET:a:obj:masc:pl,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
75,14,2,quex,quex,14,ADJ:obj:masc:pl,Qux,Qux,quel,C/V\,PRON,quel,10
76,14,3,seront,seront,14,VER:futu:3:pl,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10
77,14,4,armes,armes,14,NOM:suj:femi:pl,N,N,,'/V\.C/e\,NOUN,arme,3
78,14,5,donees,donees,14,VER:pper:femi:pl,Vpp,Vpp,donner,C/V\.'C/V\./e\,VERB,donner,10
79,14,6,;,;,14,PON,Pnc,Pnc,,,PUNCT,;,9
80,15,1,et,et,15,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
81,15,2,quex,quex,15,ADJ:obj:masc:pl,Qux,Qux,quel,C/V\,DET,quel,10
82,15,3,chevaliers,chevaliers,15,NOM:obj:masc:pl,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,8
83,15,4,on,on,15,PRO:invar,Prn,Prn$,on,/V\,PRON,on,10
84,15,5,doit,doit,15,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10
85,15,6,prandre,prandre,15,VER:infi,Vinf,Vinf,prendre,'C/V\.C/(e)\,VERB,prendre,10
86,16,1,a,a,16,PRE,Pre,Pre,à,/V\,ADP,à,10
87,16,2,l',l',16,DET:def:obj:masc:sg,Det,Det,le,C/\,DET,le,10
88,16,3,usaige,usaige,16,NOM:obj:masc:sg,N,N,,/V\.'C/V\.C/(e)\,NOUN,usage,9
89,16,4,d',d',16,PRE,Pre,Pre,de,C/\,ADP,de,10
90,16,5,armes,armes,16,NOM:obj:femi:pl,N,N,,'/V\.C/e\,NOUN,arme,3
91,16,6,aprandre,aprandre,16,VER:infi,Vinf,Vinf,apprendre,/V\.'C/V\.C/(e)\,VERB,apprendre,10
92,16,7,;,;,16,PON,Pnc,Pnc,,,PUNCT,;,9
93,17,1,comant,comant,17,ADV,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10
94,17,2,on,on,17,PRO:invar,Prn,Prn$,on,/V\,PRON,on,10
95,17,3,las,las,17,PRO:pers:acc:3:masc:pl,Prn,Prn$$,le,C/V\,PRON,le,10
96,17,4,doit,doit,17,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10
97,17,5,aprover,aprover,17,VER:infi,Vinf,Vinf,approuver,/V\.C/V\.'C/V\,VERB,approuver,10
98,17,6,",",",",17,PON,Pnc,Pnc,,,PUNCT,",",9
99,18,1,si,si,18,PROCON,Adv,Adv,si4,C/V\,ADV,si,10
100,18,2,c',c',18,PROCON,Sub,Sub,que,C/\,SCONJ,que,10
101,18,3,on,on,18,PRO:invar,Prn,Prn$,on,/V\,PRON,on,10
