wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
1,1,1,desploiez,desploiez,2501,Vfin,Vfin,déployer,7s,---,C/V\.C/V\.'C/V\,VERB,déployer,10
2,1,2,vostre,vostre,2501,Det,Det,votre,7s,---,'C/V\.C/(e)\,DET,votre,10
3,1,3,banniere,banniere,2501,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,bannière,9
4,1,4,",",",",2501,Pnc,Pnc,,7s,---,,PUNCT,",",9
5,2,1,loyauté,loyauté,2502,N,N,,7s,---,C/V\.C/V\.'C/V\,NOUN,loyauté,9
6,2,2,",",",",2502,Pnc,Pnc,,7s,---,,PUNCT,",",9
7,2,3,je,je,2502,Prn,Prn$,je,7s,---,C/(e)\,PRON,je,10
8,2,4,vous,vous,2502,Prn,Prn$$,vous,7s,---,C/V\,PRON,vous,10
9,2,5,en,en,2502,Prn,Prn$$,en2,7s,---,/V\,PRON,en,10
10,2,6,prie,prie,2502,Vfin,Vfin,prier,7s,---,'C/V\./(e)\,VERB,prier,10
11,2,7,",",",",2502,Pnc,Pnc,,7s,---,,PUNCT,",",9
12,3,1,et,et,2503,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
13,3,2,assailliez,assailliez,2503,Vfin,Vfin,assaillir,7s,---,/V\.C/V\.'C/V\,VERB,assaillir,10
14,3,3,la,la,2503,Det,Det,le,7s,---,C/V\,DET,le,10
15,3,4,frontiere,frontiere,2503,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,frontière,9
16,4,1,ou,ou,2504,Crd,Crd,ou,7s,---,/V\,CCONJ,ou,10
17,4,2,deuil,deuil,2504,N,N,,7s,---,C/V\,NOUN,deuil,9
18,4,3,et,et,2504,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
19,4,4,merencolie,merencolie,2504,N,N,,7s,---,C/V\.C/V\.C/V\.'C/V\./(e)\,NOUN,mélancolie,8
20,4,5,",",",",2504,Pnc,Pnc,,7s,---,,PUNCT,",",9
21,5,1,a,a,2505,Pre,Pre,à,7s,---,/V\,ADP,à,10
22,5,2,tort,tort,2505,N,N,,7s,---,C/V\,NOUN,tort,8
23,5,3,et,et,2505,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
24,5,4,par,par,2505,Pre,Pre,par,7s,---,C/V\,ADP,par,10
