wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
69,12,1,ce,ce,612,Prn,Prn$,ce,7s,---,C/(e)\,PRON,ce,10
70,12,2,donc,donc,612,Qux,Qux,dont,7s,---,C/V\,PRON,dont,10
71,12,3,je,je,612,Prn,Prn$,je,7s,---,C/(e)\,PRON,je,10
72,12,4,me,me,612,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
73,12,5,vois,vois,612,Vfin,Vfin,aller,7s,---,C/V\,VERB,aller,10
74,12,6,hastant,hastant,612,Vprs,Vprs,hâter,7s,---,C/V\.'C/V\,VERB,hâter,10
75,12,7,;,;,612,Pnc,Pnc,,7s,---,,PUNCT,;,9
76,13,1,mais,mais,613,Crd,Crd,mais,7s,---,C/V\,CCONJ,mais,10
77,13,2,n',n',613,Neg,Neg,ne,7s,---,C/\,ADV,ne,10
78,13,3,est,est,613,Vfin,Vfin,être,7s,---,/V\,VERB,être,10
79,13,4,droiz,droiz,613,N,Adj,droit2,7s,---,C/V\,NOUN,droit,10
80,13,5,qu',qu',613,Sub,Sub,que,7s,---,C/\,SCONJ,que,10
81,13,6,autrui,autrui,613,Adj,Adj,autrui,7s,---,/V\.'C/V\,ADJ,autrui,10
82,13,7,acueille,acueille,613,Vfin,Vfin,accueillir,7s,---,/V\.'C/V\.C/(e)\,VERB,accueillir,10
83,13,8,",",",",613,Pnc,Pnc,,7s,---,,PUNCT,",",9
84,14,1,quar,quar,614,Crd,Crd,car,7s,---,C/V\,CCONJ,car,10
85,14,2,nus,nus,614,QIs,QIs,nul,7s,---,C/V\,DET,nul,10
86,14,3,hom,hom,614,N,N,,7s,---,/V\,NOUN,homme,8
87,14,4,ne,ne,614,Neg,Neg,ne,7s,---,C/(e)\,ADV,ne,10
88,14,5,l',l',614,Prn,Prn$$,le,7s,---,C/\,PRON,le,10
89,14,6,aime,aime,614,Vfin,Vfin,aimer,7s,---,'/V\.C/(e)\,VERB,aimer,10
90,14,7,tant,tant,614,QIs,QIs,tant,7s,---,C/V\,ADV,tant,10
91,14,8,.,.,614,Pnc,Pnc,,7s,---,,PUNCT,.,9
92,15,1,las,las,615,Adj,Adj,las,7s,---,C/V\,ADJ,las,10
93,15,2,!,!,615,Pnc,Pnc,,7s,---,,PUNCT,!,9
94,15,3,amors,amors,615,N,N,,7s,---,/V\.'C/V\,NOUN,amour,3
95,15,4,puis,puis,615,PrA,PrA,puis,7s,---,C/V\,ADV,puis,10
96,15,5,que,que,615,Sub,Sub,que,7s,---,C/(e)\,SCONJ,que,10
97,15,6,s',s',615,Det,Det,son4,7s,---,C/\,DET,son,10
98,15,7,orgueille,orgueille,615,N,N,,7s,---,/V\.'C/V\.C/(e)\,NOUN,orgueil,5
99,16,1,ne,ne,616,Neg,Neg,ne,7s,---,C/(e)\,ADV,ne,10
100,16,2,quiert,quiert,616,Vfin,Vfin,quérir,7s,---,C/V\,VERB,quérir,10
101,16,3,pas,pas,616,Neg,Neg,pas,7s,---,C/V\,ADV,pas,10
102,16,4,loial,loial,616,Adj,Adj,,7s,---,C/V\.'C/V\,ADJ,loyal,9
103,16,5,amant,amant,616,Vprs,Vprs,aimer,7s,---,/V\.'C/V\,VERB,aimer,10
104,16,6,",",",",616,Pnc,Pnc,,7s,---,,PUNCT,",",9
105,17,1,ainz,ainz,617,,Crd,ains,7s,---,/V\,ADV,ains,10
106,17,2,chiét,chiét,617,Vfin,Vfin,choir,7s,---,C/V\,VERB,choir,10
107,17,3,en,en,617,Pre,Pre,en,7s,---,/V\,ADP,en,10
108,17,4,desesperant,desesperant,617,Vprs,Vprs,désespérer,7s,---,C/V\.C/V\.C/e\.'C/V\,VERB,désespérer,10
109,17,5,",",",",617,Pnc,Pnc,,7s,---,,PUNCT,",",9
