wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
1,1,1,comme,comme,201,Sub,Sub,comme,8s,---,'C/V\.C/(e)\,SCONJ,comme,10
2,1,2,oseroit,oseroit,201,Vfin,Vfin,oser,8s,---,/V\.C/e\.'C/V\,VERB,oser,10
3,1,3,la,la,201,Det,Det,le,8s,---,C/V\,DET,le,10
4,1,4,bouche,bouche,201,N,N,,8s,---,'C/V\.C/(e)\,NOUN,bouche,3
5,1,5,dire,dire,201,Vinf,Vinf,dire,8s,---,'C/V\.C/(e)\,VERB,dire,10
6,2,1,ce,ce,202,Prn,Prn,ce,8s,---,C/(e)\,PRON,ce,10
7,2,2,que,que,202,Qux,Qux,que,8s,---,C/(e)\,PRON,que,10
8,2,3,le,le,202,Det,Det,le,8s,---,C/(e)\,DET,le,10
9,2,4,cuer,cuer,202,N,N,,8s,---,C/V\,NOUN,coeur,3
10,2,5,pas,pas,202,Neg,Neg,pas,8s,---,C/V\,ADV,pas,10
11,2,6,penser,penser,202,Vinf,Vinf,penser,8s,---,C/V\.'C/V\,VERB,penser,10
12,2,7,n',n',202,Neg,Neg,ne,8s,---,C/\,ADV,ne,10
13,2,8,ose,ose,202,Vfin,Vfin,oser,8s,---,'/V\.C/(e)\,VERB,oser,10
14,2,9,?,?,202,Pnc,Pnc,,8s,---,,PUNCT,?,9
15,3,1,comment,comment,203,Qux,Qux,comment,8s,---,C/V\.'C/V\,ADV,comment,10
16,3,2,requerray,requerray,203,Vfin,Vfin,requérir,8s,---,C/V\.C/e\.'C/V\,VERB,requérir,10
17,3,3,je,je,203,Prn,Prn%,je,8s,---,C/(e)\,PRON,je,10
18,3,4,la,la,203,Det,Det,le,8s,---,C/V\,DET,le,10
19,3,5,chose,chose,203,N,N,,8s,---,'C/V\.C/(e)\,NOUN,chose,8
20,4,1,que,que,204,Qux,Qux,que,8s,---,C/(e)\,ADJ|ADV|DET|PRON,que,10
21,4,2,je,je,204,Prn,Prn$,je,8s,---,C/(e)\,PRON,je,10
22,4,3,n',n',204,Neg,Neg,ne,8s,---,C/\,ADV,ne,10
23,4,4,ay,ay,204,Vfin,Vfin,avoir,8s,---,/V\,VERB,avoir,10
24,4,5,hardement,hardement,204,N,N,,8s,---,C/V\.C/e\.'C/V\,NOUN,hardement,8
25,4,6,d',d',204,Pre,Pre,de,8s,---,C/\,ADP,de,10
26,4,7,escrire,escrire,204,Vinf,Vinf,écrire,8s,---,/V\.'C/V\.C/(e)\,VERB,écrire,10
