wd_id,word,lex_id,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1664,;,;,9,Pnc,Pnc,,,PUNCT,;,9
1665,mais,mais,9,Crd,Crd,mais,C/V\,CCONJ,mais,10
1666,ainçois,ainçois,9,Adv,Adv,ainçois,/V\.'C/V\,ADV,ainçois,10
1667,que,que,9,Sub,Sub,que,C/(e)\,SCONJ,que,10
1668,elle,elle,9,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
1669,s',s',9,Prn,Prn$$,se,C/\,PRON,se,10
1670,en,en,9,Prn,Prn$$,en2,/V\,PRON,en,10
1671,apperceüst,apperceust,9,Vfin,Vfin,apercevoir,/V\.C/V\.C/(V)\.'/V\,VERB,apercevoir,10
1672,",",",",9,Pnc,Pnc,,,PUNCT,",",9
1673,elle,elle,9,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
1674,ot,ot,9,Vfin,Vfin,avoir,/V\,VERB,avoir,10
1675,grant,grant,9,Adj,Adj,grand,C/V\,ADJ,grand,10
1676,merveille,merveille,9,N,N,,C/V\.'C/V\.C/(e)\,NOUN,merveille,8
1677,que,que,9,Qux,Qux,que,C/(e)\,PRON,que,10
1678,ce,ce,9,Prn,Prn,ce,C/(e)\,PRON,ce,10
1679,pouoit,pouoit,9,Vfin,Vfin,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10
1680,estre,estre,9,Vinf,Vinf,être,'/V\.C/(e)\,VERB,être,10
1681,",",",",9,Pnc,Pnc,,,PUNCT,",",9
1682,et,et,9,Crd,Crd,et,/V\,CCONJ,et,10
1683,en,en,9,Prn,Prn$$,en2,/V\,PRON,en,10
1684,fu,fu,9,Vfin,Vfin,être,C/V\,VERB,être,10
1685,si,si,9,Adv,Adv,si4,C/V\,ADV,si,10
1686,esbaÿe,esbaye,9,Vpp,Vpp,,/V\.C/V\.'C/V\./(e)\,VERB,ébahir,9
1687,que,que,9,Sub,Sub,que,C/(e)\,SCONJ,que,10
1688,elle,elle,9,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
1689,en,en,9,Prn,Prn$$,en2,/V\,PRON,en,10
1690,mua,mua,9,Vfin,Vfin,muer,C/V\.'C/V\,VERB,muer,10
1691,couleur,couleur,9,N,N,,C/V\.'C/V\,NOUN,couleur,9
1692,",",",",9,Pnc,Pnc,,,PUNCT,",",9
1693,mais,mais,9,Crd,Crd,mais,C/V\,CCONJ,mais,10
1694,les,les,9,Det,Det,le,C/V\,DET,le,10
1695,damoiselles,damoiselles,9,N,N,,C/V\.C/V\.'C/V\.C/e\,NOUN,damoiselle,8
1696,qui,qui,9,Qux,Qux,qui,C/V\,PRON,qui,10
1697,estoient,estoient,9,Vfin,Vfin,être,/V\.'C/V\./e\,VERB,être,10
1698,entour,entour,9,PrA,PrA,entour,/V\.'C/V\,ADP,entour,10
1699,elle,elle,9,Prn,Prn,elle,'/V\.C/(e)\,PRON,elle,10
1700,la,la,9,Prn,Prn$$,le,C/V\,PRON,le,10
1701,reconforterent,reconforterent,9,Vfin,Vfin,,C/V\.C/V\.C/V\.'C/V\.C/e\,VERB,réconforter,9
1702,et,et,9,Crd,Crd,et,/V\,CCONJ,et,10
1703,asseürerent,asseurerent,9,Vfin,Vfin,assurer,/V\.C/(V)\./V\.'C/V\.C/e\,VERB,assurer,10
1704,tant,tant,9,QIs,QIs,tant,C/V\,ADV,tant,10
1705,que,que,9,Sub,Sub,que,C/(e)\,SCONJ,que,10
1706,elle,elle,9,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
1707,sceut,sceut,9,Vfin,Vfin,savoir,C/V\,VERB,savoir,10
1708,certainement,certainement,9,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,certainement,9
1709,que,que,9,Sub,Sub,que,C/(e)\,SCONJ,que,10
1710,elle,elle,9,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
1711,estoit,estoit,9,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
1712,ençainte,ençainte,9,Adj,Adj,,/V\.'C/V\.C/(e)\,ADJ,enceinte,8
1713,de,de,9,Pre,Pre,de,C/(e)\,ADP,de,10
1714,vif,vif,9,Adj,Adj,vif,C/V\,ADJ,vif,10
1715,enfant,enfant,9,N,N,,/V\.'C/V\,NOUN,enfant,3
1716,",",",",9,Pnc,Pnc,,,PUNCT,",",9
1717,dont,dont,9,Qux,Qux,dont,C/V\,PRON,dont,10
1718,elle,elle,9,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
1719,ot,ot,9,Vfin,Vfin,avoir,/V\,VERB,avoir,10
1720,si,si,9,Adv,Adv,si4,C/V\,ADV,si,10
1721,grant,grant,9,Adj,Adj,grand,C/V\,ADJ,grand,10
1722,joye,joye,9,N,N,,'C/V\./(e)\,NOUN,joie,8
1723,de,de,9,Pre,Pre,de,C/(e)\,ADP,de,10
1724,celle,celle,9,Dem,Dem,cil,'C/V\.C/(e)\,DET,cil,10
1725,aventure,aventure,9,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,aventure,8
1726,que,que,9,Sub,Sub,que,C/(e)\,SCONJ,que,10
1727,je,je,9,Prn,Prn$,je,C/(e)\,PRON,je,10
