wd_id,word,lex_id,pos_nca,chapter_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
211,commencié,commencié,VER:pper:masc:sg,5,156,Vpp,Vpp,commencer,C/V\.C/V\.'C/V\,VERB,commencer,10
212,a,a,PRE,5,156,Pre,Pre,à,/V\,ADP,à,10
213,venir,venir,VER:infi,5,156,Vinf,Vinf,venir,C/V\.'C/V\,VERB,venir,10
214,au,au,PREDET:a:obj:masc:sg,5,156,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
215,tombel,tombel,NOM:obj:masc:sg,5,156,N,N,,C/V\.'C/V\,NOUN,tombel,3
216,du,du,PREDET:de:obj:masc:sg,5,156,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
217,benoiet,benoiet,ADJ:obj:masc:sg,5,156,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,UNKNOWN,-10
218,saint,saint,ADJ:obj:masc:sg,5,156,Adj,Adj,saint,C/V\,ADJ,saint,10
219,loys,loys,NPR:obj:masc:sg,5,156,N,N,,C/V\,NOUN,loi,3
220,pour,pour,PRE,5,156,Pre,Pre,pour,C/V\,ADP,pour,10
221,sante,santé,NOM:obj:femi:sg,5,156,N,N,,C/V\.'C/V\,NOUN,sente,3
222,recouvrer,recouvrer,VER:infi,5,156,Vinf,Vinf,recouvrer,C/V\.C/V\.'C/V\,VERB,recouvrer,10
223,",",",",PON,5,156,Pnc,Pnc,,,PUNCT,",",9
224,la,la,DET:def:suj:femi:sg,5,156,Det,Det,le,C/V\,DET,le,10
225,dite,dite,VER:pper:femi:sg,5,156,Vpp,Vpp,dire,'C/V\.C/(e)\,VERB,dire,10
226,amelot,amelot,NPR:suj:femi:sg,5,156,N,N,,/V\.C/e\.'C/V\,NOUN,Amelot,2
227,vint,vint,VER:simp:3:sg,5,156,Vfin,Vfin,venir,C/V\,VERB,venir,10
228,ensement,ensement,ADV,5,156,Adv,Adv,ensement,/V\.C/e\.'C/V\,ADV,ensement,10
229,au,au,PREDET:a:obj:masc:sg,5,156,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
230,dit,dit,VER:pper:masc:sg,5,156,Vpp,Vpp,dire,C/V\,VERB,dire,10
231,tombel,tombel,NOM:obj:masc:sg,5,156,N,N,,C/V\.'C/V\,NOUN,tombel,3
232,et,et,CON:coord,5,156,Crd,Crd,et,/V\,CCONJ,et,10
233,gesoit,gesoit,VER:impf:3:sg,5,156,Vfin,Vfin,gésir,C/V\.'C/V\,VERB,gésir,10
234,ilecques,ilecques,ADV,5,156,Adv,Adv,illuec,/V\.'C/V\.C/e\,ADV,illuec,10
235,par,par,PRE,5,156,Pre,Pre,par,C/V\,ADP,par,10
236,pluseurs,pluseurs,DET:ind:obj:masc:pl,5,156,QIs,QIs,plusieurs,C/V\.'C/V\,DET,plusieurs,10
237,jours,jours,NOM:obj:masc:pl,5,156,N,N,,C/V\,NOUN,jour,8
238,.,.,PON,5,156,Pnc,Pnc,,,PUNCT,.,9
239,et,et,CON:coord,5,157,Crd,Crd,et,/V\,CCONJ,et,10
240,du,du,PREDET:de:obj:masc:sg,5,157,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
241,commencement,commencement,NOM:obj:masc:sg,5,157,N,N,,C/V\.C/V\.C/e\.'C/V\,NOUN,commencement,8
242,",",",",PON,5,157,Pnc,Pnc,,,PUNCT,",",9
243,comme,comme,CON:subord,5,157,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
244,la,la,DET:def:suj:femi:sg,5,157,Det,Det,le,C/V\,DET,le,10
245,dite,dite,VER:pper:femi:sg,5,157,Vpp,Vpp,dire,'C/V\.C/(e)\,VERB,dire,10
246,amelot,amelot,NPR:suj:femi:sg,5,157,N,N,,/V\.C/e\.'C/V\,NOUN,Amelot,2
247,vousist,vousist,VER:subi:3:sg,5,157,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10
248,venir,venir,VER:infi,5,157,Vinf,Vinf,venir,C/V\.'C/V\,VERB,venir,10
249,au,au,PREDET:a:obj:masc:sg,5,157,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
250,dit,dit,VER:pper:masc:sg,5,157,Vpp,Vpp,dire,C/V\,VERB,dire,10
