wd_id,word,lex_id,pos_nca,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,de,de,PRE,12,Pre,Pre,de,C/(e)\,ADP,de,10
2,ces,ces,DET:demo:obj:masc:pl,12,Dem,Dem,cist,C/V\,DET,cist,10
3,messages,messages,NOM:obj:masc:pl,12,N,N,,C/V\.'C/V\.C/e\,NOUN,message,8
4,envoia,envoia,VER:simp:3:sg,12,Vfin,Vfin,envoyer,/V\.C/V\.'C/V\,VERB,envoyer,10
5,thiebauz,thiebauz,NPR:suj:masc:sg,12,N,N,,C/V\.C/e\.'C/V\,NOUN,Thiébaut,2
6,li,li,DET:def:suj:masc:sg,12,Det,Det,le,C/V\,DET,le,10
7,quens,quens,NOM:suj:masc:sg,12,N,N,,C/V\,NOUN,comte,8
8,de,de,PRE,12,Pre,Pre,de,C/(e)\,ADP,de,10
9,campaigne,campaigne,NPR:obj:femi:sg,12,N,N,,C/V\.'C/V\.C/(e)\,NOUN,campagne,3
10,et,et,CON:coord,12,Crd,Crd,et,/V\,CCONJ,et,10
11,de,de,PRE,12,Pre,Pre,de,C/(e)\,ADP,de,10
12,brie,brie,NPR:obj:femi:sg,12,N,N,,'C/V\./(e)\,NOUN,brie,8
13,.ii.,.ii.,ADJ:card,12,QIs,QIs,deux,C/V\,NUM,deux,10
14,et,et,CON:coord,12,Crd,Crd,et,/V\,CCONJ,et,10
15,baudoins,baudoins,NPR:suj:masc:sg,12,N,N,,C/V\.'C/V\,NOUN,baudoin,-10
16,li,li,DET:def:suj:masc:sg,12,Det,Det,le,C/V\,DET,le,10
17,quens,quens,NOM:suj:masc:sg,12,N,N,,C/V\,NOUN,comte,8
18,de,de,PRE,12,Pre,Pre,de,C/(e)\,ADP,de,10
19,flandres,flandres,NPR:obj:femi:pl,12,N,N,,'C/V\.C/e\,NOUN,Flandres,2
20,et,et,CON:coord,12,Crd,Crd,et,/V\,CCONJ,et,10
21,hennaut,hennaut,NPR:obj:masc:sg,12,N,N,,C/V\.'C/V\,NOUN,hanaud,-10
22,.ii.,.ii.,ADJ:card,12,QIs,QIs,deux,C/V\,NUM,deux,10
23,et,et,CON:coord,12,Crd,Crd,et,/V\,CCONJ,et,10
24,lois,loïs,NPR:suj:masc:sg,12,N,N,,C/V\.'C/V\,NOUN,loi,3
25,li,li,DET:def:suj:masc:sg,12,Det,Det,le,C/V\,DET,le,10
