wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
35,6,4,dieu,dieu,N,N,,C/V\,NOUN,dieu,3
36,6,5,me,me,Prn,Prn$$,me,C/(e)\,PRON,me,10
37,6,6,gart,gart,Vfin,Vfin,garder,C/V\,VERB,garder,10
38,6,7,d',d',Pre,Pre,de,C/\,ADP,de,10
39,6,8,annui,annui,N,N,,/V\.'C/V\,NOUN,ennui,9
40,6,9,",",",",Pnc,Pnc,,,PUNCT,",",9
41,7,1,g',g',Prn,Prn$,je,C/\,PRON,je,10
42,7,2,y,y,Prn,Prn$$,y2,/V\,PRON,y,10
43,7,3,envoiay,envoiay,Vfin,Vfin,envoyer,/V\.C/V\.'C/V\,VERB,envoyer,10
44,7,4,des,des,Pre,Pre,dès,C/V\,ADP,dès,10
45,7,5,devant,devant,PrA,PrA,devant,C/V\.'C/V\,ADP,devant,10
46,7,6,hier,hier,Adv,Adv,hier,/V\,ADV,hier,10
47,7,7,",",",",Pnc,Pnc,,,PUNCT,",",9
48,8,1,et,et,Crd,Crd,et,/V\,CCONJ,et,10
49,8,2,m',m',Prn,Prn$$,me,C/\,PRON,me,10
50,8,3,a,a,Vfin,Vfin,avoir,/V\,VERB,avoir,10
51,8,4,mandé,mandé,Vpp,Vpp,mander,C/V\.'C/V\,VERB,mander,10
52,8,5,frere,frere,N,N,,'C/V\.C/(e)\,NOUN,frère,8
53,8,6,gautier,gautier,N,N,,C/V\.'C/V\,PROPN|NOUN,gautier|Gauthier,-1
54,9,1,que,que,Sub,Sub,que,C/(e)\,SCONJ,que,10
55,9,2,sanz,sanz,Pre,Pre,sans,C/V\,ADP,sans,10
56,9,3,faillir,faillir,Vinf,Vinf,faillir,C/V\.'C/V\,VERB,faillir,10
57,9,4,icy,icy,Adv,Adv,ici,/V\.'C/V\,ADV,ici,10
58,9,5,venra,venra,Vfin,Vfin,venir,C/V\.'C/V\,VERB,venir,10
59,10,1,je,je,Prn,Prn$,je,C/(e)\,PRON,je,10
60,10,2,ne,ne,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
61,10,3,say,say,Vfin,Vfin,savoir,C/V\,VERB,savoir,10
62,10,4,si,si,Adv,Adv,si4,C/V\,ADV,si,10
63,10,5,me,me,Prn,Prn$$,me,C/(e)\,PRON,me,10
64,10,6,mentira,mentira,Vfin,Vfin,mentir,C/V\.C/V\.'C/V\,VERB,mentir,10
65,11,1,de,de,Pre,Pre,de,C/(e)\,ADP,de,10
66,11,2,sa,sa,Det,Det,son4,C/V\,DET,son,10
67,11,3,promesse,promesse,N,N,,C/V\.'C/V\.C/(e)\,NOUN,promesse,9
68,11,4,.,.,Pnc,Pnc,,,PUNCT,.,9
69,12,1,nanil,nanil,NVP,NVP,nenni,C/V\.'C/V\,ADV,nenni,10
70,12,2,voir,voir,Adv,Adv,voir2,C/V\,ADV,voir,10
71,12,3,:,:,Pnc,Pnc,,,PUNCT,:,9
72,12,4,espoir,espoir,Adv,Adv,espoir2,/V\.'C/V\,ADV,espoir,10
73,12,5,qu',qu',Sub,Sub,que,C/\,SCONJ,que,10
74,12,6,il,il,Prn,Prn$,il,/V\,PRON,il,10
75,12,7,confesse,confesse,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,confesser,8
76,12,8,",",",",Pnc,Pnc,,,PUNCT,",",9
77,13,1,ou,ou,Crd,Crd,ou,/V\,CCONJ,ou,10
78,13,2,qu',qu',Sub,Sub,que,C/\,SCONJ,que,10
79,13,3,il,il,Prn,Prn$,il,/V\,PRON,il,10
80,13,4,chante,chante,Vfin,Vfin,chanter,'C/V\.C/(e)\,VERB,chanter,10
81,13,5,ou,ou,Crd,Crd,ou,/V\,CCONJ,ou,10
82,13,6,qu',qu',Sub,Sub,que,C/\,SCONJ,que,10
83,13,7,il,il,Prn,Prn$,il,/V\,PRON,il,10
84,13,8,estudie,estudie,Vfin,Vfin,,/V\.C/V\.'C/V\./(e)\,VERB,étudier,8
85,13,9,;,;,Pnc,Pnc,,,PUNCT,;,9
86,14,1,je,je,Prn,Prn$,je,C/(e)\,PRON,je,10
87,14,2,ne,ne,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
88,14,3,doubt,doubt,Vfin,Vfin,,C/V\,VERB,douter,9
89,14,4,point,point,Neg,Neg,point2,C/V\,ADV,point,10
90,14,5,",",",",Pnc,Pnc,,,PUNCT,",",9
91,14,6,conment,conment,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10
92,14,7,c',c',Sub,Sub,que,C/\,SCONJ,que,10
93,14,8,on,on,Prn,Prn$,on,/V\,PRON,on,10
94,14,9,die,die,Vfin,Vfin,dire,'C/V\./(e)\,VERB,dire,10
95,14,10,",",",",Pnc,Pnc,,,PUNCT,",",9
96,15,1,que,que,Sub,Sub,que,C/(e)\,SCONJ,que,10
97,15,2,ci,ci,Adv,Adv,ci,C/V\,ADV,ci,10
98,15,3,ne,ne,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
99,15,4,viengne,viengne,Vfin,Vfin,venir,'C/V\.C/(e)\,VERB,venir,10
100,15,5,.,.,Pnc,Pnc,,,PUNCT,.,9
101,16,1,alons,alons,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
102,16,2,donc,donc,Adv,Adv,donc,C/V\,ADV,donc,10
103,16,3,",",",",Pnc,Pnc,,,PUNCT,",",9
104,16,4,aviengne,aviengne,Vfin,Vfin,avenir,/V\.'C/V\.C/(e)\,VERB,avenir,10
105,16,5,qu',qu',Qux,Qux,que,C/\,ADJ|ADV|DET|PRON,que,10
106,16,6,aviengne,aviengne,Vfin,Vfin,avenir,/V\.'C/V\.C/(e)\,VERB,avenir,10
107,16,7,",",",",Pnc,Pnc,,,PUNCT,",",9
108,17,1,noz,noz,Det,Det,notre,C/V\,DET,notre,10
109,17,2,places,places,N,N,,'C/V\.C/e\,NOUN,place,8
110,17,3,prendre,prendre,Vinf,Vinf,prendre,'C/V\.C/(e)\,VERB,prendre,10
111,17,4,et,et,Crd,Crd,et,/V\,CCONJ,et,10
112,17,5,nous,nous,Prn,Prn$$,nous,C/V\,PRON,nous,10
113,17,6,seons,seons,Vfin,Vfin,seoir,C/V\,VERB,seoir,10
114,17,7,",",",",Pnc,Pnc,,,PUNCT,",",9
115,18,1,et,et,Crd,Crd,et,/V\,CCONJ,et,10
116,18,2,noz,noz,Det,Det,notre,C/V\,DET,notre,10
117,18,3,heures,heures,N,N,,'/V\.C/e\,NOUN,heure,9
118,18,4,tout,tout,QIs,QIs,tout,C/V\,DET,tout,10
119,18,5,bas,bas,Adj,Adj,,C/V\,ADJ,bas,8
120,18,6,disons,disons,Vfin,Vfin,dire,C/V\.'C/V\,VERB,dire,10
121,19,1,en,en,Pre,Pre,en,/V\,ADP,en,10
122,19,2,l',l',Prn,Prn$$,le,C/\,PRON,le,10
123,19,3,attendant,attendant,Vprs,Vprs,attendre,/V\.C/V\.'C/V\,VERB,attendre,10
124,19,4,.,.,Pnc,Pnc,,,PUNCT,.,9
125,20,1,dame,dame,N,N,,'C/V\.C/(e)\,NOUN,dame,8
126,20,2,",",",",Pnc,Pnc,,,PUNCT,",",9
127,20,3,alons,alons,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
128,20,4,;,;,Pnc,Pnc,,,PUNCT,;,9
129,20,5,j',j',Prn,Prn$,je,C/\,PRON,je,10
130,20,6,ay,ay,Vfin,Vfin,avoir,/V\,VERB,avoir,10
131,20,7,le,le,Det,Det,le,C/(e)\,DET,le,10
132,20,8,cuer,cuer,N,N,,C/V\,NOUN,coeur,3
133,20,9,tendant,tendant,Vprs,Vprs,tendre,C/V\.'C/V\,VERB,tendre,10
134,21,1,a,a,Pre,Pre,à,/V\,ADP,à,10
135,21,2,faire,faire,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
136,21,3,vostre,vostre,Det,Det,votre,'C/V\.C/(e)\,DET,votre,10
137,21,4,voulenté,voulenté,N,N,,C/V\.C/V\.'C/V\,NOUN,volonté,9
138,21,5,.,.,Pnc,Pnc,,,PUNCT,.,9
139,22,1,or,or,Adv,Adv,or2,/V\,ADV,or,10
140,22,2,sa,sa,Adv,Adv,çà,C/V\,ADV,çà,10
141,22,3,",",",",Pnc,Pnc,,,PUNCT,",",9
142,22,4,de,de,Pre,Pre,de,C/(e)\,ADP,de,10
