wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
273,39,6,",",",",39,Pnc,Pnc,,,PUNCT,",",9
274,40,1,qui,qui,40,Qux,Qux,qui,C/V\,PRON,qui,10
275,40,2,ne,ne,40,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
276,40,3,fu,fu,40,Vfin,Vfin,être,C/V\,VERB,être,10
277,40,4,villaine,villaine,40,Adj,Adj,vilain,C/V\.'C/V\.C/(e)\,ADJ,vilain,10
278,40,5,ne,ne,40,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
279,40,6,sure,sure,40,Adj,Adj,sûr,'C/V\.C/(e)\,ADJ,sûr,10
280,40,7,",",",",40,Pnc,Pnc,,,PUNCT,",",9
281,41,1,ains,ains,41,Crd,Crd,ains,/V\,CCONJ,ains,10
282,41,2,fu,fu,41,Vfin,Vfin,être,C/V\,VERB,être,10
283,41,3,cortoise,cortoise,41,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,courtois,8
284,41,4,et,et,41,Crd,Crd,et,/V\,CCONJ,et,10
285,41,5,agreable,agreable,41,Adj,Adj,,/V\.C/V\.'C/V\.C/(e)\,ADJ,agréable,9
286,41,6,",",",",41,Pnc,Pnc,,,PUNCT,",",9
287,42,1,douce,douce,42,Adj,Adj,doux,'C/V\.C/(e)\,ADJ,doux,10
288,42,2,",",",",42,Pnc,Pnc,,,PUNCT,",",9
289,42,3,plaisant,plaisant,42,Vprs,Vprs,plaire,C/V\.'C/V\,VERB,plaire,10
290,42,4,et,et,42,Crd,Crd,et,/V\,CCONJ,et,10
291,42,5,delitable,delitable,42,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,délitable,3
292,42,6,;,;,42,Pnc,Pnc,,,PUNCT,;,9
293,43,1,quar,quar,43,Crd,Crd,car,C/V\,CCONJ,car,10
294,43,2,j',j',43,Prn,Prn$,je,C/\,PRON,je,10
295,43,3,estoie,estoie,43,Vfin,Vfin,être,/V\.'C/V\./(e)\,VERB,être,10
296,43,4,descongneus,descongneus,43,Vpp,Vpp,déconnaître,C/V\.C/V\.C/(V)\.'/V\,VERB,déconnaître,10
297,43,5,",",",",43,Pnc,Pnc,,,PUNCT,",",9
298,44,1,et,et,44,Crd,Crd,et,/V\,CCONJ,et,10
299,44,2,de,de,44,Pre,Pre,de,C/(e)\,ADP,de,10
300,44,3,joie,joie,44,N,N,,'C/V\./(e)\,NOUN,joie,8
301,44,4,despourveus,despourveus,44,Vpp,Vpp,dépourvoir,C/V\.C/V\.C/(V)\.'/V\,VERB,dépourvoir,10
302,44,5,.,.,44,Pnc,Pnc,,,PUNCT,.,9
303,45,1,mais,mais,45,Crd,Crd,mais,C/V\,CCONJ,mais,10
304,45,2,doucement,doucement,45,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,doucement,9
305,45,3,sui,sui,45,Vfin,Vfin,être,C/V\,VERB,être,10
306,45,4,confortés,confortés,45,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,conforter,9
307,46,1,par,par,46,Pre,Pre,par,C/V\,ADP,par,10
308,46,2,elle,elle,46,Prn,Prn,elle,'/V\.C/(e)\,PRON,elle,10
309,46,3,",",",",46,Pnc,Pnc,,,PUNCT,",",9
310,46,4,et,et,46,Crd,Crd,et,/V\,CCONJ,et,10
311,46,5,fu,fu,46,Vfin,Vfin,être,C/V\,VERB,être,10
312,46,6,mes,mes,46,Det,Det,mon,C/V\,DET,mon,10
313,46,7,confors,confors,46,N,N,,C/V\.'C/V\,NOUN,confort,8
314,46,8,telz,telz,46,Adj,Adj,tel,C/V\,ADJ,tel,10
