wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
112,17,3,enamat,enamat,17,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,enamer,9
113,17,4,",",",",17,Pnc,Pnc,,,PUNCT,",",9
114,17,5,deu,deu,17,N,N,,C/V\,PROPN,Dieu,3
115,17,6,lo,lo,17,Prn,Prn$$,le,C/(e)\,PRON,le,10
116,17,7,covit,covit,17,Vfin,Vfin,,C/V\.'C/V\,VERB,convoiter,0
117,17,8,",",",",17,Pnc,Pnc,,,PUNCT,",",9
118,18,1,rovat,rovat,18,Vfin,Vfin,rover,C/V\.'C/V\,VERB,rover,10
119,18,2,que,que,18,Sub,Sub,que,C/(e)\,SCONJ,que,10
120,18,3,letres,letres,18,N,N,,'C/V\.C/e\,NOUN,lettre,8
121,18,4,apresist,apresist,18,Vfin,Vfin,apprendre,/V\.C/V\.'C/V\,VERB,apprendre,10
122,18,5,.,.,18,Pnc,Pnc,,,PUNCT,.,9
123,19,1,didun,didun,19,N,N,,C/V\.'C/V\,NOUN,didon,-10
124,19,2,",",",",19,Pnc,Pnc,,,PUNCT,",",9
125,19,3,l',l',19,Det,Det,le,C/\,DET,le,10
126,19,4,ebisque,ebisque,19,N,N,,/V\.'C/V\.C/(e)\,NOUN,évêque,0
127,19,5,de,de,19,Pre,Pre,de,C/(e)\,ADP,de,10
128,19,6,peitieus,peitieus,19,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
129,19,7,",",",",19,Pnc,Pnc,,,PUNCT,",",9
130,20,1,lui,lui,20,Prn,Prn$$,lui,C/V\,PRON,lui,10
131,20,2,·l,·l,20,Prn,Prn$$,le,/\C,PRON,le,10
132,20,3,comandat,comandat,20,Vfin,Vfin,commander,C/V\.C/V\.'C/V\,VERB,commander,10
133,20,4,ciel,ciel,20,Dem,Dem,cil,C/V\,DET,cil,10
134,20,5,reis,reis,20,N,N,,C/V\,NOUN,roi,3
135,20,6,lothiers,lothiers,20,N,N,,C/V\.'C/V\,NOUN,louthier,-10
136,20,7,.,.,20,Pnc,Pnc,,,PUNCT,.,9
137,21,1,il,il,21,Prn,Prn$,il,/V\,PRON,il,10
138,21,2,lo,lo,21,Prn,Prn$$,le,C/(e)\,PRON,le,10
139,21,3,reciut,reciut,21,Vfin,Vfin,recevoir,C/V\.'C/V\,VERB,recevoir,10
140,21,4,",",",",21,Pnc,Pnc,,,PUNCT,",",9
141,21,5,tam,tam,21,QIs,QIs,tant,C/V\,ADV,tant,10
142,21,6,ben,ben,21,Adv,Adv,bien,C/V\,ADV,bien,10
143,21,7,en,en,21,Prn,Prn$$,en2,/V\,PRON,en,10
144,21,8,fist,fist,21,Vfin,Vfin,faire,C/V\,VERB,faire,10
145,21,9,",",",",21,Pnc,Pnc,,,PUNCT,",",9
146,22,1,ab,ab,22,Pre,Pre,o,/V\,ADP,o,10
147,22,2,u,u,22,QIs,QIs,un,/V\,PRON,un,10
148,22,3,magistre,magistre,22,N,N,,C/V\.'C/V\.C/(e)\,NOUN,magister,3
149,22,4,sempre,sempre,22,Adv,Adv,sempre,'C/V\.C/(e)\,ADV,sempre,10
150,22,5,·l,·l,22,Prn,Prn$$,le,/\C,PRON,le,10
151,22,6,mist,mist,22,Vfin,Vfin,mettre,C/V\,VERB,mettre,10
152,22,7,",",",",22,Pnc,Pnc,,,PUNCT,",",9
153,23,1,qui,qui,23,Qux,Qux,qui,C/V\,PRON,qui,10
154,23,2,lo,lo,23,Prn,Prn$$,le,C/(e)\,PRON,le,10
155,23,3,doist,doist,23,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10
156,23,4,bien,bien,23,Adv,Adv,bien,C/V\,ADV,bien,10
157,23,5,de,de,23,Pre,Pre,de,C/(e)\,ADP,de,10
158,23,6,ciel,ciel,23,Dem,Dem,cil,C/V\,DET,cil,10
159,23,7,savier,savier,23,N,N,,C/V\.'C/V\,PROPN|NOUN,savoir,-1
160,24,1,don,don,24,Qux,Qux,dont,C/V\,PRON,dont,10
161,24,2,deu,deu,24,N,N,,C/V\,PROPN,Dieu,3
162,24,3,servir,servir,24,Vinf,Vinf,servir,C/V\.'C/V\,VERB,servir,10
163,24,4,por,por,24,Pre,Pre,pour,C/V\,ADP,pour,10
164,24,5,bonä,bonä,24,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10
165,24,6,fied,fied,24,N,N,,C/V\,NOUN,fief,6
166,24,7,.,.,24,Pnc,Pnc,,,PUNCT,.,9
167,25,1,et,et,25,Crd,Crd,et,/V\,CCONJ,et,10
168,25,2,cum,cum,25,Sub,Sub,comme,C/V\,SCONJ,comme,10
169,25,3,il,il,25,Prn,Prn$,il,/V\,PRON,il,10
170,25,4,l',l',25,Prn,Prn$$,le,C/\,PRON,le,10
171,25,5,aut,aut,25,Vfin,Vfin,avoir,/V\,VERB,avoir,10
172,25,6,doit,doit,25,Vpp,Vpp,duire,C/V\,VERB,duire,10
173,25,7,de,de,25,Pre,Pre,de,C/(e)\,ADP,de,10
174,25,8,ciel',ciel',25,Dem,Dem,cil,C/V\,DET,cil,10
