wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
2876,469,2,talent,talent,NOM:obj:masc:sg,4497,N,N,,C/V\.'C/V\,NOUN,talent,8,,
2877,469,3,de,de,PRE,4497,Pre,Pre,de,C/(e)\,ADP,de,10,,
2878,469,4,soi,soi,PRO:pers:obj:3:masc:sg:bet,4497,Prn,Prn$,soi,C/V\,PRON,soi,10,,
2879,469,5,repentir,repentir,VER:infi,4497,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,repentir,9,,
2880,470,1,tant,tant,ADV,4498,QIs,QIs,tant,C/V\,ADV,tant,10,,
2881,470,2,li,li,PRO:pers:suj:3:masc:sg:bet,4498,Prn,Prn$$,li,C/V\,PRON,li,10,,
2882,470,3,font,font,VER:pres:3:pl,4498,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
2883,470,4,de,de,PRE,4498,Pre,Pre,de,C/(e)\,ADP,de,10,,
2884,470,5,flaeaus,flaeaus,NOM:obj:masc:pl,4498,N,N,,C/V\.'C/V\,NOUN,fléau,0,,
2885,470,6,sentir,sentir,VER:infi,4498,Vinf,Vinf,sentir,C/V\.'C/V\,VERB,sentir,10,,
2886,471,1,adonc,adonc,ADV,4499,Adv,Adv,adonc,/V\.'C/V\,ADV,adonc,10,,
2887,471,2,li,li,PRO:pers:suj:3:masc:sg:bet,4499,Prn,Prn$$,li,C/V\,PRON,li,10,,
2888,471,3,vient,vient,VER:pres:3:sg,4499,Vfin,Vfin,venir,C/V\,VERB,venir,10,,
2889,471,4,en,en,PRO:clit,4499,Pre,Pre,en,/V\,ADP,en,10,,
2890,471,5,remenbrance,remenbrance,NOM:obj:femi:sg,4499,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,remembrance,9,,
2891,472,1,an,an,PRE,4500,Pre,Pre,en,/V\,ADP,en,10,,
2892,472,2,ceste,ceste,DET:demo:obj:femi:sg,4500,Dem,Dem,cist,'C/V\.C/(e)\,DET,cist,10,,
2893,472,3,tardive,tardive,ADJ:obj:femi:sg,4500,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,tardif,9,,
2894,472,4,presence,presence,NOM:obj:femi:sg,4500,N,N,,C/V\.'C/V\.C/(e)\,NOUN,présence,9,,
2895,473,1,quant,quant,ADV,4501,Sub,Sub,quand,C/V\,SCONJ,quand,10,,
2896,473,2,el,el,PRO:pers:suj:3:femi:sg,4501,Prn,Prn$,elle,/V\,PRON,elle,10,,
2897,473,3,se,se,PROCON,4501,Prn,Prn$$,se,C/(e)\,PRON,se,10,,
2898,473,4,voit,voit,VER:pres:3:sg,4501,Vfin,Vfin,voir,C/V\,VERB,voir,10,,
