wd_id,word,lex_id,chapter_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR
50,Là,la,1.5,Adv,Adv,là,C/V\,ADV,là,10,
51,arrivèrent,arriverent,1.5,Vfin,Vfin,arriver,/V\.C/V\.'C/V\.C/e\,VERB,arriver,10,
52,messire,messire,1.5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,messire,5,
53,Charles,charles,1.5,N,N,,'C/V\.C/e\,PROPN,Charles,9,
54,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
55,France,france,1.5,N,N,,'C/V\.C/(e)\,PROPN,France,8,
56,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
57,lors,lors,1.5,Adv,Adv,lors,C/V\,ADV,lors,10,
58,duc,duc,1.5,N,N,,C/V\,NOUN,duc,8,
59,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
60,Berry,berry,1.5,N,N,,C/V\.'C/V\,PROPN,Berry,9,
61,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
62,seul,seul,1.5,Adj,Adj,seul,C/V\,ADJ,seul,10,
63,frère,frere,1.5,N,N,,'C/V\.C/(e)\,NOUN,frère,9,
64,du,du,1.5,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,
65,roy,roy,1.5,N,N,,C/V\,NOUN,roi,8,
66,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
67,le,le,1.5,Det,Det,le,C/(e)\,DET,le,10,
68,duc,duc,1.5,N,N,,C/V\,NOUN,duc,8,
69,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
70,Bretaigne,bretaigne,1.5,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Bretagne,8,
71,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
72,monsr,monsr,1.5,N,N,,C/V\.'C/V\,NOUN,monsieur,6,
73,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
74,Dunoys,dunoys,1.5,N,N,,C/V\.'C/V\,PROPN,Dunois,8,
75,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
76,monsr,monsr,1.5,N,N,,C/V\.'C/V\,NOUN,monsieur,6,
77,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
78,Dampmartin,dampmartin,1.5,N,N,,C/V\.C/V\.'C/V\,PROPN,Dampmartin,6,
79,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
80,monsr,monsr,1.5,N,N,,C/V\.'C/V\,NOUN,monsieur,6,
81,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
82,Loheac,loheac,1.5,N,N,,C/V\.'C/V\,PROPN,Lohéac,-10,Lohéac
83,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
84,monsr,monsr,1.5,N,N,,C/V\.'C/V\,NOUN,monsieur,6,
85,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
86,Bueil,bueil,1.5,N,N,,C/V\,PROPN,Bueil,9,
87,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
88,monsr,monsr,1.5,N,N,,C/V\.'C/V\,NOUN,monsieur,6,
89,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
90,Chaulmont,chaulmont,1.5,N,N,,C/V\.'C/V\,PROPN,Chaumont,9,
91,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
92,messire,messire,1.5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,messire,5,
93,Charles,charles,1.5,N,N,,'C/V\.C/e\,PROPN,Charles,9,
94,d',d',1.5,Pre,Pre,de,C/\,ADP,de,10,
95,Amboyse,amboyse,1.5,N,N,,/V\.'C/V\.C/(e)\,PROPN,Amboise,9,
96,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
97,son,son,1.5,Det,Det,son4,C/V\,DET,son,10,
98,filz,filz,1.5,N,N,,C/V\,NOUN,fils,3,
99,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
100,qui,qui,1.5,Qux,Qux,qui,C/V\,PRON,qui,10,
101,depuis,depuis,1.5,PrA,PrA,depuis,C/V\.'C/V\,ADV,depuis,10,
102,a,a,1.5,Vfin,Vfin,avoir,/V\,VERB,avoir,10,
103,esté,esté,1.5,Vpp,Vpp,être,/V\.'C/V\,VERB,être,10,
104,grand,grand,1.5,Adj,Adj,grand,C/V\,ADJ,grand,10,
105,homme,homme,1.5,N,N,,'/V\.C/(e)\,NOUN,homme,8,
106,en,en,1.5,Pre,Pre,en,/V\,ADP,en,10,
107,ce,ce,1.5,Dem,Dem,cist,C/(e)\,DET,cist,10,
108,royaulme,royaulme,1.5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,royaume,8,
109,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
110,tous,tous,1.5,QIs,QIs,tout,C/V\,DET,tout,10,
111,lesquelz,lesquelz,1.5,Qux,Qux,lequel,C/V\.'C/V\,PRON,lequel,10,
112,dessus,dessus,1.5,PrA,PrA,dessus,C/V\.'C/V\,ADV,dessus,10,
113,nomméz,nommez,1.5,Vpp,Vpp,,C/V\.'C/V\,VERB,nommer,8,
114,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
115,le,le,1.5,Det,Det,le,C/(e)\,DET,le,10,
116,roy,roy,1.5,N,N,,C/V\,NOUN,roi,8,
117,avoit,avoit,1.5,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,
118,desapointéz,desapointez,1.5,Vpp,Vpp,,C/V\.C/V\.C/V\.'C/V\,VERB,désappointer,9,
119,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
120,deffaictz,deffaictz,1.5,Vpp,Vpp,défaire,C/V\.'C/V\,VERB,défaire,10,
121,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
122,leurs,leurs,1.5,Det,Det,leur2,C/V\,DET,leur,10,
123,estatz,estatz,1.5,N,N,,/V\.'C/V\,NOUN,état,9,
124,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
125,quant,quant,1.5,Sub,Sub,quand,C/V\,SCONJ,quand,10,
126,il,il,1.5,Prn,Prn$,il,/V\,PRON,il,10,
127,vint,vint,1.5,Vfin,Vfin,venir,C/V\,VERB,venir,10,
128,à,a,1.5,Pre,Pre,à,/V\,ADP,à,10,
129,la,la,1.5,Det,Det,le,C/V\,DET,le,10,
130,couronne,couronne,1.5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,couronne,8,
131,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
132,nonobstant,nonobstant,1.5,Adv,Adv,nonobstant,C/V\.C/V\.'C/V\,ADV,nonobstant,10,
133,qu',qu',1.5,Sub,Sub,que,C/\,SCONJ,que,10,
134,ilz,ilz,1.5,Prn,Prn$,il,/V\,PRON,il,10,
135,eussent,eussent,1.5,Vfin,Vfin,avoir,/(V)\.'/V\.C/e\,VERB,avoir,10,
136,bien,bien,1.5,Adv,Adv,bien,C/V\,ADV,bien,10,
137,servy,servy,1.5,Vpp,Vpp,servir,C/V\.'C/V\,VERB,servir,10,
138,le,le,1.5,Det,Det,le,C/(e)\,DET,le,10,
139,roy,roy,1.5,N,N,,C/V\,NOUN,roi,8,
140,son,son,1.5,Det,Det,son4,C/V\,DET,son,10,
141,père,pere,1.5,N,N,,'C/V\.C/(e)\,NOUN,père,9,
142,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
143,le,le,1.5,Det,Det,le,C/(e)\,DET,le,10,
144,royaulme,royaulme,1.5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,royaume,8,
145,ès,es,1.5,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10,
146,conquestes,conquestes,1.5,N,N,,C/V\.'C/V\.C/e\,NOUN,conquête,8,
147,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
148,Normandye,normandye,1.5,N,N,,C/V\.C/V\.'C/V\./(e)\,PROPN,Normandie,9,
149,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
150,en,en,1.5,Pre,Pre,en,/V\,ADP,en,10,
151,plusieurs,plusieurs,1.5,QIs,QIs,plusieurs,C/V\.'C/V\,DET,plusieurs,10,
152,autres,autres,1.5,Adj,Adj,autre,'/V\.C/e\,ADJ,autre,10,
153,guerres,guerres,1.5,N,N,,'C/V\.C/e\,NOUN,guerre,8,
154,.,.,1.5,Pnc,Pnc,,,PUNCT,.,9,
155,Mondit,mondit,1.5,Dem,Dem,mondit,C/V\.'C/V\,DET,mondit,10,
156,seigneur,seigneur,1.5,N,N,,C/V\.'C/V\,NOUN,seigneur,8,
157,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
158,Charroloys,charroloys,1.5,N,N,,C/V\.C/V\.'C/V\,PROPN,Charolais,-10,Charolais
159,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
160,tous,tous,1.5,QIs,QIs,tout,C/V\,DET,tout,10,
161,les,les,1.5,Det,Det,le,C/V\,DET,le,10,
162,plus,plus,1.5,Adv,Adv,plus,C/V\,ADV,plus,10,
163,grans,grans,1.5,Adj,Adj,grand,C/V\,ADJ,grand,10,
164,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
165,sa,sa,1.5,Det,Det,son4,C/V\,DET,son,10,
166,compaignye,compaignye,1.5,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,compagnie,9,
167,les,les,1.5,Prn,Prn$$,le,C/V\,PRON,le,10,
168,recueillirent,recueillirent,1.5,Vfin,Vfin,recueillir,C/V\.C/V\.'C/V\.C/e\,VERB,recueillir,10,
169,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
170,leur,leur,1.5,Prn,Prn$$,leur,C/V\,PRON,leur,10,
171,allèrent,allerent,1.5,Vfin,Vfin,aller,/V\.'C/V\.C/e\,VERB,aller,10,
172,au,au,1.5,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,
173,devant,devant,1.5,PrA,PrA,devant,C/V\.'C/V\,ADP|ADV,devant,10,
174,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
175,amenèrent,amenerent,1.5,Vfin,Vfin,amener,/V\.C/e\.'C/V\.C/e\,VERB,amener,10,
176,leurs,leurs,1.5,Det,Det,leur2,C/V\,DET,leur,10,
177,personnes,personnes,1.5,N,N,,C/V\.'C/V\.C/e\,NOUN,personne,9,
178,loger,loger,1.5,Vinf,Vinf,,C/V\.'C/V\,VERB,loger,9,
179,en,en,1.5,Pre,Pre,en,/V\,ADP,en,10,
180,la,la,1.5,Det,Det,le,C/V\,DET,le,10,
181,ville,ville,1.5,N,N,,'C/V\.C/(e)\,NOUN,ville,3,
182,d',d',1.5,Pre,Pre,de,C/\,ADP,de,10,
183,Estampes,estampes,1.5,N,N,,/V\.'C/V\.C/e\,PROPN,Étampes,8,
184,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
185,où,ou,1.5,Qux,Qux,où,/V\,PRON,où,10,
186,leur,leur,1.5,Det,Det,leur2,C/V\,DET,leur,10,
187,logis,logis,1.5,N,N,,C/V\.'C/V\,NOUN,logis,9,
188,estoit,estoit,1.5,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10,
189,faict,faict,1.5,Vpp,Vpp,faire,C/V\,VERB,faire,10,
190,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
191,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
192,les,les,1.5,Det,Det,le,C/V\,DET,le,10,
193,gens,gens,1.5,N,N,,C/V\,NOUN,gent,11,
194,d',d',1.5,Pre,Pre,de,C/\,ADP,de,10,
195,armes,armes,1.5,N,N,,'/V\.C/e\,NOUN,arme,3,
196,demourèrent,demourerent,1.5,Vfin,Vfin,demeurer,C/V\.C/V\.'C/V\.C/e\,VERB,demeurer,10,
197,aux,aux,1.5,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,
198,champs,champs,1.5,N,N,,C/V\,NOUN,champ,3,
199,.,.,1.5,Pnc,Pnc,,,PUNCT,.,9,
200,En,en,1.5,Pre,Pre,en,/V\,ADP,en,10,
201,leur,leur,1.5,Det,Det,leur2,C/V\,DET,leur,10,
202,compaignie,compaignie,1.5,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,compagnie,8,
203,avoit,avoit,1.5,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,
204,huict,huict,1.5,QIs,QIs,huit,C/V\,NUM,huit,10,
205,cens,cens,1.5,QIs,QIs,cent,C/V\,NUM,cent,10,
206,hommes,hommes,1.5,N,N,,'/V\.C/e\,NOUN,homme,8,
207,d',d',1.5,Pre,Pre,de,C/\,ADP,de,10,
208,armes,armes,1.5,N,N,,'/V\.C/e\,NOUN,arme,3,
209,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
210,très,tres,1.5,Adv,Adv,très,C/V\,ADV,très,10,
211,bonne,bonne,1.5,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10,
212,estoffe,estoffe,1.5,N,N,,/V\.'C/V\.C/(e)\,NOUN,étoffe,8,
213,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
214,dont,dont,1.5,Qux,Qux,dont,C/V\,PRON,dont,10,
215,il,il,1.5,Prn,Prn$,il,/V\,PRON,il,10,
216,y,y,1.5,Prn,Prn$$,y2,/V\,PRON,y,10,
217,en,en,1.5,Prn,Prn$$,en2,/V\,PRON,en,10,
218,avoit,avoit,1.5,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,
219,très,tres,1.5,Adv,Adv,très,C/V\,ADV,très,10,
220,largement,largement,1.5,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,largement,9,
221,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
222,Bretons,bretons,1.5,Adj,Adj,,C/V\.'C/V\,ADJ,breton,-1,Bretons
223,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
224,qui,qui,1.5,Qux,Qux,qui,C/V\,PRON,qui,10,
225,nouvellement,nouvellement,1.5,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,nouvellement,9,
226,avoyent,avoyent,1.5,Vfin,Vfin,avoir,/V\.'C/V\./e\,VERB,avoir,10,
227,laissé,laissé,1.5,Vpp,Vpp,laisser,C/V\.'C/V\,VERB,laisser,10,
228,les,les,1.5,Det,Det,le,C/V\,DET,le,10,
229,ordonnances,ordonnances,1.5,N,N,,/V\.C/V\.'C/V\.C/e\,NOUN,ordonnance,9,
230,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
231,comme,comme,1.5,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10,
232,icy,icy,1.5,Adv,Adv,ici,/V\.'C/V\,ADV,ici,10,
233,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
234,ailleurs,ailleurs,1.5,Adv,Adv,ailleurs,/V\.'C/V\,ADV,ailleurs,10,
235,j',j',1.5,Prn,Prn$,je,C/\,PRON,je,10,
236,ay,ay,1.5,Vfin,Vfin,avoir,/V\,VERB,avoir,10,
237,dit,dit,1.5,Vpp,Vpp,dire,C/V\,VERB,dire,10,
238,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
239,qui,qui,1.5,Qux,Qux,qui,C/V\,PRON,qui,10,
240,amandoient,amandoient,1.5,Vfin,Vfin,,/V\.C/V\.'C/V\./e\,VERB,amender,9,
241,bien,bien,1.5,Adv,Adv,bien,C/V\,ADV,bien,10,
242,leur,leur,1.5,Det,Det,leur2,C/V\,DET,leur,10,
243,compaignie,compaignie,1.5,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,compagnie,8,
244,.,.,1.5,Pnc,Pnc,,,PUNCT,.,9,
245,De,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
246,archers,archers,1.5,N,N,,/V\.'C/V\,NOUN,archer,9,
247,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
248,autres,autres,1.5,Adj,Adj,autre,'/V\.C/e\,ADJ,autre,10,
249,hommes,hommes,1.5,N,N,,'/V\.C/e\,NOUN,homme,8,
250,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
251,guerre,guerre,1.5,N,N,,'C/V\.C/(e)\,NOUN,guerre,8,
252,arméz,armez,1.5,Vpp,Vpp,armer,/V\.'C/V\,VERB,armer,10,
253,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
254,bonnes,bonnes,1.5,Adj,Adj,bon,'C/V\.C/e\,ADJ,bon,10,
255,brigandines,brigandines,1.5,N,N,,C/V\.C/V\.'C/V\.C/e\,NOUN,brigandine,8,
256,avoit,avoit,1.5,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,
257,en,en,1.5,Pre,Pre,en,/V\,ADP,en,10,
258,très,tres,1.5,Adv,Adv,très,C/V\,ADV,très,10,
259,grant,grant,1.5,Adj,Adj,grand,C/V\,ADJ,grand,10,
260,nombre,nombre,1.5,N,N,,'C/V\.C/(e)\,NOUN,nombre,8,
261,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
262,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
263,povoient,povoient,1.5,Vfin,Vfin,pouvoir2,C/V\.'C/V\./e\,VERB,pouvoir,10,
264,bien,bien,1.5,Adv,Adv,bien,C/V\,ADV,bien,10,
265,estre,estre,1.5,Vinf,Vinf,être,'/V\.C/(e)\,VERB,être,10,
266,six,six,1.5,QIs,QIs,six,C/V\,NUM,six,10,
267,mille,mille,1.5,QIs,QIs,mille,'C/V\.C/(e)\,NUM,mille,10,
268,hommes,hommes,1.5,N,N,,'/V\.C/e\,NOUN,homme,8,
269,à,a,1.5,Pre,Pre,à,/V\,ADP,à,10,
270,cheval,cheval,1.5,N,N,,C/V\.'C/V\,NOUN,cheval,8,
271,très,tres,1.5,Adv,Adv,très,C/V\,ADV,très,10,
272,bien,bien,1.5,Adv,Adv,bien,C/V\,ADV,bien,10,
273,empoint,empoint,1.5,Adj,Adj,,/V\.'C/V\,ADJ,empoint,8,
274,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
275,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
276,sembloit,sembloit,1.5,Vfin,Vfin,sembler,C/V\.'C/V\,VERB,sembler,10,
277,bien,bien,1.5,Adv,Adv,bien,C/V\,ADV,bien,10,
278,à,a,1.5,Pre,Pre,à,/V\,ADP,à,10,
279,veoir,veoir,1.5,Vinf,Vinf,voir,C/(V)\.'/V\,VERB,voir,10,
280,la,la,1.5,Det,Det,le,C/V\,DET,le,10,
281,compaignie,compaignie,1.5,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,compagnie,8,
282,que,que,1.5,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10,
283,le,le,1.5,Det,Det,le,C/(e)\,DET,le,10,
284,duc,duc,1.5,N,N,,C/V\,NOUN,duc,8,
285,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
286,Bretaigne,bretaigne,1.5,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Bretagne,8,
287,fust,fust,1.5,Vfin,Vfin,être,C/V\,VERB,être,10,
288,ung,ung,1.5,QIs,QIs,un,/V\,DET,un,10,
289,très,tres,1.5,Adv,Adv,très,C/V\,ADV,très,10,
290,grant,grant,1.5,Adj,Adj,grand,C/V\,ADJ,grand,10,
291,seigneur,seigneur,1.5,N,N,,C/V\.'C/V\,NOUN,seigneur,8,
292,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
293,car,car,1.5,Crd,Crd,car,C/V\,CCONJ,car,10,
294,toute,toute,1.5,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10,
295,ceste,ceste,1.5,Dem,Dem,cist,'C/V\.C/(e)\,DET,cist,10,
296,compaignie,compaignie,1.5,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,compagnie,8,
297,vivoit,vivoit,1.5,Vfin,Vfin,vivre,C/V\.'C/V\,VERB,vivre,10,
298,sur,sur,1.5,PrA,PrA,sur,C/V\,ADP,sur,10,
299,ses,ses,1.5,Det,Det,son4,C/V\,DET,son,10,
300,coffres,coffres,1.5,N,N,,'C/V\.C/e\,NOUN,coffre,9,
301,.,.,1.5,Pnc,Pnc,,,PUNCT,.,9,
302,Le,le,1.5,Det,Det,le,C/(e)\,DET,le,10,
303,roy,roy,1.5,N,N,,C/V\,NOUN,roi,8,
304,qui,qui,1.5,Qux,Qux,qui,C/V\,PRON,qui,10,
305,s',s',1.5,Prn,Prn$$,se,C/\,PRON,se,10,
306,estoit,estoit,1.5,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10,
307,tiré,tiré,1.5,Vpp,Vpp,,C/V\.'C/V\,VERB,tirer,9,
308,à,a,1.5,Pre,Pre,à,/V\,ADP,à,10,
309,Corbueil,corbueil,1.5,N,N,,C/V\.'C/V\,PROPN,Corbeil,0,
310,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
311,comme,comme,1.5,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10,
312,j',j',1.5,Prn,Prn$,je,C/\,PRON,je,10,
313,ay,ay,1.5,Vfin,Vfin,avoir,/V\,VERB,avoir,10,
314,dit,dit,1.5,Vpp,Vpp,dire,C/V\,VERB,dire,10,
315,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
316,ne,ne,1.5,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,
317,mectoit,mectoit,1.5,Vfin,Vfin,mettre,C/V\.'C/V\,VERB,mettre,10,
318,point,point,1.5,Neg,Neg,point2,C/V\,ADV,point,10,
319,en,en,1.5,Pre,Pre,en,/V\,ADP,en,10,
320,oubly,oubly,1.5,N,N,,/V\.'C/V\,NOUN,oubli,9,
321,ce,ce,1.5,Prn,Prn,ce,C/(e)\,PRON,ce,10,
322,qu',qu',1.5,Qux,Qux,que,C/\,PRON,que,10,
323,il,il,1.5,Prn,Prn$,il,/V\,PRON,il,10,
324,avoit,avoit,1.5,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,
325,à,a,1.5,Pre,Pre,à,/V\,ADP,à,10,
326,faire,faire,1.5,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,
327,.,.,1.5,Pnc,Pnc,,,PUNCT,.,9,
328,Il,il,1.5,Prn,Prn$,il,/V\,PRON,il,10,
329,tyra,tyra,1.5,Vfin,Vfin,,C/V\.'C/V\,VERB,tirer,9,
330,en,en,1.5,Pre,Pre,en,/V\,ADP,en,10,
331,Normandie,normandie,1.5,N,N,,C/V\.C/V\.'C/V\./(e)\,PROPN,Normandie,9,
332,pour,pour,1.5,Pre,Pre,pour,C/V\,ADP,pour,10,
333,assembler,assembler,1.5,Vinf,Vinf,assembler,/V\.C/V\.'C/V\,VERB,assembler,10,
334,des,des,1.5,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,
335,gens,gens,1.5,N,N,,C/V\,NOUN,gent,11,
336,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
337,pour,pour,1.5,Pre,Pre,pour,C/V\,ADP,pour,10,
338,peur,peur,1.5,N,N,,C/(V)\.'/V\,NOUN,peur,8,
339,qu',qu',1.5,Sub,Sub,que,C/\,SCONJ,que,10,
340,il,il,1.5,Prn,Prn$,il,/V\,PRON,il,10,
341,n',n',1.5,Neg,Neg$$,ne,C/\,ADV,ne,10,
342,y,y,1.5,Prn,Prn$$,y2,/V\,PRON,y,10,
343,eust,eust,1.5,Vfin,Vfin,avoir,/(V)\.'/V\,VERB,avoir,10,
