wd_id,word,lex_id,chapter_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR
1,Comment,comment,1.5,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10,
2,monsr,monsr,1.5,N,N,,C/V\.'C/V\,NOUN,monsieur,6,
3,Charles,charles,1.5,N,N,,'C/V\.C/e\,PROPN,Charles,9,
4,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
5,France,france,1.5,N,N,,'C/V\.C/(e)\,PROPN,France,8,
6,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
7,duc,duc,1.5,N,N,,C/V\,NOUN,duc,8,
8,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
9,Berry,berry,1.5,N,N,,C/V\.'C/V\,PROPN,Berry,9,
10,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
11,seul,seul,1.5,Adj,Adj,seul,C/V\,ADJ,seul,10,
12,frère,frere,1.5,N,N,,'C/V\.C/(e)\,NOUN,frère,9,
13,du,du,1.5,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,
14,roy,roy,1.5,N,N,,C/V\,NOUN,roi,8,
15,",",",",1.5,Pnc,Pnc,,,PUNCT,",",9,
16,les,les,1.5,Det,Det,le,C/V\,DET,le,10,
17,ducz,ducz,1.5,N,N,,C/V\,NOUN,duc,9,
18,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
19,Bretaigne,bretaigne,1.5,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Bretagne,8,
20,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
21,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
22,Calabre,calabre,1.5,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Calabre,8,
23,et,et,1.5,Crd,Crd,et,/V\,CCONJ,et,10,
24,autres,autres,1.5,Adj,Adj,autre,'/V\.C/e\,ADJ,autre,10,
25,seigneurs,seigneurs,1.5,N,N,,C/V\.'C/V\,NOUN,seigneur,8,
26,du,du,1.5,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,
27,royaulme,royaulme,1.5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,royaume,8,
28,se,se,1.5,Prn,Prn$$,se,C/(e)\,PRON,se,10,
29,joignirent,joignirent,1.5,Vfin,Vfin,joindre,C/V\.'C/V\.C/e\,VERB,joindre,10,
30,avec,avec,1.5,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10,
31,le,le,1.5,Det,Det,le,C/(e)\,DET,le,10,
32,conte,conte,1.5,N,N,,'C/V\.C/(e)\,NOUN,comte,3,
33,de,de,1.5,Pre,Pre,de,C/(e)\,ADP,de,10,
34,Charroloys,charroloys,1.5,N,N,,C/V\.C/V\.'C/V\,PROPN,Charolais,-10,Charolais
35,en,en,1.5,Pre,Pre,en,/V\,ADP,en,10,
36,la,la,1.5,Det,Det,le,C/V\,DET,le,10,
37,ville,ville,1.5,N,N,,'C/V\.C/(e)\,NOUN,ville,3,
38,d',d',1.5,Pre,Pre,de,C/\,ADP,de,10,
39,Estampes,estampes,1.5,N,N,,/V\.'C/V\.C/e\,PROPN,Étampes,8,
40,pour,pour,1.5,Pre,Pre,pour,C/V\,ADP,pour,10,
41,l',l',1.5,Det,Det,le,C/\,DET,le,10,
42,entreprinse,entreprinse,1.5,N,N,,/V\.C/e\.'C/V\.C/(e)\,NOUN,entreprise,8,
43,qu',qu',1.5,Qux,Qux,que,C/\,PRON,que,10,
44,ilz,ilz,1.5,Prn,Prn$,il,/V\,PRON,il,10,
45,appelloient,appelloient,1.5,Vfin,Vfin,appeler,/V\.C/e\.'C/V\./e\,VERB,appeler,10,
46,le,le,1.5,Det,Det,le,C/(e)\,DET,le,10,
47,bien,bien,1.5,N,N,bien,C/V\,NOUN,bien,10,
48,publicque,publicque,1.5,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,public,9,
49,.,.,1.5,Pnc,Pnc,,,PUNCT,.,9,
