wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,,
70,8,1,de,de,8,Pre,Pre,de,C/(e)\,ADP,de,10,,
71,8,2,coy,coy,8,Qux,Qux,que,C/V\,PRON,que,10,,
72,8,3,on,on,8,Prn,Prn$,on,/V\,PRON,on,10,,
73,8,4,doit,doit,8,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
74,8,5,l',l',8,Det,Det,le,C/\,DET,le,10,,
75,8,6,istore,istore,8,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,8,,
76,8,7,et,et,8,Crd,Crd,et,/V\,CCONJ,et,10,,
77,8,8,loer,loer,8,Vinf,Vinf,louer,C/V\.'C/V\,VERB,louer,10,,
78,8,9,et,et,8,Crd,Crd,et,/V\,CCONJ,et,10,,
79,8,10,prisier,prisier,8,Vinf,Vinf,priser,C/V\.'C/V\,VERB,priser,10,,
80,8,11,",",",",8,Pnc,Pnc,,,PUNCT,",",9,,
81,9,1,et,et,9,Crd,Crd,et,/V\,CCONJ,et,10,,
82,9,2,le,le,9,Det,Det,le,C/(e)\,DET,le,10,,
83,9,3,grant,grant,9,Adj,Adj,grand,C/V\,ADJ,grand,10,,
84,9,4,hardement,hardement,9,N,N,,C/V\.C/e\.'C/V\,NOUN,hardement,8,,
85,9,5,que,que,9,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
86,9,6,dieux,dieux,9,N,N,,C/V\,PROPN,Dieu,3,,
87,9,7,ly,ly,9,Prn,Prn$$,li,C/V\,PRON,li,10,,
88,9,8,fist,fist,9,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
89,9,9,querquier,querquier,9,Vinf,Vinf,,C/V\.'C/V\,VERB,charger,8,,
90,10,1,pour,pour,10,Pre,Pre,pour,C/V\,ADP,pour,10,,
91,10,2,soustenir,soustenir,10,Vinf,Vinf,soutenir,C/V\.C/e\.'C/V\,VERB,soutenir,10,,
92,10,3,droiture,droiture,10,N,N,,C/V\.'C/V\.C/(e)\,NOUN,droiture,8,,
93,10,4,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10,,
94,10,5,honeur,honeur,10,N,N,,/V\.'C/V\,NOUN,honneur,9,,
95,10,6,exauchier,exauchier,10,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,exhausser,9,,
96,10,7,:,:,10,Pnc,Pnc,,,PUNCT,:,9,,
97,11,1,ce,ce,11,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
98,11,2,fu,fu,11,Vfin,Vfin,être,C/V\,VERB,être,10,,
99,11,3,huëz,huëz,11,N,N,,'C/V\./e\,PROPN|NOUN,UNKNOWN,-10,?,
100,11,4,capez,capez,11,N,N,,C/V\.'C/V\,NOUN,cape,6,,
101,11,5,c',c',11,Qux,Qux,que,C/\,PRON,que,10,,
102,11,6,on,on,11,Prn,Prn$,on,/V\,PRON,on,10,,
103,11,7,apelle,apelle,11,Vfin,Vfin,appeler,/V\.'C/V\.C/(e)\,VERB,appeler,10,,
104,11,8,bouchier,bouchier,11,N,N,,C/V\.'C/V\,PROPN|NOUN,boucher,8,,
105,11,9,",",",",11,Pnc,Pnc,,,PUNCT,",",9,,
106,12,1,ce,ce,12,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
107,12,2,fu,fu,12,Vfin,Vfin,être,C/V\,VERB,être,10,,
108,12,3,voirs,voirs,12,Adj,Adj,voir2,C/V\,ADJ,voir,10,,
109,12,4,mais,mais,12,Crd,Crd,mais,C/V\,CCONJ,mais,10,,
110,12,5,moult,moult,12,QIs,QIs,moult,C/V\,ADV,moult,10,,
111,12,6,pau,pau,12,N,N,,C/V\,PROPN|NOUN,Pau|pal,-1,peu,DMF
112,12,7,en,en,12,Prn,Prn$$,en2,/V\,PRON,en,10,,
113,12,8,savoit,savoit,12,Vfin,Vfin,savoir,C/V\.'C/V\,VERB,savoir,10,,
114,12,9,du,du,12,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
115,12,10,mestier,mestier,12,N,N,,C/V\.'C/V\,NOUN,métier,8,,
116,12,11,;,;,12,Pnc,Pnc,,,PUNCT,;,9,,
117,13,1,il,il,13,Prn,Prn$,il,/V\,PRON,il,10,,
118,13,2,estoit,estoit,13,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10,,
119,13,3,gentilz,gentilz,13,Adj,Adj,gentil,C/V\.'C/V\,ADJ,gentil,10,,
120,13,4,hons,hons,13,N,N,,/V\,NOUN,homme,8,,
121,13,5,et,et,13,Crd,Crd,et,/V\,CCONJ,et,10,,
122,13,6,filz,filz,13,N,N,,C/V\,NOUN,fils,3,,
123,13,7,de,de,13,Pre,Pre,de,C/(e)\,ADP,de,10,,
124,13,8,chevallier,chevallier,13,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,9,,
125,13,9,",",",",13,Pnc,Pnc,,,PUNCT,",",9,,
126,14,1,et,et,14,Crd,Crd,et,/V\,CCONJ,et,10,,
127,14,2,avoit,avoit,14,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
128,14,3,ly,ly,14,Det,Det,le,C/V\,DET,le,10,,
129,14,4,sien,sien,14,Adj,Adj,son4,C/V\,ADJ,son,10,,
130,14,5,pere,pere,14,N,N,,'C/V\.C/(e)\,NOUN,père,3,,
131,14,6,c',c',14,Qux,Qux,que,C/\,PRON,que,10,,
132,14,7,on,on,14,Prn,Prn$,on,/V\,PRON,on,10,,
133,14,8,apelloit,apelloit,14,Vfin,Vfin,appeler,/V\.C/e\.'C/V\,VERB,appeler,10,,
134,14,9,richier,richier,14,N,N,,C/V\.'C/V\,PROPN|NOUN,richier,-1,Richier,Vater 
135,15,1,bien,bien,15,Adv,Adv,bien,C/V\,ADV,bien,10,,
136,15,2,.ii.,.ii.,15,QIs,QIs,deux,C/V\,NUM,deux,10,,
137,15,3,mille,mille,15,QIs,QIs,mille,'C/V\.C/(e)\,NUM,mille,10,,
138,15,4,livreëz,livreëz,15,N,N,,C/V\.'C/V\./e\,NOUN,livrée,0,,
139,15,5,de,de,15,Pre,Pre,de,C/(e)\,ADP,de,10,,
140,15,6,terre,terre,15,N,N,,'C/V\.C/(e)\,NOUN,terre,8,,
141,15,7,ajusticier,ajusticier,15,Vinf,Vinf,,/V\.C/V\.C/V\.'C/V\,VERB,ajusticier,-10,enticer ?,DMF
142,15,8,;,;,15,Pnc,Pnc,,,PUNCT,;,9,,
143,16,1,or,or,16,Adv,Adv,or2,/V\,ADV,or,10,,
144,16,2,fina,fina,16,Vfin,Vfin,finer,C/V\.'C/V\,VERB,finer,10,,
145,16,3,de,de,16,Pre,Pre,de,C/(e)\,ADP,de,10,,
146,16,4,ce,ce,16,Dem,Dem,cist,C/(e)\,DET,cist,10,,
147,16,5,siecle,siecle,16,N,N,,'C/V\.C/(e)\,NOUN,siècle,8,,
148,16,6,et,et,16,Crd,Crd,et,/V\,CCONJ,et,10,,
149,16,7,ala,ala,16,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10,,
150,16,8,deviier,deviier,16,Vpp,Vpp,dévier,C/V\.C/<V>\.'/V\,VERB,dévier,10,,
151,16,9,.,.,16,Pnc,Pnc,,,PUNCT,.,9,,
152,17,1,huëz,huëz,17,N,N,,'C/V\./e\,NOUN,huet,0,,
153,17,2,n',n',17,Neg,Neg$$,ne,C/\,ADV,ne,10,,
154,17,3,ot,ot,17,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
155,17,4,que,que,17,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
156,17,5,.xvi.,.xvi.,17,QIs,QIs,seize,'C/V\.C/(e)\,NUM,seize,10,,
157,17,6,ans,ans,17,N,N,,/V\,NOUN,an,8,,
158,17,7,",",",",17,Pnc,Pnc,,,PUNCT,",",9,,
159,17,8,soy,soy,17,Prn,Prn$$,soi,C/V\,PRON,soi,10,,
160,17,9,prist,prist,17,Vfin,Vfin,prendre,C/V\,VERB,prendre,10,,
161,17,10,a,a,17,Pre,Pre,à,/V\,ADP,à,10,,
162,17,11,cointoiier,cointoiier,17,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,cointoyer,9,,
163,18,1,et,et,18,Crd,Crd,et,/V\,CCONJ,et,10,,
164,18,2,a,a,18,Pre,Pre,à,/V\,ADP,à,10,,
165,18,3,servir,servir,18,Vinf,Vinf,servir,C/V\.'C/V\,VERB,servir,10,,
166,18,4,lëz,lëz,18,Det,Det,le,C/e\,DET,le,10,,
167,18,5,armëz,armëz,18,N,N,,'/V\.C/e\,NOUN,armet,0,,
168,18,6,",",",",18,Pnc,Pnc,,,PUNCT,",",9,,
169,18,7,jouster,jouster,18,Vinf,Vinf,,C/V\.'C/V\,VERB,jouter,9,,
170,18,8,et,et,18,Crd,Crd,et,/V\,CCONJ,et,10,,
171,18,9,tournoiier,tournoiier,18,Vfin,Vfin,tournoyer,C/V\.C/V\.'C/V\,VERB,tournoyer,10,,
172,18,10,;,;,18,Pnc,Pnc,,,PUNCT,;,9,,
173,19,1,tout,tout,19,QIs,QIs,tout,C/V\,ADV,tout,10,,
174,19,2,partout,partout,19,Adv,Adv,partout,C/V\.'C/V\,ADV,partout,10,,
175,19,3,ou,ou,19,Qux,Qux,où,/V\,ADJ|ADV|DET|PRON,où,10,,
176,19,4,alloit,alloit,19,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10,,
177,19,5,fu,fu,19,Vfin,Vfin,être,C/V\,VERB,être,10,,
178,19,6,courtois,courtois,19,Adj,Adj,,C/V\.'C/V\,ADJ,courtois,9,,
179,19,7,",",",",19,Pnc,Pnc,,,PUNCT,",",9,,
180,19,8,despensier,despensier,19,N,N,,C/V\.C/V\.'C/V\,NOUN,dépensier,8,,
181,19,9,",",",",19,Pnc,Pnc,,,PUNCT,",",9,,
182,20,1,et,et,20,Crd,Crd,et,/V\,CCONJ,et,10,,
183,20,2,avoit,avoit,20,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
184,20,3,avec,avec,20,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10,,
185,20,4,lui,lui,20,Prn,Prn,lui,C/V\,PRON,lui,10,,
186,20,5,toudis,toudis,20,Adv,Adv,toudis,C/V\.'C/V\,ADV,toudis,10,,
187,20,6,maint,maint,20,QIs,QIs,maint,C/V\,DET,maint,10,,
188,20,7,escuiier,escuiier,20,N,N,,/V\.C/V\.'C/V\,NOUN,écuyer,9,,
189,20,8,.,.,20,Pnc,Pnc,,,PUNCT,.,9,,
190,21,1,ainchois,ainchois,21,Adv,Adv,ainçois,/V\.'C/V\,ADV,ainçois,10,,
191,21,2,qu',qu',21,Sub,Sub,que,C/\,SCONJ,que,10,,
192,21,3,il,il,21,Prn,Prn$,il,/V\,PRON,il,10,,
193,21,4,fut,fut,21,Vfin,Vfin,être,C/V\,VERB,être,10,,
194,21,5,.vii.,.vii.,21,QIs,QIs,sept,C/V\,NUM,sept,10,,
195,21,6,ans,ans,21,N,N,,/V\,NOUN,an,8,,
196,21,7,",",",",21,Pnc,Pnc,,,PUNCT,",",9,,
197,21,8,acrut,acrut,21,Vfin,Vfin,accroître,/V\.'C/V\,VERB,accroître,10,,
198,21,9,tant,tant,21,QIs,QIs,tant,C/V\,ADV,tant,10,,
199,21,10,san,san,21,Pre,Pre,sans,C/V\,ADP,sans,10,,
200,21,11,paiier,paiier,21,Vinf,Vinf,,C/V\.'C/V\,VERB,payer,9,,
201,22,1,qu',qu',22,Sub,Sub,que,C/\,SCONJ,que,10,,
202,22,2,i,i,22,Prn,Prn$,il,/V\,PRON,il,10,,
203,22,3,ly,ly,22,Prn,Prn$$,li,C/V\,PRON,li,10,,
204,22,4,couvint,couvint,22,Vfin,Vfin,convenir,C/V\.'C/V\,VERB,convenir,10,,
205,22,5,sa,sa,22,Det,Det,son4,C/V\,DET,son,10,,
206,22,6,terre,terre,22,N,N,,'C/V\.C/(e)\,NOUN,terre,8,,
207,22,7,moult,moult,22,QIs,QIs,moult,C/V\,ADV,moult,10,,
208,22,8,forment,forment,22,Adv,Adv,fortement,C/V\.'C/V\,ADV,fortement,10,,
209,22,9,engaigier,engaigier,22,Adj,Adj,,/V\.C/V\.'C/V\,ADJ,engager,-1,engagée,DMF
210,22,10,;,;,22,Pnc,Pnc,,,PUNCT,;,9,,
211,23,1,encor,encor,23,Adv,Adv,encore,/V\.'C/V\,ADV,encore,10,,
212,23,2,ne,ne,23,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
213,23,3,se,se,23,Prn,Prn$$,se,C/(e)\,PRON,se,10,,
214,23,4,puet,puet,23,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,,
215,23,5,il,il,23,Prn,Prn%,il,/V\,PRON,il,10,,
216,23,6,pour,pour,23,Pre,Pre,pour,C/V\,ADP,pour,10,,
217,23,7,tant,tant,23,QIs,QIs,tant,C/V\,ADV,tant,10,,
218,23,8,point,point,23,Neg,Neg,point2,C/V\,ADV,point,10,,
219,23,9,acuitier,acuitier,23,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,acquitter,0,,
220,23,10,",",",",23,Pnc,Pnc,,,PUNCT,",",9,,
221,24,1,argent,argent,24,N,N,,/V\.'C/V\,NOUN,argent,8,,
222,24,2,ly,ly,24,Prn,Prn$$,li,C/V\,PRON,li,10,,
223,24,3,demandoient,demandoient,24,Vfin,Vfin,demander,C/V\.C/V\.'C/V\./e\,VERB,demander,10,,
224,24,4,bourgois,bourgois,24,N,N,,C/V\.'C/V\,NOUN,bourgeois,9,,
225,24,5,et,et,24,Crd,Crd,et,/V\,CCONJ,et,10,,
226,24,6,escuiier,escuiier,24,N,N,,/V\.C/V\.'C/V\,NOUN,écuyer,9,,
227,25,1,et,et,25,Crd,Crd,et,/V\,CCONJ,et,10,,
228,25,2,marchans,marchans,25,N,N,,C/V\.'C/V\,NOUN,marchand,8,,
229,25,3,de,de,25,Pre,Pre,de,C/(e)\,ADP,de,10,,
230,25,4,chevaulz,chevaulz,25,N,N,,C/V\.'C/V\,NOUN,cheval,8,,
231,25,5,ou,ou,25,Qux,Qux,où,/V\,PRON,où,10,,
232,25,6,il,il,25,Prn,Prn$,il,/V\,PRON,il,10,,
233,25,7,prist,prist,25,Vfin,Vfin,prendre,C/V\,VERB,prendre,10,,
234,25,8,maint,maint,25,QIs,QIs,maint,C/V\,DET,maint,10,,
235,25,9,coursier,coursier,25,N,N,,C/V\.'C/V\,NOUN,coursier,8,,
236,25,10,.,.,25,Pnc,Pnc,,,PUNCT,.,9,,
237,26,1,sur,sur,26,PrA,PrA,sur,C/V\,ADP,sur,10,,
238,26,2,mainte,mainte,26,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10,,
239,26,3,lettre,lettre,26,N,N,,'C/V\.C/(e)\,NOUN,lettre,8,,
240,26,4,avoit,avoit,26,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
241,26,5,son,son,26,Det,Det,son4,C/V\,DET,son,10,,
242,26,6,cors,cors,26,N,N,,C/V\,NOUN,corps,3,,
243,26,7,fait,fait,26,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
244,26,8,obligier,obligier,26,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,obliger,9,,
245,27,1,et,et,27,Crd,Crd,et,/V\,CCONJ,et,10,,
246,27,2,chil,chil,27,Dem,Dem,cil,C/V\,PRON,cil,10,,
247,27,3,le,le,27,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
248,27,4,menachoient,menachoient,27,Vfin,Vfin,,C/V\.C/V\.'C/V\./e\,VERB,menacer,9,,
249,27,5,de,de,27,Pre,Pre,de,C/(e)\,ADP,de,10,,
250,27,6,tenir,tenir,27,Vinf,Vinf,tenir,C/V\.'C/V\,VERB,tenir,10,,
251,27,7,prisonnier,prisonnier,27,N,N,,C/V\.C/V\.'C/V\,NOUN,prisonnier,9,,
252,27,8,.,.,27,Pnc,Pnc,,,PUNCT,.,9,,
253,28,1,quant,quant,28,Sub,Sub,quand,C/V\,SCONJ,quand,10,,
254,28,2,huëz,huëz,28,N,N,,'C/V\./e\,NOUN,huet,0,,
255,28,3,vit,vit,28,Vfin,Vfin,voir,C/V\,VERB,voir,10,,
256,28,4,qu',qu',28,Sub,Sub,que,C/\,SCONJ,que,10,,
257,28,5,il,il,28,Prn,Prn$,il,/V\,PRON,il,10,,
258,28,6,n',n',28,Neg,Neg$$,ne,C/\,ADV,ne,10,,
259,28,7,ot,ot,28,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
260,28,8,ne,ne,28,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10,,
261,28,9,maille,maille,28,N,N,,'C/V\.C/(e)\,NOUN,maille,8,,
262,28,10,ne,ne,28,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10,,
263,28,11,denier,denier,28,N,N,,C/V\.C/<V>\.'/V\,NOUN,denier,8,,
264,29,1,pour,pour,29,Pre,Pre,pour,C/V\,ADP,pour,10,,
265,29,2,maintenir,maintenir,29,Vinf,Vinf,maintenir,C/V\.C/e\.'C/V\,VERB,maintenir,10,,
266,29,3,l',l',29,Det,Det,le,C/\,DET,le,10,,
267,29,4,estat,estat,29,N,N,,/V\.'C/V\,NOUN,état,8,,
268,29,5,qu',qu',29,Sub,Sub,que,C/\,SCONJ,que,10,,
269,29,6,il,il,29,Prn,Prn$,il,/V\,PRON,il,10,,
270,29,7,ot,ot,29,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
271,29,8,vollut,vollut,29,Vpp,Vpp,vouloir,C/V\.'C/V\,VERB,vouloir,10,,
272,29,9,hauchier,hauchier,29,N,N,,C/V\.'C/V\,PROPN|NOUN,hocher,-1,hocher,DMF
273,30,1,et,et,30,Crd,Crd,et,/V\,CCONJ,et,10,,
274,30,2,il,il,30,Prn,Prn$,il,/V\,PRON,il,10,,
275,30,3,s',s',30,Prn,Prn$$,se,C/\,PRON,se,10,,
276,30,4,ot,ot,30,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
277,30,5,dez,dez,30,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
278,30,6,detteur,detteur,30,N,N,,C/V\.'C/V\,NOUN,detteur,9,,
279,30,7,si,si,30,Adv,Adv,si4,C/V\,ADV,si,10,,
280,30,8,forment,forment,30,Adv,Adv,fortement,C/V\.'C/V\,ADV,fortement,10,,
281,30,9,menachier,menachier,30,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,menacer,9,,
282,30,10,",",",",30,Pnc,Pnc,,,PUNCT,",",9,,
283,31,1,il,il,31,Prn,Prn$,il,/V\,PRON,il,10,,
284,31,2,en,en,31,Prn,Prn$$,en2,/V\,PRON,en,10,,
285,31,3,a,a,31,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
286,31,4,juré,juré,31,Vpp,Vpp,jurer,C/V\.'C/V\,VERB,jurer,10,,
287,31,5,dieu,dieu,31,N,N,,C/V\,NOUN,dieu,3,,
288,31,6,",",",",31,Pnc,Pnc,,,PUNCT,",",9,,
289,31,7,le,le,31,Det,Det,le,C/(e)\,DET,le,10,,
290,31,8,pere,pere,31,N,N,,'C/V\.C/(e)\,NOUN,père,3,,
291,31,9,droiturier,droiturier,31,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,droiturier,9,,
292,31,10,",",",",31,Pnc,Pnc,,,PUNCT,",",9,,
293,32,1,que,que,32,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
294,32,2,tout,tout,32,QIs,QIs,tout,C/V\,ADV,tout,10,,
295,32,3,hors,hors,32,PrA,PrA,hors,C/V\,ADV,hors,10,,
296,32,4,du,du,32,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
297,32,5,roiaume,roiaume,32,N,N,,C/V\.'C/V\.C/(e)\,NOUN,royaume,8,,
298,32,6,s',s',32,Prn,Prn$$,se,C/\,PRON,se,10,,
299,32,7,ira,ira,32,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10,,
300,32,8,esbanoyiier,esbanoyiier,32,Vinf,Vinf,esbanoyer,/V\.C/V\.C/V\.'C/V\,VERB,esbanoyer,10,,
301,32,9,",",",",32,Pnc,Pnc,,,PUNCT,",",9,,
302,33,1,se,se,33,Adv,Adv,si4,C/(e)\,ADV,si,10,,
303,33,2,laira,laira,33,Vfin,Vfin,laisser,C/V\.'C/V\,VERB,laisser,10,,
304,33,3,cez,cez,33,Dem,Dem,cist,C/V\,DET,cist,10,,
305,33,4,detteurs,detteurs,33,N,N,,C/V\.'C/V\,NOUN,detteur,9,,
306,33,5,ung,ung,33,QIs,QIs,un,/V\,DET,un,10,,
307,33,6,petit,petit,33,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10,,
308,33,7,refroydier,refroydier,33,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,refroider,9,,
309,33,8,",",",",33,Pnc,Pnc,,,PUNCT,",",9,,
310,34,1,car,car,34,Crd,Crd,car,C/V\,CCONJ,car,10,,
311,34,2,jusquëz,jusquëz,34,PrA,PrA,jusque,'C/V\.C/e\,ADP,jusque,10,,
312,34,3,a,a,34,Pre,Pre,à,/V\,ADP,à,10,,
313,34,4,.xx.,.xx.,34,QIs,QIs,vingt,C/V\,NUM,vingt,10,,
314,34,5,ans,ans,34,N,N,,/V\,NOUN,an,8,,
315,34,6,fera,fera,34,Vfin,Vfin,faire,C/V\.'C/V\,VERB,faire,10,,
316,34,7,il,il,34,Prn,Prn%,il,/V\,PRON,il,10,,
317,34,8,bon,bon,34,Adj,Adj,bon,C/V\,ADJ,bon,10,,
318,34,9,paiier,paiier,34,Vinf,Vinf,,C/V\.'C/V\,VERB,payer,9,,
