wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,,
1,1,1,signeur,signeur,1,N,N,,C/V\.'C/V\,NOUN,seigneur,3,,
2,1,2,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
3,1,3,or,or,1,Adv,Adv,or2,/V\,ADV,or,10,,
4,1,4,faitëz,faitëz,1,Vfin,Vfin,faire,'C/V\.C/e\,VERB,faire,10,,
5,1,5,pais,pais,1,N,N,,C/V\,NOUN,paix,3,,
6,1,6,pour,pour,1,Pre,Pre,pour,C/V\,ADP,pour,10,,
7,1,7,dieu,dieu,1,N,N,,C/V\,PROPN,Dieu,3,,
8,1,8,le,le,1,Det,Det,le,C/(e)\,DET,le,10,,
9,1,9,droyturier,droyturier,1,N,N,,C/V\.C/V\.'C/V\,NOUN,droiturier,4,,
10,1,10,!,!,1,Pnc,Pnc,,,PUNCT,!,9,,
11,2,1,drois,drois,2,N,N,droit,C/V\,NOUN,droit,10,,
12,2,2,dist,dist,2,Vfin,Vfin,dire,C/V\,VERB,dire,10,,
13,2,3,c',c',2,Sub,Sub,que,C/\,SCONJ,que,10,,
14,2,4,on,on,2,Prn,Prn$,on,/V\,PRON,on,10,,
15,2,5,ne,ne,2,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
16,2,6,doit,doit,2,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
17,2,7,mie,mie,2,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10,,
18,2,8,scienche,scienche,2,N,N,,C/V\.'C/V\.C/(e)\,NOUN,science,9,,
19,2,9,remuchier,remuchier,2,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,remucier,6,,
20,2,10,",",",",2,Pnc,Pnc,,,PUNCT,",",9,,
21,3,1,mais,mais,3,Crd,Crd,mais,C/V\,CCONJ,mais,10,,
22,3,2,ceuz,ceuz,3,Dem,Dem,cil,C/V\,PRON,cil,10,,
23,3,3,qui,qui,3,Qux,Qux,qui,C/V\,PRON,qui,10,,
24,3,4,en,en,3,Pre,Pre,en,/V\,ADP,en,10,,
25,3,5,son,son,3,Det,Det,son4,C/V\,DET,son,10,,
26,3,6,cuer,cuer,3,N,N,,C/V\,NOUN,coeur,3,,
27,3,7,set,set,3,Vfin,Vfin,savoir,C/V\,VERB,savoir,10,,
28,3,8,bien,bien,3,Adv,Adv,bien,C/V\,ADV,bien,10,,
29,3,9,auctorisier,auctorisier,3,Vinf,Vinf,,/V\.C/V\.C/V\.'C/V\,VERB,autoriser,9,,
30,4,1,le,le,4,Det,Det,le,C/(e)\,DET,le,10,,
31,4,2,sens,sens,4,N,N,,C/V\,NOUN,sens,8,,
32,4,3,de,de,4,Pre,Pre,de,C/(e)\,ADP,de,10,,
33,4,4,coy,coy,4,Qux,Qux,que,C/V\,PRON,que,10,,
34,4,5,il,il,4,Prn,Prn$,il,/V\,PRON,il,10,,
35,4,6,puist,puist,4,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,,
36,4,7,preudomme,preudomme,4,N,N,,C/V\.'C/V\.C/(e)\,NOUN,prudhomme,9,,
37,4,8,consillier,consillier,4,Vinf,Vinf,conseiller2,C/V\.C/V\.'C/V\,VERB,conseiller,10,,
38,4,9,",",",",4,Pnc,Pnc,,,PUNCT,",",9,,
39,5,1,s',s',5,Sub,Sub,si3,C/\,SCONJ,si,10,,
40,5,2,il,il,5,Prn,Prn$,il,/V\,PRON,il,10,,
41,5,3,treuve,treuve,5,Vfin,Vfin,trouver,'C/V\.C/(e)\,VERB,trouver,10,,
42,5,4,le,le,5,Det,Det,le,C/(e)\,DET,le,10,,
43,5,5,scienche,scienche,5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,science,9,,
44,5,6,a,a,5,Pre,Pre,à,/V\,ADP,à,10,,
45,5,7,bien,bien,5,Adv,Adv,bien,C/V\,ADV,bien,10,,
46,5,8,notefiier,notefiier,5,Vinf,Vinf,,C/V\.C/e\.C/V\.'C/V\,VERB,notifier,9,,
47,6,1,honneur,honneur,6,N,N,,/V\.'C/V\,NOUN,honneur,8,,
48,6,2,en,en,6,Prn,Prn$$,en2,/V\,PRON,en,10,,
49,6,3,a,a,6,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
50,6,4,au,au,6,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
51,6,5,monde,monde,6,N,N,,'C/V\.C/(e)\,NOUN,monde,8,,
52,6,6,et,et,6,Crd,Crd,et,/V\,CCONJ,et,10,,
53,6,7,dieux,dieux,6,N,N,,C/V\,NOUN,dieu,3,,
54,6,8,l',l',6,Prn,Prn$$,le,C/\,PRON,le,10,,
55,6,9,en,en,6,Prn,Prn$$,en2,/V\,PRON,en,10,,
56,6,10,a,a,6,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
57,6,11,plus,plus,6,Adv,Adv,plus,C/V\,ADV,plus,10,,
58,6,12,chier,chier,6,Adj,Adj,cher,C/V\,ADJ,cher,10,,
59,6,13,;,;,6,Pnc,Pnc,,,PUNCT,;,9,,
60,7,1,et,et,7,Crd,Crd,et,/V\,CCONJ,et,10,,
61,7,2,pour,pour,7,Pre,Pre,pour,C/V\,ADP,pour,10,,
62,7,3,ce,ce,7,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
63,7,4,vous,vous,7,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
64,7,5,lyray,lyray,7,Vfin,Vfin,lire,C/V\.'C/V\,VERB,lire,10,,
65,7,6,le,le,7,Det,Det,le,C/(e)\,DET,le,10,,
66,7,7,vie,vie,7,N,N,,'C/V\./(e)\,NOUN,vie,3,,
67,7,8,d',d',7,Pre,Pre,de,C/\,ADP,de,10,,
68,7,9,un,un,7,QIs,QIs,un,/V\,DET,un,10,,
69,7,10,guerier,guerier,7,N,N,,C/V\.'C/V\,NOUN,guerrier,8,,
