wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
182,31,2,jaspe,jaspe,31,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,jaspe,6,,
183,31,3,per,per,31,PRE,Pre,Pre,par,C/V\,ADP,par,10,,
184,31,4,aventure,aventure,31,NOM:obj:femi:sg,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,aventure,8,,
185,32,1,ai,ai,32,VER:pres:3:sg,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
186,32,2,trovee,trovee,32,VER:pper:femi:sg,Vpp,Vpp,trouver,C/V\.'C/V\./(e)\,VERB,trouver,10,,
187,32,3,don,don,32,PRO:invar,Qux,Qux,dont,C/V\,PRON,dont,10,,
188,32,4,n,n,32,PRO:clit,Neg,Neg$$,ne,C/\,ADV,ne,10,,
189,32,5,avoit,avoit,32,VER:impf:3:sg,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
190,32,6,cure,cure,32,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,cure,3,,
191,33,1,habaiz,habaiz,33,VER:pper:masc:pl,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,habaisser,-10,abaisser,DMF
192,33,2,fu,fu,33,VER:simp:3:sg,Vfin,Vfin,être,C/V\,VERB,être,10,,
193,33,3,quant,quant,33,ADV,Sub,Sub,quand,C/V\,SCONJ,quand,10,,
194,33,4,l',l',33,PRO:pers:obj:3:masc:sg:unb,Prn,Prn$$,le,C/\,PRON,le,10,,
195,33,5,a,a,33,VER:pres:3:sg,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
196,33,6,trovee,trovee,33,VER:pper:femi:sg,Vpp,Vpp,trouver,C/V\.'C/V\./(e)\,VERB,trouver,10,,
197,34,1,et,et,34,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10,,
198,34,2,dit,dit,34,VER:pres:3:sg,Vfin,Vfin,dire,C/V\,VERB,dire,10,,
199,34,3,con,con,34,CON:subord,Sub,Sub,comme,C/V\,SCONJ,comme,10,,
200,34,4,cil,cil,34,PRO:demo:suj:masc:sg,Dem,Dem,cil,C/V\,PRON,cil,10,,
201,34,5,cui,cui,34,PROCON,Qux,Qux,cui,C/V\,PRON,qui,11,,
202,34,6,point,point,34,NOM:obj:masc:sg,Neg,Neg,point2,C/V\,ADV,point,10,,
203,34,7,n,n,34,PRO:clit,Neg,Neg$$,ne,C/\,ADV,ne,10,,
204,34,8,agree,agree,34,VER:pres:3:sg,Vfin,Vfin,,/V\.'C/V\./(e)\,VERB,agréer,8,,
205,35,1,"""","""",35,PON:cit,Pnc,Pnc,,,PUNCT,"""",9,,
206,35,2,he,he,35,EXC,Exc,Exc,,C/V\,INTJ,hé,8,,
207,35,3,"""","""",35,PON:cit,Pnc,Pnc,,,PUNCT,"""",9,,
208,35,4,fait,fait,35,VER:pres:3:sg,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
209,35,5,il,il,35,PRO:pers:suj:3:masc:sg:unb,Prn,Prn,il,/V\,PRON,il,10,,
210,35,6,"""","""",35,PON:cit,Pnc,Pnc,,,PUNCT,"""",9,,
211,35,7,preciouse,preciouse,35,ADJ:suj:femi:sg,Adj,Adj,,C/V\.C/{V}\.'/V\.C/(e)\,ADJ,précieux,9,,
212,35,8,chose,chose,35,NOM:suj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,chose,8,,
213,36,1,que,que,36,PROCON,Qux,Qux,que,C/(e)\,PRON,que,10,,
214,36,2,ci,ci,36,ADV,Adv,Adv,ci,C/V\,ADV,ci,10,,
215,36,3,es,es,36,VER:pres:2:sg,Vfin,Vfin,être,/V\,VERB,être,10,,
216,36,4,si,si,36,PROCON,Adv,Adv,si4,C/V\,ADV,si,10,,
217,36,5,vilmant,vilmant,36,ADV,Adv,Adv,,C/V\.'C/V\,ADV,vilement,9,,
218,36,6,enclouse,enclouse,36,VER:pper:femi:sg,Vpp,Vpp,enclore,/V\.'C/V\.C/(e)\,VERB,enclore,10,,
219,37,1,certes,certes,37,ADV,Adv,Adv,certes,'C/V\.C/e\,ADV,certes,10,,
220,37,2,ci,ci,37,ADV,Adv,Adv,si4,C/V\,ADV,si,10,,
221,37,3,ai,ai,37,VER:pres:3:sg,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
222,37,4,mout,mout,37,ADV,QIs,QIs,moult,C/V\,ADV,moult,10,,
223,37,5,grant,grant,37,ADJ:obj:masc:sg,Adj,Adj,grand,C/V\,ADJ,grand,10,,
224,37,6,domaige,domaige,37,NOM:obj:masc:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,dommage,9,,
225,38,1,tu,tu,38,PRO:pers:suj:2:sg:unb,Prn,Prn$,tu,C/V\,PRON,tu,10,,
226,38,2,ne,ne,38,PRO:clit,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
227,38,3,vauz,vauz,38,VER:pres:2:sg,Vfin,Vfin,valoir,C/V\,VERB,valoir,10,,
228,38,4,riens,riens,38,ADV,N,N,rien,C/V\,PROPN|NOUN,rien,10,,
229,38,5,por,por,38,PRE,Pre,Pre,pour,C/V\,ADP,pour,10,,
230,38,6,mon,mon,38,DET:poss:obj:masc:sg,Det,Det,mon,C/V\,DET,mon,10,,
231,38,7,usaige,usaige,38,NOM:obj:masc:sg,N,N,,/V\.'C/V\.C/(e)\,NOUN,usage,9,,
232,39,1,mais,mais,39,CON:coord,Crd,Crd,mais,C/V\,CCONJ,mais,10,,
233,39,2,se,se,39,PROCON,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
234,39,3,aucuns,aucuns,39,PRO:ind:suj:masc:sg,QIs,QIs,aucun,/V\.'C/V\,PRON,aucun,10,,
235,39,4,te,te,39,PRO:pers:obj:2:sg:unb,Prn,Prn$$,te,C/(e)\,PRON,te,10,,
236,39,5,puet,puet,39,VER:pres:3:sg,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,,
237,39,6,trover,trover,39,VER:infi,Vinf,Vinf,trouver,C/V\.'C/V\,VERB,trouver,10,,
238,40,1,ta,ta,40,DET:poss:obj:femi:sg,Det,Det,ton2,C/V\,DET,ton,10,,
239,40,2,bontey,bontey,40,NOM:obj:femi:sg,N,N,,C/V\.'C/V\,NOUN,bonté,0,,
240,40,3,sehust,sehust,40,VER:subi:3:sg,Vfin,Vfin,savoir,C/V\.'C/V\,VERB,savoir,10,,
241,40,4,esprover,esprover,40,VER:infi,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,éprouver,9,,
242,41,1,ta,ta,41,DET:poss:suj:femi:sg,Det,Det,ton2,C/V\,DET,ton,10,,
243,41,2,valours,valours,41,NOM:suj:femi:sg,N,N,,C/V\.'C/V\,NOUN,valeur,9,,
244,41,3,qu,qu,41,PROCON,Qux,Qux,que,C/\,PRON,que,10,,
245,41,4,est,est,41,VER:pres:3:sg,Vfin,Vfin,être,/V\,VERB,être,10,,
246,41,5,ci,ci,41,ADV,Adv,Adv,ci,C/V\,ADV,ci,10,,
247,41,6,escondue,escondue,41,VER:pper:femi:sg,Vpp,Vpp,escondire,/V\.C/V\.'C/V\./(e)\,VERB,escondire,10,,
248,42,1,prisie,prisie,42,VER:pper:femi:sg,Vpp,Vpp,priser,C/V\.'C/V\./(e)\,VERB,priser,10,,
249,42,2,fust,fust,42,VER:subi:3:sg,Vfin,Vfin,être,C/V\,VERB,être,10,,
250,42,3,et,et,42,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10,,
251,42,4,chier,chier,42,ADJ:obj:masc:sg,Adj,Adj,cher,C/V\,ADJ,cher,10,,
252,42,5,tenue,tenue,42,VER:pper:femi:sg,Vpp,Vpp,tenir,C/V\.'C/V\./(e)\,VERB,tenir,10,,
