wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,silz,silz,1,DET:demo:suj:masc:sg,Dem,Dem,cil,C/V\,DET|PRON,cil,10,,
2,1,2,livres,livres,1,NOM:suj:masc:sg,N,N,,'C/V\.C/e\,NOUN,livre,8,,
3,1,3,qu,qu,1,PROCON,Qux,Qux,que,C/\,PRON,que,10,,
4,1,4,est,est,1,VER:pres:3:sg,Vfin,Vfin,être,/V\,VERB,être,10,,
5,1,5,ci,ci,1,ADV,Adv,Adv,ci,C/V\,ADV,ci,10,,
6,1,6,en,en,1,PRE,Pre,Pre,en,/V\,ADP,en,10,,
7,1,7,presence,presence,1,NOM:obj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,présence,9,,
8,2,1,contient,contient,2,VER:pres:3:sg,Vfin,Vfin,contenir,C/V\.'C/V\,VERB,contenir,10,,
9,2,2,de,de,2,PRE,Pre,Pre,de,C/(e)\,ADP,de,10,,
10,2,3,grant,grant,2,ADJ:obj:masc:sg,Adj,Adj,grand,C/V\,ADJ,grand,10,,
11,2,4,profit,profit,2,NOM:obj:masc:sg,N,N,,C/V\.'C/V\,NOUN,profit,8,,
12,2,5,sentence,sentence,2,NOM:obj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,sentence,8,,
13,3,1,raisons,raisons,3,NOM:suj:femi:sg,N,N,,C/V\.'C/V\,NOUN,raison,9,,
14,3,2,qu,qu,3,PROCON,Qux,Qux,que,C/\,PRON,que,10,,
15,3,3,est,est,3,VER:pres:3:sg,Vfin,Vfin,être,/V\,VERB,être,10,,
16,3,4,de,de,3,PRE,Pre,Pre,de,C/(e)\,ADP,de,10,,
17,3,5,solez,solez,3,NOM:obj:masc:sg,N,N,,C/V\.'C/V\,NOUN,soleil,3,,
18,3,6,paree,paree,3,VER:pper:femi:sg,Vpp,Vpp,,C/V\.'C/V\./(e)\,VERB,parer,3,,
19,4,1,est,est,4,VER:pres:3:sg,Vfin,Vfin,être,/V\,VERB,être,10,,
20,4,2,plus,plus,4,ADV,Adv,Adv,plus,C/V\,ADV,plus,10,,
21,4,3,voluntiers,voluntiers,4,ADV,Adv,Adv,volentiers,C/V\.C/V\.'C/V\,ADV,volentiers,10,,
22,4,4,escoutee,escoutee,4,VER:pper:femi:sg,Vpp,Vpp,écouter,/V\.C/V\.'C/V\./(e)\,VERB,écouter,10,,
23,5,1,car,car,5,CON:coord,Crd,Crd,car,C/V\,CCONJ,car,10,,
24,5,2,cilz,cilz,5,PRO:demo:suj:masc:sg,Dem,Dem,cil,C/V\,PRON,cil,10,,
25,5,3,fait,fait,5,VER:pres:3:sg,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
26,5,4,comm,comm,5,CON:subord,Sub,Sub,comme,C/V\,SCONJ,comme,10,,
27,5,5,un,un,5,DET:ndf:obj:masc:sg,QIs,QIs,un,/V\,DET,un,10,,
28,5,6,soutilz,soutilz,5,ADJ:obj:masc:sg,Adj,Adj,,C/V\.'C/V\,ADJ,subtil,9,,
29,5,7,laz,laz,5,NOM:obj:masc:sg,N,N,,C/V\,NOUN,lacs,3,,
30,6,1,qui,qui,6,PROCON,Qux,Qux,qui,C/V\,PRON,qui,10,,
31,6,2,melle,melle,6,VER:pres:3:sg,Vfin,Vfin,,'C/V\.C/(e)\,VERB,mêler,8,,
32,6,3,sent,sent,6,NOM:obj:masc:sg,N,N,,C/V\,PROPN|NOUN,sent,8,,
33,6,4,avuec,avuec,6,PRE,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10,,
34,6,5,soulez,soulez,6,NOM:obj:masc:sg,N,N,,C/V\.'C/V\,PROPN|NOUN,soule|sole,-1,soule,DMF
35,7,1,tulles,tulles,7,NPR:suj:masc:sg,N,N,,'C/V\.C/e\,NOUN,Tulle,2,,
36,7,2,aussi,aussi,7,ADV,Adv,Adv,aussi,/V\.'C/V\,ADV,aussi,10,,
37,7,3,l',l',7,PRO:pers:obj:3:masc:sg:unb,Prn,Prn$$,le,C/\,PRON,le,10,,
38,7,4,ensoigne,ensoigne,7,VER:pres:3:sg,Vfin,Vfin,,/V\.'C/V\.C/(e)\,VERB,ensoigner,8,,
39,7,5,a,a,7,PRE,Pre,Pre,à,/V\,ADP,à,10,,
40,7,6,faire,faire,7,VER:infi,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,
41,8,1,por,por,8,PRE,Pre,Pre,pour,C/V\,ADP,pour,10,,
42,8,2,les,les,8,DET:def:obj:masc:pl,Det,Det,le,C/V\,DET,le,10,,
43,8,3,cuers,cuers,8,NOM:obj:masc:pl,N,N,,C/V\,NOUN,coeur,3,,
44,8,4,des,des,8,PREDET:de:obj:femi:pl,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
45,8,5,genz,genz,8,NOM:obj:femi:pl,N,N,,C/V\,NOUN,gent,3,,
46,8,6,plus,plus,8,ADV,Adv,Adv,plus,C/V\,ADV,plus,10,,
47,8,7,atraire,atraire,8,VER:infi,Vinf,Vinf,attraire,/V\.'C/V\.C/(e)\,VERB,attraire,10,,
48,9,1,un,un,9,DET:ndf:obj:masc:sg,QIs,QIs,un,/V\,DET,un,10,,
49,9,2,petit,petit,9,ADJ:obj:masc:sg,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10,,
50,9,3,jardin,jardin,9,NOM:obj:masc:sg,N,N,,C/V\.'C/V\,NOUN,jardin,8,,
51,9,4,ai,ai,9,VER:pres:1:sg,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
52,9,5,hantey,hantey,9,VER:pper:masc:sg,Vpp,Vpp,,C/V\.'C/V\,VERB,UNKNOWN,-10,hanter,DMF
53,10,1,flours,flours,10,NOM:obj:femi:pl,N,N,,C/V\,NOUN,fleur,9,,
54,10,2,et,et,10,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10,,
55,10,3,fruit,fruit,10,NOM:obj:masc:sg,N,N,,C/V\,NOUN,fruit,8,,
56,10,4,porte,porte,10,VER:pres:3:sg,Vfin,Vfin,porter,'C/V\.C/(e)\,VERB,porter,10,,
57,10,5,a,a,10,PRE,Pre,Pre,à,/V\,ADP,à,10,,
58,10,6,grant,grant,10,ADJ:obj:femi:sg,Adj,Adj,grand,C/V\,ADJ,grand,10,,
59,10,7,plantey,plantey,10,NOM:obj:femi:sg,N,N,,C/V\.'C/V\,NOUN,plenté,0,,
60,11,1,li,li,11,DET:def:suj:masc:sg,Det,Det,le,C/V\,DET,le,10,,
61,11,2,fruiz,fruiz,11,NOM:suj:masc:sg,N,N,,C/V\,NOUN,fruit,8,,
62,11,3,est,est,11,VER:pres:3:sg,Vfin,Vfin,être,/V\,VERB,être,10,,
63,11,4,bons,bons,11,ADJ:suj:masc:sg,Adj,Adj,bon,C/V\,ADJ,bon,10,,
64,11,5,la,la,11,DET:def:suj:femi:sg,Det,Det,le,C/V\,DET,le,10,,
65,11,6,flours,flours,11,NOM:suj:femi:sg,N,N,,C/V\,NOUN,fleur,9,,
66,11,7,novele,novele,11,ADJ:suj:femi:sg,Adj,Adj,nouveau,C/V\.'C/V\.C/(e)\,ADJ,nouveau,10,,
67,12,1,delitauble,delitauble,12,ADJ:suj:femi:sg,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,délitable,0,,
68,12,2,plaisanz,plaisanz,12,VER:ppre:pl,Vprs,Vprs,plaire,C/V\.'C/V\,VERB,plaire,10,,
69,12,3,et,et,12,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10,,
70,12,4,bele,bele,12,ADJ:suj:femi:sg,Adj,Adj,beau,'C/V\.C/(e)\,ADJ,beau,10,,
71,13,1,li,li,13,DET:def:suj:femi:sg,Det,Det,le,C/V\,DET,le,10,,
72,13,2,flours,flours,13,NOM:suj:femi:sg,N,N,,C/V\,NOUN,fleur,9,,
73,13,3,est,est,13,VER:pres:3:sg,Vfin,Vfin,être,/V\,VERB,être,10,,
74,13,4,example,example,13,NOM:suj:masc:sg,N,N,,/V\.'C/V\.C/(e)\,NOUN,exemple,8,,
75,13,5,de,de,13,PRE,Pre,Pre,de,C/(e)\,ADP,de,10,,
76,13,6,fauble,fauble,13,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,fauble,-10,fable,
77,14,1,li,li,14,DET:def:suj:masc:sg,Det,Det,le,C/V\,DET,le,10,,
78,14,2,fruiz,fruiz,14,NOM:suj:masc:sg,N,N,,C/V\,NOUN,fruit,8,,
79,14,3,doctrine,doctrine,14,NOM:suj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,doctrine,8,,
80,14,4,profitauble,profitauble,14,ADJ:suj:femi:sg,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,profitable,9,,
81,15,1,bone,bone,15,ADJ:suj:femi:sg,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10,,
82,15,2,est,est,15,VER:pres:3:sg,Vfin,Vfin,être,/V\,VERB,être,10,,
83,15,3,la,la,15,DET:def:suj:femi:sg,Det,Det,le,C/V\,DET,le,10,,
84,15,4,flour,flour,15,NOM:suj:femi:sg,N,N,,C/V\,NOUN,fleur,8,,
85,15,5,por,por,15,PRE,Pre,Pre,pour,C/V\,ADP,pour,10,,
86,15,6,delitier,delitier,15,VER:infi,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,déliter,9,,
87,16,1,lou,lou,16,DET:def:obj:masc:sg,Det,Det,le,C/V\,DET,le,10,,
88,16,2,fruit,fruit,16,NOM:obj:masc:sg,N,N,,C/V\,NOUN,fruit,8,,
89,16,3,cuil,cuil,16,VER:impe:2:sg,Vfin,Vfin,cueillir,C/V\,VERB,cueillir,10,,
90,16,4,se,se,16,PROCON,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
91,16,5,vuez,vuez,16,VER:pres:2:sg,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10,,
92,16,6,profitier,profitier,16,VER:infi,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,profiter,8,,
93,17,1,se,se,17,PROCON,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
94,17,2,l',l',17,DET:def:suj:masc:sg,Det,Det,le,C/\,DET,le,10,,
95,17,3,uns,uns,17,DET:ndf:suj:masc:sg,QIs,QIs,un,/V\,PRON,un,10,,
96,17,4,te,te,17,PRO:pers:obj:2:sg:unb,Prn,Prn$$,te,C/(e)\,PRON,te,10,,
97,17,5,plait,plait,17,VER:pres:3:sg,Vfin,Vfin,plaire,C/V\,VERB,plaire,10,,
98,17,6,tu,tu,17,PRO:pers:suj:2:sg:unb,Prn,Prn$,tu,C/V\,PRON,tu,10,,
99,17,7,lo,lo,17,PRO:pers:obj:3:masc:sg:unb,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
100,17,8,puez,puez,17,VER:pres:2:sg,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,,
101,17,9,prandre,prandre,17,VER:infi,Vinf,Vinf,prendre,'C/V\.C/(e)\,VERB,prendre,10,,
102,18,1,ou,ou,18,PROCON,Crd,Crd,ou,/V\,CCONJ,ou,10,,
103,18,2,les,les,18,DET:def:obj:masc:pl,Det,Det,le,C/V\,DET,le,10,,
104,18,3,dous,dous,18,ADJ:card,QIs,QIs,deux,C/V\,NUM,deux,10,,
105,18,4,se,se,18,PROCON,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
106,18,5,plus,plus,18,ADV,Adv,Adv,plus,C/V\,ADV,plus,10,,
107,18,6,vuez,vuez,18,VER:pres:2:sg,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10,,
108,18,7,aprendre,aprendre,18,VER:infi,Vinf,Vinf,apprendre,/V\.'C/V\.C/(e)\,VERB,apprendre,10,,
109,19,1,mon,mon,19,DET:poss:obj:masc:sg,Det,Det,mon,C/V\,DET,mon,10,,
110,19,2,sent,sent,19,NOM:obj:masc:sg,N,N,,C/V\,NOUN,sent,8,,
111,19,3,qui,qui,19,PROCON,Qux,Qux,qui,C/V\,PRON,qui,10,,
112,19,4,volontiers,volontiers,19,ADV,Adv,Adv,volentiers,C/V\.C/V\.'C/V\,ADV,volentiers,10,,
113,19,5,somoille,somoille,19,VER:pres:3:sg,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,sommeiller,9,,
114,20,1,muet,muet,20,VER:pres:3:sg,Vfin,Vfin,mouvoir,C/V\,VERB,mouvoir,10,,
115,20,2,a,a,20,PRE,Pre,Pre,à,/V\,ADP,à,10,,
116,20,3,ovrer,ovrer,20,VER:infi,Vinf,Vinf,oeuvrer,/V\.'C/V\,VERB,oeuvrer,10,,
117,20,4,mes,mes,20,DET:poss:suj:masc:sg,Det,Det,mon,C/V\,DET,mon,10,,
118,20,5,cuers,cuers,20,NOM:suj:masc:sg,N,N,,C/V\,NOUN,coeur,3,,
119,20,6,qui,qui,20,PROCON,Qux,Qux,qui,C/V\,PRON,qui,10,,
120,20,7,voille,voille,20,VER:pres:3:sg,Vfin,Vfin,vouloir,'C/V\.C/(e)\,VERB,vouloir,10,,
121,21,1,deus,deus,21,NOM:suj:masc:sg,N,N,,C/V\,PROPN,Dieu,3,,
122,21,2,la,la,21,DET:def:obj:femi:sg,Det,Det,le,C/V\,DET,le,10,,
123,21,3,rousee,rousee,21,NOM:obj:femi:sg,N,N,,C/V\.'C/V\./(e)\,NOUN,rosée,9,,
124,21,4,de,de,21,PRE,Pre,Pre,de,C/(e)\,ADP,de,10,,
125,21,5,ta,ta,21,DET:poss:obj:femi:sg,Det,Det,ton2,C/V\,DET,ton,10,,
126,21,6,grace,grace,21,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,grâce,8,,
127,22,1,me,me,22,PRO:pers:obj:1:sg:unb,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
128,22,2,done,done,22,VER:impe:2:sg,Vfin,Vfin,donner,'C/V\.C/(e)\,VERB,donner,10,,
129,22,3,si,si,22,PROCON,Adv,Adv,si4,C/V\,ADV,si,10,,
130,22,4,qu,qu,22,PROCON,Sub,Sub,que,C/\,SCONJ,que,10,,
131,22,5,ele,ele,22,PRO:pers:suj:3:femi:sg,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10,,
132,22,6,me,me,22,PRO:pers:obj:1:sg:unb,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
133,22,7,face,face,22,VER:subp:3:sg,Vfin,Vfin,faire,'C/V\.C/(e)\,VERB,faire,10,,
134,23,1,la,la,23,DET:def:obj:femi:sg,Det,Det,le,C/V\,DET,le,10,,
135,23,2,langue,langue,23,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,langue,9,,
136,23,3,soiche,soiche,23,ADJ:obj:femi:sg,Adj,Adj,,'C/V\.C/(e)\,ADJ,sec,8,,
137,23,4,bien,bien,23,ADV,Adv,Adv,bien,C/V\,ADV,bien,10,,
138,23,5,soner,soner,23,VER:infi,Vinf,Vinf,sonner,C/V\.'C/V\,VERB,sonner,10,,
139,24,1,et,et,24,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10,,
140,24,2,de,de,24,PRE,Pre,Pre,de,C/(e)\,ADP,de,10,,
141,24,3,vil,vil,24,ADJ:obj:masc:sg,Adj,Adj,vif,C/V\,ADJ,vif,10,,
142,24,4,chanp,chanp,24,NOM:obj:masc:sg,N,N,,C/V\,NOUN,champ,3,,
143,24,5,bien,bien,24,NOM:obj:masc:sg,Adv,Adv,bien,C/V\,ADV,bien,10,,
144,24,6,moissoner,moissoner,24,VER:infi,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,moissonner,9,,
145,25,1,ceste,ceste,25,DET:demo:suj:femi:sg,Dem,Dem,cist,'C/V\.C/(e)\,DET,cist,10,,
146,25,2,ovre,ovre,25,NOM:suj:femi:sg,N,N,,'/V\.C/(e)\,NOUN,oeuvre,8,,
147,25,3,en,en,25,PRE,Pre,Pre,en,/V\,ADP,en,10,,
148,25,4,parole,parole,25,NOM:obj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,parole,8,,
149,25,5,legiere,legiere,25,ADJ:obj:femi:sg,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,léger,9,,
150,26,1,porte,porte,26,VER:pres:3:sg,Vfin,Vfin,porter,'C/V\.C/(e)\,VERB,porter,10,,
151,26,2,fais,fais,26,NOM:obj:masc:pl,N,N,,C/V\,PROPN|NOUN,fait|faix,-1,fait,
152,26,3,d',d',26,PRE,Pre,Pre,de,C/\,ADP,de,10,,
153,26,4,oneste,oneste,26,ADJ:obj:femi:sg,Adj,Adj,,/V\.'C/V\.C/(e)\,ADJ,honnête,6,,
154,26,5,meniere,meniere,26,NOM:obj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,manière,8,,
155,27,1,aussi,aussi,27,ADV,Adv,Adv,aussi,/V\.'C/V\,ADV,aussi,10,,
156,27,2,con,con,27,CON:subord,Sub,Sub,comme,C/V\,SCONJ,comme,10,,
157,27,3,la,la,27,DET:def:suj:femi:sg,Det,Det,le,C/V\,DET,le,10,,
158,27,4,cruise,cruise,27,NOM:suj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,cruise,6,,
159,27,5,qu,qu,27,PROCON,Qux,Qux,que,C/\,PRON,que,10,,
160,27,6,est,est,27,VER:pres:3:sg,Vfin,Vfin,être,/V\,VERB,être,10,,
161,27,7,soiche,soiche,27,ADJ:suj:femi:sg,Adj,Adj,,'C/V\.C/(e)\,ADJ,sec,8,,
162,28,1,le,le,28,DET:def:obj:masc:sg,Det,Det,le,C/(e)\,DET,le,10,,
163,28,2,bon,bon,28,ADJ:obj:masc:sg,Adj,Adj,bon,C/V\,ADJ,bon,10,,
164,28,3,noeillon,noeillon,28,NOM:obj:masc:sg,N,N,,C/V\.C/V\.'C/V\,PROPN|NOUN,noeillon,8,,
165,28,4,danz,danz,28,PRE,Pre,Pre,dans,C/V\,ADP,dans,10,,
166,28,5,soi,soi,28,PRO:pers:obj:3:masc:sg:bet,Prn,Prn,soi,C/V\,PRON,soi,10,,
167,28,6,quoiche,quoiche,28,VER:pres:3:sg,Vfin,Vfin,,'C/V\.C/(e)\,VERB,cocher,-10,cacher,DMF
168,29,1,a,a,29,PRE,Pre,Pre,à,/V\,ADP,à,10,,
169,29,2,son,son,29,DET:poss:obj:masc:sg,Det,Det,son4,C/V\,DET,son,10,,
170,29,3,fort,fort,29,ADJ:obj:masc:sg,Adj,Adj,fort,C/V\,ADJ,fort,10,,
171,29,4,bec,bec,29,NOM:obj:masc:sg,N,N,,C/V\,NOUN,bec,9,,
172,29,5,li,li,29,DET:def:suj:masc:sg,Det,Det,le,C/V\,DET,le,10,,
173,29,6,pous,pous,29,NOM:suj:masc:sg,N,N,,C/V\,NOUN,pouls,3,,
174,29,7,travaille,travaille,29,VER:pres:3:sg,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,travailler,8,,
175,30,1,en,en,30,PRO:clit,Pre,Pre,en,/V\,ADP,en,10,,
176,30,2,un,un,30,DET:ndf:obj:masc:sg,QIs,QIs,un,/V\,DET,un,10,,
177,30,3,femier,femier,30,NOM:obj:masc:sg,N,N,,C/V\.'C/V\,NOUN,fumier,6,,
178,30,4,por,por,30,PRE,Pre,Pre,pour,C/V\,ADP,pour,10,,
179,30,5,sa,sa,30,DET:poss:obj:femi:sg,Det,Det,son4,C/V\,DET,son,10,,
180,30,6,vitaille,vitaille,30,NOM:obj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,vitaille,3,,
181,31,1,une,une,31,DET:ndf:obj:femi:sg,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,,
