wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1273,135,2,eglise,eglise,135,N,N,,/V\.'C/V\.C/(e)\,NOUN,église,8,,
1274,135,3,refaire,refaire,135,Vinf,Vinf,refaire,C/V\.'C/V\.C/(e)\,VERB,refaire,10,,
1275,135,4,et,et,135,Crd,Crd,et,/V\,CCONJ,et,10,,
1276,135,5,mostiers,mostiers,135,N,N,,C/V\.'C/V\,NOUN,moutier,3,,
1277,135,6,restorer,restorer,135,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,restaurer,9,,
1278,135,7,",",",",135,Pnc,Pnc,,,PUNCT,",",9,,
1279,136,1,ensi,ensi,136,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10,,
1280,136,2,de,de,136,Pre,Pre,de,C/(e)\,ADP,de,10,,
1281,136,3,tot,tot,136,QIs,QIs,tout,C/V\,PRON,tout,10,,
1282,136,4,en,en,136,Pre,Pre,en,/V\,ADP,en,10,,
1283,136,5,tot,tot,136,QIs,QIs,tout,C/V\,DET,tout,10,,
1284,136,6,le,le,136,Det,Det,le,C/(e)\,DET,le,10,,
1285,136,7,treu,treü,136,N,N,,C/(V)\.'/V\,NOUN,treu,-10,treü,DMF
1286,136,8,aquiter,aquiter,136,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,acquitter,9,,
1287,136,9,",",",",136,Pnc,Pnc,,,PUNCT,",",9,,
1288,137,1,que,que,137,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
1289,137,2,il,il,137,Prn,Prn$,il,/V\,PRON,il,10,,
1290,137,3,n',n',137,Neg,Neg$$,ne,C/\,ADV,ne,10,,
1291,137,4,i,i,137,Prn,Prn$$,y2,/V\,PRON,y,10,,
1292,137,5,ait,ait,137,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1293,137,6,paien,paien,137,N,N,,C/V\.'C/V\,NOUN,païen,8,,
1294,137,7,qui,qui,137,Qux,Qux,qui,C/V\,PRON,qui,10,,
1295,137,8,ja,ja,137,Adv,Adv,jà,C/V\,ADV,jà,10,,
1296,137,9,l',l',137,Prn,Prn$$,le,C/\,PRON,le,10,,
1297,137,10,ost,ost,137,Vfin,Vfin,oser,/V\,VERB,oser,10,,
1298,137,11,demander,demander,137,Vinf,Vinf,demander,C/V\.C/V\.'C/V\,VERB,demander,10,,
1299,137,12,.,.,137,Pnc,Pnc,,,PUNCT,.,9,,
1300,138,1,li,li,138,Det,Det,le,C/V\,DET,le,10,,
1301,138,2,bon,bon,138,Adj,Adj,bon,C/V\,ADJ,bon,10,,
1302,138,3,baron,baron,138,N,N,,C/V\.'C/V\,NOUN,baron,8,,
1303,138,4,de,de,138,Pre,Pre,de,C/(e)\,ADP,de,10,,
1304,138,5,france,france,138,N,N,,'C/V\.C/(e)\,NOUN,France,5,,
1305,138,6,ne,ne,138,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
1306,138,7,vaurent,vaurent,138,Vfin,Vfin,vouloir,'C/V\.C/e\,VERB,vouloir,10,,
1307,138,8,arester,arester,138,Vinf,Vinf,arrêter,/V\.C/V\.'C/V\,VERB,arrêter,10,,
1308,138,9,",",",",138,Pnc,Pnc,,,PUNCT,",",9,,
1309,139,1,en,en,139,Pre,Pre,en,/V\,ADP,en,10,,
1310,139,2,estranges,estranges,139,Adj,Adj,,/V\.'C/V\.C/e\,ADJ,étrange,9,,
1311,139,3,païs,païs,139,N,N,,C/V\.'C/V\,NOUN,pays,8,,
1312,139,4,s',s',139,Prn,Prn$$,se,C/\,PRON,se,10,,
1313,139,5,alerent,alerent,139,Vfin,Vfin,aller,/V\.'C/V\.C/e\,VERB,aller,10,,
1314,139,6,deserter,deserter,139,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,déserter,9,,
1315,139,7,",",",",139,Pnc,Pnc,,,PUNCT,",",9,,
1316,140,1,la,la,140,Adv,Adv,là,C/V\,ADV,là,10,,
1317,140,2,devinrent,devinrent,140,Vfin,Vfin,devenir,C/V\.'C/V\.C/e\,VERB,devenir,10,,
1318,140,3,salvage,salvage,140,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,sauvage,8,,
1319,140,4,por,por,140,Pre,Pre,pour,C/V\,ADP,pour,10,,
1320,140,5,lor,lor,140,Det,Det,leur2,C/V\,DET,leur,10,,
1321,140,6,armes,armes,140,N,N,,'/V\.C/e\,NOUN,arme,3,,
1322,140,7,salver,salver,140,Vinf,Vinf,sauver,C/V\.'C/V\,VERB,sauver,10,,
1323,140,8,.,.,140,Pnc,Pnc,,,PUNCT,.,9,,
1324,141,1,ki,ki,141,Qux,Qux,qui,C/V\,PRON,qui,10,,
1325,141,2,la,la,141,Adv,Adv,là,C/V\,ADV,là,10,,
1326,141,3,puet,puet,141,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,,
1327,141,4,par,par,141,Pre,Pre,par,C/V\,ADP,par,10,,
1328,141,5,bon,bon,141,Adj,Adj,bon,C/V\,ADJ,bon,10,,
1329,141,6,cuer,cuer,141,N,N,,C/V\,NOUN,coeur,3,,
1330,141,7,son,son,141,Det,Det,son4,C/V\,DET,son,10,,
1331,141,8,cors,cors,141,N,N,,C/V\,NOUN,corps,3,,
1332,141,9,por,por,141,Pre,Pre,pour,C/V\,ADP,pour,10,,
1333,141,10,deu,deu,141,N,N,,C/V\,PROPN,Dieu,3,,
1334,141,11,pener,pener,141,Vinf,Vinf,pener,C/V\.'C/V\,VERB,pener,10,,
1335,141,12,",",",",141,Pnc,Pnc,,,PUNCT,",",9,,
1336,142,1,jhesus,jhesus,142,N,N,,C/V\.'C/V\,PROPN,Jésus,9,,
1337,142,2,li,li,142,Det,Det,le,C/V\,DET,le,10,,
1338,142,3,rois,rois,142,N,N,,C/V\,NOUN,roi,3,,
1339,142,4,de,de,142,Pre,Pre,de,C/(e)\,ADP,de,10,,
1340,142,5,gloire,gloire,142,N,N,,'C/V\.C/(e)\,NOUN,gloire,8,,
1341,142,6,nel,nel,142,Neg+Prn,Neg$$+Prn$$,ne.le,C/V\,ADV.PRON,ne.le,10,,
1342,142,7,vaura,vaura,142,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10,,
1343,142,8,oblier,oblier,142,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,oublier,8,,
1344,142,9,",",",",142,Pnc,Pnc,,,PUNCT,",",9,,
1345,143,1,ains,ains,143,Crd,Crd,ains,/V\,CCONJ,ains,10,,
1346,143,2,le,le,143,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
1347,143,3,fera,fera,143,Vfin,Vfin,faire,C/V\.'C/V\,VERB,faire,10,,
1348,143,4,en,en,143,Pre,Pre,en,/V\,ADP,en,10,,
1349,143,5,glorie,glorie,143,N,N,,'C/V\./(e)\,NOUN,gloire,8,,
1350,143,6,hautement,hautement,143,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,hautement,9,,
1351,143,7,coroner,coroner,143,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,couronner,8,,
1352,143,8,.,.,143,Pnc,Pnc,,,PUNCT,.,9,,
1353,144,1,cele,cele,144,Dem,Dem,cil,'C/V\.C/(e)\,DET,cil,10,,
1354,144,2,ost,ost,144,N,N,,/V\,NOUN,ost,8,,
1355,144,3,a,a,144,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1356,144,4,nostre,nostre,144,Det,Det,notre,'C/V\.C/(e)\,DET,notre,10,,
1357,144,5,sire,sire,144,N,N,,'C/V\.C/(e)\,NOUN,sire,11,,
1358,144,6,meismes,meismes,144,Adj,Adj,même,C/(V)\.'/V\.C/e\,ADJ,même,10,,
1359,144,7,commandee,commandee,144,Vpp,Vpp,commander,C/V\.C/V\.'C/V\./(e)\,VERB,commander,10,,
1360,144,8,",",",",144,Pnc,Pnc,,,PUNCT,",",9,,
1361,145,1,des,des,145,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
1362,145,2,bons,bons,145,Adj,Adj,bon,C/V\,ADJ,bon,10,,
1363,145,3,barons,barons,145,N,N,,C/V\.'C/V\,NOUN,baron,8,,
1364,145,4,de,de,145,Pre,Pre,de,C/(e)\,ADP,de,10,,
1365,145,5,france,france,145,N,N,,'C/V\.C/(e)\,NOUN,France,5,,
1366,145,6,fu,fu,145,Vfin,Vfin,être,C/V\,VERB,être,10,,
1367,145,7,faite,faite,145,Vpp,Vpp,faire,'C/V\.C/(e)\,VERB,faire,10,,
1368,145,8,et,et,145,Crd,Crd,et,/V\,CCONJ,et,10,,
1369,145,9,porpensee,porpensee,145,Vpp,Vpp,pourpenser,C/V\.C/V\.'C/V\./(e)\,VERB,pourpenser,10,,
1370,145,10,;,;,145,Pnc,Pnc,,,PUNCT,;,9,,
1371,146,1,dex,dex,146,N,N,,C/V\,NOUN,dieu,3,,
1372,146,2,!,!,146,Pnc,Pnc,,,PUNCT,!,9,,
1373,146,3,çou,çou,146,Prn,Prn,ce,C/V\,PRON,ce,10,,
1374,146,4,fu,fu,146,Vfin,Vfin,être,C/V\,VERB,être,10,,
1375,146,5,si,si,146,Adv,Adv,si4,C/V\,ADV,si,10,,
1376,146,6,bone,bone,146,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10,,
1377,146,7,hore,hore,146,N,N,,'/V\.C/(e)\,NOUN,heure,8,,
1378,146,8,qu',qu',146,Sub,Sub,que,C/\,SCONJ,que,10,,
1379,146,9,ele,ele,146,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10,,
1380,146,10,fu,fu,146,Vfin,Vfin,être,C/V\,VERB,être,10,,
1381,146,11,porparlee,porparlee,146,Vpp,Vpp,pourparler,C/V\.C/V\.'C/V\./(e)\,VERB,pourparler,10,,
1382,146,12,",",",",146,Pnc,Pnc,,,PUNCT,",",9,,
1383,147,1,par,par,147,Pre,Pre,par,C/V\,ADP,par,10,,
1384,147,2,eux,eux,147,Prn,Prn,eux,/V\,PRON,eux,10,,
1385,147,3,fu,fu,147,Vfin,Vfin,être,C/V\,VERB,être,10,,
1386,147,4,mainte,mainte,147,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10,,
