wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR
1,1,1,Or,or,51,Adv,Adv,or2,/V\,ADV,or,10,
2,1,2,vueil,vueil,51,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10,
3,1,3,compter,compter,51,Vinf,Vinf,conter,C/V\.'C/V\,VERB,conter,10,
4,1,4,une,une,51,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,
5,1,5,aventure,aventure,51,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,aventure,8,
6,1,6,",",",",51,Pnc,Pnc,,,PUNCT,",",9,
7,2,1,Qui,qui,52,Qux,Qux,qui,C/V\,PRON,qui,10,
8,2,2,semblera,semblera,52,Vfin,Vfin,sembler,C/V\.C/e\.'C/V\,VERB,sembler,10,
9,2,3,",",",",52,Pnc,Pnc,,,PUNCT,",",9,
10,2,4,par,par,52,Pre,Pre,par,C/V\,ADP,par,10,
11,2,5,avanture,avanture,52,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,aventure,8,
12,2,6,",",",",52,Pnc,Pnc,,,PUNCT,",",9,
13,3,1,A,a,53,Pre,Pre,à,/V\,ADP,à,10,
14,3,2,plusieurs,plusieurs,53,QIs,QIs,plusieurs,C/V\.'C/V\,DET,plusieurs,10,
15,3,3,impossible,impossible,53,Adj,Adj,,/V\.C/V\.'C/V\.C/(e)\,ADJ,impossible,9,
16,3,4,a,a,53,Pre,Pre,à,/V\,ADP,à,10,
17,3,5,croire,croire,53,Vinf,Vinf,croire,'C/V\.C/(e)\,VERB,croire,10,
18,3,6,;,;,53,Pnc,Pnc,,,PUNCT,;,9,
19,4,1,Mais,mais,54,Crd,Crd,mais,C/V\,CCONJ,mais,10,
20,4,2,",",",",54,Pnc,Pnc,,,PUNCT,",",9,
21,4,3,quoyqu,quoyqu,54,Qux,Qux,quoique,C/V\,PRON,quoique,10,
22,4,4,aucuns,aucuns,54,QIs,QIs,aucun,/V\.'C/V\,PRON,aucun,10,
23,4,5,veulent,veulent,54,Vfin,Vfin,vouloir,'C/V\.C/e\,VERB,vouloir,10,
24,4,6,mescroire,mescroire,54,Vinf,Vinf,mécroire,C/V\.'C/V\.C/(e)\,VERB,mécroire,10,
25,4,7,",",",",54,Pnc,Pnc,,,PUNCT,",",9,
26,5,1,Si,si,55,Adv,Adv,si4,C/V\,ADV,si,10,
27,5,2,est,est,55,Vfin,Vfin,être,/V\,VERB,être,10,
28,5,3,ce,ce,55,Prn,Prn,ce,C/(e)\,PRON,ce,10,
29,5,4,verité,verité,55,N,N,,C/V\.C/V\.'C/V\,NOUN,vérité,8,
30,5,5,prouvee,prouvee,55,Vpp,Vpp,,C/V\.'C/V\./(e)\,VERB,prouver,9,
31,5,6,",",",",55,Pnc,Pnc,,,PUNCT,",",9,
32,6,1,Evident,evident,56,Adj,Adj,,/V\.C/V\.'C/V\,ADJ,évident,8,
33,6,2,et,et,56,Crd,Crd,et,/V\,CCONJ,et,10,
34,6,3,toute,toute,56,QIs,QIs,tout,'C/V\.C/(e)\,ADV,tout,10,
35,6,4,esprouvee,esprouvee,56,Vpp,Vpp,,/V\.C/V\.'C/V\./(e)\,VERB,éprouver,9,
36,6,5,",",",",56,Pnc,Pnc,,,PUNCT,",",9,
37,7,1,Et,et,57,Crd,Crd,et,/V\,CCONJ,et,10,
38,7,2,a,a,57,Pre,Pre,à,/V\,ADP,à,10,
39,7,3,moy,moy,57,Prn,Prn,moi,C/V\,PRON,moi,10,
40,7,4,proprement,proprement,57,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,proprement,9,
41,7,5,avint,avint,57,Vfin,Vfin,avenir,/V\.'C/V\,VERB,avenir,10,
42,7,6,",",",",57,Pnc,Pnc,,,PUNCT,",",9,
43,8,1,Cinq,cinq,58,QIs,QIs,cinq,C/V\,NUM,cinq,10,
