wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,or,or,ADV,1,Adv,Adv,or2,/V\,ADV,or,10,,
2,1,2,entendez,entendez,VER:impe:2:pl,1,Vfin,Vfin,entendre,/V\.C/V\.'C/V\,VERB,entendre,10,,
3,1,3,seignor,seignor,NOM:suj:masc:pl,1,N,N,,C/V\.'C/V\,NOUN,seigneur,8,,
4,1,4,gentil,gentil,ADJ:suj:masc:pl,1,Adj,Adj,gentil,C/V\.'C/V\,ADJ,gentil,10,,
5,1,5,baron,baron,NOM:suj:masc:pl,1,N,N,,C/V\.'C/V\,NOUN,baron,8,,
6,2,1,que,que,PROCON,2,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
7,2,2,deus,deus,NOM:suj:masc:sg,2,N,N,,C/V\,NOUN,dieu,3,,
8,2,3,de,de,PRE,2,Pre,Pre,de,C/(e)\,ADP,de,10,,
9,2,4,gloire,gloire,NOM:obj:femi:sg,2,N,N,,'C/V\.C/(e)\,NOUN,gloire,8,,
10,2,5,voz,voz,PRO:pers:2:pl,2,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
11,2,6,face,face,VER:subp:3:sg,2,Vfin,Vfin,faire,'C/V\.C/(e)\,VERB,faire,10,,
12,2,7,vrai,vrai,ADJ:obj:masc:sg,2,Adj,Adj,vrai,C/V\,ADJ,vrai,10,,
13,2,8,pardon,pardon,NOM:obj:masc:sg,2,N,N,,C/V\.'C/V\,NOUN,pardon,8,,
14,3,1,de,de,PRE,3,Pre,Pre,de,C/(e)\,ADP,de,10,,
15,3,2,tel,tel,ADJ:obj:masc:sg,3,Adj,Adj,tel,C/V\,ADJ,tel,10,,
16,3,3,barnaige,barnaige,NOM:obj:masc:sg,3,N,N,,C/V\.'C/V\.C/(e)\,NOUN,barnage,9,,
17,3,4,doit,doit,VER:pres:3:sg,3,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
18,3,5,on,on,PRO:invar,3,Prn,Prn%,on,/V\,PRON,on,10,,
19,3,6,dire,dire,VER:infi,3,Vinf,Vinf,dire,'C/V\.C/(e)\,VERB,dire,10,,
20,3,7,chanson,chanson,NOM:obj:femi:sg,3,N,N,,C/V\.'C/V\,NOUN,chanson,9,,
21,4,1,que,que,PROCON,4,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10,,
22,4,2,ne,ne,PRO:clit,4,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
23,4,3,soit,soit,VER:subp:3:sg,4,Vfin,Vfin,être,C/V\,VERB,être,10,,
24,4,4,mie,mie,ADV,4,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10,,
25,4,5,de,de,PRE,4,Pre,Pre,de,C/(e)\,ADP,de,10,,
26,4,6,noient,noient,ADV,4,Prn,Prn,nïent,C/V\.'C/V\,PRON,nïent,10,,
27,4,7,la,la,DET:def:suj:femi:sg,4,Det,Det,le,C/V\,DET,le,10,,
28,4,8,raison,raison,NOM:suj:femi:sg,4,N,N,,C/V\.'C/V\,NOUN,raison,8,,
29,5,1,ce,ce,PRO:invar,5,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
30,5,2,n,n,PRO:clit,5,Neg,Neg$$,ne,C/\,ADV,ne,10,,
31,5,3,est,est,VER:pres:3:sg,5,Vfin,Vfin,être,/V\,VERB,être,10,,
32,5,4,pas,pas,NOM:obj:masc:pl,5,Neg,Neg,pas,C/V\,ADV,pas,10,,
33,5,5,fable,fable,NOM:suj:femi:sg,5,N,N,,'C/V\.C/(e)\,NOUN,fable,8,,
34,5,6,que,que,PROCON,5,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10,,
35,5,7,dire,dire,VER:infi,5,Vinf,Vinf,dire,'C/V\.C/(e)\,VERB,dire,10,,
36,5,8,voz,voz,PRO:pers:2:pl,5,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
37,5,9,volons,volons,VER:pres:1:pl,5,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10,,
38,6,1,ansoiz,ansoiz,ADV,6,Adv,Adv,ainçois,/V\.'C/V\,ADV,ainçois,10,,
39,6,2,est,est,VER:pres:3:sg,6,Vfin,Vfin,être,/V\,VERB,être,10,,
40,6,3,voirs,voirs,ADJ:suj:masc:sg,6,Adj,Adj,voir2,C/V\,ADJ,voir,10,,
41,6,4,autressi,autressi,ADV,6,Adv,Adv,autresi,/V\.C/e\.'C/V\,ADV,autresi,10,,
42,6,5,com,com,CON:subord,6,Sub,Sub,comme,C/V\,SCONJ,comme,10,,
43,6,6,sermon,sermon,NOM:suj:masc:sg,6,N,N,,C/V\.'C/V\,NOUN,sermon,8,,
44,7,1,car,car,CON:coord,7,Crd,Crd,car,C/V\,CCONJ,car,10,,
45,7,2,plusors,plusors,DET:ind:obj:femi:pl,7,QIs,QIs,plusieurs,C/V\.'C/V\,DET,plusieurs,10,,
46,7,3,gens,gens,NOM:obj:femi:pl,7,N,N,,C/V\,NOUN,gent,11,,
47,7,4,a,a,PRE,7,Pre,Pre,à,/V\,ADP,à,10,,
48,7,5,tesmoing,tesmoing,NOM:obj:masc:sg,7,N,N,,C/V\.'C/V\,NOUN,témoin,8,,
49,7,6,en,en,PRO:clit,7,Prn,Prn$$,en2,/V\,PRON,en,10,,
50,7,7,traionz,traionz,VER:pres:1:pl,7,Vfin,Vfin,traire,C/V\.'C/V\,VERB,traire,10,,
51,8,1,clers,clers,NOM:obj:masc:pl,8,N,N,,C/V\,NOUN,clerc,3,,
52,8,2,et,et,CON:coord,8,Crd,Crd,et,/V\,CCONJ,et,10,,
53,8,3,prevoires,prevoires,NOM:obj:masc:pl,8,N,N,,C/V\.'C/V\.C/e\,PROPN|NOUN,provoire,8,,
54,8,4,gens,gens,NOM:obj:femi:pl,8,N,N,,C/V\,NOUN,gent,11,,
55,8,5,de,de,PRE,8,Pre,Pre,de,C/(e)\,ADP,de,10,,
56,8,6,religion,religion,NOM:obj:femi:sg,8,N,N,,C/V\.C/V\.C/{V}\.'/V\,NOUN,religion,9,,
57,9,1,li,li,DET:def:suj:masc:pl,9,Det,Det,le,C/V\,DET,le,10,,
58,9,2,pelerin,pelerin,NOM:suj:masc:pl,9,N,N,,C/V\.C/e\.'C/V\,NOUN,pèlerin,9,,
59,9,3,qui,qui,PROCON,9,Qux,Qux,qui,C/V\,PRON,qui,10,,
60,9,4,a,a,PRE,9,Pre,Pre,à,/V\,ADP,à,10,,
61,9,5,saint,saint,ADJ:obj:masc:sg,9,Adj,Adj,saint,C/V\,ADJ,saint,10,,
62,9,6,jaque,jaque,NPR:obj:masc:sg,9,N,N,,C/V\.'C/V\,NOUN,jaque,8,,
63,9,7,vont,vont,VER:pres:3:pl,9,Vfin,Vfin,aller,C/V\,VERB,aller,10,,
64,10,1,le,le,PRO:pers:obj:3:masc:sg:unb,10,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
65,10,2,sevent,sevent,VER:pres:3:pl,10,Vfin,Vfin,savoir,'C/V\.C/e\,VERB,savoir,10,,
66,10,3,bien,bien,ADV,10,Adv,Adv,bien,C/V\,ADV,bien,10,,
67,10,4,se,se,PROCON,10,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
68,10,5,ce,ce,PRO:invar,10,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
69,10,6,est,est,VER:pres:3:sg,10,Vfin,Vfin,être,/V\,VERB,être,10,,
70,10,7,voirs,voirs,ADJ:suj:masc:sg,10,Adj,Adj,voir2,C/V\,ADJ,voir,10,,
71,10,8,ou,ou,PROCON,10,Crd,Crd,ou,/V\,CCONJ,ou,10,,
72,10,9,non,non,ADV,10,NVP,NVP,non,C/V\,ADV,non,10,,
73,11,1,hui,hui,ADV,11,Adv,Adv,hui2,/V\,ADV,hui,10,,
74,11,2,mais,mais,CON:coord,11,Adv,Adv,mais,C/V\,ADV,mais,10,,
75,11,3,orrez,orrez,VER:impe:2:pl,11,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10,,
76,11,4,de,de,PRE,11,Pre,Pre,de,C/(e)\,ADP,de,10,,
77,11,5,douz,douz,ADJ:card,11,QIs,QIs,deux,C/V\,NUM,deux,10,,
78,11,6,bons,bons,ADJ:obj:masc:pl,11,Adj,Adj,bon,C/V\,ADJ,bon,10,,
79,11,7,compaingnons,compaingnons,NOM:obj:masc:pl,11,N,N,,C/V\.C/V\.'C/V\,NOUN,compagnon,9,,
80,12,1,ce,ce,PRO:invar,12,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
81,12,2,est,est,VER:pres:3:sg,12,Vfin,Vfin,être,/V\,VERB,être,10,,
82,12,3,d,d',PRE,12,Pre,Pre,de,C/\,ADP,de,10,,
83,12,4,amile,amile,NPR:obj:masc:sg,12,N,N,,/V\.'C/V\.C/(e)\,NOUN,amile,-10,Amile,Name
84,12,5,et,et,CON:coord,12,Crd,Crd,et,/V\,CCONJ,et,10,,
85,12,6,d,d',PRE,12,Pre,Pre,de,C/\,ADP,de,10,,
86,12,7,amis,amis,NPR:obj:masc:sg,12,N,N,,/V\.'C/V\,NOUN,ami,3,,
87,12,8,le,le,DET:def:obj:masc:sg,12,Det,Det,le,C/(e)\,DET,le,10,,
88,12,9,baron,baron,NOM:obj:masc:sg,12,N,N,,C/V\.'C/V\,NOUN,baron,8,,
89,13,1,engendré,engendré,VER:pper:masc:sg,13,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,engendrer,9,,
