wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,syntag2,lemma,synfunc,syllabified
391,69,4,et,et,CON:coord,1332,et_S,7,Crd,Crd,et,,/V\
392,69,5,assasez,assasez,VER,1333,<nolem>,7,Vpp,Vpp,,,/V\.C/V\.'C/V\
393,70,1,et,et,CON:coord,1332,et_S,7,Crd,Crd,et,,/V\
394,70,2,assasez,assasez,VER,1333,<nolem>,7,Vpp,Vpp,,,/V\.C/V\.'C/V\
395,70,3,de,de,PRE,1334,de_+S,7,Pre,Pre,de,,C/(e)\
396,70,4,grant,grant,ADJ,1335,grant_+CIT,7,Adj,Adj,grand,,C/V\
397,70,5,richece,richece,NOM,1336,richece_+IT,7,N,N,,,C/V\.'C/V\.C/(e)\
398,71,1,de,de,PRE,1341,de_+S,7,Pre,Pre,de,,C/(e)\
399,71,2,haute,haute,ADJ,1342,haut_+I,7,Adj,Adj,haut,,'C/V\.C/(e)\
400,71,3,gent,gent,NOM,1343,gent1|giant_+IT|+T,7,N,N,,,C/V\
401,71,4,et,et,CON:coord,1344,et_S,7,Crd,Crd,et,,/V\
402,71,5,de,de,PRE,1345,de_+S,7,Pre,Pre,de,,C/(e)\
403,71,6,vaillant,vaillant,ADJ,1346,vaillant_Z,7,Adj,Adj,,,C/V\.'C/V\
404,72,1,et,et,CON:coord,1358,et_S,7,Crd,Crd,et,,/V\
405,72,2,amez,amez,VER,1359,amer1|amer_+I|MI,7,Vpp,Vpp,aimer,,/V\.'C/V\
406,72,3,de,de,PRE,1360,de_+S,7,Pre,Pre,de,,C/(e)\
407,72,4,tout,tout,DET:ind,1361,tot_S,7,QIs,QIs,tout,,C/V\
408,72,5,le,le,DET:def,1362,le_S,7,Det,Det,le,,C/(e)\
409,72,6,païs,païs,NOM,1363,päis_+I,7,N,N,,,C/V\.'C/V\
410,73,1,une,une,DET:ndf,1378,un_S,7,QIs,QIs,un,,'/V\.C/(e)\
411,73,2,damoiselle,damoiselle,NOM,1379,damoisele_+C,7,N,N,,,C/V\.C/V\.'C/V\.C/(e)\
412,73,3,gentil,gentil,ADJ,1380,gentil_+IT,7,Adj,Adj,gentil1,,C/V\.'C/V\
413,74,1,mais,mais,CON:coord,1386,mais_S,7,Crd,Crd,mais1,,C/V\
414,74,2,je,je,PRO:pers,1387,je_S,7,Prn,Prn$,1ps,s,C/(e)\
415,74,3,ne,ne,PRO:clit,1388,en2_S,7,Neg,Neg$$,ne1,,C/(e)\
416,74,4,vous,vous,PRO:pers,1389,vos1_S,7,Prn,Prn$$,2pp,,C/V\
417,74,5,sçay,sçay,VER,1390,saveir_M,7,Vfin,Vfin,savoir,,C/V\
418,74,6,mie,mie,ADV,1391,mie_C,7,Neg,Neg,mie3,,'C/V\./(e)\
419,74,7,a,a,PRE,1392,a_S,7,Pre,Pre,à,,/V\
420,74,8,dire,dire,VER,1393,dire_+MIT,7,Vinf,Vinf,dire,,'C/V\.C/(e)\
421,75,1,l',l',PRO:pers,1405,il_S,7,Prn,Prn$$,3p,,C/\
422,75,2,en,en,PRO:clit,1406,en2_S,7,Prn,Prn$$,en2,,/V\
423,75,3,entendoit,entendoit,VER,1407,entendre_+M,7,Vfin,Vfin,entendre,,/V\.C/V\.'C/V\
424,75,4,plus,plus,ADV,1408,plus_CI,7,Adv,Adv,plus,,C/V\
425,75,5,a,a,PRE,1409,a_S,7,Pre,Pre,à,,/V\
426,75,6,honnour,honnour,NOM,1410,onor_*+IT,7,N,N,,,/V\.'C/V\
427,76,1,a,a,PRE,1415,a_S,7,Pre,Pre,à,,/V\
428,76,2,bonté,bonté,NOM,1416,bonté_+IT,7,N,N,,,C/V\.'C/V\
429,76,3,et,et,CON:coord,1417,et_S,7,Crd,Crd,et,,/V\
430,76,4,a,a,PRE,1418,a_S,7,Pre,Pre,à,,/V\
431,76,5,gentillece,gentillece,NOM,1419,gentillece_+IT,7,N,N,,,C/V\.C/V\.'C/V\.C/(e)\
432,77,1,ne,ne,PRO:clit,1446,en2_S,7,Crd,Crd,ne2,,C/(e)\
