wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
294,56,2,en,en,PRE,1432,en1_+S,Pre,Pre,en1,104019,,/V\
295,56,3,sa,sa,DET:poss,1433,son4_S,Det,Det,son4,104019,,C/V\
296,56,4,maistre,maistre,NOM,1434,mitre1_+T,N,N,,104019,,'C/V\.C/(e)\
297,56,5,cité,cité,VER,1435,citer_+M,N,N,,104019,,C/V\.'C/V\
298,57,1,Adont,adont,ADV,1444,adonc_+GT,Adv,Adv,adonc,104020,,/V\.'C/V\
299,57,2,acompli,acompli,VER,1445,complir_+M,Vpp,Vpp,,104020,,/V\.C/V\.'C/V\
300,57,3,le,le,DET:def,1446,le_S,Det,Det,le,104020,,C/(e)\
301,57,4,traveil,traveil,NOM,1447,travail_+T,N,N,,104020,,C/V\.'C/V\
302,58,1,le,le,DET:def,1446,le_S,Det,Det,le,104020,,C/(e)\
303,58,2,traveil,traveil,NOM,1447,travail_+T,N,N,,104020,,C/V\.'C/V\
304,58,3,d',d',PRE,1448,de_+S,Pre,Pre,de,104020,,C/\
305,58,4,icellui,icellui,VER,1449,<unknown>,Dem,Dem,cil,104020,,/V\.C/e\.'C/V\
306,58,5,chemin,chemin,NOM,1450,chemin_+CIT,N,N,,104020,,C/V\.'C/V\
307,59,1,d',d',PRE,1448,de_+S,Pre,Pre,de,104020,,C/\
308,59,2,icellui,icellui,VER,1449,<unknown>,Dem,Dem,cil,104020,,/V\.C/e\.'C/V\
309,59,3,chemin,chemin,NOM,1450,chemin_+CIT,N,N,,104020,,C/V\.'C/V\
310,59,4,",",",",PON,1451,",",Pnc,Pnc,,104020,,
311,59,5,reposant,reposant,VER,1452,reposer_*+I,Vprs,Vprs,,104020,,C/V\.C/V\.'C/V\
312,60,1,non,non,ADV,1503,ne1_+Z,Neg,Neg,ne1,104025,,C/V\
313,60,2,encore,encore,ADV,1504,encore_+IT,Adv,Adv,encore,104025,,/V\.'C/V\.C/(e)\
314,60,3,du,du,PREDET:de,1505,de+le_S,Pre+Det,Pre+Det,de+le,104025,,C/V\
315,60,4,tout,tout,PRO:ind,1506,tot_S,QIs,QIs,tout,104025,,C/V\
316,60,5,parcreuz,parcreuz,VER,1507,parcroistre_+Z,Vpp,Vpp,parcroître,104025,,C/V\.C/(V)\.'/V\
317,61,1,m',m',PRO:pers,1509,je_S,Prn,Prn$$,1ps,104025,c,C/\
318,61,2,informoie,informoie,VER,1510,<unknown>,Vfin,Vfin,,104025,,/V\.C/V\.'C/V\./(e)\
319,61,3,adés,adés,ADV,1511,adès_+I,Adv,Adv,adès,104025,,/V\.'C/V\
320,61,4,des,des,PREDET:de,1512,de+le_S,Pre+Det,Pre+Det,de+le,104026,,C/V\
321,61,5,coustumes,coustumes,NOM,1513,costume_+C,N,N,,104026,,C/V\.'C/V\.C/e\
322,62,1,manieres,manieres,NOM,1515,maniere_*+CIT,N,N,,104026,&,C/V\.'C/V\.C/e\
323,62,2,et,et,CON:coord,1516,et_S,Crd,Crd,et,104026,,/V\
324,62,3,condicions,condicions,NOM,1517,condicïon_*+Td,N,N,,104026,,C/V\.C/V\.C/{V}\.'/V\
325,63,1,sans,sans,PRE,1564,sans_+S,Pre,Pre,sans,104030,,C/V\
326,63,2,adjoustement,adjoustement,NOM,1565,ajostement_+G,N,N,,104030,,/V\.C/V\.C/e\.'C/V\
327,63,3,de,de,PRE,1566,de_+S,Pre,Pre,de,104030,,C/(e)\
328,63,4,mençonge,mençonge,GDF,1567,mençonge_G,N,N,,104030,,C/V\.'C/V\.C/(e)\
329,64,1,de,de,PRE,1566,de_+S,Pre,Pre,de,104030,,C/(e)\
330,64,2,mençonge,mençonge,GDF,1567,mençonge_G,N,N,,104030,,C/V\.'C/V\.C/(e)\
331,64,3,que,que,PROCON,1568,que3_S,Sub,Sub,que,104030,,C/(e)\
332,64,4,sa,sa,DET:poss,1569,son4_S,Det,Det,son4,104030,,C/V\
333,64,5,contree,contree,NOM,1570,contree_+IT,N,N,,104030,,C/V\.'C/V\./(e)\
334,65,1,fertille,fertille,NOM,1577,<unknown>,Adj,Adj,,104031,,C/V\.'C/V\.C/(e)\
335,65,2,de,de,PRE,1578,de_+S,Pre,Pre,de,104031,,C/(e)\
336,65,3,fruis,fruis,NOM,1579,fruit_+Z,N,N,,104031,,C/V\
337,65,4,",",",",PON,1580,",",Pnc,Pnc,,104031,,
338,65,5,abondant,abondant,VER,1581,abonder_+M,Vprs,Vprs,,104031,,/V\.C/V\.'C/V\
