wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
232,44,9,veu,veu,VER,714,vëoir|vöer1_+IdMMd|+I,Vpp,Vpp,voir1,719,,C/V\
233,45,1,dont,dont,PRO:invar,757,dont_S,Qux,Qux,dont,723,,C/V\
234,45,2,cellui,cellui,PRO:demo,758,cel_S,Dem,Dem,cil,723,,C/V\.'C/V\
235,45,3,mantel,mantel,NOM,759,mantel_+IT,N,N,,723,,C/V\.'C/V\
236,45,4,",",",",PON,760,",",Pnc,Pnc,,723,,
237,45,5,assemblé,assemblé,VER,761,assembler_*+I,Vpp,Vpp,assembler,723,,/V\.C/V\.'C/V\
238,46,1,par,par,PRE,762,par_S,Pre,Pre,par1,723,,C/V\
239,46,2,la,la,DET:def,763,le_S,Det,Det,le,723,,C/V\
240,46,3,souveraine,souveraine,ADJ,764,soverain_Z,Adj,Adj,,723,,C/V\.C/e\.'C/V\.C/(e)\
241,46,4,industrie,industrie,NOM,765,industrie_+T,N,N,,724,,/V\.C/V\.'C/V\./(e)\
242,47,1,violentement,violentement,VER,780,<unknown>,Adv,Adv,,725,,C/V\.C/V\.C/V\.C/e\.'C/V\
243,47,2,arrachees,arrachees,VER,781,<unknown>,Vpp,Vpp,,726,,/V\.C/V\.'C/V\./e\
244,48,1,Mais,mais,CON:coord,850,mais_S,Crd,Crd,mais1,732,,C/V\
245,48,2,se,se,PRO:pers,851,soi1_S,Sub,Sub,si3,732,,C/(e)\
246,48,3,nous,nous,PRO:pers,852,nos1_S,Prn,Prn$,1pp,732,s,C/V\
247,48,4,venons,venons,VER,853,venir_+I,Vfin,Vfin,venir,732,,C/V\.'C/V\
248,48,5,a,a,PRE,854,a_S,Pre,Pre,à,732,,/V\
249,48,6,parler,parler,VER,855,parler_+MIT,Vinf,Vinf,parler,732,,C/V\.'C/V\
250,49,1,en,en,PRE,876,en1_+S,Pre,Pre,en1,801,,/V\
251,49,2,gast,gast,NOM,877,gast2_+T,N,N,,801,,C/V\
252,49,3,et,et,CON:coord,878,et_S,Crd,Crd,et,801,,/V\
253,49,4,en,en,PRE,879,en1_+S,Pre,Pre,en1,801,,/V\
254,49,5,destruction,destruction,NOM,880,destructïon_+IdTd,N,N,,801,,C/V\.C/V\.C/{V}\.'/V\
255,50,1,par,par,PRE,882,par_S,Pre,Pre,par1,801,,C/V\
256,50,2,rudement,rudement,NOM,883,<unknown>,N,N,,801,,C/V\.C/e\.'C/V\
257,50,3,frapper,frapper,VER,884,fraper_+M,Vinf,Vinf,,802,,C/V\.'C/V\
258,50,4,",",",",PON,885,",",Pnc,Pnc,,802,,
259,50,5,tirer,tirer,VER,886,tirer_+IMT,Vinf,Vinf,,802,&,C/V\.'C/V\
260,51,1,frapper,frapper,VER,884,fraper_+M,Vinf,Vinf,,802,,C/V\.'C/V\
261,51,2,",",",",PON,885,",",Pnc,Pnc,,802,,
262,51,3,tirer,tirer,VER,886,tirer_+IMT,Vinf,Vinf,,802,&,C/V\.'C/V\
263,51,4,et,et,CON:coord,887,et_S,Crd,Crd,et,802,,/V\
264,51,5,detrainer,detrainer,VER,888,<unknown>,Vinf,Vinf,,802,,C/V\.C/V\.'C/V\
265,52,1,et,et,CON:coord,887,et_S,Crd,Crd,et,802,,/V\
266,52,2,detrainer,detrainer,VER,888,<unknown>,Vinf,Vinf,,802,,C/V\.C/V\.'C/V\
267,52,3,",",",",PON,889,",",Pnc,Pnc,,802,,
268,52,4,que,que,PROCON,890,que3_S,Sub,Sub,que,802,,C/(e)\
269,52,5,en,en,PRE,891,en1_+S,Pre,Pre,en1,802,,/V\
270,52,6,plusieurs,plusieurs,DET:ind,892,plusor_S,QIs,QIs,plusieurs,802,,C/V\.'C/V\
271,52,7,lieux,lieux,NOM,893,lieu_+Z,N,N,,802,,C/V\
272,53,1,ordonnance,ordonnance,NOM,924,ordenance_*+T,N,N,,805,c,/V\.C/V\.'C/V\.C/(e)\
273,53,2,ne,ne,PRO:clit,925,en2_S,Crd,Crd,ne2,805,,C/(e)\
274,53,3,esperer,esperer,VER,926,esperer_+MIT,Vinf,Vinf,espérer,805,,/V\.C/e\.'C/V\
275,53,4,fruit,fruit,NOM,927,fruit_+IT,N,N,,806,c,C/V\
276,54,1,par,par,PRE,936,par_S,Pre,Pre,par1,806,,C/V\
277,54,2,empirement,empirement,NOM,937,empirement_+T,N,N,,806,,/V\.C/V\.C/e\.'C/V\
278,54,3,de,de,PRE,938,de_+S,Pre,Pre,de,807,,C/(e)\
279,54,4,couleur,couleur,NOM,939,color_*+IT,N,N,,807,,C/V\.'C/V\
280,55,1,et,et,CON:coord,940,et_S,Crd,Crd,et,807,,/V\
281,55,2,de,de,PRE,941,de_+S,Pre,Pre,de,807,,C/(e)\
282,55,3,beauté,beauté,NOM,942,biauté_+T,N,N,,807,,C/V\.'C/V\
283,55,4,que,que,PROCON,943,que3_S,Sub,Sub,que,807,,C/(e)\
284,55,5,ceulx,ceulx,PRO:demo,944,cel_S,Dem,Dem,cil,807,,C/V\
285,55,6,qui,qui,PROCON,945,qui_S,Qux,Qux,qui,807,s,C/V\
286,55,7,tel,tel,ADJ,946,tel_+CIT,Adj,Adj,tel,807,,C/V\
287,56,1,y,y,PRO:clit,951,i2_S,Prn,Prn$$,y,808,,/V\
288,56,2,cognoistroient,cognoistroient,VER,952,<unknown>,Vfin,Vfin,connaître,808,,C/V\.C/V\.'C/V\./e\
289,56,3,leur,leur,DET:poss,953,lor2_S,Det,Det,leur2,808,,C/V\
290,56,4,ouvraige,ouvraige,NOM,954,ovrage_*+T,N,N,,808,,/V\.'C/V\.C/(e)\
291,57,1,Toutes,toutes,DET:ind,986,tot_S,QIs,QIs,tout,812,,'C/V\.C/e\
292,57,2,voies,voies,NOM,987,voie_+CI,N,N,,812,,'C/V\./e\
293,57,3,pour,pour,PRE,988,por2_+S,Pre,Pre,pour,812,,C/V\
294,57,4,appliquer,appliquer,NOM,989,<unknown>,Vinf,Vinf,,812,,/V\.C/V\.'C/V\
295,58,1,vueil,vueil,VER,995,voloir_+Z,Vfin,Vfin,vouloir,813,,C/V\
296,58,2,soubz,soubz,PRE,996,soz_S,PrA,PrA,sous,813,,C/V\
297,58,3,briefté,briefté,ADV,997,<unknown>,N,N,,813,,C/V\.C/V\.'C/V\
298,58,4,declairer,declairer,VER,998,<unknown>,Vinf,Vinf,,813,,C/V\.C/V\.'C/V\
299,59,1,Ung,ung,DET:ndf,1007,un_S,QIs,QIs,un,814,,/V\
300,59,2,riche,riche,ADJ,1008,riche_+IT,Adj,Adj,riche,814,,'C/V\.C/(e)\
301,59,3,palais,palais,NOM,1009,palais2|palais3|palé_+T|+T|+T,N,N,,814,,C/V\.'C/V\
302,59,4,ancien,ancien,ADJ,1010,ancien|anciien_G|Id,Adj,Adj,,814,,/V\.C/{V}\.'/V\
303,60,1,somptueusement,somptueusement,NOM,1016,<unknown>,Adv,Adv,,815,,C/V\.C/V\.C/V\.C/e\.'C/V\
304,60,2,edifié,edifié,VER,1017,<nolem>,Vpp,Vpp,,815,,/V\.C/V\.'C/V\
305,61,1,et,et,CON:coord,1021,et_S,Crd,Crd,et,815,,/V\
306,61,2,de,de,PRE,1022,de_+S,Pre,Pre,de,815,,C/(e)\
307,61,3,haultes,haultes,ADJ,1023,<unknown>,Adj,Adj,,815,,'C/V\.C/e\
308,61,4,tours,tours,NOM,1024,tor_*C,N,N,,816,,C/V\
309,61,5,",",",",PON,1025,",",Pnc,Pnc,,816,,
310,61,6,compassé,compassé,VER,1026,compasser_*+IT,Vpp,Vpp,,816,&,C/V\.C/V\.'C/V\
311,62,1,de,de,PRE,1031,de_+S,Pre,Pre,de,816,,C/(e)\
312,62,2,diverses,diverses,ADJ,1032,divers_+I,Adj,Adj,,816,,C/V\.'C/V\.C/e\
313,62,3,et,et,CON:coord,1033,et_S,Crd,Crd,et,816,,/V\
314,62,4,differentes,differentes,NOM,1034,<unknown>,Adj,Adj,,816,,C/V\.C/V\.'C/V\.C/e\
