wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,boundary,synfunc,NCA_taggerpos,NCA_sent,syllabified
189,30,3,comme,comme,CON:subord,1036,27,Sub,Sub,comme,come1|come,*I|CI,"[('SubN', ''), ('Sub', ''), ('Adj', '')]",,CON:subord,73,'C/V\.C/(e)\
190,30,4,hastis,hastis,ADJ:suj:masc:sg,1037,27,Adj,Adj,,hastif,+Z,"[('SubN', ''), ('Adj', ''), ('N', '')]",,ADJ,73,C/V\.'C/V\
191,31,1,qui,qui,PROCON,1102,28,Qux,Qux,qui,qui,CST,"[('SubVfin', 's'), ('Sub', ''), ('Vfin', '')]",,PROCON,75,C/V\
192,31,2,a,a,VER:pres:3:sg,1103,28,Vfin,Vfin,avoir1,a3|a,+T|CGIS,"[('SubVfin', 's'), ('Vfin', ''), ('Vpp', '')]",,PRE,75,/V\
193,31,3,fait,fait,VER:pper:masc:sg,1104,28,Vpp,Vpp,faire,faire|farre,+CMI|M,"[('SubVfin', 's'), ('Vpp', ''), ('NGrp', 'c')]",,VER,75,C/V\
194,31,4,le,le,DET:def:obj:masc:sg,1105,28,Det,Det,le,le,CST,"[('NGrp', 'c'), ('Det', ''), ('N', '')]",,DET:def,75,C/(e)\
195,31,5,pechie,pechié,NOM:obj:masc:sg,1106,28,N,N,,pechié,*+I,"[('NGrp', 'c'), ('N', ''), ('Adj', '')]",,NOM,75,C/V\.'C/V\
196,31,6,mortel,mortel,ADJ:obj:masc:sg,1107,28,Adj,Adj,,mortel,+IT,"[('SubVfin', ''), ('NGrp', 's'), ('Vfin', '')]",,ADJ,75,C/V\.'C/V\
197,32,1,il,il,PRO:pers:suj:3:masc:sg:unb,1110,28,Prn,Prn$,3p,il,CIST,"[('VfinGrp', ''), ('Prn', 's'), ('Adv', '')]",s,PRO:pers,75,/V\
198,32,2,ne,ne,PRO:clit,1111,28,Neg,Neg$$,ne1,en2|ne,S|C,"[('VfinGrp', ''), ('Adv', ''), ('Vfin', '')]",,PRO:clit,75,C/(e)\
