wd_id,line_id,linewd,word,lex_id,old_wd_id,chapter_id,syntag,syntag2,lemma,syllabified
514,121,3,de,de,2451,7,Pre,Pre,de,C/(e)\
515,121,4,son,son,2452,7,Det,Det,son4,C/V\
516,121,5,pie,pié,2453,7,N,N,,C/V\
517,122,1,ne,ne,2460,7,Neg,Neg$$,ne,C/(e)\
518,122,2,la,la,2461,7,Prn,Prn$$,le,C/V\
519,122,3,pooit,pooit,2462,7,Vfin,Vfin,pouvoir2,C/V\.'C/V\
520,122,4,soufrir,soufrir,2463,7,Vinf,Vinf,souffrir,C/V\.'C/V\
521,123,1,du,du,2486,7,Pre+Det,Pre+Det,de.le,C/V\
522,123,2,pie,pié,2487,7,N,N,,C/V\
523,123,3,du,du,2488,7,Pre+Det,Pre+Det,de.le,C/V\
524,123,4,dit,dit,2489,7,Vpp,Vpp,dire,C/V\
525,123,5,guillot,guillot,2490,7,N,N,,C/V\.'C/V\
526,124,1,a,a,2520,7,Pre,Pre,à,/V\
527,124,2,terre,terre,2521,7,N,N,,'C/V\.C/(e)\
528,124,3,",",",",2522,7,Pnc,Pnc,,
529,124,4,ne,ne,2523,7,Crd,Crd,ne2,C/(e)\
530,124,5,le,le,2524,7,Det,Det,le,C/(e)\
531,124,6,pie,pié,2525,7,N,N,,C/V\
532,125,1,une,une,2544,7,QIs,QIs,un,'/V\.C/(e)\
533,125,2,eschace,eschace,2545,7,N,N,,/V\.'C/V\.C/(e)\
534,125,3,de,de,2546,7,Pre,Pre,de,C/(e)\
535,125,4,fust,fust,2547,7,N,N,,C/V\
536,126,1,et,et,2556,7,Crd,Crd,et,/V\
537,126,2,estre,estre,2557,7,Vinf,Vinf,être,'/V\.C/(e)\
538,126,3,entre,entre,2558,7,PrA,PrA,entre,'/V\.C/(e)\
539,126,4,les,les,2559,7,Det,Det,le,C/V\
540,126,5,genz,genz,2560,7,N,N,,C/V\
541,127,1,a,a,2561,7,Pre,Pre,à,/V\
542,127,2,gaaignier,gaaignier,2562,7,Vinf,Vinf,gagner,C/(V)\./V\.'C/V\
543,127,3,son,son,2563,7,Det,Det,son4,C/V\
544,127,4,pain,pain,2564,7,N,N,,C/V\
545,128,1,ala,ala,2571,7,Vfin,Vfin,aller,/V\.'C/V\
546,128,2,au,au,2572,7,Pre+Det,Pre+Det,à.le,/V\
547,128,3,charpentier,charpentier,2573,7,N,N,,C/V\.C/V\.'C/V\
548,129,1,et,et,2583,7,Crd,Crd,et,/V\
549,129,2,quant,quant,2584,7,Sub,Sub,quand,C/V\
550,129,3,cel,cel,2585,7,Dem,Dem,cil,C/V\
551,129,4,charpentier,charpentier,2586,7,N,N,,C/V\.C/V\.'C/V\
552,130,1,l,l',2587,7,Prn,Prn$$,le,C/\
553,130,2,oi,oi,2588,7,Vfin,Vfin,ouïr,/V\
554,130,3,",",",",2589,7,Pnc,Pnc,,
555,130,4,il,il,2590,7,Prn,Prn$,il,/V\
556,130,5,li,li,2591,7,Prn,Prn$$,li,C/V\
557,130,6,desloa,desloa,2592,7,Vfin,Vfin,,C/V\.C/V\.'C/V\
558,131,1,et,et,2608,7,Crd,Crd,et,/V\
559,131,2,fu,fu,2609,7,Vfin,Vfin,être,C/V\
