wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
786,195,2,de,de,3096,1408,Pre,Pre,de,C/(e)\
787,195,3,la,la,3097,1408,Det,Det,le,C/V\
788,195,4,nuit,nuit,3098,1408,N,N,,C/V\
789,196,1,de,de,3096,1408,Pre,Pre,de,C/(e)\
790,196,2,la,la,3097,1408,Det,Det,le,C/V\
791,196,3,nuit,nuit,3098,1408,N,N,,C/V\
792,196,4,sur,sur,3099,1408,PrA,PrA,sur,C/V\
793,196,5,le,le,3100,1408,Det,Det,le,C/(e)\
794,196,6,jour,jour,3101,1408,N,N,,C/V\
795,197,1,sur,sur,3099,1408,PrA,PrA,sur,C/V\
796,197,2,le,le,3100,1408,Det,Det,le,C/(e)\
797,197,3,jour,jour,3101,1408,N,N,,C/V\
798,197,4,",",",",3102,1408,Pnc,Pnc,,
799,197,5,les,les,3103,1408,Det,Det,le,C/V\
800,197,6,oultraiges,oultraiges,3104,1408,N,N,,/V\.'C/V\.C/e\
801,198,1,les,les,3103,1408,Det,Det,le,C/V\
802,198,2,oultraiges,oultraiges,3104,1408,N,N,,/V\.'C/V\.C/e\
803,198,3,des,des,3105,1409,Pre+Det,Pre+Det,de.le,C/V\
804,198,4,robes,robes,3106,1409,N,N,,'C/V\.C/e\
805,199,1,sans,sans,3110,1409,Pre,Pre,sans,C/V\
806,199,2,garder,garder,3111,1409,Vinf,Vinf,garder,C/V\.'C/V\
807,199,3,difference,difference,3112,1409,N,N,,C/V\.C/e\.'C/V\.C/(e)\
808,200,1,en,en,3135,1411,Pre,Pre,en,/V\
809,200,2,l',l',3136,1412,Det,Det,le,C/\
810,200,3,ordure,ordure,3137,1412,N,N,,/V\.'C/V\.C/(e)\
811,200,4,et,et,3138,1412,Crd,Crd,et,/V\
812,200,5,vilté,vilté,3139,1412,N,N,,C/V\.'C/V\
813,201,1,des,des,3140,1412,Pre+Det,Pre+Det,de.le,C/V\
814,201,2,horribles,horribles,3141,1412,Adj,Adj,,/V\.'C/V\.C/e\
815,201,3,pechiez,pechiez,3142,1412,N,N,,C/V\.'C/V\
816,202,1,Estoupez,estoupez,3157,1413,Vfin,Vfin,,/V\.C/V\.'C/V\
817,202,2,voz,voz,3158,1413,Det,Det,votre,C/V\
818,202,3,oreilles,oreilles,3159,1413,N,N,,/V\.'C/V\.C/e\
819,203,1,que,que,3197,1417,Sub,Sub,que,C/(e)\
820,203,2,trop,trop,3198,1417,Adv,Adv,trop,C/V\
821,203,3,en,en,3199,1417,Prn,Prn$$,en2,/V\
822,203,4,avoir,avoir,3200,1417,Vinf,Vinf,avoir,/V\.'C/V\
823,203,5,prins,prins,3201,1417,Vpp,Vpp,prendre,C/V\
824,204,1,laissa,laissa,3212,1418,Vfin,Vfin,laisser,C/V\.'C/V\
825,204,2,bien,bien,3213,1419,Adv,Adv,bien,C/V\
826,204,3,a,a,3214,1419,Pre,Pre,à,/V\
827,204,4,moictié,moictié,3215,1419,N,N,,C/V\.'C/V\
828,205,1,ses,ses,3216,1419,Det,Det,son4,C/V\
829,205,2,cheveulx,cheveulx,3217,1419,N,N,,C/V\.'C/V\
830,205,3,a,a,3218,1419,Pre,Pre,à,/V\
831,205,4,peigner,peigner,3219,1419,Vinf,Vinf,,C/V\.'C/V\
832,206,1,et,et,3234,1420,Crd,Crd,et,/V\
833,206,2,demoura,demoura,3235,1420,Vfin,Vfin,demeurer,C/V\.C/V\.'C/V\
834,206,3,l',l',3236,1420,Det,Det,le,C/\
835,206,4,atour,atour,3237,1420,N,N,,/V\.'C/V\
836,207,1,d',d',3255,1422,Pre,Pre,de,C/\
837,207,2,armes,armes,3256,1422,N,N,,'/V\.C/e\
838,207,3,sa,sa,3257,1422,Det,Det,son4,C/V\
839,207,4,cité,cité,3258,1422,N,N,,C/V\.'C/V\
