wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,chapter_id,NCA_lemma,NCA_src,syntag,syntag2,lemma,NCA_line,synfunc,NCA_taggerpos,syllabified
1,1,1,que,que,PROCON,61,5,que2|que3|que,T|S|C,Sub,Sub,que,151,,PROCON,C/(e)\
2,1,2,son,son,DET:poss:suj:masc:sg,62,5,son4|son,S|C,Det,Det,son4,151,,DET:poss,C/V\
3,1,3,chief,chief,NOM:suj:masc:sg,63,5,chief1|chief2,+IT|+T,N,N,,151,,NOM,C/V\
4,1,4,.,.,PON,64,5,.,,Pnc,Pnc,,151,,PON,
5,1,5,et,et,CON:coord,65,5,et,ST,Crd,Crd,et,152,,CON:coord,/V\
6,1,6,quant,quant,ADV,66,5,cant,CI,Qux,Qux,,152,,ADV,C/V\
7,1,7,ele,ele,PRO:pers:suj:3:femi:sg,67,5,ele|il,C|IST,Prn,Prn$,3p,152,s,PRO:pers,'/V\.C/(e)\
8,1,8,aloit,aloit,VER:impf:3:sg,68,5,aler,+IM,Vfin,Vfin,aller,152,,VER,/V\.'C/V\
9,2,1,pres,pres,ADV,74,5,près,IId,PrA,PrA,près,152,,ADV,C/V\
10,2,2,de,de,PRE,75,5,de,+CIST,Pre,Pre,de,152,,PRE,C/(e)\
11,2,3,terre,terre,NOM:obj:femi:sg,76,5,terre,+CIT,N,N,,152,,NOM,'C/V\.C/(e)\
12,2,4,pie,pié,NOM:obj:masc:sg,77,5,pie,+T,N,N,,152,,NOM,C/V\
13,2,5,et,et,CON:coord,78,5,et,ST,Crd,Crd,et,152,,CON:coord,/V\
14,2,6,demi,demi,ADJ:obj:masc:sg,79,5,demi2|demi,+T|CI,Adj,Adj,demi,152,,ADJ,C/V\.'C/V\
15,3,1,de,de,PRE,91,5,de,+CIST,Pre,Pre,de,152,,PRE,C/(e)\
16,3,2,pie,pié,NOM:obj:masc:sg,92,5,pie,+T,N,N,,152,,NOM,C/V\
17,3,3,et,et,CON:coord,93,5,et,ST,Crd,Crd,et,152,,CON:coord,/V\
18,3,4,demi,demi,ADJ:obj:masc:sg,94,5,demi2|demi,+T|CI,Adj,Adj,demi,152,,ADJ,C/V\.'C/V\
19,3,5,de,de,PRE,95,5,de,+CIST,Pre,Pre,de,152,,PRE,C/(e)\
20,3,6,longueur,longueur,NOM:obj:femi:sg,96,5,longor,+Z,N,N,,152,,NOM,C/V\.'C/V\
21,4,1,par,par,PRE,109,5,par,CIS,Pre,Pre,par1,153,,PRE,C/V\
22,4,2,terre,terre,NOM:obj:femi:sg,110,5,terre,+CIT,N,N,,153,,NOM,'C/V\.C/(e)\
23,4,3,et,et,CON:coord,111,5,et,ST,Crd,Crd,et,153,,CON:coord,/V\
24,4,4,non,non,ADV,112,5,ne1,+Z,Neg,Neg,non,153,,ADV,C/V\
25,4,5,mie,mie,ADV,113,5,mie,C,Neg,Neg,mie3,153,,ADV,'C/V\./(e)\
26,4,6,as,as,PREDET:a:obj:masc:pl,114,5,a+le|le,S|C,Pre+Det,Pre+Det,à+le,153,,PREDET:a,/V\
27,4,7,jenouz,jenouz,NOM:obj:masc:pl,115,5,UNKNOWN,,N,N,,153,,NOM,C/V\.'C/V\
28,5,1,la,la,PRO:pers:acc:3:femi:sg,128,5,ele|il,C|IST,Prn,Prn$$,3p,153,c,PRO:pers,C/V\
29,5,2,veoient,veoient,VER:impf:3:pl,129,5,vëoir,+I,Vfin,Vfin,voir1,153,,VER,C/(V)\.'/V\./e\
30,5,3,",",",",PON,130,5,",",,Pnc,Pnc,,153,,PON,
31,5,4,il,il,PRO:pers:suj:3:masc:pl,131,5,il,CIST,Prn,Prn$,3p,153,s,PRO:pers,/V\
32,5,5,s,s,PROCON,132,5,se,C,Prn,Prn$$,soi,153,,PROCON,C/\
33,5,6,enfuioient,enfuioient,VER:impf:3:pl,133,5,fuir,+Z,Vfin,Vfin,enfuir,153,,VER,/V\.C/V\.'C/V\./e\
34,6,1,le,le,DET:def:obj:masc:sg,140,5,le,CST,Det,Det,le,154,,DET:def,C/(e)\
35,6,2,ciel,ciel,NOM:obj:masc:sg,141,5,ciel,+IT,N,N,,154,,NOM,C/V\
36,6,3,ou,ou,PROCON,142,5,o|où,C|Td,Crd,Crd,ou1,154,,PROCON,/V\
37,6,4,aucune,aucune,DET:ind:obj:femi:sg,143,5,aucun,CS,QIs,QIs,aucun,154,,DET:ind,/V\.'C/V\.C/(e)\
38,6,5,persone,persone,NOM:obj:femi:sg,144,5,persone,+CT,N,N,,154,,NOM,C/V\.'C/V\.C/(e)\
39,7,1,pour,pour,PRE,157,5,por2|por,+ST|C,Pre,Pre,pour,154,,PRE,C/V\
40,7,2,ce,ce,PRO:invar,158,5,ce1|ce,S|C,Prn,Prn,ce1,154,,PRO:invar,C/(e)\
41,7,3,que,que,PROCON,159,5,que2|que3|que,T|S|C,Qux,Qux,que,154,,PROCON,C/(e)\
42,7,4,ele,ele,PRO:pers:suj:3:femi:sg,160,5,ele|il,C|IST,Prn,Prn$,3p,154,s,PRO:pers,'/V\.C/(e)\
43,7,5,peust,peust,VER:subi:3:sg,161,5,paistre|pöoir,+MMd|+Id,Vfin,Vfin,pouvoir2,154,,VER,C/(V)\.'/V\
44,7,6,veoir,veoir,VER:infi,162,5,vëoir,+IIdTd,Vinf,Vinf,voir1,154,,VER,C/(V)\.'/V\
45,8,1,vint,vint,VER:simp:3:sg,227,5,venir|voir,+CI|M,Vfin,Vfin,venir,156,,VER,C/V\
46,8,2,ensement,ensement,ADV,228,5,ensement,+IT,Adv,Adv,ensement,156,,ADV,/V\.C/e\.'C/V\
47,8,3,au,au,PREDET:a:obj:masc:sg,229,5,a+le|le,S|C,Pre+Det,Pre+Det,à+le,156,,PREDET:a,/V\
48,8,4,dit,dit,VER:pper:masc:sg,230,5,dire,+CMI,Vpp,Vpp,dire,156,,VER,C/V\
49,8,5,tombel,tombel,NOM:obj:masc:sg,231,5,tombel,+T,N,N,,156,,NOM,C/V\.'C/V\
50,9,1,vousist,vousist,VER:subi:3:sg,247,5,voloir,+I,Vfin,Vfin,vouloir,157,,VER,C/V\.'C/V\
