wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
164,38,3,cest,cest,1077,315,Dem,Dem,cist,C/V\
165,38,4,païs,païs,1078,315,N,N,,C/V\.'C/V\
166,39,1,d',d',1154,406,Pre,Pre,de,C/\
167,39,2,Estraus,estraus,1155,406,N,N,,/V\.'C/V\
168,39,3,",",",",1156,406,Pnc,Pnc,,
169,39,4,ki,ki,1157,406,Qux,Qux,qui,C/V\
170,39,5,mout,mout,1158,406,QIs,QIs,moult,C/V\
171,39,6,savoit,savoit,1159,406,Vfin,Vfin,savoir,C/V\.'C/V\
172,40,1,et,et,1192,410,Crd,Crd,et,/V\
173,40,2,orendroit,orendroit,1193,410,Adv,Adv,orendroit,/V\.C/V\.'C/V\
174,40,3,s',s',1194,410,Prn,Prn$$,se,C/\
175,40,4,est,est,1195,410,Vfin,Vfin,être,/V\
176,40,5,mis,mis,1196,410,Vpp,Vpp,mettre,C/V\
177,41,1,cestui,cestui,1201,410,Dem,Dem,cist,C/V\.'C/V\
178,41,2,fait,fait,1202,410,N,N,,C/V\
179,41,3,par,par,1203,410,Pre,Pre,par,C/V\
180,41,4,paour,paour,1204,410,N,N,,C/(V)\.'/V\
181,42,1,k',k',1208,411,Sub,Sub,que,C/\
182,42,2,il,il,1209,411,Prn,Prn$,il,/V\
183,42,3,ait,ait,1210,411,Vfin,Vfin,avoir,/V\
184,42,4,du,du,1211,411,Pre+Det,Pre+Det,de.le,C/V\
185,42,5,cevalier,cevalier,1212,411,N,N,,C/V\.C/V\.'C/V\
186,43,1,et,et,1225,412,Crd,Crd,et,/V\
187,43,2,a,a,1226,412,Pre,Pre,à,/V\
188,43,3,grant,grant,1227,412,Adj,Adj,grand,C/V\
189,43,4,couardise,couardise,1228,412,N,N,,C/V\.C/V\.'C/V\.C/(e)\
190,44,1,ne,ne,1229,413,Crd,Crd,ne2,C/(e)\
191,44,2,ne,ne,1230,413,Neg,Neg$$,ne,C/(e)\
192,44,3,s',s',1231,413,Prn,Prn$$,se,C/\
193,44,4,em,em,1232,413,Prn,Prn$$,en2,/V\
194,44,5,puet,puet,1233,413,Vfin,Vfin,pouvoir2,C/V\
195,44,6,tenir,tenir,1234,413,Vinf,Vinf,tenir,C/V\.'C/V\
196,45,1,ki,ki,1265,415,Qux,Qux,qui,C/V\
