wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,synfunc
415,98,2,et,et,CON:coord,1855,et_S,10,Crd,
416,98,3,maintenir,maintenir,VER,1856,maintenir_+IT,10,Vinf,
417,99,1,et,et,CON:coord,1875,et_S,10,Crd,
418,99,2,tant,tant,ADV,1876,tant_CI,10,Adv,c
419,99,3,en,en,PRO:clit,1877,en2_S,10,Prn,
420,99,4,faisoit,faisoit,VER,1878,faire_+CM,10,Vfin,
421,99,5,faire,faire,VER,1879,faire_+MIT,10,Vinf,
422,100,1,et,et,CON:coord,1912,et_S,10,Crd,
423,100,2,qu',qu',PROCON,1913,que1|que2|que3|que4_S|S|S|S,10,Sub,
424,100,3,il,il,PRO:pers,1914,il_S,10,Prn,s
425,100,4,pouoit,pouoit,VER,1915,pooir|pouvoir_*C|M,10,Vfin,
426,100,5,aler,aler,VER,1916,aler|foraler_+MIT|+T,10,Vinf,
427,101,1,que,que,PROCON,1934,que3_S,10,Sub,c
428,101,2,on,on,PRO:invar,1935,on_S,10,Prn,s
429,101,3,ne,ne,PRO:clit,1936,en2_S,10,Neg,
430,101,4,lui,lui,PRO:pers,1937,il|loi1_S|S,10,Prn,
431,101,5,souffrist,souffrist,VER,1938,souffrir|soufrir_M|M,10,Vfin,
432,102,1,le,le,DET:def,1945,le_S,10,Det,
433,102,2,contraire,contraire,ADJ,1946,contraire1|contraire_T|I,10,Adj,
434,102,3,pour,pour,PRE,1947,por2_+S,10,Pre,
435,102,4,doubte,doubte,NOM,1948,<nolem>,10,N,
436,103,1,et,et,CON:coord,1970,et_S,10,Crd,
437,103,2,estoient,estoient,VER,1971,ester|estre1_+M|+I,10,Vfin,
438,103,3,son,son,DET:poss,1972,son4_S,10,Det,
439,103,4,pere,pere,NOM,1973,paire|pere1|piere_+T|+T|+T,10,N,
440,104,1,faire,faire,VER,1992,faire_+MIT,10,Vinf,
441,104,2,a,a,PRE,1993,a_S,10,Pre,
442,104,3,sa,sa,DET:poss,1994,son4_S,10,Det,
443,104,4,volenté,volenté,NOM,1995,volenté_+IT,10,N,
444,105,1,et,et,CON:coord,2004,et_S,10,Crd,
445,105,2,en,en,PRE,2005,en1_+S,10,Pre,
446,105,3,plus,plus,ADV,2006,plus_CI,10,Adv,
447,105,4,amender,amender,VER,2007,amender_+IT,10,Vinf,
448,106,1,de,de,PRE,2026,de_+S,11,Pre,
449,106,2,bon,bon,ADJ,2027,bon_+CIT,11,Adj,
450,106,3,lieu,lieu,NOM,2028,lieu_+CIT,11,N,
451,106,4,et,et,CON:coord,2029,et_S,11,Crd,
452,106,5,estrait,estrait,VER,2030,estraire_+I,11,Vpp,
453,107,1,si,si,ADV,2035,si_+IT,11,Adv,
454,107,2,estoit,estoit,VER,2036,ester|estre1_+IM|+I,11,Vfin,
455,107,3,grans,grans,ADJ,2037,grant_+I,11,Adj,
456,107,4,dommages,dommages,NOM,2038,damage_+C,11,N,
457,108,1,qu',qu',PROCON,2041,que1|que2|que3|que4_S|S|S|S,11,Sub,
458,108,2,il,il,PRO:pers,2042,il_S,11,Prn,s
459,108,3,n',n',PRO:clit,2043,en2_S,11,Neg,
460,108,4,estoit,estoit,VER,2044,ester|estre1_+IM|+I,11,Vfin,
461,108,5,gouvernez,gouvernez,VER,2045,governer_+M,11,Vpp,
462,109,1,car,car,CON:coord,2057,car_S,11,Crd,
463,109,2,il,il,PRO:pers,2058,il_S,11,Prn,s
464,109,3,estoit,estoit,VER,2059,ester|estre1_+IM|+I,11,Vfin,
465,109,4,beaus,beaus,ADJ,2060,bel_*I,11,Adj,
466,109,5,enfes,enfes,NOM,2061,enfant_+IT,11,N,
467,110,1,qu',qu',PROCON,2079,que1|que2|que3|que4_S|S|S|S,11,Sub,c
468,110,2,il,il,PRO:pers,2080,il_S,11,Prn,s
469,110,3,fist,fist,VER,2081,faire|feire|fere_+CMI|M|M,11,Vfin,
470,110,4,en,en,PRE,2082,en1_+S,11,Pre,
471,110,5,sa,sa,DET:poss,2083,son4_S,11,Det,
472,110,6,venue,venue,NOM,2084,venüe_+IIdTd,11,N,
