wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,synfunc
135,32,1,a,a,PRE,715,a_S,2,Pre,
136,32,2,la,la,DET:def,716,le_S,2,Det,
137,32,3,cité,cité,NOM,717,cité_+IT,2,N,
138,32,4,de,de,PRE,718,de_+S,2,Pre,
139,32,5,Romme,romme,NPR,719,rome_Z,2,N,
140,33,1,de,de,PRE,761,de_+S,3,Pre,
141,33,2,Romme,romme,NPR,762,rome_Z,3,N,
142,33,3,amenuisee,amenuisee,VER,763,<unknown>,3,Vpp,
143,34,1,mais,mais,CON:coord,793,mais_S,3,Crd,
144,34,2,telle,telle,ADJ,794,tel_+C,3,Adj,
145,34,3,seignourie,seignourie,NOM,795,seignorie_*+CIT,3,N,
146,35,1,Romulus,romulus,NPR,805,romulus_Z,3,N,
147,35,2,ou,ou,PRE,806,o4_+S,3,Crd,
148,35,3,Pompee,pompee,NPR,807,<nolem>,3,N,
149,36,1,Augustus,augustus,NPR,839,augustus_Z,3,N,&
150,36,2,",",",",PON,840,",",3,Pnc,
151,36,3,Constantins,constantins,NPR,841,<nolem>,3,N,&
152,37,1,et,et,CON:coord,869,et_S,4,Crd,
153,37,2,en,en,PRE,870,en1_+S,4,Pre,
154,37,3,grant,grant,ADJ,871,grant_+CIT,4,Adj,
155,37,4,seignourie,seignourie,NOM,872,seignorie_*+CIT,4,N,
156,38,1,en,en,PRE,890,en1_+S,4,Pre,
157,38,2,ladicte,ladicte,NPR,891,<unknown>,4,Det+Vpp,
158,38,3,cité,cité,VER,892,citer_+M,4,N,
159,39,1,Philippus,philippus,NPR,896,<unknown>,4,N,
160,39,2,Augustus,augustus,NPR,897,augustus_Z,4,N,
161,40,1,de,de,PRE,906,de_+S,4,Pre,
162,40,2,Constantin,constantin,NPR,907,<nolem>,4,N,
163,40,3,son,son,DET:poss,908,son4_S,4,Det,
164,40,4,pere,pere,NOM,909,paire|pere1|piere_+T|+T|+T,4,N,
165,41,1,de,de,PRE,916,de_+S,4,Pre,
166,41,2,cel,cel,DET:demo,917,cel_S,4,Det,
167,41,3,empereur,empereur,NOM,918,emperëor_+Id,4,N,
168,42,1,et,et,CON:coord,931,et_S,4,Crd,
169,42,2,le,le,PRO:pers,932,il_S,4,Prn,c
170,42,3,mist,mist,VER,933,manoir|metre|mettre_M|CIM|M,4,Vfin,
171,42,4,en,en,PRO:clit,934,en2_S,4,Pre,
172,42,5,escript,escript,VER,935,escrire_+CZ,4,N,
173,43,1,Le,le,DET:def,961,le_S,4,Det,
174,43,2,premier,premier,ADJ:ord,962,premier_C,4,Adj,
175,43,3,ot,ot,VER,963,avoir|öir_+IM|+I,4,Vfin,
176,43,4,nom,nom,NOM,964,nom_+CIT,4,N,c
177,44,1,Sother,sother,VER,965,<unknown>,4,N,a
178,44,2,et,et,CON:coord,966,et_S,4,Crd,
179,44,3,en,en,PRE,967,en1_+S,4,Pre,
180,44,4,seurnom,seurnom,NOM,968,sornom_+T,4,N,
181,45,1,qui,qui,PROCON,971,qui_S,4,Sub,s
182,45,2,vault,vault,VER,972,valoir_+M,4,Vfin,
183,45,3,autant,autant,ADV,973,autant_I,4,Adv,
184,45,4,a,a,PRE,974,a_S,4,Pre,
185,45,5,dire,dire,VER,975,dire_+MIT,4,Vinf,
186,46,1,et,et,CON:coord,997,et_S,4,Crd,
187,46,2,vous,vous,PRO:pers,998,vos1_S,4,Prn,
188,46,3,di,di,VER,999,dire_+MI,4,Vfin,
189,46,4,que,que,PROCON,1000,que3_S,4,Sub,
190,46,5,pour,pour,PRE,1001,por2_+S,4,Pre,
191,46,6,mort,mort,NOM,1002,mort_+CIT,4,N,c
192,47,1,avoit,avoit,VER,1014,avoiier|avoir_+MI|+MI,5,Vfin,
193,47,2,a,a,PRE,1015,a_S,5,Pre,
194,47,3,nom,nom,NOM,1016,nom_+CIT,5,N,
195,47,4,Marcus,marcus,NPR,1017,marcus_Z,5,N,c
196,48,1,Marcus,marcus,NPR,1017,marcus_Z,5,N,c
197,48,2,et,et,CON:coord,1018,et_S,5,Crd,
198,48,3,en,en,PRE,1019,en1_+S,5,Pre,
199,48,4,seurnom,seurnom,NOM,1020,sornom_+T,5,N,
200,49,1,et,et,CON:coord,1018,et_S,5,Crd,
201,49,2,en,en,PRE,1019,en1_+S,5,Pre,
202,49,3,seurnom,seurnom,NOM,1020,sornom_+T,5,N,
203,49,4,Storeus,storeus,VER,1021,<unknown>,5,N,
204,50,1,qui,qui,PROCON,1023,qui_S,5,Sub,s
205,50,2,vault,vault,VER,1024,valoir_+M,5,Vfin,
206,50,3,autant,autant,ADV,1025,autant_I,5,Adv,
207,50,4,a,a,PRE,1026,a_S,5,Pre,
208,50,5,dire,dire,VER,1027,dire_+MIT,5,Vinf,
209,51,1,que,que,PROCON,1042,que3_S,5,Sub,
210,51,2,ses,ses,DET:poss,1043,son4_S,5,Det,
211,51,3,seurnoms,seurnoms,NOM,1044,<unknown>,5,N,
212,51,4,fust,fust,VER,1045,estre1|fuster_+I|+M,5,Vfin,
213,51,5,telz,telz,ADJ,1046,tel_+C,5,Adj,a
214,52,1,car,car,CON:coord,1048,car_S,5,Crd,
215,52,2,il,il,PRO:pers,1049,il_S,5,Prn,s
216,52,3,gardoit,gardoit,VER,1050,garder_+IM,5,Vfin,
217,52,4,les,les,DET:def,1051,le_S,5,Det,
218,52,5,drois,drois,NOM,1052,droit_Z,5,N,
219,53,1,Crassus,crassus,NPR,1064,<nolem>,5,N,
220,53,2,et,et,CON:coord,1065,et_S,5,Crd,
221,53,3,en,en,PRE,1066,en1_+S,5,Pre,
222,53,4,seurnom,seurnom,NOM,1067,sornom_+T,5,N,
223,54,1,Li,li,DET:def,1096,le_S,5,Det,
224,54,2,quart,quart,ADJ:ord,1097,cart_CIT,5,Adj,
225,54,3,nom,nom,NOM,1098,nom_+CIT,5,N,
226,54,4,des,des,PREDET:de,1099,de+le_S,5,Pre+Det,
227,54,5,sept,sept,ADJ:card,1100,set_CT,5,Adj,
228,54,6,sages,sages,ADJ,1101,sage_+I,5,Adj,
229,55,1,des,des,PREDET:de,1099,de+le_S,5,Pre+Det,
230,55,2,sept,sept,ADJ:card,1100,set_CT,5,Adj,
231,55,3,sages,sages,ADJ,1101,sage_+I,5,Adj,
232,55,4,de,de,PRE,1102,de_+S,5,Pre,
233,55,5,Romme,romme,NPR,1103,rome_Z,5,N,
234,56,1,estoit,estoit,VER,1104,ester|estre1_+IM|+I,5,Vfin,
235,56,2,Antonius,antonius,NPR,1105,antonius_Z,5,N,a
236,57,1,et,et,CON:coord,1106,et_S,5,Crd,
237,57,2,le,le,DET:def,1107,le_S,5,Det,
238,57,3,seurnom,seurnom,NOM,1108,sornom_+T,5,N,
239,57,4,Judex,judex,VER,1109,<unknown>,5,N,a
240,58,1,Li,li,DET:def,1156,le_S,6,Det,
241,58,2,quins,quins,ADJ:ord,1157,quint_Z,6,Adj,
242,58,3,sages,sages,ADJ,1158,sage_+I,6,N,
243,58,4,ot,ot,VER,1159,avoir|öir_+IM|+I,6,Vfin,
244,58,5,nom,nom,NOM,1160,nom_+CIT,6,N,c
245,59,1,ot,ot,VER,1159,avoir|öir_+IM|+I,6,Vfin,
246,59,2,nom,nom,NOM,1160,nom_+CIT,6,N,c
247,59,3,Ruthonius,ruthonius,NPR,1161,<unknown>,6,N,a
248,60,1,comme,comme,VER,1170,commer_M,6,Sub,
249,60,2,«,«,PON:cit,1171,«,6,Pnc,
250,60,3,pere,pere,NOM,1172,paire|pere1|piere_+T|+T|+T,6,N,
251,60,4,d',d',PRE,1173,de_+S,6,Pre,
252,60,5,amour,amour,NOM,1174,amor_+G,6,N,
253,61,1,qu',qu',PROCON,1181,que1|que2|que3|que4_S|S|S|S,6,Sub,
254,61,2,il,il,PRO:pers,1182,il_S,6,Prn,s
255,61,3,eüst,eust,VER,1183,avoir_+MI,6,Vfin,
256,61,4,tel,tel,ADJ,1184,tel_+CIT,6,Det,
257,61,5,seurnom,seurnom,NOM,1185,sornom_+T,6,N,
258,62,1,car,car,CON:coord,1187,car_S,6,Crd,
259,62,2,il,il,PRO:pers,1188,il_S,6,Prn,s
260,62,3,estoit,estoit,VER,1189,ester|estre1_+IM|+I,6,Vfin,
261,62,4,si,si,DET:poss,1190,son4_S,6,Adv,
262,62,5,doulx,doulx,ADJ,1191,<nolem>,6,Adj,
263,63,1,Et,et,CON:coord,1206,et_S,6,Crd,
264,63,2,li,li,DET:def,1207,le_S,6,Det,
265,63,3,sixtes,sixtes,ADJ:ord,1208,siste_Z,6,Adj,
266,63,4,ot,ot,VER,1209,avoir|öir_+IM|+I,6,Vfin,
267,63,5,nom,nom,NOM,1210,nom_+CIT,6,N,c
268,64,1,et,et,CON:coord,1218,et_S,6,Crd,
269,64,2,avoient,avoient,VER,1219,avoiier|avoir_+M|+MI,6,Vfin,
270,64,3,cilz,cilz,DET:demo,1220,cel_S,6,Det,
271,64,4,deux,deux,NOM,1221,<nolem>,6,N,
272,65,1,en,en,PRE,1222,en1_+S,6,Pre,
273,65,2,seurnom,seurnom,NOM,1223,sornom_+T,6,N,
274,65,3,Astraloges,astraloges,NPR,1224,<unknown>,6,N,
275,66,1,comme,comme,VER,1233,commer_M,6,Sub,
276,66,2,«,«,PON:cit,1234,«,6,Pnc,
277,66,3,astronomiens,astronomiens,NOM,1235,<nolem>,6,N,a
278,67,1,que,que,PROCON,1262,que3_S,7,Sub,
279,67,2,je,je,PRO:pers,1263,je_S,7,Prn,s
280,67,3,vous,vous,PRO:pers,1264,vos1_S,7,Prn,
281,67,4,ay,ay,VER,1265,aidier|avoir_+Md|+CMI,7,Vfin,
282,67,5,compté,compté,VER,1266,conter_+Z,7,Vpp,
283,68,1,ainsi,ainsi,ADV,1268,ainsi_+CIT,7,Adv,
284,68,2,comme,comme,VER,1269,commer_M,7,Sub,
285,68,3,Martiaux,martiaux,NPR,1270,<nolem>,7,N,s
286,69,1,de,de,PRE,1279,de_+S,7,Pre,
287,69,2,la,la,DET:def,1280,le_S,7,Det,
288,69,3,cité,cité,NOM,1281,cité_+IT,7,N,
289,69,4,de,de,PRE,1282,de_+S,7,Pre,
290,69,5,Romme,romme,NPR,1283,rome_Z,7,N,
291,70,1,de,de,PRE,1282,de_+S,7,Pre,
292,70,2,Romme,romme,NPR,1283,rome_Z,7,N,
293,70,3,uns,uns,DET:ndf,1284,un_S,7,Det,
294,70,4,riches,riches,ADJ,1285,riche_+I,7,Adj,
295,70,5,homs,homs,NOM,1286,ome_+C,7,N,
296,71,1,uns,uns,DET:ndf,1284,un_S,7,Det,
297,71,2,riches,riches,ADJ,1285,riche_+I,7,Adj,
298,71,3,homs,homs,NOM,1286,ome_+C,7,N,
