wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,ch_id,syntag,syntag2,lemma,verse_id,synfunc,syllabified
856,151,1,encuntre,encuntre,PRE,2891,encontre1_S,9,3,PrA,PrA,encontre2,14,,/V\.'C/V\.C/(e)\
857,151,2,la,la,DET:def,2892,le_S,9,3,Det,Det,le,14,,C/V\
858,151,3,maisun,maisun,NOM,2893,maison_+I,9,3,N,N,,14,,C/V\.'C/V\
859,151,4,Hely,hely,NPR,2894,hely_Z,9,3,N,N,,14,o,/V\.'C/V\
860,152,1,que,que,PROCON,2896,que3_S,9,3,Sub,Sub,que,14,,C/(e)\
861,152,2,la,la,DET:def,2897,le_S,9,3,Det,Det,le,14,,C/V\
862,152,3,iniquite,iniquité,NOM,2898,iniquité_+Z,9,3,N,N,,14,,/V\.C/V\.C/V\.'C/V\
863,152,4,de,de,PRE,2899,de_+S,9,3,Pre,Pre,de,14,,C/(e)\
864,152,5,lui,lui,PRO:pers,2900,il|loi1_S|S,9,3,Prn,Prn,3p,14,,C/V\
865,153,1,ne,ne,PRO:clit,2905,en2_S,9,3,Crd,Crd,ne2,14,,C/(e)\
866,153,2,par,par,PRE,2906,par_S,9,3,Pre,Pre,par1,14,,C/V\
867,153,3,duns,duns,NOM,2907,don_+I,9,3,N,N,,14,,C/V\
868,153,4,ne,ne,PRO:clit,2908,en2_S,9,3,Crd,Crd,ne2,14,,C/(e)\
869,153,5,par,par,PRE,2909,par_S,9,3,Pre,Pre,par1,14,,C/V\
870,153,6,sacrefises,sacrefises,NOM,2910,sacrefise_*+T,9,3,N,N,,14,,C/V\.C/e\.'C/V\.C/e\
871,154,1,quele,quele,ADJ,2942,quel_C,9,3,Qux,Qux,quel,16,,'C/V\.C/(e)\
872,154,2,parole,parole,NOM,2943,parole_+IT,9,3,N,N,,16,,C/V\.'C/V\.C/(e)\
873,154,3,est,est,VER,2944,ester|estre1_+M|+I,9,3,Vfin,Vfin,être1|ester,16,,/V\
874,154,4,çó,ço,NOM,2945,<unknown>,9,3,Prn,Prn,ce1,16,,C/V\
875,154,5,que,que,PROCON,2946,que3_S,9,3,Qux,Qux,que,16,c,C/(e)\
876,154,6,Deus,deus,NOM,2947,dieu_+I,9,3,N,N,,16,s,C/V\
877,155,1,Samuel,samuel,NPR,2981,samuel_I|Z,9,3,N,N,,18,s,C/V\.C/V\.'C/V\
878,155,2,á,a,VER,2982,avoir_+CMI,9,3,Pre,Pre,à,18,,/V\
879,155,3,tant,tant,ADV,2983,tant_CI,9,3,QIs,QIs,tant,18,,C/V\
880,155,4,li,li,PRO:pers,2984,il_S,9,3,Prn,Prn$$,3p,18,,C/V\
881,155,5,mustra,mustra,VER,2985,mostrer_*+I,9,3,Vfin,Vfin,montrer,18,,C/V\.'C/V\
882,156,1,é,e,CON:coord,2986,et_S,9,3,Crd,Crd,et,18,,/V\
883,156,2,nule,nule,DET:ind,2987,nul_S,9,3,QIs,QIs,nul,18,,'C/V\.C/(e)\
884,156,3,chose,chose,NOM,2988,chose_+CIT,9,3,N,N,,18,,'C/V\.C/(e)\
885,156,4,n',n',PRO:clit,2989,en2_S,9,3,Neg,Neg$$,ne1,18,,C/\
886,156,5,en,en,PRO:clit,2990,en2_S,9,3,Pre,Pre,en1,18,,/V\
887,156,6,cela,cela,VER,2991,celer_M,9,3,Vfin,Vfin,celer,18,,C/V\.'C/V\
888,157,1,n',n',PRO:clit,2989,en2_S,9,3,Neg,Neg$$,ne1,18,,C/\
889,157,2,en,en,PRO:clit,2990,en2_S,9,3,Pre,Pre,en1,18,,/V\
890,157,3,cela,cela,VER,2991,celer_M,9,3,Vfin,Vfin,celer,18,,C/V\.'C/V\
891,157,4,.,.,PON,2992,.,9,3,Pnc,Pnc,,18,,
892,157,5,Hely,hely,NPR,2993,hely_Z,9,3,N,N,,18,s,/V\.'C/V\
893,157,6,respundi,respundi,VER,2994,<unknown>,9,3,Vfin,Vfin,répondre,18,,C/V\.C/V\.'C/V\
894,158,1,Hely,hely,NPR,2993,hely_Z,9,3,N,N,,18,s,/V\.'C/V\
895,158,2,respundi,respundi,VER,2994,<unknown>,9,3,Vfin,Vfin,répondre,18,,C/V\.C/V\.'C/V\
896,158,3,:,:,PON,2995,:,9,3,Pnc,Pnc,,18,,
897,158,4,‘,‘,PON:cit,2996,QUOTED,9,3,Pnc,Pnc,,18,,
898,158,5,Sires,sires,NOM,2997,seignor_+CI,9,3,N,N,,18,a,'C/V\.C/e\
899,158,6,est,est,VER,2998,ester|estre1_+M|+I,9,3,Vfin,Vfin,être1|ester,18,,/V\
