wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,lemma,NCA_src,boundary,synfunc,NCA_taggerpos,NCA_sent
1,1,1,de,de,PRE,3,19,Pre,de,+CIST,"[('PreN', ''), ('Pre', ''), ('N', '')]",,PRE,41
2,1,2,dieu,dieu,NOM:obj:masc:sg,4,19,N,dieu,+CIT,"[('PreN', ''), ('N', ''), ('DetAdj', '')]",,NOM,41
3,1,3,le,le,DET:def:obj:masc:sg,5,19,Det,le,CST,"[('DetAdj', ''), ('Det', ''), ('Adj', '')]",,DET:def,41
4,1,4,toutpuissant,toutpuissant,ADJ:obj:masc:sg,6,19,Adj,totpuissant,*+T,"[('VfinGrp', ''), ('PreN', ''), ('Prn', 's')]",,ADJ,41
5,2,1,faiz,faiz,VER:pres:1:sg,18,19,Vfin,faire|feire,+CMI|M,"[('VfinGrp', ''), ('Vfin', ''), ('VinfGrp', 'c')]",,VER,41
6,2,2,escrire,escrire,VER:infi,19,19,Vinf,escrire,+IT,"[('VinfGrp', 'c'), ('Vinf', ''), ('NGrp', 'c')]",,VER,41
7,2,3,la,la,DET:def:obj:femi:sg,20,19,Det,le,CST,"[('NGrp', 'c'), ('Det', ''), ('N', '')]",,DET:def,41
8,2,4,vie,vie,NOM:obj:femi:sg,21,19,N,vie1|voie,+T|+T,"[('NGrp', 'c'), ('N', ''), ('NGrp', 'o')]",,NOM,41
9,3,1,nostre,nostre,DET:poss:obj:masc:sg,22,19,Det,nostre,CS,"[('NGrp', 'o'), ('Det', ''), ('Adj', '')]",,DET:poss,41
10,3,2,saint,saint,ADJ:obj:masc:sg,23,19,Adj,saint1|saint,T|CI,"[('NGrp', 'o'), ('Adj', ''), ('N', '')]",,ADJ,41
11,3,3,looys,looys,NPR:obj:masc:sg,24,19,N,louis,I|Z,"[('VinfGrp', 'c'), ('NGrp', 'c'), ('PrnSubVfin', '')]",,NPR,41
12,4,1,ce,ce,DET:demo:suj:masc:sg,105,20,Det,ce|cel|cist,C|S|S,"[('NGrp', 's'), ('Det', ''), ('Adj', '')]",,DET:demo,43
13,4,2,saint,saint,ADJ:suj:masc:sg,106,20,Adj,saint1|saint,T|CI,"[('NGrp', 's'), ('Adj', ''), ('N', '')]",,ADJ,43
14,4,3,home,home,NOM:suj:masc:sg,107,20,N,ome,+CIT,"[('VfinGrp', ''), ('NGrp', 's'), ('Vfin', '')]",,NOM,43
15,4,4,ama,ama,VER:simp:3:sg,108,20,Vfin,aamer|amer1,+M|+I,"[('VfinGrp', ''), ('Vfin', ''), ('N', 'c')]",,VER,43
16,4,5,dieu,dieu,NOM:obj:masc:sg,109,20,N,dieu,+CIT,"[('VfinGrp', ''), ('N', 'c'), ('PreN', '')]",c,NOM,43
17,5,1,et,et,CON:coord,114,20,Crd,et,ST,"[('VfinGrp', '&'), ('Crd', ''), ('Vfin', '')]",,CON:coord,43
