wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,lemma,NCA_src,boundary,synfunc,NCA_taggerpos,NCA_sent
18,5,2,ensuivi,ensuivi,VER:simp:3:sg,115,20,Vfin,ensivre1,+Z,"[('VfinGrp', '&'), ('Vfin', ''), ('NGrp', 'c')]",,VER,43
19,5,3,ses,ses,DET:poss:obj:femi:pl,116,20,Det,son4|son,S|C,"[('NGrp', 'c'), ('Det', ''), ('N', '')]",,DET:poss,43
20,5,4,oeuvres,oeuvres,NOM:obj:femi:pl,117,20,N,uevre,*+Z,#,,NOM,43
21,6,1,et,et,CON:coord,159,20,Crd,et,ST,"[('SubVfin', '&'), ('Crd', ''), ('Sub', '')]",,CON:coord,44
22,6,2,s,s,PROCON,160,20,Sub,se,C,"[('SubVfin', '&'), ('Sub', ''), ('Prn', '')]",,PROCON,44
23,6,3,en,en,PRO:clit,161,20,Prn,en2|en,S|C,"[('SubVfin', '&'), ('Prn', ''), ('Vfin', '')]",,PRO:clit,44
24,6,4,feust,feust,VER:subi:3:sg,162,20,Vfin,estre,MMd,"[('SubVfin', '&'), ('Vfin', ''), ('Adv', '')]",,VER,44
25,6,5,bien,bien,ADV,163,20,Adv,bien1|bien2|bien,+IT|C|I,"[('SubVfin', '&'), ('Adv', ''), ('Vpp', 'a')]",,ADV,44
26,6,6,soufers,soufers,VER:pper:masc:pl,164,20,Vpp,soufrir,M,"[('SubVfin', '&'), ('Vpp', 'a'), ('SubVfin', '')]",a,VER,44
27,7,1,qu,qu,PROCON,179,21,Sub,que1|que2|que3|que4|que,S|S|S|S|C,"[('SubVfin', ''), ('Sub', 'c'), ('Prn', 's')]",c,PROCON,45
28,7,2,il,il,PRO:pers:suj:3:masc:sg:unb,180,21,Prn,il,CIST,"[('SubVfin', ''), ('Prn', 's'), ('Vfin', '')]",s,PRO:pers,45
29,7,3,avoit,avoit,VER:impf:3:sg,181,21,Vfin,avoiier|avoir,+MI|+MI,"[('SubVfin', ''), ('Vfin', ''), ('PreN', '')]",,VER,45
30,7,4,a,a,PRE,182,21,Pre,a3|a,+T|CGIS,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,45
31,7,5,son,son,DET:poss:obj:masc:sg,183,21,Det,son4|son,S|C,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:poss,45
32,7,6,peuple,peuple,NOM:obj:masc:sg,184,21,N,pueple,+T,"[('VfinGrp', ''), ('NGrp', 's'), ('Vfin', '')]",,NOM,45
33,8,1,et,et,CON:coord,241,21,Crd,et,ST,"[('VfinGrp', '&'), ('Crd', ''), ('Vfin', '')]",,CON:coord,45
34,8,2,gouvernast,gouvernast,VER:subi:3:sg,242,21,Vfin,governer,+M,"[('VfinGrp', '&'), ('Vfin', ''), ('NGrp', 'c')]",,VER,45
35,8,3,le,le,DET:def:obj:masc:sg,243,21,Det,le,CST,"[('NGrp', 'c'), ('Det', ''), ('N', '')]",,DET:def,45
36,8,4,peuple,peuple,NOM:obj:masc:sg,244,21,N,pueple,+T,"[('NGrp', 'c'), ('N', ''), ('PreN', '')]",,NOM,45
37,9,1,que,que,PROCON,265,21,Sub,que2|que3|que,T|S|C,"[('SubVfin', ''), ('Sub', ''), ('Adv', '')]",,PROCON,46
38,9,2,neis,neis,ADV,266,21,Adv,nois|nëis,+Td|Id,"[('SubVfin', ''), ('Adv', ''), ('PreN', '')]",,ADV,46
39,9,3,aux,aux,PREDET:a:obj:masc:pl,267,21,Pre,a+le|le,S|C,"[('PreN', ''), ('Pre', ''), ('N', '')]",,PREDET:a,46
40,9,4,sarrazins,sarrazins,NOM:obj:masc:pl,268,21,N,sarrasin,+I,"[('SubVfin', ''), ('PreN', ''), ('Adv', '')]",,NOM,46
41,10,1,ne,ne,PRO:clit,269,21,Neg,en2|ne,S|C,"[('SubVfin', ''), ('Adv', ''), ('Vfin', '')]",,PRO:clit,46
42,10,2,voult,voult,VER:simp:3:sg,270,21,Vfin,voloir,+C,"[('SubVfin', ''), ('Vfin', ''), ('Prn', 's')]",,VER,46
43,10,3,il,il,PRO:pers:suj:3:masc:sg:unb,271,21,Prn,il,CIST,"[('SubVfin', ''), ('Prn', 's'), ('Adv', '')]",s,PRO:pers,46
44,10,4,pas,pas,NOM:obj:masc:pl,272,21,Adv,pas|past2,+IT|+T,"[('SubVfin', ''), ('Adv', ''), ('Vinf', 'c')]",,NOM,46
45,10,5,mentir,mentir,VER:infi,273,21,Vinf,mentir,+MIT,"[('SubVfin', ''), ('Vinf', 'c'), ('PrePrnSubVfin', '')]",c,VER,46
46,11,1,je,je,PRO:pers:suj:1:sg:unb,344,22,Prn,je,CIST,"[('VfinGrp', '+'), ('Prn', 's'), ('Adv', '')]",s,PRO:pers,49
47,11,2,ne,ne,PRO:clit,345,22,Neg,en2|ne,S|C,"[('VfinGrp', '+'), ('Adv', ''), ('Prn', '')]",,PRO:clit,49
48,11,3,li,li,PRO:pers:suj:3:masc:sg:bet,346,22,Prn,ele|il,C|CIST,"[('VfinGrp', '+'), ('Prn', ''), ('Vfin', '')]",,PRO:pers,49
49,11,4,oy,oÿ,VER:simp:1:sg,347,22,Vfin,ouir|oïr,M|M,"[('VfinGrp', '+'), ('Vfin', ''), ('VinfGrp', 'c')]",,VER,49
50,11,5,mal,mal,NOM:obj:masc:sg,348,22,N,mal,I,"[('VinfGrp', 'c'), ('N', ''), ('Vinf', '')]",,ADV,49
51,12,1,qui,qui,PROCON,376,22,Sub,qui,CST,"[('SubVfin', ''), ('Sub', 's'), ('Adv', '')]",s,PROCON,49
52,12,2,ne,ne,PRO:clit,377,22,Neg,en2|ne,S|C,"[('SubVfin', ''), ('Adv', ''), ('Vfin', '')]",,PRO:clit,49
53,12,3,plait,plait,VER:pres:3:sg,378,22,Vfin,plaire,+M,"[('SubVfin', ''), ('Vfin', ''), ('Adv', '')]",,VER,49
54,12,4,mie,mie,ADV,379,22,Adv,mie,C,"[('SubVfin', ''), ('Adv', ''), ('PreN', '')]",,ADV,49
55,12,5,a,a,PRE,380,22,Pre,a3|a,+T|CGIS,"[('PreN', ''), ('Pre', ''), ('N', '')]",,PRE,49
56,12,6,dieu,dieu,NOM:obj:masc:sg,381,22,N,dieu,+CIT,#,,NOM,49
57,13,1,tout,tout,PRO:ind:obj:masc:sg,505,23,Adv,tot,CS,"[('AdjGrp', ''), ('Adv', ''), ('Adj', '')]",,PRO:ind,54
58,13,2,pur,pur,ADJ:obj:masc:sg,506,23,Adj,por2|por,+ST|I,"[('SubVfin', ''), ('NGrp', 'c'), ('PreN', '')]",,PRE,54
59,13,3,en,en,PRE,507,23,Pre,en1|en,+IST|CI,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,54
60,13,4,ma,ma,DET:poss:obj:femi:sg,508,23,Det,mon1|mon,S|C,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:poss,54
61,13,5,vieillesse,vieillesse,NOM:obj:femi:sg,509,23,N,UNKNOWN,,"[('VfinGrp', ''), ('SubVfin', ''), ('VfinGrp', '')]",,NOM,54
62,14,1,honorez,honorez,VER:pper:masc:pl,538,24,Vpp,onorer,*+Z,"[('VinfGrp', 'c'), ('Vpp', 'a'), ('PreN', '')]",a,VER,56
63,14,2,en,en,PRE,539,24,Pre,en1|en,+IST|CI,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,56
64,14,3,ce,ce,DET:demo:obj:masc:sg,540,24,Det,ce|cel|cist,C|S|S,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:demo,56
65,14,4,siecle,siecle,NOM:obj:masc:sg,541,24,N,seule|siecle,+T|+IT,"[('VinfGrp', 'c'), ('PreN', ''), ('VinfGrp', '&')]",,NOM,56
66,15,1,en,en,PRE,539,24,Pre,en1|en,+IST|CI,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,56
67,15,2,ce,ce,DET:demo:obj:masc:sg,540,24,Det,ce|cel|cist,C|S|S,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:demo,56
68,15,3,siecle,siecle,NOM:obj:masc:sg,541,24,N,seule|siecle,+T|+IT,"[('VinfGrp', 'c'), ('PreN', ''), ('VinfGrp', '&')]",,NOM,56
69,15,4,et,et,CON:coord,542,24,Crd,et,ST,"[('VinfGrp', '&'), ('Crd', ''), ('Vinf', '')]",,CON:coord,56
70,15,5,avoir,avoir,VER:infi,543,24,Vinf,avoir,+MIT,"[('VinfGrp', '&'), ('Vinf', ''), ('N', 'c')]",,VER,56
71,16,1,et,et,CON:coord,542,24,Crd,et,ST,"[('VinfGrp', '&'), ('Crd', ''), ('Vinf', '')]",,CON:coord,56
72,16,2,avoir,avoir,VER:infi,543,24,Vinf,avoir,+MIT,"[('VinfGrp', '&'), ('Vinf', ''), ('N', 'c')]",,VER,56
73,16,3,paradis,paradis,NOM:obj:masc:sg,544,24,N,paradis,+IT,"[('VinfGrp', '&'), ('N', 'c'), ('PreN', '')]",c,NOM,56
74,17,1,paradis,paradis,NOM:obj:masc:sg,544,24,N,paradis,+IT,"[('VinfGrp', '&'), ('N', 'c'), ('PreN', '')]",c,NOM,56
75,17,2,a,a,PRE,545,24,Pre,a3|a,+T|CGIS,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,56
76,17,3,la,la,DET:def:obj:femi:sg,546,24,Det,le,CST,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:def,56
77,17,4,mort,mort,NOM:obj:femi:sg,547,24,N,mort,+CIT,#,,NOM,56
78,18,1,et,et,CON:coord,549,24,Crd,et,ST,"[('VfinGrp', ''), ('Crd', ''), ('Prn', 's')]",,CON:coord,57
79,18,2,je,je,PRO:pers:suj:1:sg:unb,550,24,Prn,je,CIST,"[('VfinGrp', ''), ('Prn', 's'), ('Prn', '')]",s,PRO:pers,57
80,18,3,li,li,PRO:pers:suj:3:masc:sg:bet,551,24,Prn,ele|il,C|CIST,"[('VfinGrp', ''), ('Prn', ''), ('Vfin', '')]",,PRO:pers,57
81,18,4,diz,diz,VER:simp:1:sg,552,24,Vfin,dire,+CMI,#,,VER,57
82,18,5,:,:,PON,553,24,Pnc,:,,,,PON,57
83,18,6,oyl,oÿl,ADV,554,24,Adv,oil|öil,*I|Id,#,,ADV,57
84,19,1,oyl,oÿl,ADV,554,24,Adv,oil|öil,*I|Id,#,,ADV,57
85,19,2,.,.,PON,555,24,Pnc,.,,,,PON,57
86,19,3,et,et,CON:coord,556,24,Crd,et,ST,"[('VfinGrp', ''), ('Crd', ''), ('Prn', 's')]",,CON:coord,58
87,19,4,il,il,PRO:pers:suj:3:masc:sg:unb,557,24,Prn,il,CIST,"[('VfinGrp', ''), ('Prn', 's'), ('Prn', '')]",s,PRO:pers,58
88,19,5,me,me,PRO:pers:obj:1:sg:unb,558,24,Prn,je|moi,IS|T,"[('VfinGrp', ''), ('Prn', ''), ('Vfin', '')]",,PRO:pers,58
89,19,6,dit,dit,VER:simp:3:sg,559,24,Vfin,dire,+CMI,#,,VER,58
90,20,1,ne,ne,PROCON,632,24,Crd,ni,C,"[('NGrp', '&'), ('Crd', ''), ('N', '')]",,PROCON,59
91,20,2,doumage,doumage,NOM:obj:masc:sg,633,24,N,damage,*+C,"[('NGrp', 'c'), ('NGrp', '&'), ('PreVinf', '&')]",,NOM,59
92,20,3,ou,ou,PREDET:en:obj:masc:sg,634,24,Pre+Det,o|où,C|Td,"[('PreVinf', '&'), ('Pre+Det', ''), ('Vinf', '')]",,PROCON,59
93,20,4,souffrir,souffrir,VER:infi,635,24,Vinf,sofrir|souffrir|soufrir,+M|M|M,"[('SubVfin', 'c'), ('SubVfin', ''), ('PrePrnSubVfin', '')]",,VER,59
94,21,1,dont,dont,PRO:invar,646,24,Sub,donc|dont,I|I,"[('SubVfin', ''), ('Sub', ''), ('NGrp', 's')]",,ADV,59
95,21,2,mil,mil,ADJ:card,647,24,Adj,mil1|mil,T|CI,"[('NGrp', 's'), ('Adj', ''), ('N', '')]",,ADJ:card,59
96,21,3,homes,homes,NOM:suj:masc:pl,648,24,N,ome,+CI,"[('SubVfin', ''), ('NGrp', 's'), ('Vfin', '')]",,NOM,59
97,21,4,sont,sont,VER:pres:3:pl,649,24,Vfin,estre1|estre,+I|CMI,"[('SubVfin', ''), ('Vfin', ''), ('Vpp', '')]",,VER,59
98,21,5,mors,mors,VER:pper:masc:pl,650,24,Vpp,morir,*+I,#,,VER,59
99,22,1,ne,ne,PROCON,679,25,Crd,ni,C,"[('SubVfin', '&'), ('Crd', ''), ('Sub', '')]",,PROCON,60
100,22,2,que,que,PROCON,680,25,Sub,que2|que3|que,T|S|C,"[('SubVfin', '&'), ('Sub', ''), ('NGrp', 's')]",,PROCON,60
101,22,3,les,les,DET:def:suj:masc:pl,681,25,Det,le,CST,"[('NGrp', 's'), ('Det', ''), ('Adj', '')]",,DET:def,60
102,22,4,joenes,joenes,ADJ:suj:masc:pl,682,25,Adj,juene,*T,"[('NGrp', 's'), ('Adj', ''), ('N', '')]",,ADJ,60
103,22,5,homes,homes,NOM:suj:masc:pl,683,25,N,ome,+CI,"[('SubVfin', '&'), ('NGrp', 's'), ('Adv', '')]",,NOM,60
104,23,1,ramenti,ramenti,VER:simp:1:sg,694,25,Vfin,UNKNOWN,,"[('VfinGrp', ''), ('Vfin', ''), ('Prn', 's')]",,VER,61
105,23,2,je,je,PRO:pers:suj:1:sg:unb,695,25,Prn,je,CIST,"[('VfinGrp', ''), ('Prn', 's'), ('NGrp', '')]",s,PRO:pers,61
106,23,3,le,le,DET:def:obj:masc:sg,696,25,Det,le,CST,"[('NGrp', ''), ('Det', ''), ('N', '')]",,DET:def,61
107,23,4,pere,pere,NOM:obj:masc:sg,697,25,N,paire|pere1|piere,+T|+T|+T,"[('NGrp', ''), ('N', ''), ('NGrp', 'o')]",,NOM,61
108,24,1,pour,pour,PRE,704,25,Pre,por2|por,+ST|C,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,61
109,24,2,les,les,DET:def:obj:femi:pl,705,25,Det,le,CST,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:def,61
110,24,3,cotes,otes,NOM:obj:femi:pl,706,25,N,UNKNOWN,,"[('PreN', ''), ('N', ''), ('Vpp', '')]",,NOM,61
111,24,4,brodeez,brodeëz,VER:pper:masc:pl,707,25,Vpp,brosder,*+M,"[('PreN', ''), ('Vpp', ''), ('PreVinf', '')]",,VER,61
112,25,1,dont,dont,PRO:invar,827,26,Sub,dont,CS,"[('SubVfin', ''), ('Sub', 'a'), ('Prn', 's')]",a,PRO:invar,64
113,25,2,vous,vous,PRO:pers:2:pl,828,26,Prn,ous2|vos1,T|S,"[('SubVfin', ''), ('Prn', 's'), ('Vfin', '')]",s,PRO:pers,64
114,25,3,estes,estes,VER:pres:2:pl,829,26,Vfin,ester|estre1,+M|+I,"[('VfinGrp', ''), ('PreN', ''), ('VinfGrp', 'c')]",,VER,64
115,25,4,",",",",PON,830,26,Pnc,",",,,,PON,64
116,25,5,de,de,PRE,831,26,Pre,de,+CIST,"[('PreN', ''), ('Pre', ''), ('N', '')]",,PRE,64
117,25,6,chose,chose,NOM:obj:femi:sg,832,26,N,chose,+CIT,"[('PreN', ''), ('N', ''), ('SubVfin', '')]",,NOM,64
118,26,1,ces,ces,DET:demo:obj:masc:pl,844,26,Det,cel|cest,S|CS,"[('NGrp', 'c'), ('Det', ''), ('N', '')]",,DET:demo,65
119,26,2,freres,freres,NOM:obj:masc:pl,845,26,N,frere,+CI,"[('NGrp', 'c'), ('N', ''), ('SubVfin', '')]",,NOM,65
120,26,3,qui,qui,PROCON,846,26,Sub,qui,CST,"[('SubVfin', ''), ('Sub', 's'), ('Adv', 'a')]",s,PROCON,65
121,26,4,ci,ci,ADV,847,26,Adv,ci,+CIT,"[('SubVfin', ''), ('Adv', 'a'), ('Vfin', '')]",a,ADV,65
122,26,5,sont,sont,VER:pres:3:pl,848,26,Vfin,estre1|estre,+I|CMI,"[('VfinGrp', ''), ('NGrp', 'c'), ('SubVfin', '')]",,VER,65
123,27,1,la,la,DET:def:suj:femi:sg,859,26,Det,le,CST,"[('NGrp', 's'), ('Det', ''), ('N', '')]",,DET:def,66
124,27,2,demande,demande,NOM:suj:femi:sg,860,26,N,demande,+T,"[('VfinGrp', ''), ('NGrp', 's'), ('Vfin', '')]",,NOM,66
125,27,3,fu,fu,VER:simp:3:sg,861,26,Vfin,estre1|estre,+I|CMI,"[('VfinGrp', ''), ('Vfin', ''), ('Adj', 'a')]",,VER,66
126,27,4,tele,tele,ADJ:suj:femi:sg,862,26,Adj,tel,+CI,#,a,ADJ,66
127,28,1,fu,fu,VER:simp:3:sg,861,26,Vfin,estre1|estre,+I|CMI,"[('VfinGrp', ''), ('Vfin', ''), ('Adj', 'a')]",,VER,66
128,28,2,tele,tele,ADJ:suj:femi:sg,862,26,Adj,tel,+CI,#,a,ADJ,66
129,28,3,:,:,PON,863,26,Pnc,:,,,,PON,66
130,28,4,',',PON:cit,864,26,Pnc,QUOTES,,,,PON:cit,66
131,28,5,seneschal,seneschal,NOM:suj:masc:sg,865,26,N,seneschal,+IT,"[('VfinGrp', ''), ('N', ''), ('VfinGrp', 'inc')]",,NOM,66
132,29,1,fist,fist,VER:simp:3:sg,868,26,Vfin,faire|feire|fere,+CMI|M|M,"[('VfinGrp', 'inc'), ('Vfin', ''), ('Prn', 's')]",,VER,66
133,29,2,il,il,PRO:pers:suj:3:masc:sg:unb,869,26,Prn,il,CIST,"[('VfinGrp', ''), ('VfinGrp', 'inc'), ('NGrp', 'a')]",s,PRO:pers,66
134,29,3,",",",",PON,870,26,Pnc,",",,,,PON,66
135,29,4,',',PON:cit,871,26,Pnc,QUOTES,,,,PON:cit,66
136,29,5,quel,quel,ADJ:suj:femi:sg,872,26,Adj,quel1|quel,I|CI,"[('NGrp', 'a'), ('Adj', ''), ('N', '')]",,ADJ,66
137,29,6,chose,chose,NOM:suj:femi:sg,873,26,N,chose,+CIT,"[('VfinGrp', ''), ('NGrp', 'a'), ('Vfin', '')]",,NOM,66
138,29,7,est,est,VER:pres:3:sg,874,26,Vfin,ester|estre1,+M|+I,"[('VfinGrp', ''), ('Vfin', ''), ('N', 's')]",,VER,66
139,29,8,dieu,dieu,NOM:suj:masc:sg,875,26,N,dieu,+CIT,#,s,NOM,66
140,30,1,est,est,VER:pres:3:sg,874,26,Vfin,ester|estre1,+M|+I,"[('VfinGrp', ''), ('Vfin', ''), ('N', 's')]",,VER,66
141,30,2,dieu,dieu,NOM:suj:masc:sg,875,26,N,dieu,+CIT,#,s,NOM,66
142,30,3,?,?,PON,876,26,Pnc,?,,,,PON,66
143,30,4,"""","""",PON:cit,877,26,Pnc,QUOTED,,,,PON:cit,67
144,30,5,et,et,CON:coord,878,26,Crd,et,ST,"[('VfinGrp', ''), ('Crd', ''), ('Prn', 's')]",,CON:coord,67
145,30,6,je,je,PRO:pers:suj:1:sg:unb,879,26,Prn,je,CIST,"[('VfinGrp', ''), ('Prn', 's'), ('Prn', '')]",s,PRO:pers,67
146,30,7,li,li,PRO:pers:suj:3:masc:sg:bet,880,26,Prn,ele|il,C|CIST,"[('VfinGrp', ''), ('Prn', ''), ('Vfin', '')]",,PRO:pers,67
147,30,8,diz,diz,VER:simp:1:sg,881,26,Vfin,dire,+CMI,#,,VER,67
148,31,1,ce,ce,PRO:invar,885,26,Prn,ce1|ce,S|C,"[('VfinGrp', ''), ('Prn', 's'), ('Vfin', '')]",s,PRO:invar,67
149,31,2,est,est,VER:pres:3:sg,886,26,Vfin,ester|estre1,+M|+I,"[('VfinGrp', ''), ('Vfin', ''), ('NGrp', 'a')]",,VER,67
150,31,3,si,si,PROCON,887,26,Adv,si,C,"[('AdjGrp', ''), ('Adv', ''), ('Adj', '')]",,PROCON,67
151,31,4,bone,bone,ADJ:suj:femi:sg,888,26,Adj,bon,+CI,"[('NGrp', 'a'), ('AdjGrp', ''), ('N', '')]",,ADJ,67
152,31,5,chose,chose,NOM:suj:femi:sg,889,26,N,chose,+CIT,"[('NGrp', 'a'), ('N', ''), ('SubVfin', '')]",,NOM,67
153,32,1,que,que,PROCON,890,26,Sub,que2|que3|que,T|S|C,"[('SubVfin', ''), ('Sub', ''), ('VinfGrp', 'c')]",,PROCON,67
154,32,2,meilleur,meilleur,ADJ:suj:femi:sg,891,26,Adj,meillor,*+IT,"[('SubVfin', ''), ('VinfGrp', 'c'), ('Adv', '')]",a,ADJ,67
155,32,3,ne,ne,PRO:clit,892,26,Neg,en2|ne,S|C,"[('SubVfin', ''), ('Adv', ''), ('Vfin', '')]",,PRO:clit,67
156,32,4,peut,peut,VER:pres:3:sg,893,26,Vfin,paistre|poeir|pouvoir,+M|M|M,"[('SubVfin', ''), ('Vfin', ''), ('VinfGrp', 'c')]",,VER,67
157,32,5,estre,estre,VER:infi,894,26,Vinf,entr'estre|estre1,+M|+IT,#,,VER,67
158,33,1,est,est,VER:pres:3:sg,916,26,Vfin,ester|estre1,+M|+I,"[('SubVfin', ''), ('Vfin', ''), ('Vpp', '')]",,VER,68
159,33,2,escripte,escripte,VER:pper:femi:sg,917,26,Vpp,escrire,+Z,"[('SubVfin', ''), ('Vpp', ''), ('PreN', '')]",,VER,68
160,33,3,en,en,PRE,918,26,Pre,en1|en,+IST|CI,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,68
161,33,4,cest,cest,DET:demo:obj:masc:sg,919,26,Det,cest,CS,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:demo,68
162,33,5,livre,livre,NOM:obj:masc:sg,920,26,N,lievre|livre2|livre3,+T|+IT|+IT,"[('PreN', ''), ('N', ''), ('SubVfin', '')]",,NOM,68
163,34,1,que,que,PROCON,921,26,Sub,que2|que3|que,T|S|C,"[('SubVfin', ''), ('Sub', 'c'), ('Prn', 's')]",c,PROCON,68
164,34,2,je,je,PRO:pers:suj:1:sg:unb,922,26,Prn,je,CIST,"[('SubVfin', ''), ('Prn', 's'), ('Vfin', '')]",s,PRO:pers,68
165,34,3,tieing,tieing,VER:pres:1:sg,923,26,Vfin,UNKNOWN,,"[('SubVfin', ''), ('Vfin', ''), ('PreN', '')]",,VER,68
166,34,4,en,en,PRO:clit,924,26,Pre,en1|en,+IST|CI,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,68
167,34,5,ma,ma,DET:poss:obj:femi:sg,925,26,Det,mon1|mon,S|C,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:poss,68
168,34,6,main,main,NOM:obj:femi:sg,926,26,N,main2|main3,+IT|+T,#,,NOM,68
169,35,1,il,il,PRO:pers:suj:3:masc:sg:unb,991,27,Prn,il,CIST,"[('VfinGrp', ''), ('Prn', 's'), ('Prn', 'c')]",s,PRO:pers,71
170,35,2,m,m',PRO:pers:obj:1:sg:unb,992,27,Prn,je,S,"[('VfinGrp', ''), ('Prn', 'c'), ('Vfin', '')]",c,PRO:pers,71
171,35,3,appela,appela,VER:simp:3:sg,993,27,Vfin,apeler,*+M,"[('VfinGrp', ''), ('Vfin', ''), ('AdjGrp', '')]",,VER,71
172,35,4,tout,tout,PRO:ind:obj:masc:sg,994,27,Adv,tot,CS,"[('AdjGrp', ''), ('Adv', ''), ('Adj', '')]",,PRO:ind,71
173,35,5,seul,seul,ADJ:obj:masc:sg,995,27,Adj,sol1|sol,+IT|I,"[('VfinGrp', ''), ('AdjGrp', ''), ('VfinGrp', '&')]",,ADJ,71
174,36,1,a,a,PRE,1000,27,Pre,a3|a,+T|CGIS,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,71
175,36,2,sez,sez,DET:poss:obj:masc:pl,1001,27,Det,son4,S,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:poss,71
176,36,3,piez,piez,NOM:obj:masc:pl,1002,27,N,pie|pié,+C|+I,"[('VfinGrp', ''), ('VfinGrp', '&'), ('VfinGrp', '&')]",,NOM,71
177,36,4,",",",",PON,1003,27,Pnc,",",,,,PON,71
178,36,5,et,et,CON:coord,1004,27,Crd,et,ST,"[('VfinGrp', '&'), ('Crd', ''), ('Prn', '')]",,CON:coord,71
179,36,6,me,me,PRO:pers:obj:1:sg:unb,1005,27,Prn,je|moi,IS|T,"[('VfinGrp', '&'), ('Prn', ''), ('Vfin', '')]",,PRO:pers,71
180,36,7,dit,dit,VER:simp:3:sg,1006,27,Vfin,dire,+CMI,#,,VER,71
181,37,1,est,est,VER:pres:3:sg,1064,27,Vfin,ester|estre1,+M|+I,"[('SubVfin', ''), ('Vfin', ''), ('AdjGrp', 'a')]",,VER,73
182,37,2,semblable,semblable,ADJ:suj:femi:sg,1065,27,Adj,semblable,+T,"[('AdjGrp', 'a'), ('Adj', ''), ('PreN', '')]",,ADJ,73
