wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,page_id,synfunc,syllabified
1,1,1,en,en,PRE,5,en1_+S,Pre,Pre,en1,1022,,/V\
2,1,2,la,la,DET:def,6,le_S,Det,Det,le,1022,,C/V\
3,1,3,court,court,NOM,7,cort_C,N,N,,1022,,C/V\
4,1,4,de,de,PRE,8,de_+S,Pre,Pre,de,1022,,C/(e)\
5,1,5,la,la,DET:def,9,le_S,Det,Det,le,1022,,C/V\
6,1,6,royne,royne,NOM,10,röine1|röine2_*+IdTTd|+Td,N,N,,1022,,C/(V)\.'/V\.C/(e)\
7,1,7,Bonne,bonne,ADJ,11,bon_+C,Adj,Adj,bon,1022,,'C/V\.C/(e)\
8,2,1,mais,mais,CON:coord,32,mais_S,Crd,Crd,mais1,1022,,C/V\
9,2,2,de,de,PRE,33,de_+S,Pre,Pre,de,1022,,C/(e)\
10,2,3,son,son,DET:poss,34,son4_S,Det,Det,son4,1022,,C/V\
11,2,4,nom,nom,NOM,35,nom_+CIT,N,N,,1022,,C/V\
12,2,5,et,et,CON:coord,36,et_S,Crd,Crd,et,1022,,/V\
13,2,6,seignorie,seignorie,NOM,37,seignorie_+CIT,N,N,,1022,,C/V\.C/V\.'C/V\./(e)\
14,3,1,de,de,PRE,60,de_+S,Pre,Pre,de,1022,,C/(e)\
15,3,2,feu,feu,NOM,61,feu|fief|fo_+IT|+I|+T,Adj,Adj,,1022,,C/V\
16,3,3,monseigneur,monseigneur,NOM,62,<unknown>,N,N,,1022,,C/V\.C/V\.'C/V\
17,3,4,son,son,DET:poss,63,son4_S,Det,Det,son4,1022,,C/V\
18,3,5,mary,mary,NOM,64,mari_*+CIT,N,N,,1022,,C/V\.'C/V\
19,4,1,ou,ou,PREDET:en,73,en1+le_S,Crd,Crd,ou1,1022,,/V\
20,4,2,pour,pour,NOM,74,pëor_+Id,Pre,Pre,pour,1022,,C/V\
21,4,3,sembler,sembler,VER,75,sembler_+IMT,Vinf,Vinf,sembler,1022,,C/V\.'C/V\
22,4,4,aux,aux,PREDET:a,76,a+le_S,Pre+Det,Pre+Det,à+le,1022,,/V\
23,4,5,vrayes,vrayes,ADV,77,<unknown>,Adj,Adj,,1022,,'C/V\./e\
24,4,6,vesves,vesves,GDF,78,vedvé|veve_G|G,N,N,,1022,,'C/V\.C/e\
25,5,1,a,a,PRE,105,a_S,Pre,Pre,à,1022,,/V\
26,5,2,mon,mon,DET:poss,106,mon1_S,Det,Det,mon1,1022,,C/V\
27,5,3,propos,propos,NOM,107,propos_+T,N,N,,1022,,C/V\.'C/V\
28,5,4,de,de,PRE,108,de_+S,Pre,Pre,de,1022,,C/(e)\
29,5,5,ceste,ceste,DET:demo,109,cest_S,Dem,Dem,cist,1022,,'C/V\.C/(e)\
30,5,6,dame,dame,NOM,110,dam|dame|dan2_+T|+CIT|+T,N,N,,1022,,'C/V\.C/(e)\
31,6,1,et,et,CON:coord,158,et_S,Crd,Crd,et,1022,,/V\
32,6,2,honnorer,honnorer,VER,159,onorer_*+T,Vinf,Vinf,honorer,1022,,/V\.C/V\.'C/V\
33,6,3,les,les,DET:def,160,le_S,Det,Det,le,1022,,C/V\
34,6,4,femmes,femmes,NOM,161,feme_+CI,N,N,,1022,,'C/V\.C/e\
35,6,5,vesves,vesves,GDF,162,vedvé|veve_G|G,Adj,Adj,,1022,,'C/V\.C/e\
36,7,1,ains,ains,ADV,180,ainc|ains3_+T|G,Adv,Adv,ains,1022,,/V\
37,7,2,",",",",PON,181,",",Pnc,Pnc,,1022,,
