wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,page_id,synfunc,syllabified
38,7,3,pour,pour,PRE,182,por2_+S,Pre,Pre,pour,1022,,C/V\
39,7,4,la,la,DET:def,183,le_S,Det,Det,le,1022,,C/V\
40,7,5,tres,tres,ADV,184,tres|très_I|IIdTd,Adv,Adv,très,1022,,C/V\
41,7,6,grant,grant,ADJ,185,grant_+CIT,Adj,Adj,grand,1022,,C/V\
42,7,7,et,et,CON:coord,186,et_S,Crd,Crd,et,1022,,/V\
43,7,8,loiale,loiale,ADJ,187,<nolem>,Adj,Adj,,1022,,C/V\.'C/V\.C/(e)\
44,8,1,ama,ama,VER,313,aamer|amer1_+M|+I,Vfin,Vfin,aimer,1023,,/V\.'C/V\
45,8,2,Dido,dido,NPR,314,dido_I|Z,N,N,,1023,c,C/V\.'C/V\
46,8,3,que,que,PROCON,315,que3_S,Sub,Sub,que,1023,,C/(e)\
47,8,4,il,il,PRO:pers,316,il_S,Prn,Prn$,3p,1023,s,/V\
48,8,5,en,en,PRO:clit,317,en2_S,Prn,Prn$$,en2,1023,,/V\
49,8,6,moroit,moroit,VER,318,morir_+I,Vfin,Vfin,mourir,1023,,C/V\.'C/V\
50,9,1,Duquel,duquel,NOM,369,<unknown>,Pre+Qux,Pre+Qux,de+lequel,1023,,C/V\.'C/V\
51,9,2,vers,vers,PRE,370,vers2_+S,N,N,,1023,,C/V\
52,9,3,la,la,DET:def,371,le_S,Det,Det,le,1023,,C/V\
53,9,4,sentence,sentence,NOM,372,sentence_+T,N,N,,1023,,C/V\.'C/V\.C/(e)\
54,9,5,est,est,VER,373,ester|estre1_+M|+I,Vfin,Vfin,être1|ester,1023,,/V\
55,9,6,telle,telle,ADJ,374,tel_+C,Adj,Adj,tel,1023,a,'C/V\.C/(e)\
56,10,1,et,et,CON:coord,401,et_S,Crd,Crd,et,1023,,/V\
57,10,2,qu',qu',PROCON,402,que1|que2|que3|que4_S|S|S|S,Sub,Sub,que,1023,,C/\
58,10,3,il,il,PRO:pers,403,il_S,Prn,Prn$,3p,1023,s,/V\
59,10,4,les,les,PRO:pers,404,il_S,Prn,Prn$$,3p,1023,c,C/V\
60,10,5,garde,garde,VER,405,garder_+MI,Vfin,Vfin,garder,1023,,'C/V\.C/(e)\
61,10,6,en,en,PRE,406,en1_+S,Pre,Pre,en1,1023,,/V\
62,10,7,son,son,DET:poss,407,son4_S,Det,Det,son4,1023,,C/V\
63,10,8,sepulcre,sepulcre,NOM,408,sepulcre_+T,N,N,,1023,,C/V\.'C/V\.C/(e)\
64,11,1,et,et,CON:coord,482,et_S,Crd,Crd,et,1023,,/V\
65,11,2,ainsy,ainsy,ADV,483,ainsi_*+CIT,Adv,Adv,ainsi,1023,,/V\.'C/V\
66,11,3,des,des,PREDET:de,484,de+le_S,Pre+Det,Pre+Det,de+le,1023,,C/V\
67,11,4,autres,autres,ADJ,485,autre_CI,Adj,Adj,autre,1023,,'/V\.C/e\
68,11,5,vaillances,vaillances,GDF,486,vaillance_G,N,N,,1023,,C/V\.'C/V\.C/e\
69,12,1,leur,leur,DET:poss,521,lor2_S,Det,Det,leur2,1024,,C/V\
70,12,2,chastetez,chastetez,NOM,522,<unknown>,N,N,,1024,,C/V\.C/e\.'C/V\
71,12,3,",",",",PON,523,",",Pnc,Pnc,,1024,,
72,12,4,de,de,PRE,524,de_+S,Pre,Pre,de,1024,,C/(e)\
73,12,5,la,la,DET:def,525,le_S,Det,Det,le,1024,,C/V\
74,12,6,couronne,couronne,NOM,526,corone_*+IT,N,N,,1024,,C/V\.'C/V\.C/(e)\
75,13,1,que,que,PROCON,536,que3_S,Sub,Sub,que,1024,,C/(e)\
76,13,2,les,les,DET:def,537,le_S,Det,Det,le,1024,,C/V\
77,13,3,aultres,aultres,ADJ,538,autre_Z,Adj,Adj,autre,1024,,'/V\.C/e\
78,13,4,vesves,vesves,GDF,539,vedvé|veve_G|G,N,N,,1024,,'C/V\.C/e\
79,13,5,n',n',PRO:clit,540,en2_S,Neg,Neg$$,ne1,1024,,C/\
80,13,6,estoient,estoient,VER,541,ester|estre1_+M|+I,Vfin,Vfin,être1|ester,1024,,/V\.'C/V\./e\
81,14,1,qui,qui,PROCON,577,qui_S,Qux,Qux,qui,1024,s,C/V\
82,14,2,estoit,estoit,VER,578,ester|estre1_+IM|+I,Vfin,Vfin,être1|ester,1024,,/V\.'C/V\
83,14,3,fille,fille,NOM,579,fille_+CIT,N,N,,1024,,'C/V\.C/(e)\
84,14,4,de,de,PRE,580,de_+S,Pre,Pre,de,1024,,C/(e)\
85,14,5,Cathon,cathon,NPR,581,<nolem>,N,N,,1024,,C/V\.'C/V\
86,15,1,qui,qui,PROCON,583,qui_S,Qux,Qux,qui,1024,s,C/V\
87,15,2,sans,sans,PRE,584,sans_+S,Pre,Pre,sans,1024,,C/V\
88,15,3,cesser,cesser,VER,585,cesser_+MIT,Vinf,Vinf,,1024,,C/V\.'C/V\
89,15,4,estoit,estoit,VER,586,ester|estre1_+IM|+I,Vfin,Vfin,être1|ester,1024,,/V\.'C/V\
90,15,5,en,en,PRO:clit,587,en2_S,Pre,Pre,en1,1024,,/V\
91,15,6,dueil,dueil,VER,588,doloir_+M,N,N,,1024,,C/V\
92,16,1,estoit,estoit,VER,586,ester|estre1_+IM|+I,Vfin,Vfin,être1|ester,1024,,/V\.'C/V\
93,16,2,en,en,PRO:clit,587,en2_S,Pre,Pre,en1,1024,,/V\
94,16,3,dueil,dueil,VER,588,doloir_+M,N,N,,1024,,C/V\
95,16,4,de,de,PRE,589,de_+S,Pre,Pre,de,1024,,C/(e)\
96,16,5,son,son,DET:poss,590,son4_S,Det,Det,son4,1024,,C/V\
97,16,6,mary,mary,NOM,591,mari_*+CIT,N,N,,1024,,C/V\.'C/V\
98,17,1,Las,las,NOM,604,laz1_+T,Exc,Exc,,1024,,C/V\
99,17,2,!,!,PON,605,!,Pnc,Pnc,,1024,,
100,17,3,et,et,CON:coord,606,et_S,Crd,Crd,et,1024,,/V\
101,17,4,quant,quant,ADV,607,cant_C,Sub,Sub,quand,1024,,C/V\
102,17,5,cesseront,cesseront,VER,608,cesser_*+MIT,Vfin,Vfin,,1024,,C/V\.C/e\.'C/V\
103,17,6,vos,vos,PRO:pers,609,vos1_S,Det,Det,votre,1024,,C/V\
104,17,7,dueilz,dueilz,VER,610,douloir_M,N,N,,1024,,C/V\
105,18,1,et,et,CON:coord,639,et_S,Crd,Crd,et,1024,,/V\
106,18,2,nuyt,nuyt,NOM,640,nuit_*+CIT,N,N,,1024,,C/V\
107,18,3,ne,ne,PRO:clit,641,en2_S,Neg,Neg$$,ne1,1024,,C/(e)\
108,18,4,cessoit,cessoit,VER,642,cesser_*+MIT,Vfin,Vfin,,1024,,C/V\.'C/V\
109,18,5,de,de,PRE,643,de_+S,Pre,Pre,de,1024,,C/(e)\
110,18,6,plourer,plourer,VER,644,pleurer_M,Vinf,Vinf,pleurer,1024,,C/V\.'C/V\
111,19,1,la,la,PRO:pers,693,il_S,Prn,Prn$$,3p,1024,c,C/V\
112,19,2,blasmoit,blasmoit,VER,694,blasmer_+M,Vfin,Vfin,,1024,,C/V\.'C/V\
113,19,3,de,de,PRE,695,de_+S,Pre,Pre,de,1024,,C/(e)\
114,19,4,ainssy,ainssy,ADV,696,ainsi_*+CIT,Adv,Adv,ainsi,1024,,/V\.'C/V\
115,19,5,josne,josne,ADJ,697,juene_T,Adj,Adj,,1024,,'C/V\.C/(e)\
116,19,6,vesve,vesve,NOM,698,<nolem>,N,N,,1024,,'C/V\.C/(e)\
117,20,1,je,je,PRO:pers,733,je_S,Prn,Prn$,1ps,1025,s,C/(e)\
118,20,2,en,en,PRO:clit,734,en2_S,Prn,Prn$$,en2,1025,,/V\
119,20,3,prendoy,prendoy,VER,735,<unknown>,Vfin,Vfin,prendre,1025,,C/V\.'C/V\
120,20,4,ung,ung,DET:ndf,736,un_S,QIs,QIs,un,1025,,/V\
121,20,5,qui,qui,PROCON,737,qui_S,Qux,Qux,qui,1025,s,C/V\
122,20,6,me,me,PRO:pers,738,je_S,Prn,Prn$$,1ps,1025,,C/(e)\
123,20,7,fust,fust,VER,739,estre1|fuster_+I|+M,Vfin,Vfin,être1|ester,1025,,C/V\
124,20,8,bon,bon,ADJ,740,bon_+CIT,Adj,Adj,bon,1025,a,C/V\
125,21,1,pour,pour,PRE,746,por2_+S,Pre,Pre,pour,1025,,C/V\
126,21,2,doubte,doubte,NOM,747,<nolem>,N,N,,1025,,'C/V\.C/(e)\
127,21,3,de,de,PRE,748,de_+S,Pre,Pre,de,1025,,C/(e)\
128,21,4,le,le,PRO:pers,749,il_S,Prn,Prn$$,3p,1025,c,C/(e)\
129,21,5,perdre,perdre,VER,750,perdre_+MIT,Vinf,Vinf,perdre,1025,,'C/V\.C/(e)\
130,21,6,",",",",PON,751,",",Pnc,Pnc,,1025,,
131,21,7,joye,joye,NOM,752,joie|joïe1|joïe2_*+IT|+Td|+Td,N,N,,1025,c,'C/V\./(e)\
132,22,1,certes,certes,ADV,766,certes_+IT,Adv,Adv,certes,1025,,'C/V\.C/e\
133,22,2,ma,ma,DET:poss,767,mon1_S,Det,Det,mon1,1025,,C/V\
134,22,3,douloureuse,douloureuse,NOM,768,<unknown>,Adj,Adj,,1025,,C/V\.C/V\.'C/V\.C/(e)\
135,22,4,vie,vie,NOM,769,vie1|voie_+T|+T,N,N,,1025,,'C/V\./(e)\
136,23,1,toute,toute,DET:ind,781,tot_S,QIs,QIs,tout,1025,,'C/V\.C/(e)\
137,23,2,sa,sa,DET:poss,782,son4_S,Det,Det,son4,1025,,C/V\
138,23,3,vie,vie,NOM,783,vie1|voie_+T|+T,N,N,,1025,,'C/V\./(e)\
139,23,4,demeurer,demeurer,VER,784,demorer_+M,Vinf,Vinf,demeurer,1025,,C/V\.C/V\.'C/V\
140,24,1,qui,qui,PROCON,819,qui_S,Qux,Qux,qui,1025,s,C/V\
141,24,2,est,est,VER,820,ester|estre1_+M|+I,Vfin,Vfin,être1|ester,1025,,/V\
142,24,3,riable,riable,ADJ,821,rïable_+Td,Adj,Adj,,1025,a,C/V\.'C/V\.C/(e)\
143,24,4,",",",",PON,822,",",Pnc,Pnc,,1025,,
144,24,5,ou,ou,PREDET:en,823,en1+le_S,Pre+Det,Pre+Det,en1+le,1025,,/V\
145,24,6,.iiijxx.,.iiijxx.,NOM,824,<unknown>,QIs,QIs,80,1025,,C/V\.C/e\.'C/V\
146,25,1,et,et,CON:coord,825,et_S,Crd,Crd,et,1025,,/V\
147,25,2,.xvje.,.xvje.,NPR,826,<unknown>,Adj,Adj,,1025,,C/V\.'C/V\.C/(e)\
148,25,3,de,de,PRE,827,de_+S,Pre,Pre,de,1025,,C/(e)\
149,25,4,son,son,DET:poss,828,son4_S,Det,Det,son4,1025,,C/V\
150,25,5,Epistre,epistre,NOM,829,epistre_+T,N,N,,1025,,/V\.'C/V\.C/(e)\
151,26,1,dont,dont,PRO:invar,854,dont_S,Qux,Qux,dont,1025,,C/V\
152,26,2,advint,advint,VER,855,<nolem>,Vfin,Vfin,avenir,1025,,/V\.'C/V\
153,26,3,que,que,PROCON,856,que3_S,Sub,Sub,que,1025,,C/(e)\
154,26,4,par,par,PRE,857,par_S,Pre,Pre,par1,1025,,C/V\
155,26,5,aventure,aventure,NOM,858,aventure_+IT,N,N,,1025,,/V\.C/V\.'C/V\.C/(e)\
156,27,1,qui,qui,PROCON,866,qui_S,Qux,Qux,qui,1025,s,C/V\
157,27,2,avoit,avoit,VER,867,avoiier|avoir_+MI|+MI,Vfin,Vfin,avoir1,1025,,/V\.'C/V\
158,27,3,espousé,espousé,VER,868,esposer_*M,Vpp,Vpp,,1025,,/V\.C/V\.'C/V\
159,27,4,.xx.,.xx.,ADJ:card,869,vint|xx_I|C,QIs,QIs,20,1025,,C/V\
160,27,5,femmes,femmes,NOM,870,feme_+CI,N,N,,1025,,'C/V\.C/e\
161,28,1,s',s',PRO:pers,880,soi1_S,Prn,Prn$$,soi,1025,,C/\
162,28,2,en,en,PRO:clit,881,en2_S,Prn,Prn$$,en2,1025,,/V\
163,28,3,fist,fist,VER,882,faire|feire|fere_+CMI|M|M,Vfin,Vfin,faire,1025,,C/V\
164,28,4,",",",",PON,883,",",Pnc,Pnc,,1025,,
165,28,5,dont,dont,ADV,884,donc|dont_I|I,Qux,Qux,dont,1025,,C/V\
166,28,6,le,le,DET:def,885,le_S,Det,Det,le,1025,,C/(e)\
167,28,7,peupple,peupple,NOM,886,<unknown>,N,N,,1025,,'C/V\.C/(e)\
168,28,8,de,de,PRE,887,de_+S,Pre,Pre,de,1025,,C/(e)\
169,28,9,Romme,romme,NPR,888,rome_Z,N,N,,1025,,'C/V\.C/(e)\
170,29,1,desirans,desirans,VER,896,desirer_M,Vprs,Vprs,désirer,1025,,C/V\.C/V\.'C/V\
171,29,2,veoir,veoir,VER,897,vëoir_+IIdTd,Vinf,Vinf,voir1,1025,,C/(V)\.'/V\
172,29,3,lequel,lequel,NOM,898,<unknown>,Qux,Qux,lequel,1025,,C/V\.'C/V\
173,29,4,de,de,PRE,899,de_+S,Pre,Pre,de,1025,,C/(e)\
174,29,5,eulx,eulx,PRO:pers,900,il_S,Prn,Prn,3p,1025,,/V\
175,29,6,deux,deux,ADJ:card,901,deus_CZ,QIs,QIs,2,1025,,C/V\
176,30,1,lequel,lequel,NOM,898,<unknown>,Qux,Qux,lequel,1025,,C/V\.'C/V\
177,30,2,de,de,PRE,899,de_+S,Pre,Pre,de,1025,,C/(e)\
178,30,3,eulx,eulx,PRO:pers,900,il_S,Prn,Prn,3p,1025,,/V\
179,30,4,deux,deux,ADJ:card,901,deus_CZ,QIs,QIs,2,1025,,C/V\
180,30,5,surmonteroit,surmonteroit,VER,902,<unknown>,Vfin,Vfin,surmonter,1025,,C/V\.C/V\.C/e\.'C/V\
181,31,1,Alors,alors,ADV,912,alors_+T,Adv,Adv,alors,1026,,/V\.'C/V\
182,31,2,vinrent,vinrent,VER,913,venir|voir_+C|M,Vfin,Vfin,venir,1026,,'C/V\.C/e\
183,31,3,tous,tous,DET:ind,914,tot_S,QIs,QIs,tout,1026,,C/V\
184,31,4,les,les,DET:def,915,le_S,Det,Det,le,1026,,C/V\
185,31,5,gallans,gallans,NOM,916,<unknown>,N,N,,1026,,C/V\.'C/V\
186,32,1,qui,qui,PROCON,920,qui_S,Qux,Qux,qui,1026,s,C/V\
187,32,2,lui,lui,PRO:pers,921,il|loi1_S|S,Prn,Prn$$,3p,1026,,C/V\
188,32,3,baillerent,baillerent,VER,922,baillier_+M,Vfin,Vfin,bailler,1026,,C/V\.'C/V\.C/e\
189,32,4,en,en,PRE,923,en1_+S,Pre,Pre,en1,1026,,/V\
190,32,5,sa,sa,DET:poss,924,son4_S,Det,Det,son4,1026,,C/V\
191,32,6,main,main,NOM,925,main2|main3_+IT|+T,N,N,,1026,,C/V\
192,33,1,Ceste,ceste,DET:demo,1023,cest_S,Dem,Dem,cist,1027,,'C/V\.C/(e)\
193,33,2,dame,dame,NOM,1024,dam|dame|dan2_+T|+CIT|+T,N,N,,1027,,'C/V\.C/(e)\
194,33,3,",",",",PON,1025,",",Pnc,Pnc,,1027,,
195,33,4,comme,comme,VER,1026,commer_M,Sub,Sub,comme,1027,,'C/V\.C/(e)\
196,33,5,dit,dit,VER,1027,dire_+CMI,Vpp,Vpp,dire,1027,,C/V\
197,33,6,est,est,VER,1028,ester|estre1_+M|+I,Vfin,Vfin,être1|ester,1027,,/V\
198,34,1,emprins,emprins,VER,1031,emprendre_+Z,Vpp,Vpp,emprendre,1027,,/V\.'C/V\
199,34,2,",",",",PON,1032,",",Pnc,Pnc,,1027,,
200,34,3,pour,pour,PRE,1033,por2_+S,Pre,Pre,pour,1027,,C/V\
201,34,4,quelque,quelque,ADJ,1034,quelque_C,QIs,QIs,quelque,1027,,'C/V\.C/(e)\
202,34,5,occasion,occasion,NOM,1035,ocasïon_*+Td,N,N,,1027,,/V\.C/V\.C/{V}\.'/V\
203,35,1,pour,pour,PRE,1033,por2_+S,Pre,Pre,pour,1027,,C/V\
204,35,2,quelque,quelque,ADJ,1034,quelque_C,QIs,QIs,quelque,1027,,'C/V\.C/(e)\
205,35,3,occasion,occasion,NOM,1035,ocasïon_*+Td,N,N,,1027,,/V\.C/V\.C/{V}\.'/V\
206,35,4,que,que,PROCON,1036,que3_S,Sub,Sub,que,1027,a,C/(e)\
207,35,5,fust,fust,VER,1037,estre1|fuster_+I|+M,Vfin,Vfin,être1|ester,1027,,C/V\
208,36,1,son,son,DET:poss,1053,son4_S,Det,Det,son4,1027,,C/V\
209,36,2,cœur,cœur,NOM,1054,<nolem>,N,N,,1027,,C/V\
210,36,3,en,en,PRE,1055,en1_+S,Pre,Pre,en1,1027,,/V\
211,36,4,diverses,diverses,ADJ,1056,divers_+I,Adj,Adj,,1027,,C/V\.'C/V\.C/e\
212,36,5,penssees,penssees,VER,1057,<unknown>,N,N,,1027,,C/V\.'C/V\./e\
213,37,1,sy,sy,VER,1092,seeir_M,Adv,Adv,si4,1027,,C/V\
214,37,2,regarda,regarda,VER,1093,regarder_+I,Vfin,Vfin,regarder,1027,,C/V\.C/V\.'C/V\
215,37,3,par,par,PRE,1094,par_S,Pre,Pre,par1,1027,,C/V\
216,37,4,plusieurs,plusieurs,DET:ind,1095,plusor_S,QIs,QIs,plusieurs,1027,,C/V\.'C/V\
217,37,5,jours,jours,NOM,1096,jor_+C,N,N,,1027,,C/V\
218,38,1,de,de,PRE,1107,de_+S,Pre,Pre,de,1027,,C/(e)\
219,38,2,tous,tous,DET:ind,1108,tot_S,QIs,QIs,tout,1027,,C/V\
220,38,3,les,les,DET:def,1109,le_S,Det,Det,le,1027,,C/V\
221,38,4,josnes,josnes,ADJ,1110,juene_*T,Adj,Adj,,1027,,'C/V\.C/e\
222,38,5,gentilz,gentilz,ADJ,1111,gentil_+I,Adj,Adj,gentil1,1027,,C/V\.'C/V\
223,38,6,hommes,hommes,NOM,1112,ome_+C,N,N,,1027,,'/V\.C/e\
224,39,1,publicquement,publicquement,ADV,1155,<unknown>,Adv,Adv,,1027,,C/V\.C/V\.C/e\.'C/V\
225,39,2,de,de,PRE,1156,de_+S,Pre,Pre,de,1027,,C/(e)\
226,39,3,pluiseurs,pluiseurs,DET:ind,1157,plusor_S,QIs,QIs,plusieurs,1027,,C/V\.'C/V\
227,39,4,choses,choses,NOM,1158,chose_+CI,N,N,,1027,,'C/V\.C/e\
228,40,1,Mais,mais,CON:coord,1179,mais_S,Crd,Crd,mais1,1027,,C/V\
229,40,2,d',d',PRE,1180,de_+S,Pre,Pre,de,1027,,C/\
230,40,3,aultre,aultre,ADJ,1181,autre_Z,Adj,Adj,autre,1027,,'/V\.C/(e)\
231,40,4,chose,chose,NOM,1182,chose_+CIT,N,N,,1027,,'C/V\.C/(e)\
232,40,5,que,que,PROCON,1183,que3_S,Sub,Sub,que,1027,,C/(e)\
233,40,6,d',d',PRE,1184,de_+S,Pre,Pre,de,1027,,C/\
234,40,7,amours,amours,NOM,1185,amor_*+G,N,N,,1027,,/V\.'C/V\
235,41,1,ne,ne,PRO:clit,1187,en2_S,Neg,Neg$$,ne1,1027,,C/(e)\
236,41,2,s',s',PRO:pers,1188,soi1_S,Prn,Prn$$,soi,1027,,C/\
237,41,3,en,en,PRO:clit,1189,en2_S,Prn,Prn$$,en2,1027,,/V\
238,41,4,osoit,osoit,VER,1190,oser_+I,Vfin,Vfin,oser,1027,,/V\.'C/V\
239,41,5,ou,ou,PRO:pers,1191,il|vos1_S|S,Crd,Crd,ou1,1027,,/V\
240,41,6,ne,ne,PRO:clit,1192,en2_S,Neg,Neg$$,ne1,1027,,C/(e)\
241,41,7,vouloit,vouloit,VER,1193,voloir_+C,Vfin,Vfin,vouloir,1027,,C/V\.'C/V\
242,42,1,Sy,sy,VER,1196,seeir_M,Adv,Adv,si4,1027,,C/V\
243,42,2,advint,advint,VER,1197,<nolem>,Vfin,Vfin,avenir,1027,,/V\.'C/V\
244,42,3,",",",",PON,1198,",",Pnc,Pnc,,1027,,
245,42,4,ainsy,ainsy,ADV,1199,ainsi_*+CIT,Adv,Adv,ainsi,1027,,/V\.'C/V\
246,42,5,que,que,PROCON,1200,que3_S,Sub,Sub,que,1027,,C/(e)\
247,42,6,Fortune,fortune,NOM,1201,fortune_+IT,N,N,,1027,,C/V\.'C/V\.C/(e)\
248,43,1,Madame,madame,NOM,1208,dame_+I,N,N,,1027,,C/V\.'C/V\.C/(e)\
249,43,2,venoit,venoit,VER,1209,venir_+I,Vfin,Vfin,venir,1027,,C/V\.'C/V\
250,43,3,en,en,PRE,1210,en1_+S,Pre,Pre,en1,1027,,/V\
251,43,4,sa,sa,DET:poss,1211,son4_S,Det,Det,son4,1027,,C/V\
252,43,5,chambre,chambre,NOM,1212,chambre1|chambre_+T|CI,N,N,,1027,,'C/V\.C/(e)\
253,44,1,qui,qui,PROCON,1214,qui_S,Qux,Qux,qui,1027,s,C/V\
254,44,2,sur,sur,PRE,1215,sor2_+S,PrA,PrA,sur,1027,,C/V\
255,44,3,jour,jour,NOM,1216,jor_+C,N,N,,1027,,C/V\
256,44,4,la,la,DET:def,1217,le_S,Det,Det,le,1027,,C/V\
257,44,5,royne,royne,NOM,1218,röine1|röine2_*+IdTTd|+Td,N,N,,1027,,C/(V)\.'/V\.C/(e)\
258,44,6,avoit,avoit,VER,1219,avoiier|avoir_+MI|+MI,Vfin,Vfin,avoir1,1027,,/V\.'C/V\
259,44,7,mis,mis,VER,1220,manoir|metre|mettre_M|CIM|M,Vpp,Vpp,mettre,1027,,C/V\
260,45,1,la,la,DET:def,1217,le_S,Det,Det,le,1027,,C/V\
261,45,2,royne,royne,NOM,1218,röine1|röine2_*+IdTTd|+Td,N,N,,1027,,C/(V)\.'/V\.C/(e)\
262,45,3,avoit,avoit,VER,1219,avoiier|avoir_+MI|+MI,Vfin,Vfin,avoir1,1027,,/V\.'C/V\
263,45,4,mis,mis,VER,1220,manoir|metre|mettre_M|CIM|M,Vpp,Vpp,mettre,1027,,C/V\
264,45,5,a,a,PRE,1221,a_S,Pre,Pre,à,1027,,/V\
265,45,6,dormir,dormir,VER,1222,dormir_+IT,Vinf,Vinf,dormir,1027,,C/V\.'C/V\
266,46,1,les,les,DET:def,1254,le_S,Det,Det,le,1027,,C/V\
267,46,2,joueurs,joueurs,NOM,1255,<unknown>,N,N,,1027,,C/V\.'C/V\
268,46,3,de,de,PRE,1256,de_+S,Pre,Pre,de,1027,,C/(e)\
269,46,4,palme,palme,NOM,1257,paume1|paume2_+T|+T,N,N,,1027,,'C/V\.C/(e)\
270,46,5,jouer,jouer,VER,1258,jouer_M,Vinf,Vinf,jouer,1027,,C/V\.'C/V\
271,47,1,Et,et,CON:coord,1260,et_S,Crd,Crd,et,1027,,/V\
272,47,2,quant,quant,ADV,1261,cant_C,Sub,Sub,quand,1027,,C/V\
273,47,3,il,il,PRO:pers,1262,il_S,Prn,Prn$,3p,1027,s,/V\
274,47,4,vit,vit,VER,1263,vivre1|vëoir_+I|+I,Vfin,Vfin,voir1,1027,,C/V\
275,47,5,les,les,DET:def,1264,le_S,Det,Det,le,1027,,C/V\
276,47,6,escuiers,escuiers,NOM,1265,escuier2|escuier_+I|CI,N,N,,1027,,/V\.C/V\.'C/V\
277,48,1,et,et,CON:coord,1290,et_S,Crd,Crd,et,1027,,/V\
278,48,2,",",",",PON,1291,",",Pnc,Pnc,,1027,,
279,48,3,en,en,PRE,1292,en1_+S,Pre,Pre,en1,1027,,/V\
280,48,4,passant,passant,VER,1293,passer_IM,Vprs,Vprs,passer,1027,,C/V\.'C/V\
281,48,5,oultre,oultre,ADV,1294,outre_C,PrA,PrA,outre2,1027,,'/V\.C/(e)\
282,48,6,",",",",PON,1295,",",Pnc,Pnc,,1027,,
283,48,7,lui,lui,PRO:pers,1296,il|loi1_S|S,Prn,Prn$$,3p,1027,,C/V\
284,48,8,dist,dist,VER,1297,dire_+CMI,Vfin,Vfin,dire,1027,,C/V\
