wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,NCA_line,synfunc,NCA_taggerpos,syllabified
534,92,7,homes,homes,NOM:obj:masc:pl,1886,36,N,N,,ome,+CI,337,,NOM,'/V\.C/e\
535,93,1,ensi,ensi,ADV,1926,36,Adv,Adv,ainsi,ainsi,+IT,345,,ADV,/V\.'C/V\
536,93,2,con,con,CON:subord,1927,36,Sub,Sub,comme,come1,T,345,,CON:subord,C/V\
537,93,3,il,il,PRO:pers:suj:3:masc:sg:unb,1928,36,Prn,Prn$,3p,il,CIST,345,s,PRO:pers,/V\
538,93,4,l,l,PRO:pers:obj:3:masc:sg:unb,1929,36,Prn,Prn$$,3p,il,CS,345,c,PRO:pers,C/\
539,93,5,avoit,avoit,VER:impf:3:sg,1930,36,Vfin,Vfin,avoir1,avoiier|avoir,+MI|+MI,345,,VER,/V\.'C/V\
540,93,6,promis,promis,VER:pper:masc:sg,1931,36,Vpp,Vpp,promettre,prometre,+CI,346,,VER,C/V\.'C/V\
541,94,1,de,de,PRE,1952,36,Pre,Pre,de,de,+CIST,349,,PRE,C/(e)\
542,94,2,son,son,DET:poss:obj:masc:sg,1953,36,Det,Det,son4,son4|son,S|C,349,,DET:poss,C/V\
543,94,3,avoir,avoir,VER:infi,1954,36,Vinf,Vinf,avoir1,avoir,+MIT,350,,VER,/V\.'C/V\
544,94,4,a,a,PRE,1955,36,Pre,Pre,à,a3|a,+T|CGIS,350,,PRE,/V\
545,94,5,retenir,retenir,VER:infi,1956,36,Vinf,Vinf,retenir,retenir|tenir,+IT|M,350,,VER,C/V\.C/e\.'C/V\
546,95,1,a,a,PRE,1955,36,Pre,Pre,à,a3|a,+T|CGIS,350,,PRE,/V\
547,95,2,retenir,retenir,VER:infi,1956,36,Vinf,Vinf,retenir,retenir|tenir,+IT|M,350,,VER,C/V\.C/e\.'C/V\
548,95,3,et,et,CON:coord,1957,36,Crd,Crd,et,et,ST,350,,CON:coord,/V\
549,95,4,por,por,PRE,1958,36,Pre,Pre,pour,por2|por,+IST|CI,350,,PRE,C/V\
550,95,5,porter,porter,VER:infi,1959,36,Vinf,Vinf,porter,porter,+MIT,350,,VER,C/V\.'C/V\
551,96,1,et,et,CON:coord,1978,37,Crd,Crd,et,et,ST,354,,CON:coord,/V\
552,96,2,fu,fu,VER:simp:3:sg,1979,37,Vfin,Vfin,être1|ester,estre1|estre,+I|CMI,355,,VER,C/V\
553,96,3,uns,uns,DET:ndf:suj:masc:sg,1980,37,QIs,QIs,un,un,CS,355,,DET:ndf,/V\
554,96,4,des,des,PREDET:de:obj:masc:pl,1981,37,Pre+Det,Pre+Det,de+le,de+le|le,S|C,355,,PREDET:de,C/V\
555,96,5,homes,homes,NOM:obj:masc:pl,1982,37,N,N,,ome,+CI,355,,NOM,'/V\.C/e\
556,96,6,del,del,PREDET:de:obj:masc:sg,1983,37,Pre+Det,Pre+Det,de+le,de+le,S,356,,PREDET:de,C/V\
557,96,7,monde,monde,NOM:obj:masc:sg,1984,37,N,N,,monde1|monde,+IT|CI,356,,NOM,'C/V\.C/(e)\
558,97,1,de,de,PRE,1996,37,Pre,Pre,de,de,+CIST,358,,PRE,C/(e)\
559,97,2,son,son,DET:poss:obj:masc:sg,1997,37,Det,Det,son4,son4|son,S|C,359,,DET:poss,C/V\
560,97,3,lignage,lignage,NOM:obj:masc:sg,1998,37,N,N,,lignage,+IT,359,,NOM,C/V\.'C/V\.C/(e)\
561,97,4,et,et,CON:coord,1999,37,Crd,Crd,et,et,ST,359,,CON:coord,/V\
562,97,5,de,de,PRE,2000,37,Pre,Pre,de,de,+CIST,359,,PRE,C/(e)\
563,97,6,ses,ses,DET:poss:obj:masc:pl,2001,37,Det,Det,son4,son4|son,S|C,359,,DET:poss,C/V\
564,97,7,homes,homes,NOM:obj:masc:pl,2002,37,N,N,,ome,+CI,360,,NOM,'/V\.C/e\
565,98,1,por,por,PRE,2021,37,Pre,Pre,pour,por2|por,+IST|CI,363,,PRE,C/V\
566,98,2,home,home,NOM:obj:masc:sg,2022,37,N,N,,ome,+CIT,364,,NOM,'/V\.C/(e)\
567,98,3,et,et,CON:coord,2023,37,Crd,Crd,et,et,ST,364,,CON:coord,/V\
568,98,4,il,il,PRO:pers:suj:3:masc:sg:unb,2024,37,Prn,Prn$,3p,il,CIST,364,s,PRO:pers,/V\
569,98,5,le,le,PRO:pers:obj:3:masc:sg:unb,2025,37,Prn,Prn$$,3p,il,CIST,364,c,PRO:pers,C/(e)\
