wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
527,118,4,de,de,1827,615,Pre,Pre,de,C/(e)\
528,118,5,Kem,kem,1828,615,N,N,,C/V\
529,119,1,il,il,1830,615,Prn,Prn$,il,/V\
530,119,2,mist,mist,1831,615,Vfin,Vfin,mettre,C/V\
531,119,3,si,si,1832,615,Adv,Adv,si4,C/V\
532,119,4,grant,grant,1833,615,Adj,Adj,grand,C/V\
533,119,5,discort,discort,1834,615,N,N,,C/V\.'C/V\
534,120,1,ne,ne,1847,616,Neg,Neg$$,ne,C/(e)\
535,120,2,volloit,volloit,1848,616,Vfin,Vfin,vouloir,C/V\.'C/V\
536,120,3,point,point,1849,616,Neg,Neg,point2,C/V\
537,120,4,veoir,veoir,1850,616,Vinf,Vinf,voir,C/(V)\.'/V\
538,121,1,la,la,1851,616,Det,Det,le,C/V\
539,121,2,roynne,roynne,1852,616,N,N,,'C/V\.C/(e)\
540,121,3,ne,ne,1853,616,Crd,Crd,ne2,C/(e)\
541,121,4,venir,venir,1854,617,Vinf,Vinf,venir,C/V\.'C/V\
542,122,1,Et,et,1861,617,Crd,Crd,et,/V\
543,122,2,dura,dura,1862,617,Vfin,Vfin,durer,C/V\.'C/V\
544,122,3,chils,chils,1863,617,Dem,Dem,cil,C/V\
545,122,4,discors,discors,1864,617,N,N,,C/V\.'C/V\
546,123,1,et,et,1874,618,Crd,Crd,et,/V\
547,123,2,au,au,1875,618,Pre+Det,Pre+Det,à.le,/V\
548,123,3,comte,comte,1876,618,N,N,,'C/V\.C/(e)\
549,123,4,de,de,1877,618,Pre,Pre,de,C/(e)\
550,123,5,Kem,kem,1878,618,N,N,,C/V\
551,124,1,et,et,1910,621,Crd,Crd,et,/V\
552,124,2,li,li,1911,621,Det,Det,le,C/V\
553,124,3,comtez,comtëz,1912,621,N,N,,'C/V\.C/e\
554,124,4,de,de,1913,621,Pre,Pre,de,C/(e)\
555,124,5,Cam,cam,1914,621,N,N,,C/V\
556,125,1,oyrent,oyrent,1915,621,Vfin,Vfin,ouïr,/V\.'C/V\.C/e\
557,125,2,ces,ces,1916,621,Dem,Dem,cist,C/V\
558,125,3,nouvellez,nouvellëz,1917,622,N,N,,C/V\.'C/V\.C/e\
559,126,1,Si,si,1943,623,Adv,Adv,si4,C/V\
560,126,2,s',s',1944,623,Prn,Prn$$,se,C/\
561,126,3,avisa,avisa,1945,623,Vfin,Vfin,,/V\.C/V\.'C/V\
562,126,4,la,la,1946,623,Det,Det,le,C/V\
563,126,5,damme,damme,1947,624,N,N,,'C/V\.C/(e)\
564,127,1,et,et,1960,625,Crd,Crd,et,/V\
565,127,2,s',s',1961,625,Prn,Prn$$,se,C/\
566,127,3,en,en,1962,625,Prn,Prn$$,en2,/V\
567,127,4,venroit,venroit,1963,625,Vfin,Vfin,venir,C/V\.'C/V\
568,127,5,en,en,1964,625,Pre,Pre,en,/V\
569,127,6,Franche,franche,1965,625,N,N,,'C/V\.C/(e)\
570,128,1,le,le,1967,625,Det,Det,le,C/(e)\
571,128,2,roy,roy,1968,625,N,N,,C/V\
572,128,3,Charlon,charlon,1969,625,N,N,,C/V\.'C/V\
573,128,4,sen,sen,1970,625,Det,Det,son4,C/V\
574,128,5,frere,frere,1971,625,N,N,,'C/V\.C/(e)\
575,129,1,qui,qui,1972,626,Qux,Qux,qui,C/V\
576,129,2,encorres,encorres,1973,626,Adv,Adv,encore,/V\.'C/V\.C/e\
577,129,3,vivoit,vivoit,1974,626,Vfin,Vfin,vivre,C/V\.'C/V\
578,130,1,et,et,2041,630,Crd,Crd,et,/V\
579,130,2,li,li,2042,630,Det,Det,le,C/V\
580,130,3,comtes,comtes,2043,630,N,N,,'C/V\.C/e\
581,130,4,Aynmon,aynmon,2044,631,N,N,,/V\.'C/V\
582,131,1,et,et,2047,631,Crd,Crd,et,/V\
583,131,2,messire,messire,2048,631,N,N,,C/V\.'C/V\.C/(e)\
584,131,3,Rogier,rogier,2049,631,N,N,,C/V\.'C/V\
585,132,1,et,et,2052,631,Crd,Crd,et,/V\
586,132,2,en,en,2053,631,Pre,Pre,en,/V\
587,132,3,une,une,2054,631,QIs,QIs,un,'/V\.C/(e)\
588,132,4,autre,autre,2055,631,Adj,Adj,autre,'/V\.C/(e)\
589,132,5,nef,nef,2056,631,N,N,,C/V\
590,133,1,misent,misent,2057,632,Vfin,Vfin,mettre,'C/V\.C/e\
591,133,2,leurs,leurs,2058,632,Det,Det,leur2,C/V\
592,133,3,pourveances,pourveances,2059,632,N,N,,C/V\.C/(V)\.'/V\.C/e\
593,134,1,Quant,quant,2076,701,Sub,Sub,quand,C/V\
594,134,2,la,la,2077,701,Det,Det,le,C/V\
595,134,3,roynne,roynne,2078,701,N,N,,'C/V\.C/(e)\
596,134,4,Ysabel,ysabel,2079,701,N,N,,/V\.C/V\.'C/V\
597,135,1,et,et,2088,702,Crd,Crd,et,/V\
598,135,2,ses,ses,2089,702,Det,Det,son4,C/V\
599,135,3,filz,filz,2090,702,N,N,,C/V\
600,135,4,et,et,2091,702,Crd,Crd,et,/V\
601,135,5,li,li,2092,702,Det,Det,le,C/V\
602,135,6,comtes,comtes,2093,702,N,N,,'C/V\.C/e\
603,136,1,et,et,2091,702,Crd,Crd,et,/V\
604,136,2,li,li,2092,702,Det,Det,le,C/V\
605,136,3,comtes,comtes,2093,702,N,N,,'C/V\.C/e\
606,136,4,de,de,2094,702,Pre,Pre,de,C/(e)\
607,136,5,Cam,cam,2095,702,N,N,,C/V\
608,137,1,et,et,2107,703,Crd,Crd,et,/V\
609,137,2,ossi,ossi,2108,703,Adv,Adv,aussi,/V\.'C/V\
610,137,3,li,li,2109,703,Det,Det,le,C/V\
611,137,4,abbés,abbés,2110,703,N,N,,/V\.'C/V\
612,138,1,Li,li,2169,707,Det,Det,le,C/V\
613,138,2,roys,roys,2170,707,N,N,,C/V\
614,138,3,Carles,carles,2171,707,N,N,,'C/V\.C/e\
615,138,4,ses,ses,2172,707,Det,Det,son4,C/V\
616,138,5,frerez,frerëz,2173,707,N,N,,'C/V\.C/e\
617,139,1,qui,qui,2174,707,Qux,Qux,qui,C/V\
618,139,2,estoit,estoit,2175,707,Vfin,Vfin,être,/V\.'C/V\
619,139,3,enfourmés,enfourmés,2176,707,Vpp,Vpp,,/V\.C/V\.'C/V\
620,140,1,monseigneur,monseigneur,2200,709,N,N,,C/V\.C/V\.'C/V\
621,140,2,de,de,2201,709,Pre,Pre,de,C/(e)\
622,140,3,Couchy,couchy,2202,709,N,N,,C/V\.'C/V\
623,141,1,de,de,2201,709,Pre,Pre,de,C/(e)\
624,141,2,Couchy,couchy,2202,709,N,N,,C/V\.'C/V\
625,141,3,",",",",2203,709,Pnc,Pnc,,
626,141,4,monseigneur,monseigneur,2204,709,N,N,,C/V\.C/V\.'C/V\
627,142,1,monseigneur,monseigneur,2204,709,N,N,,C/V\.C/V\.'C/V\
