wd_id,line_id,linewd,word,lex_id,old_wd_id,page_id,syntag,syntag2,lemma,syllabified
319,73,5,pallist,pallist,1701,1029,Vfin,Vfin,,C/V\.'C/V\
320,74,1,Et,et,1720,1029,Crd,Crd,et,/V\
321,74,2,que,que,1721,1029,Qux,Qux,que,C/(e)\
322,74,3,est,est,1722,1029,Vfin,Vfin,être,/V\
323,74,4,ce,ce,1723,1029,Prn,Prn,ce,C/(e)\
324,74,5,cy,cy,1724,1029,Adv,Adv,ci,C/V\
325,74,6,",",",",1725,1029,Pnc,Pnc,,
326,74,7,maistre,maistre,1726,1029,N,N,,'C/V\.C/(e)\
327,75,1,Ce,ce,1768,1029,Prn,Prn,ce,C/(e)\
328,75,2,n',n',1769,1029,Neg,Neg$$,ne,C/\
329,75,3,est,est,1770,1029,Vfin,Vfin,être,/V\
330,75,4,pas,pas,1771,1029,Neg,Neg,pas,C/V\
331,75,5,grant,grant,1772,1029,Adj,Adj,grand,C/V\
332,75,6,demande,demande,1773,1029,N,N,,C/V\.'C/V\.C/(e)\
333,76,1,le,le,1778,1029,Prn,Prn$$,le,C/(e)\
334,76,2,presserent,presserent,1779,1029,Vfin,Vfin,,C/V\.'C/V\.C/e\
335,76,3,",",",",1780,1029,Pnc,Pnc,,
336,76,4,qu',qu',1781,1029,Sub,Sub,que,C/\
337,76,5,il,il,1782,1029,Prn,Prn$,il,/V\
338,76,6,dist,dist,1783,1029,Vfin,Vfin,dire,C/V\
339,77,1,des,des,1853,1029,Pre+Det,Pre+Det,de.le,C/V\
340,77,2,amoreux,amoreux,1854,1029,Adj,Adj,,/V\.C/V\.'C/V\
341,77,3,desirs,desirs,1855,1029,N,N,,C/V\.'C/V\
342,78,1,fors,fors,1866,1029,PrA,PrA,hors,C/V\
343,78,2,de,de,1867,1029,Pre,Pre,de,C/(e)\
344,78,3,entortellier,entortellier,1868,1029,Vinf,Vinf,,/V\.C/V\.C/e\.'C/V\
345,79,1,entour,entour,1874,1030,PrA,PrA,entour,/V\.'C/V\
346,79,2,ces,ces,1875,1030,Dem,Dem,cist,C/V\
347,79,3,dois,dois,1876,1030,N,N,,C/V\
348,79,4,",",",",1877,1030,Pnc,Pnc,,
349,79,5,sans,sans,1878,1030,Pre,Pre,sans,C/V\
350,79,6,mot,mot,1879,1030,N,N,,C/V\
351,80,1,parler,parler,1880,1030,Vinf,Vinf,parler,C/V\.'C/V\
352,80,2,fut,fut,1881,1030,Vfin,Vfin,être,C/V\
353,80,3,longuement,longuement,1882,1030,Adv,Adv,,C/V\.C/e\.'C/V\
354,81,1,je,je,1930,1030,Prn,Prn$,je,C/(e)\
355,81,2,ne,ne,1931,1030,Neg,Neg$$,ne,C/(e)\
356,81,3,vous,vous,1932,1030,Prn,Prn$$,vous,C/V\
357,81,4,fais,fais,1933,1030,Vfin,Vfin,faire,C/V\
358,81,5,nul,nul,1934,1030,QIs,QIs,nul,C/V\
359,81,6,tort,tort,1935,1030,N,N,,C/V\
360,82,1,Isabel,isabel,1945,1030,N,N,,/V\.C/V\.'C/V\
361,82,2,et,et,1946,1030,Crd,Crd,et,/V\
362,82,3,les,les,1947,1030,Det,Det,le,C/V\
363,82,4,autres,autres,1948,1030,Adj,Adj,autre,'/V\.C/e\
364,83,1,Lors,lors,1960,1030,Adv,Adv,lors,C/V\
365,83,2,dirent,dirent,1961,1030,Vfin,Vfin,dire,'C/V\.C/e\
366,83,3,a,a,1962,1030,Pre,Pre,à,/V\
367,83,4,Madame,madame,1963,1030,N,N,,C/V\.'C/V\.C/(e)\
368,84,1,De,de,2114,1030,Pre,Pre,de,C/(e)\
369,84,2,celle,celle,2115,1030,Dem,Dem,cil,'C/V\.C/(e)\
370,84,3,que,que,2116,1030,Qux,Qux,que,C/(e)\
371,84,4,plus,plus,2117,1030,Adv,Adv,plus,C/V\
372,84,5,j',j',2118,1030,Prn,Prn$,je,C/\
373,84,6,ayme,ayme,2119,1030,Vfin,Vfin,aimer,'/V\.C/(e)\
374,85,1,c',c',2121,1030,Prn,Prn,ce,C/\
375,85,2,est,est,2122,1030,Vfin,Vfin,être,/V\
376,85,3,madame,madame,2123,1030,N,N,,C/V\.'C/V\.C/(e)\
377,85,4,ma,ma,2124,1030,Det,Det,mon,C/V\
378,85,5,mere,mere,2125,1030,N,N,,'C/V\.C/(e)\
379,86,1,ne,ne,2148,1031,Crd,Crd,ne2,C/(e)\
380,86,2,de,de,2149,1031,Pre,Pre,de,C/(e)\
381,86,3,vostre,vostre,2150,1031,Det,Det,votre,'C/V\.C/(e)\
382,86,4,sereur,sereur,2151,1031,N,N,,C/V\.'C/V\
383,87,1,de,de,2156,1031,Pre,Pre,de,C/(e)\
384,87,2,mere,mere,2157,1031,N,N,,'C/V\.C/(e)\
385,87,3,",",",",2158,1031,Pnc,Pnc,,
386,87,4,de,de,2159,1031,Pre,Pre,de,C/(e)\
387,87,5,sereur,sereur,2160,1031,N,N,,C/V\.'C/V\
388,88,1,est,est,2164,1031,Vfin,Vfin,être,/V\
389,88,2,toute,toute,2165,1031,QIs,QIs,tout,'C/V\.C/(e)\
390,88,3,differente,differente,2166,1031,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\
391,89,1,N',n',2214,1031,Neg,Neg$$,ne,C/\
392,89,2,en,en,2215,1031,Prn,Prn$$,en2,/V\
393,89,3,amez,amez,2216,1031,Vfin,Vfin,aimer,/V\.'C/V\
394,89,4,vous,vous,2217,1031,Prn,Prn%,vous,C/V\
395,89,5,nulle,nulle,2218,1031,QIs,QIs,nul,'C/V\.C/(e)\
396,89,6,?,?,2219,1031,Pnc,Pnc,,
397,89,7,Ha,ha,2220,1031,Exc,Exc,,/V\
398,90,1,failli,failli,2249,1031,Vpp,Vpp,faillir,C/V\.'C/V\
399,90,2,cœur,cœur,2250,1031,N,N,,C/V\
400,90,3,que,que,2251,1031,Sub,Sub,que,C/(e)\
401,90,4,vous,vous,2252,1031,Prn,Prn$,vous,C/V\
402,90,5,estes,estes,2253,1031,Vfin,Vfin,être,'/V\.C/e\
403,91,1,de,de,2272,1031,Pre,Pre,de,C/(e)\
404,91,2,Gauvain,gauvain,2273,1031,N,N,,C/V\.'C/V\
405,91,3,",",",",2274,1031,Pnc,Pnc,,
406,91,4,de,de,2275,1031,Pre,Pre,de,C/(e)\
407,91,5,Tristran,tristran,2276,1031,N,N,,C/V\.'C/V\
408,92,1,de,de,2278,1031,Pre,Pre,de,C/(e)\
409,92,2,Guron,guron,2279,1031,N,N,,C/V\.'C/V\
410,92,3,le,le,2280,1031,Det,Det,le,C/(e)\
411,92,4,courtois,courtois,2281,1031,Adj,Adj,,C/V\.'C/V\
412,93,1,preux,preux,2286,1031,Adj,Adj,preux,C/V\
413,93,2,de,de,2287,1031,Pre,Pre,de,C/(e)\
414,93,3,la,la,2288,1031,Det,Det,le,C/V\
